
[00:00:00.000 --> 00:00:06.160]   Good Monday morning everyone.
[00:00:06.160 --> 00:00:10.640]   Well we are Christian Hedonists and that's something we have dedicated several episodes
[00:00:10.640 --> 00:00:12.000]   to explaining on the podcast.
[00:00:12.000 --> 00:00:19.200]   You can look back, for example, on APJ's 958, 1201, and 1281, for example.
[00:00:19.200 --> 00:00:23.480]   And for those of you who want to teach this glorious truth, how do we take Christian Hedonism
[00:00:23.480 --> 00:00:25.840]   and make it our own?
[00:00:25.840 --> 00:00:30.480]   Or even more broadly asked, how do any of us take the key teachings of others and incorporate
[00:00:30.480 --> 00:00:35.600]   them into our ministry so that we're not simply mimicking our teachers?
[00:00:35.600 --> 00:00:40.280]   That's an important question faced by any budding Christian communicator, writer, teacher,
[00:00:40.280 --> 00:00:41.280]   or preacher.
[00:00:41.280 --> 00:00:43.800]   And it's a question today in the inbox.
[00:00:43.800 --> 00:00:46.620]   Dear Tony and Pastor John, hello to you both.
[00:00:46.620 --> 00:00:49.960]   My name is Gabriel, an international student studying in Australia.
[00:00:49.960 --> 00:00:55.840]   And I praise God for your ministry and for the realities you have pointed to in the Bible,
[00:00:55.840 --> 00:01:02.080]   especially in opening my eyes to the connection between our joy and God's sovereign glory.
[00:01:02.080 --> 00:01:04.680]   My question is this.
[00:01:04.680 --> 00:01:08.920]   How do I make Christian Hedonism my own, especially when it comes to teaching?
[00:01:08.920 --> 00:01:12.440]   I'm young, but I hope to teach one day, maybe even preach the word.
[00:01:12.440 --> 00:01:16.560]   But I often find that I'm checking myself to see if I'm simply copying what you, Pastor
[00:01:16.560 --> 00:01:18.000]   John, say.
[00:01:18.000 --> 00:01:21.720]   I see that the realities are there in the text and in the Bible, but your ministry is
[00:01:21.720 --> 00:01:27.720]   so thorough and wholesome, I almost feel I can't say anything without echoing you.
[00:01:27.720 --> 00:01:29.920]   Perhaps I think incorrectly.
[00:01:29.920 --> 00:01:34.360]   How can we carry on encouraging, teaching, preaching this reality in our own voice?
[00:01:34.360 --> 00:01:38.240]   I'd be honored to hear your thoughts.
[00:01:38.240 --> 00:01:47.400]   Gabriel's question touches on a tension that every teacher feels when he has found something
[00:01:47.400 --> 00:01:56.400]   true and precious in God's word and desires that it be seen and loved by others and that
[00:01:56.400 --> 00:02:05.640]   those others, generation after generation, preserve and pass on the truth and the preciousness
[00:02:05.640 --> 00:02:08.480]   of the reality that he has seen.
[00:02:08.480 --> 00:02:10.920]   And the tension is this.
[00:02:10.920 --> 00:02:19.160]   On the one hand, we want the very thing we have seen in Scripture to be preserved and
[00:02:19.160 --> 00:02:24.280]   not distorted or corrupted or lost.
[00:02:24.280 --> 00:02:33.240]   And on the other hand, we know that if it is to be preserved for generations, the people
[00:02:33.240 --> 00:02:44.320]   that preserve it must have a grasp of it that is deeper than simply imitating the words
[00:02:44.320 --> 00:02:49.840]   of those who taught them the reality, showed them the reality.
[00:02:49.840 --> 00:02:56.560]   So there's a tension between holding fast to what is fixed and having freedom to give
[00:02:56.560 --> 00:03:04.920]   fresh and vital expression and application to that fixed reality.
[00:03:04.920 --> 00:03:11.960]   So Gabriel has discovered the truth and the beauty of what we call Christian hedonism,
[00:03:11.960 --> 00:03:21.000]   namely the thought and the life that flow from the truth that God is most glorified
