
[00:00:00.000 --> 00:00:03.080]   (projector whirring)
[00:00:03.080 --> 00:00:18.440]   - Welcome back to Portfolio Rescuer.
[00:00:18.440 --> 00:00:20.300]   We always appreciate your questions, comments,
[00:00:20.300 --> 00:00:21.140]   and feedback.
[00:00:21.140 --> 00:00:23.920]   Remember our email here, askthecompoundshow@gmail.com.
[00:00:23.920 --> 00:00:25.880]   As always, thanks to all the little viewers
[00:00:25.880 --> 00:00:27.300]   in the chat here watching live.
[00:00:27.300 --> 00:00:28.600]   We appreciate it.
[00:00:28.600 --> 00:00:30.860]   Today's Animal Spirit, or today, ooh, Animal Spirits.
[00:00:30.860 --> 00:00:32.000]   Sorry, Duncan. - Oh, wow, wow.
[00:00:32.000 --> 00:00:32.840]   - Wrong show.
[00:00:32.840 --> 00:00:35.140]   Portfolio Rescue is sponsored by Innovator ETFs.
[00:00:35.140 --> 00:00:36.200]   On this week's Animal Spirits,
[00:00:36.200 --> 00:00:38.040]   I talked about how everyone in the market
[00:00:38.040 --> 00:00:38.880]   wants a resolution.
[00:00:38.880 --> 00:00:41.360]   They want new highs or they want new lows, right?
[00:00:41.360 --> 00:00:43.360]   People just aren't comfortable in the middle anymore.
[00:00:43.360 --> 00:00:44.440]   They want something to happen fast.
[00:00:44.440 --> 00:00:45.960]   But what if we just chop for a while?
[00:00:45.960 --> 00:00:47.680]   Hey, maybe some bear market rallies,
[00:00:47.680 --> 00:00:49.600]   mix in with some corrections.
[00:00:49.600 --> 00:00:52.440]   What if you think we're going 10 or 15% somewhere,
[00:00:52.440 --> 00:00:53.760]   but you don't know which way?
[00:00:53.760 --> 00:00:55.400]   Okay, Innovator ETFs has a strategy for this.
[00:00:55.400 --> 00:00:57.160]   Their Equity Power Buffer ETF
[00:00:57.160 --> 00:00:59.840]   gives you downside protection of 15%.
[00:00:59.840 --> 00:01:03.060]   So that first 50% of losses from when you buy it,
[00:01:03.060 --> 00:01:04.480]   you're covered.
[00:01:04.480 --> 00:01:06.800]   Upside cap is like 15.6%.
[00:01:06.800 --> 00:01:08.880]   So you basically have 15% on the upside,
[00:01:08.880 --> 00:01:10.400]   15% on the downside.
[00:01:10.400 --> 00:01:11.720]   So you have some downside protection,
[00:01:11.720 --> 00:01:13.740]   but some room to the upside if things happen.
[00:01:13.740 --> 00:01:15.840]   So you're basically giving yourself a range
[00:01:15.840 --> 00:01:17.280]   where you have some protection,
[00:01:17.280 --> 00:01:18.520]   but you still have some upside.
[00:01:18.520 --> 00:01:20.240]   So if you wanna learn more about this fund
[00:01:20.240 --> 00:01:21.960]   and all the innovators to find ETF strategies,
[00:01:21.960 --> 00:01:23.600]   go to innovatoretfs.com.
[00:01:23.600 --> 00:01:25.080]   - Yeah, I'd say along with taxes,
[00:01:25.080 --> 00:01:27.720]   another thing people hate is uncertainty, right?
[00:01:27.720 --> 00:01:30.220]   - Yeah, so this is giving you some kind of definitions
[00:01:30.220 --> 00:01:31.060]   and bookending things.
[00:01:31.060 --> 00:01:33.500]   All right, last week we had a question from a viewer
[00:01:33.500 --> 00:01:36.700]   who asked, I have a sub 3% mortgage rate.
[00:01:36.700 --> 00:01:39.000]   If I move to a bigger house 'cause I have three kids now,
[00:01:39.000 --> 00:01:40.800]   it's gonna be closer to six.
[00:01:40.800 --> 00:01:42.280]   Lots of good feedback and opinions on this one.
[00:01:42.280 --> 00:01:43.760]   Some people very certain, right?
[00:01:43.760 --> 00:01:44.840]   So some people said,
[00:01:44.840 --> 00:01:46.760]   there is no way you can get out of that mortgage.
[00:01:46.760 --> 00:01:49.480]   Do whatever you can, renovate, add a bedroom,
[00:01:49.480 --> 00:01:51.260]   make the kids sleep in bunk beds,
[00:01:51.260 --> 00:01:52.900]   which doesn't seem to happen much anymore.
[00:01:52.900 --> 00:01:54.260]   You do everything you possibly can
[00:01:54.260 --> 00:01:55.900]   to keep that mortgage, right?
[00:01:55.900 --> 00:01:57.740]   Then we had other people say, no, no, no.
[00:01:57.740 --> 00:02:00.020]   It doesn't matter, family Trump spreadsheets.
[00:02:00.020 --> 00:02:01.240]   Who cares about the low mortgage rate?
[00:02:01.240 --> 00:02:02.900]   If you can afford it, you move.
[00:02:02.900 --> 00:02:04.620]   I think both valid arguments.
[00:02:04.620 --> 00:02:05.460]   Here's the thing,
[00:02:05.460 --> 00:02:08.500]   neither argument is necessarily right or wrong, right?
[00:02:08.500 --> 00:02:10.140]   It's all circumstantial, right?
[00:02:10.140 --> 00:02:13.100]   And the problem is most big financial decisions like this
[00:02:13.100 --> 00:02:16.300]   exist in the gray area where it's very difficult.
[00:02:16.300 --> 00:02:18.260]   And the problem is we don't have a lot of practice
[00:02:18.260 --> 00:02:20.440]   with big financial decisions like this.
[00:02:20.440 --> 00:02:23.560]   It's sort of like we have a couple opportunities to do it.
[00:02:23.560 --> 00:02:24.760]   You don't get to practice over and over again.
[00:02:24.760 --> 00:02:26.280]   So I just wanted to offer a friendly reminder
[00:02:26.280 --> 00:02:28.200]   that these decisions aren't often easy
[00:02:28.200 --> 00:02:29.560]   and often require trade-offs.
[00:02:29.560 --> 00:02:30.960]   And what's right for you and your family
[00:02:30.960 --> 00:02:33.000]   could be completely wrong for someone else
[00:02:33.000 --> 00:02:34.640]   and their family or their financial circumstances.
[00:02:34.640 --> 00:02:36.320]   A lot of it is circumstantial.
[00:02:36.320 --> 00:02:38.840]   And most of the time, there's no right or wrong answer here.
[00:02:38.840 --> 00:02:40.880]   It depends on what works for you.
[00:02:40.880 --> 00:02:43.000]   - I will say though, I'm a big fan of bunk beds.
[00:02:43.000 --> 00:02:44.800]   I think they're underrated.
[00:02:44.800 --> 00:02:45.640]   - It's true.
[00:02:45.640 --> 00:02:48.280]   - Yeah, I always enjoyed climbing up on the top one.
[00:02:48.280 --> 00:02:49.120]   It's fun.
[00:02:49.120 --> 00:02:51.240]   - All right, let's get to, I was a bunk bed kid
[00:02:51.240 --> 00:02:53.440]   for the first 10 years of my life, probably.
[00:02:53.440 --> 00:02:54.360]   Top bunk guy here.
[00:02:54.360 --> 00:02:55.320]   All right, let's do some questions
[00:02:55.320 --> 00:02:56.880]   from our wonderful audience.
[00:02:56.880 --> 00:03:01.280]   - Okay, so up first today we have,
[00:03:01.280 --> 00:03:02.700]   "Hey guys, can you please explain
[00:03:02.700 --> 00:03:04.920]   "how an inflation-linked bond could have lost money
[00:03:04.920 --> 00:03:07.180]   "this year with inflation at 9%?"
[00:03:07.180 --> 00:03:08.020]   Good question.
[00:03:08.020 --> 00:03:09.920]   - We've got a lot of questions like this from people
[00:03:09.920 --> 00:03:13.600]   because, John, let's do a chart on a 2021 performance.
[00:03:13.600 --> 00:03:17.000]   So what this is showing is the iShares tips bond ETF,
[00:03:17.000 --> 00:03:19.640]   TIP versus the aggregate bond.
[00:03:19.640 --> 00:03:21.040]   So that's basically the total bond fund.
[00:03:21.040 --> 00:03:24.800]   You can see in 2021, tips outperform, they're up almost 6%.
[00:03:24.800 --> 00:03:27.520]   The regular bond fund, the bond market was down 2%,
[00:03:27.520 --> 00:03:29.000]   call it, right?
[00:03:29.000 --> 00:03:30.240]   So everyone says, all right,
[00:03:30.240 --> 00:03:32.280]   inflation's gonna keep going up, let's load up on tips.
[00:03:32.280 --> 00:03:35.000]   John, let's do 2022 now.
[00:03:35.000 --> 00:03:38.280]   Okay, the aggregate bond market is down 10%,
[00:03:38.280 --> 00:03:39.880]   but wait a minute, tips are down 7%.
[00:03:39.880 --> 00:03:41.740]   How could this be, right?
[00:03:41.740 --> 00:03:46.800]   Over the past year, inflation is 8.5%, tips are down 5%.
[00:03:46.800 --> 00:03:49.760]   Well, so these treasury-protected securities or tips
[00:03:49.760 --> 00:03:51.100]   are one of the most peculiar assets
[00:03:51.100 --> 00:03:52.720]   in the whole investment universe.
[00:03:52.720 --> 00:03:53.640]   They're also relatively new.
[00:03:53.640 --> 00:03:55.800]   So I think a lot of people probably don't understand
