
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:08.400]   - We have an email today all the way from Middle Earth.
[00:00:08.400 --> 00:00:11.400]   Hello, Pastor John, my name is Simon from New Zealand.
[00:00:11.400 --> 00:00:13.000]   I've been thinking a lot about copyright
[00:00:13.000 --> 00:00:16.480]   and often wondered how copyright fits with scripture.
[00:00:16.480 --> 00:00:18.360]   I'm a video content creator
[00:00:18.360 --> 00:00:21.400]   and sometimes the copyright laws matter deeply to me,
[00:00:21.400 --> 00:00:23.320]   other times not so much.
[00:00:23.320 --> 00:00:26.840]   How should believers view intellectual property rights?
[00:00:26.840 --> 00:00:28.360]   What would you say to Simon?
[00:00:29.200 --> 00:00:34.200]   - Let's start by laying down a few biblical precepts
[00:00:34.200 --> 00:00:39.340]   which are perhaps taken for granted by everyone.
[00:00:39.340 --> 00:00:43.240]   But in our day, historical forgetfulness
[00:00:43.240 --> 00:00:47.760]   and widespread expectation of unmerited entitlement
[00:00:47.760 --> 00:00:51.160]   and pervasive individual autonomy
[00:00:51.160 --> 00:00:54.280]   with the individual self as the supreme value
[00:00:54.280 --> 00:00:56.600]   and the supreme arbiter in the world
[00:00:56.600 --> 00:00:59.920]   with all of that reality around me,
[00:00:59.920 --> 00:01:04.920]   perhaps what I'm about to say cannot be taken for granted
[00:01:04.920 --> 00:01:09.160]   or for being obvious, but here they are.
[00:01:09.160 --> 00:01:11.960]   Here are the precepts that lay the foundation
[00:01:11.960 --> 00:01:13.960]   for I think the understanding
[00:01:13.960 --> 00:01:15.940]   of intellectual property rights.
[00:01:15.940 --> 00:01:20.460]   Namely first, God has ordained in this present world
[00:01:20.460 --> 00:01:22.520]   that stealing is wrong.
[00:01:22.520 --> 00:01:27.520]   Ephesians 4:28, "Let the thief no longer steal,"
[00:01:27.520 --> 00:01:32.280]   or Romans 13, nine, "You shall not steal."
[00:01:32.280 --> 00:01:34.920]   Now those are New Testament precepts,
[00:01:34.920 --> 00:01:37.340]   not just Old Testament legal statutes.
[00:01:37.340 --> 00:01:40.560]   And the assumption is that this is the way
[00:01:40.560 --> 00:01:43.520]   born again people will be led by the Holy Spirit
[00:01:43.520 --> 00:01:46.400]   freely and joyfully to act.
[00:01:46.400 --> 00:01:50.560]   And it's the way that at the level of behavior,
[00:01:50.560 --> 00:01:53.400]   God commands the world to live.
[00:01:53.400 --> 00:01:57.880]   It also seems to many of us who reflect on it
[00:01:57.880 --> 00:02:01.040]   that this command not to steal implies
[00:02:01.040 --> 00:02:06.920]   so there must be some right that a person has
[00:02:06.920 --> 00:02:11.760]   to keep or possess or use as he sees fit
[00:02:11.760 --> 00:02:14.080]   the property that he owns.
[00:02:14.080 --> 00:02:17.000]   We call this private property.
[00:02:17.000 --> 00:02:19.660]   May not be the best term, but I think we know what I mean.
[00:02:19.660 --> 00:02:24.660]   The command not to steal assumes the rightness
[00:02:24.660 --> 00:02:27.480]   of personal ownership.
[00:02:27.480 --> 00:02:29.600]   There's another phrase for it maybe,
[00:02:29.600 --> 00:02:32.720]   which implies the right to trade what I have
[00:02:32.720 --> 00:02:36.600]   or sell what I have so that I could make a living.
[00:02:36.600 --> 00:02:40.320]   If I could get some appropriate or just or fair value
[00:02:40.320 --> 00:02:43.460]   from another person for what I have just created.
[00:02:43.460 --> 00:02:46.560]   That's the first precept, don't steal,
[00:02:46.560 --> 00:02:48.760]   and the right of personal ownership
[00:02:48.760 --> 00:02:50.440]   and selling and trading.
[00:02:50.440 --> 00:02:55.440]   Second, Colossians 3.9, do not lie to one another
[00:02:55.440 --> 00:02:58.700]   seeing that you have put off the old self
[00:02:58.700 --> 00:02:59.580]   with his practices.
[00:02:59.580 --> 00:03:04.240]   So what God expects from Israel once upon a time
[00:03:04.240 --> 00:03:07.740]   and from the church today is that we are new people
[00:03:07.740 --> 00:03:10.180]   in Christ and these new people in Christ
[00:03:10.180 --> 00:03:12.420]   do not lie to one another.
[00:03:12.420 --> 00:03:16.660]   We have put off in putting on the new man, Jesus Christ,
[00:03:16.660 --> 00:03:20.980]   we've put off lying and that same behavior
[00:03:20.980 --> 00:03:24.780]   is normative for the world at the level of behavior.
[00:03:24.780 --> 00:03:28.100]   Not lying, telling the truth, which would imply
[00:03:28.100 --> 00:03:31.660]   that if you say that something is yours,
[00:03:31.660 --> 00:03:35.340]   when it's not yours, you have sinned against God
[00:03:35.340 --> 00:03:37.060]   as well as your fellow man.
[00:03:37.060 --> 00:03:39.460]   So if a student, say in my class,
[00:03:39.460 --> 00:03:43.900]   says that a paragraph in his essay is his
[00:03:43.900 --> 00:03:47.460]   when he has copied it straight out of Wikipedia
[00:03:47.460 --> 00:03:51.660]   without giving any credit, the teacher, John Piper,
[00:03:51.660 --> 00:03:53.460]   will say, "You're lying."
[00:03:53.460 --> 00:03:56.500]   And he'll say, "No, no, no, no, I really believe
[00:03:56.500 --> 00:03:57.420]   "what's in this paragraph.
[00:03:57.420 --> 00:03:59.520]   "It's really my idea.
[00:03:59.520 --> 00:04:02.180]   "I agree with it, it's mine."
[00:04:02.180 --> 00:04:05.760]   And I would say, "No, by copying it verbatim
[00:04:05.760 --> 00:04:08.340]   "from Wikipedia and giving no credit,
[00:04:08.340 --> 00:04:11.400]   "you have taken over not just an idea
[00:04:11.400 --> 00:04:15.240]   "but a way of saying it that belongs to somebody else
[00:04:15.240 --> 00:04:17.520]   "and you're not telling the truth.
[00:04:17.520 --> 00:04:21.200]   "You're a plagiarist and you're gonna get a lower grade
[00:04:21.200 --> 00:04:24.400]   "because of it, maybe even not pass."
[00:04:24.400 --> 00:04:26.400]   Third, and I think it's very relevant
[00:04:26.400 --> 00:04:28.240]   to intellectual property issues,
[00:04:28.240 --> 00:04:29.640]   Ephesians chapter four, verse 28,
[00:04:29.640 --> 00:04:31.560]   same one we referred to earlier.
[00:04:31.560 --> 00:04:36.560]   Paul goes on to tell that thief who should no longer steal,
[00:04:37.160 --> 00:04:42.160]   "Let him labor, doing honest work with his hands
[00:04:42.160 --> 00:04:47.380]   "so that he may have something," that's important,
[00:04:47.380 --> 00:04:51.660]   "to share with anyone in need."
[00:04:51.660 --> 00:04:55.740]   So there are at least these three important things
[00:04:55.740 --> 00:04:56.680]   in that verse.
[00:04:56.680 --> 00:04:59.940]   One, doing honest work that produces some kind of value,
[00:04:59.940 --> 00:05:02.460]   might be a product, might be a service.
[00:05:02.460 --> 00:05:06.800]   Second, he should be compensated for it
[00:05:06.800 --> 00:05:08.280]   so that he has something,
[00:05:08.280 --> 00:05:09.600]   that's how he's making his living now,
[00:05:09.600 --> 00:05:12.600]   he's not stealing, he's making things or doing things
[00:05:12.600 --> 00:05:14.680]   or producing things or performing things
[00:05:14.680 --> 00:05:16.160]   so that people say, "That's valuable,
[00:05:16.160 --> 00:05:20.140]   "I'll give you $15 an hour for doing that
[00:05:20.140 --> 00:05:24.280]   "or I'll pay you $14 for that shirt you just made."
[00:05:24.280 --> 00:05:29.280]   And third, he should be inclined in freedom and love
[00:05:29.280 --> 00:05:31.960]   to use his resources to help others
[00:05:31.960 --> 00:05:34.000]   who may not have his advantages.
[00:05:34.000 --> 00:05:38.200]   So the precept of the goodness of work
[00:05:38.200 --> 00:05:41.380]   and the rightness of making a profit or earning a living
[00:05:41.380 --> 00:05:46.080]   and the goodness of sharing what we earn with others
[00:05:46.080 --> 00:05:48.800]   and the goodness of having it to share
[00:05:48.800 --> 00:05:51.340]   so that it's free and not coerced,
[00:05:51.340 --> 00:05:55.100]   all of that seems to be implied in verse 28 of chapter four.
[00:05:55.100 --> 00:05:59.580]   So I would say that all three of these larger precepts,
[00:05:59.580 --> 00:06:02.480]   not stealing with the implication of the rights
[00:06:02.480 --> 00:06:04.840]   of personal ownership or private property,
[00:06:04.840 --> 00:06:08.760]   number two, not lying and thus claiming something
[00:06:08.760 --> 00:06:09.840]   to be yours that's not yours,
[00:06:09.840 --> 00:06:14.160]   and three, gainful employment which is justly compensated
[00:06:14.160 --> 00:06:16.040]   so that we can possess things
[00:06:16.040 --> 00:06:19.900]   and then have things to share with others freely,
[00:06:19.900 --> 00:06:23.120]   I think that all of that underpins
[00:06:23.120 --> 00:06:28.120]   contemporary understandings of intellectual property rights.
[00:06:28.120 --> 00:06:32.040]   They flow, these rights flow from these principles
[00:06:32.040 --> 00:06:36.640]   and I know that it is possible, I've read some,
[00:06:36.640 --> 00:06:38.400]   to approach intellectual property rights
[00:06:38.400 --> 00:06:40.920]   from a very different perspective
[00:06:40.920 --> 00:06:43.280]   and justify them on the basis of selfishness
[00:06:43.280 --> 00:06:45.440]   and hoarding and the desire to be rich
[00:06:45.440 --> 00:06:47.440]   and the need to give incentives to people
[00:06:47.440 --> 00:06:50.920]   to maximize their wealth by coming up with inventions
[00:06:50.920 --> 00:06:55.080]   and other things, but this would not be the first time,
[00:06:55.080 --> 00:06:58.760]   would it, when bad motives and good motives
[00:06:58.760 --> 00:07:00.360]   lead to the same laws?
[00:07:00.360 --> 00:07:04.380]   I can think of lots of illustrations of that in life,
[00:07:04.380 --> 00:07:07.680]   but Christians aren't to be motivated by bad motives
[00:07:07.680 --> 00:07:09.800]   even if they come up with the same laws
[00:07:09.800 --> 00:07:11.940]   that people with bad motives come up with.
[00:07:11.940 --> 00:07:15.520]   So intellectual property rights include things like patents
[00:07:15.520 --> 00:07:18.320]   for inventions of material things
