
[00:00:00.000 --> 00:00:07.000]   At Suboba Casino Resort this October, something fun is lurking in the dark.
[00:00:07.000 --> 00:00:09.000]   Thriller Nights.
[00:00:09.000 --> 00:00:14.000]   Win a share of up to $417,000 in cash and prizes.
[00:00:14.000 --> 00:00:21.000]   October 28th, you could take a thrill ride in your very own 2023 Dodge Challenger SRT Hellcat.
[00:00:21.000 --> 00:00:24.000]   Earn entries daily with your Suboba Rewards Card.
[00:00:24.000 --> 00:00:27.000]   And boogie on down to Thriller Nights.
[00:00:27.000 --> 00:00:29.000]   Suboba Casino Resort.
[00:00:30.000 --> 00:00:32.000]   Guess who's back?
[00:00:32.000 --> 00:00:34.000]   Back again.
[00:00:34.000 --> 00:00:36.000]   Joshua's back.
[00:00:36.000 --> 00:00:38.000]   Tell a friend.
[00:00:38.000 --> 00:00:44.000]   Guess who's back? Guess who's back? Guess who's back? Guess who's back? Guess who's back?
[00:00:44.000 --> 00:00:46.000]   (Humming)
[00:00:46.000 --> 00:00:53.000]   My friend, you have no idea how hard it is to be a professional podcaster and entirely lose your voice for weeks.
[00:00:53.000 --> 00:00:55.000]   But man, I am glad to be back.
[00:00:55.000 --> 00:01:05.000]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now while building a plan for financial freedom in 10 years or less.
[00:01:05.000 --> 00:01:09.000]   My name is Joshua and I am indeed back.
[00:01:09.000 --> 00:01:15.000]   And today, I am so excited to get back to some nuts and bolts of actual technical finance.
[00:01:15.000 --> 00:01:24.000]   And I want to talk to you about one of the most frequently asked questions that I am always asked, which is, namely, do I pay off debt or do I invest?
[00:01:24.000 --> 00:01:30.000]   And I want to give you the brutal reality to help you decide this question for yourself.
[00:01:30.000 --> 00:01:39.000]   Because you need to understand all the different facets of this question in order to understand what you should be doing in your actual situation.
[00:01:39.000 --> 00:01:45.000]   So the question, the listener writes in and says, "Joshua, thank you for all you do, very kind comments, etc.
[00:01:45.000 --> 00:01:52.000]   Question on my wife's and my mind at the moment concerns prioritization of money that we are able to save.
[00:01:52.000 --> 00:01:56.000]   Thankfully, we have a savings rate of $2,000 per month.
[00:01:56.000 --> 00:02:07.000]   But between the two of us, we still have around $95,000 in student loan debt, with interest rates on the individual loans ranging from 3% to 8%.
[00:02:07.000 --> 00:02:18.000]   We have decided against saving for a house at the moment, but are not sure if the right move is to throw all of our savings each month to the loans, avalanche style, and eventually pay them down completely,
[00:02:18.000 --> 00:02:26.000]   or to first put money into retirement, Roth IRAs, company matched 403(b), all of which are Vanguard index funds,
[00:02:26.000 --> 00:02:31.000]   so that we don't miss out on the compounding interest that's possible over the coming decades.
[00:02:31.000 --> 00:02:33.000]   We are 31 years old.
[00:02:33.000 --> 00:02:44.000]   The start early and invest regularly idea echoes in my head constantly to capitalize on long-term gains and compounding, as does the idea of good debt,
[00:02:44.000 --> 00:02:48.000]   which is the kind like student loans could potentially be if they serve as income boosters.
[00:02:48.000 --> 00:02:55.000]   At the same time, the Ramsey-esque idea that debt should be avoided like setting your hair on fire speaks loudly to us also.
[00:02:55.000 --> 00:02:58.000]   Thank you so much in advance.
[00:02:58.000 --> 00:03:04.000]   There are three important areas of analysis that you need to apply to this question.
[00:03:04.000 --> 00:03:10.000]   Let's start with the technical, mathematical, financial analysis.
[00:03:10.000 --> 00:03:12.000]   It is very simple.
[00:03:12.000 --> 00:03:25.000]   The mathematical answer as to whether you should pay off debt or invest is 100% determined by interest rates.
[00:03:25.000 --> 00:03:35.000]   I repeat, the mathematical answer is 100% determined by interest rates.
[00:03:35.000 --> 00:03:50.000]   If the rate of interest that you are paying on your debt is higher than the rate of interest that you can earn on your investments,
[00:03:50.000 --> 00:03:55.000]   then you should pay off debt.
[00:03:55.000 --> 00:04:06.000]   If the rate of interest that you are paying on your debts is lower than the rate of interest that you can earn on other investments,
[00:04:06.000 --> 00:04:09.000]   then you should not pay off debt.
[00:04:09.000 --> 00:04:12.000]   You should invest.
[00:04:12.000 --> 00:04:17.000]   It really is as simple as that.
[00:04:17.000 --> 00:04:25.000]   For example, all of the question about putting money in early in this case is immaterial.
[00:04:25.000 --> 00:04:28.000]   You don't even have to factor that into your calculations.
[00:04:28.000 --> 00:04:29.000]   It doesn't matter.
[00:04:29.000 --> 00:04:33.000]   It all comes down to your interest rates.
[00:04:33.000 --> 00:04:41.000]   Now what you do need to do is you do need to properly calculate which interest rate is superior.
[00:04:41.000 --> 00:04:52.000]   And here you have to look at the net interest rate in order to understand the mathematical solution to this problem.
[00:04:52.000 --> 00:04:55.000]   What do I mean by net interest rate?
[00:04:55.000 --> 00:05:11.000]   Well, on the positive side, you have to look at how much you would earn on an investment net of expenses such as taxes or fees.
[00:05:11.000 --> 00:05:19.000]   Now, if you are investing using retirement products such as Roth IRAs and company sponsored 403b plans,
[00:05:19.000 --> 00:05:29.000]   then taxes will go away as a cost, but they will have to be factored in as an additional benefit.
[00:05:29.000 --> 00:05:37.000]   Because, for example, if you invest your money into that company sponsored 403b plan and you take a tax deduction,
[00:05:37.000 --> 00:05:45.000]   now that's an additional what's equivalent to an interest rate, an additional return.
[00:05:45.000 --> 00:05:49.000]   You would then have to pull off your fees if you're paying any substantial fees,
[00:05:49.000 --> 00:05:56.000]   be they fees with the actual mutual funds that you're investing in or be they fees with the overall investment vehicle,
[00:05:56.000 --> 00:06:03.000]   the 403b plan that you're investing through, or if they're fees of any other kind of investment, you have to factor those fees in.
[00:06:03.000 --> 00:06:09.000]   So you have to figure out your net interest rate because it's the net interest rate that matters.
