
[00:00:00.000 --> 00:00:06.400]   We have a new AGI lab, two battling figureheads fighting over the future of AI,
[00:00:06.400 --> 00:00:10.600]   new exclusive accounts of what happened in the last 48 hours,
[00:00:10.600 --> 00:00:12.500]   and I haven't even had breakfast.
[00:00:12.500 --> 00:00:16.800]   This video will not only cover developments up to the last few minutes,
[00:00:16.800 --> 00:00:21.600]   but will try to provide one of the clearest accounts as to what has transpired
[00:00:21.600 --> 00:00:23.700]   and the personalities behind it.
[00:00:23.700 --> 00:00:28.500]   This has truly been a weekend that has changed the course of AI.
[00:00:28.500 --> 00:00:34.200]   Let's start though with this, a series of posts on Twitter from OpenAI senior staff saying
[00:00:34.200 --> 00:00:36.700]   "OpenAI is nothing without its people.
[00:00:36.700 --> 00:00:42.700]   It seems like the original OpenAI is imploding in real time, and for some it's gotten personal."
[00:00:42.700 --> 00:00:47.000]   One research scientist at OpenAI said "Ilya does not care about safety or humanity.
[00:00:47.000 --> 00:00:50.500]   This is just ego and power-hungriness that backfired."
[00:00:50.500 --> 00:00:55.300]   And in the last few moments, we learn that Ilya Sutskova himself regrets what happened.
[00:00:55.300 --> 00:01:01.700]   He says "I love everything we've built together and I will do everything I can to reunite the company."
[00:01:01.700 --> 00:01:07.600]   And at 5.30am his time, after presumably not having slept at all, Sam Altman hearted that comment.
[00:01:07.600 --> 00:01:09.600]   Who knows what will come of that?
[00:01:09.600 --> 00:01:14.800]   But with perhaps 10 crazy revelations to get to, I'm not going to spend too much time on the Twitter wars.
[00:01:14.800 --> 00:01:19.300]   Because first and foremost, we have a new AGI lab within Microsoft.
[00:01:19.300 --> 00:01:24.300]   Sam Altman is going to be the CEO of this new group and Greg Brockman is joining him.
[00:01:24.300 --> 00:01:30.600]   Of course, with what we've seen on Twitter, it looks like hundreds of OpenAI former employees might be joining them.
[00:01:30.600 --> 00:01:37.900]   The group doesn't even have a name yet, but with Microsoft's compute, they look set to become one of the major AGI players.
[00:01:37.900 --> 00:01:46.000]   And the CEO of Microsoft has already confirmed that Microsoft will quickly provide this new group with the resources needed for their success.
[00:01:46.000 --> 00:01:49.800]   Of course, OpenAI aren't yet dead and I'll get to their new CEO in a moment.
[00:01:49.800 --> 00:01:54.200]   But first, we have a bit more info about what led to this monumental split.
[00:01:54.200 --> 00:02:01.200]   A key division arose between the visions of Ilya Sutskova, the chief scientist of OpenAI, and Sam Altman, the CEO.
[00:02:01.200 --> 00:02:06.900]   In October, Sam Altman moved to reduce Sutskova's role at the company, which obviously infuriated him.
[00:02:06.900 --> 00:02:12.700]   Then, according to Bloomberg, there were announcements at Dev Day that further angered Sutskova.
[00:02:12.700 --> 00:02:20.100]   Apparently, the safety team really didn't like the customized versions of ChatGPT that allowed anyone to create chatbots.
[00:02:20.100 --> 00:02:25.200]   And particularly, they didn't like the idea of those chatbots becoming autonomous agents.
[00:02:25.200 --> 00:02:28.000]   But the rift goes further back even than that.
[00:02:28.000 --> 00:02:32.700]   This exclusive extract from a book was released in The Atlantic in the last few minutes.
[00:02:32.700 --> 00:02:38.100]   Apparently, the November release last year of ChatGPT caused a rift inside the company.
[00:02:38.100 --> 00:02:41.400]   One faction felt the company and indeed the world wasn't ready.
[00:02:41.400 --> 00:02:46.500]   The extract says this strained the already tense relationship between OpenAI's factions,
[00:02:46.500 --> 00:02:51.400]   which Altman referred to in 2019 as the different tribes within the company.
[00:02:51.400 --> 00:02:59.900]   The success of ChatGPT caught the company by surprise and computing power from research teams was redirected to handle the flow of traffic.
[00:02:59.900 --> 00:03:04.500]   The servers kept crashing and safety teams within the company pushed to slow things down.
[00:03:04.500 --> 00:03:10.800]   When GPT-4 was launched, apparently customers tried to take advantage of the $20 free credit offered.
[00:03:10.800 --> 00:03:19.800]   And then what happened was that employees from the already small trust and safety staff were reassigned from other abuse areas to focus on that fraud issue.
[00:03:19.800 --> 00:03:25.200]   Some employees in the safety team struggled with mental health issues and communication was poor.
[00:03:25.200 --> 00:03:31.400]   In an ironic twist, co-workers would find out that colleagues had been fired only after noticing them disappear on Slack.
[00:03:31.400 --> 00:03:38.200]   But according to this book, what also started to happen was that Ilya Sutskova began to behave a bit like a spiritual leader.
[00:03:38.200 --> 00:03:42.400]   His constant enthusiastic refrain was to "feel the AGI".
