
[00:00:00.000 --> 00:00:05.640]   You just got paid, but now what do you do? Do you move money to savings, invest, pay down debt,
[00:00:05.640 --> 00:00:10.020]   or just let it sit there and hope for the best? Most people kind of wing it. And even if you're
[00:00:10.020 --> 00:00:15.240]   earning good money, that leads to second guessing, missed opportunities, and financial stress that
[00:00:15.240 --> 00:00:19.700]   doesn't need to be there. So in this video, I'm going to walk you through the exact 10-step
[00:00:19.700 --> 00:00:25.960]   framework I use every time I get paid so you can stop guessing, start optimizing, and make your
[00:00:25.960 --> 00:00:30.700]   money work smarter. And this isn't just about paying off debt or building an emergency fund.
[00:00:30.700 --> 00:00:35.320]   I'm also going to cover advanced tactics that are sometimes contrarian for investing,
[00:00:35.320 --> 00:00:40.020]   managing liquidity, and creating real financial flexibility. So let's get into it.
[00:00:40.020 --> 00:00:45.240]   So the first step in how I allocate money is what I'll call operating cash, which involves making
[00:00:45.240 --> 00:00:50.500]   sure you have one to two months of your regular expenses sitting in cash, right in your checking
[00:00:50.500 --> 00:00:55.140]   account. Or for those of you who listen to episode 177 on the best bank account setup,
[00:00:55.140 --> 00:01:00.700]   I actually think the best accounts are ones that you can earn interest on. And in most cases,
[00:01:00.700 --> 00:01:04.860]   those are actually savings or cash management accounts that function like a checking account.
[00:01:04.860 --> 00:01:08.600]   So go check out that episode if you want my recommendations for where to put this money.
[00:01:08.600 --> 00:01:14.220]   But this is not an emergency fund. This is not a giant amount of money to solve all these problems.
[00:01:14.220 --> 00:01:19.400]   It's your cash flow buffer for each month to smooth over the gap between the fact that sometimes
[00:01:19.400 --> 00:01:24.280]   you have bills that are due before your income hits, and you want to make sure you're not having to go
[00:01:24.320 --> 00:01:29.620]   borrow money, transfer money when that happens. It also means because it's one to two months that
[00:01:29.620 --> 00:01:35.380]   there is a small buffer for some urgent thing like a high health insurance deductible, a sudden car
[00:01:35.380 --> 00:01:40.260]   repair. You want to be able to cover those things without having to dip into your savings or borrow
[00:01:40.260 --> 00:01:45.240]   money. So this is your pay your bills. Don't get caught off guard fund. It's simple. It's boring,
[00:01:45.240 --> 00:01:50.700]   but it's probably the most practical and essential piece of your framework for how you allocate your
[00:01:50.700 --> 00:01:54.860]   money. So if you don't currently have one to two months in an account, this is where I would
[00:01:54.860 --> 00:01:59.720]   prioritize putting those funds. And just to be clear, if you're not doing this exactly like me,
[00:01:59.720 --> 00:02:05.400]   that's okay. If you already have money in other places, I'm not saying go ahead quickly and sell off your
[00:02:05.400 --> 00:02:10.860]   stocks or withdraw the money from your retirement fund to follow this order. But I do think that as you have
[00:02:10.860 --> 00:02:15.820]   incremental savings, this is the order in which I would prioritize putting my own money in different
[00:02:15.820 --> 00:02:21.880]   places before I start saving and investing. Okay. After that cash buffer is in place, the next
[00:02:21.880 --> 00:02:26.980]   absolute priority, in my opinion, is the employer match. If your company is matching your retirement
[00:02:26.980 --> 00:02:32.840]   contributions, whether that's in a 401k, a 403b, or any type of account, even if they're only matching
[00:02:32.840 --> 00:02:37.680]   some amount of investment and not the entire amount, right? Sometimes they might match the first
[00:02:37.680 --> 00:02:42.180]   thousand dollars of your 401k contributions. If you're getting a hundred percent match, meaning you put
[00:02:42.180 --> 00:02:47.300]   in a thousand and the employer puts in a thousand, that's a guaranteed 100% return on your investment.
[00:02:47.300 --> 00:02:52.520]   And it's immediate. You don't have to wait a period of time. There is no debt payoff, no investment,
[00:02:52.520 --> 00:02:57.840]   no savings account that can compete with doubling your money instantly. This is also true if they
[00:02:57.840 --> 00:03:04.040]   match your HSA contribution or your FSA contributions or anything like that. And really the only time I'd
[00:03:04.040 --> 00:03:11.340]   skip this employer match is if you have really crushing high interest debt, like 15, 20, 25, 30%,
[00:03:11.340 --> 00:03:16.960]   and your match is really small that it's not worth focusing on until you can get that debt paid off.
[00:03:16.960 --> 00:03:21.940]   Otherwise, skipping an employer match is like saying no thanks to free money, which if you've
[00:03:21.940 --> 00:03:26.180]   listened long enough, you know I would never want to say. All right, once you've got your match set up,
[00:03:26.180 --> 00:03:30.720]   if you have it, right? I work for myself. I don't have an employer match, so I skip number two.
[00:03:30.720 --> 00:03:34.700]   But then I like to allocate money towards what I'll call urgent debt payoff,
[00:03:34.940 --> 00:03:40.440]   which is generally paying down any high interest debt, typically above around 8%.
[00:03:40.440 --> 00:03:46.700]   Now, why do I pick 8%? Well, that's roughly the long-term after-tax return of the stock market.
[00:03:46.700 --> 00:03:51.780]   You might decide that this number for you is 7% or 9%. You can tweak it as you see fit,
[00:03:51.780 --> 00:03:55.340]   and it may fluctuate a little bit with interest rates or your current situation.
[00:03:55.560 --> 00:03:59.800]   But if you're carrying credit card balances, have personal loans, medical loans,
[00:03:59.800 --> 00:04:03.000]   or some older student loans that are in really high interest rates,
[00:04:03.000 --> 00:04:08.260]   paying them off is like getting a market-level return, except you don't have the risk of the
[00:04:08.260 --> 00:04:13.280]   market. So instead of accumulating, let's say on average 8% in the stock market, you're actually
[00:04:13.280 --> 00:04:19.000]   going to not pay 8% interest. But in the stock market, that money might not make 8%. It might go
[00:04:19.000 --> 00:04:23.060]   down this year. This is guaranteed because you're paying that debt off, and you're stopping the
[00:04:23.060 --> 00:04:27.340]   interest payments immediately. Now, if you're juggling multiple debts that are at this amount,
[00:04:27.340 --> 00:04:32.260]   there are a few different ways to decide the order to pay them off. I care much less about which one
[00:04:32.260 --> 00:04:38.180]   and more that you pick one, stay with it, and then move on to the next one. I personally like what I
[00:04:38.180 --> 00:04:42.480]   think is called the avalanche method, which is you start with the highest interest first. It's going
[00:04:42.480 --> 00:04:47.080]   to reduce the amount of interest you pay the fastest. But there's an alternative method called the
[00:04:47.080 --> 00:04:51.500]   snowball method, where you start with the smallest balance first. I know that's more motivating for
[00:04:51.500 --> 00:04:56.720]   some people. But like I said, whatever works for you is great. But I'd much prefer to be paying off
[00:04:56.720 --> 00:05:01.200]   high interest debt than investing my money, because I'm going to get a better ROI with more certainty.
[00:05:01.200 --> 00:05:06.020]   Now that the urgent stuff is handled, it's time to build your safety net. I know this is often called
[00:05:06.020 --> 00:05:10.120]   an emergency fund. I've called it that in the past. But I think it's for a lot more things than just
[00:05:10.120 --> 00:05:14.880]   emergencies. So that's why I like to call it a safety net and think of it as a broader thing.
[00:05:14.880 --> 00:05:19.840]   No matter what you call it, it is usually an extra three to nine months of your monthly expenses.
[00:05:19.840 --> 00:05:25.600]   It could be more. And I want to put those somewhere that earns in today's interest rates at least four
[00:05:25.600 --> 00:05:30.220]   percent with very little risk. It could be high yield savings. It could be a brokerage account in
[00:05:30.220 --> 00:05:35.820]   treasuries, something similar, but somewhere where there's no risk and you're earning interest.
[00:05:36.100 --> 00:05:42.180]   Now, this is your cushion for any big life disruptions. Could be a layoff, could be a health
[00:05:42.180 --> 00:05:48.020]   crisis, could be a major home repair or car repair. I don't know what it is in your circumstance, but
[00:05:48.020 --> 00:05:51.780]   you want to make sure you have something to cover it. Now, how much you need depends on a few key
[00:05:51.780 --> 00:05:56.860]   things. First, do you have any dependents? If so, I like to increase my safety net. Job stability.
[00:05:56.860 --> 00:06:01.980]   Depending on how stable your income is or how volatile the industry you work in is, you might want to
[00:06:01.980 --> 00:06:07.120]   increase or decrease your safety net accordingly. I know some people that have jobs where they feel
[00:06:07.120 --> 00:06:11.780]   like they are certain forever. They have very little risk that they'd ever lose them. Maybe you're a
[00:06:11.780 --> 00:06:16.040]   tenured professor and so they feel a lot more comfortable. Other people might work at a startup
[00:06:16.040 --> 00:06:20.680]   or work in an industry that's getting quickly disrupted. In that case, I'd want a much bigger
[00:06:20.680 --> 00:06:25.740]   safety net. Similarly, when it comes to income replacement, you want to consider how hard it might
[00:06:25.740 --> 00:06:30.880]   be to replace your income. If you're in a highly specialized field or you're in a really senior or
[00:06:30.880 --> 00:06:37.440]   executive role, even though that industry might be working and it's not necessarily a volatile industry,
[00:06:37.440 --> 00:06:41.980]   it might take you a longer time to find a new job because you want to find the right place. You want
[00:06:41.980 --> 00:06:46.420]   to find the right fit. You might have to move. You might have to talk to lots of companies. You might
[00:06:46.420 --> 00:06:51.060]   have to wait for those roles to open up. And so I'd like to have more of a safety net in those
[00:06:51.060 --> 00:06:56.560]   circumstances. Next is how many sources of income you have in your household. If you're a single income
[00:06:56.560 --> 00:07:01.840]   household, I'd skew on the higher end of a safety net. If you have two or three or more sources of
[00:07:01.840 --> 00:07:06.400]   income for your house, your family, you could probably go a lot lower. And then last is your
[00:07:06.400 --> 00:07:11.220]   risk tolerance. That matters because if you sleep better at night knowing that you have a bigger safety
[00:07:11.220 --> 00:07:16.440]   net, that's a totally valid reason to increase it. So in summary, if you had no dependents, a very
[00:07:16.440 --> 00:07:21.180]   stable job that would be easy to replace, and in your household there's two or three different sources
[00:07:21.180 --> 00:07:25.700]   of income, and you have a lot of risk tolerance, maybe three months is fine. Maybe you don't need a big
[00:07:25.700 --> 00:07:32.840]   safety net. But if you have all those things, dependents, unstable job, volatile industry, hard to replace
[00:07:32.840 --> 00:07:37.980]   your income, and only one source of income in your household, and maybe you're risk averse, I would be
[00:07:37.980 --> 00:07:43.900]   skewing towards nine, 12, or maybe even more months of expenses as a safety net. And if you're the kind of
[00:07:43.900 --> 00:07:49.160]   person that would really like a formula to figure out the exact number, Brian Feraldi, one of my past guests,
[00:07:49.160 --> 00:07:53.140]   actually has a framework for this that has a series of questions to help you arrive at a number,
[00:07:53.140 --> 00:07:59.460]   I'll put a link to that in the show notes. For someone like us, we've got two kids, both of us
[00:07:59.460 --> 00:08:04.100]   are self-employed at the same company. I'm probably skewing a little bit more towards nine or 12 months
[00:08:04.100 --> 00:08:08.060]   with our safety net right now. And keep in mind, and if after hearing this, you realize you don't have
[00:08:08.060 --> 00:08:12.880]   the safety net you want, you don't necessarily need to get there overnight. Sure, if you already have
[00:08:12.880 --> 00:08:17.660]   these funds set aside, that would be great. But I wouldn't say go sell retirement accounts and pay
[00:08:17.660 --> 00:08:22.480]   penalties to do it. If you're actively saving, this can be a goal that you save for over time.
[00:08:22.480 --> 00:08:27.960]   And if you're thinking, wow, so you want me to do all of this before investing any of my money into
[00:08:27.960 --> 00:08:33.140]   my 401k or brokerage account. That is correct. I know that seems crazy to some, but my rationale here
[00:08:33.140 --> 00:08:37.720]   is that if you're going to need these funds in case you lose your job, you don't want to have to sell
[00:08:37.720 --> 00:08:43.080]   your investments or pay penalties to withdraw them to do it. Especially if the market's down when that
[00:08:43.080 --> 00:08:48.120]   happens, which unfortunately often happens around the same time as many companies do layoffs.
[00:08:48.120 --> 00:08:53.300]   So yes, I am saying that I like to set up this safety net before I'm in a situation where I'm
[00:08:53.300 --> 00:08:58.280]   saving for the longterm. This episode is brought to you by Viore, which is amazing because they are one
[00:08:58.280 --> 00:09:03.860]   of only the few brands I wear almost every single day. I've got a shirt on, I've got the core shorts on.
[00:09:04.020 --> 00:09:09.020]   I love Viore and I love that they bring a new perspective on performance apparel. It's so
[00:09:09.020 --> 00:09:13.280]   versatile. It can be used for just about any activity, whether it's running, training, swimming,
[00:09:13.280 --> 00:09:19.240]   yoga, or even lounging or running errands or going out to dinner. Seriously, I wear my meta pants out
[00:09:19.240 --> 00:09:23.540]   for dinner all the time. But today I want to talk about their dream knit collection because it's
[00:09:23.540 --> 00:09:29.940]   amazing. It is super soft, lightweight, moisture wicking, but also has this amazing four-way performance
[00:09:29.940 --> 00:09:34.780]   stretch that makes it so comfortable. While it's almost impossible to narrow my Viore recommendations
[00:09:34.780 --> 00:09:39.620]   down to just one thing, I want you to check out the Ponto Performance Jogger for men or the Performance
[00:09:39.620 --> 00:09:44.780]   Jogger for women. I know me and my wife, Amy, absolutely love them and wear them all the time.
[00:09:44.780 --> 00:09:48.900]   Seriously, I think Viore is an investment in your happiness. And for everyone watching,
[00:09:48.900 --> 00:09:55.380]   they're offering 20% off your first purchase, plus free shipping on U.S. orders over $75 and free
[00:09:55.380 --> 00:09:59.740]   returns. So get yourself some of the most comfortable and versatile clothing on the planet.
[00:09:59.740 --> 00:10:07.240]   at chrishutchins.com slash viore. That's V-U-O-R-I. Again, that's chrishutchins.com slash viore to
[00:10:07.240 --> 00:10:12.440]   discover the versatility of Viore clothing. Exclusions apply. Visit the website for full
[00:10:12.440 --> 00:10:16.980]   terms and conditions and find the link in the description. This episode is brought to you by
[00:10:16.980 --> 00:10:22.840]   Gelt. Now, when it comes to building wealth, taxes are such a big part of the strategy. And as tax time
[00:10:22.840 --> 00:10:29.000]   gets closer, getting prepared now is so important. And now that I'm working with Gelt, I finally feel
