
[00:00:00.000 --> 00:00:03.000]   Ready to meet stylish shoes that are also comfortable?
[00:00:03.000 --> 00:00:08.000]   Say hello to Rothy's, the sustainable shoe brand that proves looking great can feel great too.
[00:00:08.000 --> 00:00:14.000]   New styles feature their InLove insole for extra cushion, arch support, and all-day wearability.
[00:00:14.000 --> 00:00:17.000]   Check it out in the Point 2 and update to their best-selling flat.
[00:00:17.000 --> 00:00:21.000]   Or try the Almond Loafer or the brand new Ballet Flat.
[00:00:21.000 --> 00:00:25.000]   With so many styles to choose from, there are endless ways to wear Rothy's.
[00:00:25.000 --> 00:00:30.000]   Get $20 off your first purchase at rothys.com/perfect.
[00:00:30.000 --> 00:00:40.000]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom in 10 years or less.
[00:00:40.000 --> 00:00:43.000]   Today on the show, we're going to do something we don't normally do.
[00:00:43.000 --> 00:00:48.000]   Today is March 6, 2020, and today we're going to talk about current events.
[00:00:48.000 --> 00:00:53.000]   Try to keep the show very much focused on things that aren't necessarily current.
[00:00:53.000 --> 00:01:03.000]   My goal is that somebody listening to Radical Personal Finance in 2020 finds most of the content just as relevant as someone listening in 2030.
[00:01:03.000 --> 00:01:11.000]   And I hope that even 50% of the content is relevant in 2120, just like it would have been relevant in 1920.
[00:01:11.000 --> 00:01:12.000]   That's my general hope.
[00:01:12.000 --> 00:01:15.000]   Now, of course, that's hard to achieve, but that's my goal.
[00:01:15.000 --> 00:01:20.000]   But today we're going to break that general trend and we're going to talk about some current events.
[00:01:20.000 --> 00:01:33.000]   So I want to give you just some updates and just chat with you a little bit about COVID-19, talk to you about some economic prognostication, and talk with you about the stock market, which has been quite the up-and-down ride over the last couple of weeks.
[00:01:33.000 --> 00:01:45.000]   One thing that I do not feel, that I do not miss about working as a professional financial advisor is I don't miss fielding phone calls during market volatility.
[00:01:45.000 --> 00:01:53.000]   I'm very happy to be on the sidelines and just care for my own money, but I do still feel a responsibility to talk to you.
[00:01:53.000 --> 00:01:56.000]   And so I want to try to do that here with some updates.
[00:01:56.000 --> 00:02:07.000]   So we're going to talk about COVID-19, we're going to talk about economics, we're going to talk about the stock market, and then if there's time, we're going to talk about just, again, your planning so that you can have an intelligent response to risk.
[00:02:07.000 --> 00:02:08.000]   Let's begin with COVID-19.
[00:02:08.000 --> 00:02:21.000]   I would prefer to wait a few more weeks to get more data before having an opinion, but I think that would be just simply kind of weasley of me, kind of chicken to sit back and not share with you some ideas.
[00:02:21.000 --> 00:02:28.000]   I've tried to be responsible and wait for decent information before talking to you, but not to sit around just for fear of being wrong.
[00:02:28.000 --> 00:02:36.000]   So in that spirit, I would say that I am encouraged by some of the recent medical data coming out about COVID-19.
[00:02:36.000 --> 00:02:43.000]   It does not seem to be the flu superbug, the really bad flu bug that it could be.
[00:02:43.000 --> 00:02:48.000]   Now, that's not to say that we're not going to wind up in a global pandemic.
[00:02:48.000 --> 00:02:56.000]   It is to say that the death rate, it does seem to be lower than I feared and that many people would fear.
[00:02:56.000 --> 00:02:59.000]   Now, that's not to say that you should be complacent.
[00:02:59.000 --> 00:03:02.000]   For example, the flu virus can always mutate.
[00:03:02.000 --> 00:03:03.000]   It could become worse.
[00:03:03.000 --> 00:03:11.000]   Right now, people talk about there being two strains of the virus, one strain that is deadlier than the other strain.
