
[00:00:00.000 --> 00:00:04.000]   Welcome, everyone.
[00:00:04.000 --> 00:00:06.320]   We're super excited to have you here.
[00:00:06.320 --> 00:00:09.360]   This is our first meetup ever in London.
[00:00:09.360 --> 00:00:10.480]   And how are you?
[00:00:10.480 --> 00:00:18.240]   And this is actually our biggest event ever that we've done.
[00:00:18.240 --> 00:00:21.840]   When we first announced it, I expected 50 people to come.
[00:00:21.840 --> 00:00:25.040]   Then we got 500 people registered.
[00:00:25.040 --> 00:00:28.640]   And finally, we ended up with, I think, about 1,000 people,
[00:00:28.640 --> 00:00:29.680]   which is insane.
[00:00:29.840 --> 00:00:33.600]   Thank you guys for joining us.
[00:00:33.600 --> 00:00:37.360]   We have some really exciting things to show you tonight.
[00:00:37.360 --> 00:00:39.920]   We're going to start with some product announcements.
[00:00:39.920 --> 00:00:45.920]   Then you'll hear from Imad from Stability, Nuno from Lanching.
[00:00:45.920 --> 00:00:51.520]   And then we also have some really exciting surprises for you guys backstage.
[00:00:51.520 --> 00:00:57.040]   But first, I want to tell you a little bit about how you can be
[00:00:57.040 --> 00:00:59.200]   a part of the Weeks & Bices community.
[00:00:59.840 --> 00:01:03.920]   So if you like what you see today, if you like the people that you meet,
[00:01:03.920 --> 00:01:06.720]   I would love for you guys to join our Discord.
[00:01:06.720 --> 00:01:08.560]   You can find it at that link right there.
[00:01:08.560 --> 00:01:13.200]   Our Discord is full of machine learning practitioners
[00:01:13.200 --> 00:01:15.120]   who are really helping each other.
[00:01:15.120 --> 00:01:16.720]   That's the core of our community.
[00:01:16.720 --> 00:01:19.280]   We really want anyone to be able to join us.
[00:01:19.280 --> 00:01:24.640]   And then we want everyone to be helpful to other machine learning engineers
[00:01:24.640 --> 00:01:26.480]   and help everyone get better.
[00:01:28.480 --> 00:01:31.600]   This is a community we're super proud of building,
[00:01:31.600 --> 00:01:33.600]   and we really hope that you join us.
[00:01:33.600 --> 00:01:38.000]   Next up, we also believe that machine learning
[00:01:38.000 --> 00:01:40.480]   should be accessible to everyone.
[00:01:40.480 --> 00:01:42.880]   And also learning machine learning should be free.
[00:01:42.880 --> 00:01:46.320]   So we've been creating all of these different courses
[00:01:46.320 --> 00:01:50.240]   to help machine learning engineers learn to put their models in production.
[00:01:50.240 --> 00:01:55.680]   And in these courses, we share best practices that we have learned
[00:01:55.680 --> 00:01:59.680]   from working with some of the best machine learning teams for years.
[00:01:59.680 --> 00:02:03.200]   And you can find them at 1b.me/courses.
[00:02:03.200 --> 00:02:06.800]   We also have Fully Connected, our blog.
[00:02:06.800 --> 00:02:08.960]   Anyone here heard of Fully Connected?
[00:02:08.960 --> 00:02:11.360]   There's one person.
[00:02:11.360 --> 00:02:11.840]   Hiya.
[00:02:11.840 --> 00:02:15.120]   I love a new audience.
[00:02:15.120 --> 00:02:16.640]   So Fully Connected is our blog.
[00:02:16.640 --> 00:02:18.640]   You can see it on the left.
[00:02:18.640 --> 00:02:23.840]   So this is full of tutorials that are written by machine learning engineers,
[00:02:23.840 --> 00:02:25.120]   just like you.
[00:02:25.120 --> 00:02:27.360]   On the most important topics of the day.
[00:02:27.360 --> 00:02:32.640]   So if a new model comes out, you can probably expect a deep dive on it
[00:02:32.640 --> 00:02:35.360]   on Fully Connected in the next few days.
