
[00:00:00.000 --> 00:00:19.760]   I'm so excited to be here with you guys today, and I think what is probably the coolest AI
[00:00:19.760 --> 00:00:25.960]   conference in the world at such an exciting, exciting time in history, I think, especially
[00:00:25.960 --> 00:00:34.780]   for AI products. If you don't already know me from either demos on Twitter or sometimes
[00:00:34.780 --> 00:00:42.800]   probably ill-advised spicy takes on Twitter, my name is Ben Hilack, and I'm the founder
[00:00:42.800 --> 00:00:52.740]   of Dawn. So at Dawn, we help some of the best companies in the world, everyone from GitHub
[00:00:52.740 --> 00:00:59.400]   to Can of Soup build better, more predictable AI products.
[00:01:01.560 --> 00:01:10.140]   My entire life, I've been really obsessed with building and designing unbounded products.
[00:01:10.140 --> 00:01:21.240]   So unbounded products are products that transcend the mouse, the monitor in some way, right?
[00:01:21.380 --> 00:01:30.200]   So for me, that started with robotics. I think the first one was when I was in eighth grade.
[00:01:30.200 --> 00:01:39.020]   Eventually, rockets at SpaceX. So these are very unbounded products. And then most recently,
[00:01:39.020 --> 00:01:45.020]   I was on the design team for the Apple Vision Pro for four years. So we designed the first
[00:01:45.020 --> 00:02:01.760]   version of Vision OS. I think that AI makes products less bounded than they've ever been, right?
[00:02:01.760 --> 00:02:03.840]   You can type, you can talk, you can show images or show video just like we just saw. You can also sort of plead, you can bargain, you can confide, right?
[00:02:03.840 --> 00:02:26.500]   These are very interesting sort of input modalities. And this unboundedness often makes products unpredictable, right? Confusing, hard to understand.
[00:02:26.500 --> 00:02:45.320]   Users assume your product can do things that it can't. They try to do those things. Doesn't work. And they walk away thinking that it can't even do the things that it can't.
[00:02:45.320 --> 00:02:56.160]   When you talk to people, and specifically people that are not in this room, how they use ChatGPT, how they learn how to use it, it's often word of mouth.
[00:02:56.160 --> 00:03:03.160]   Right? So they hear one of their friends say that they used it for travel planning, and then they go use it for travel planning.
[00:03:03.160 --> 00:03:08.780]   A lot of us, a lot of us in this room, especially like people that are more technical, we often learn through trial and error, right?
[00:03:08.780 --> 00:03:13.840]   So we just keep trying, keep trying. We keep trying because we know that these models are good, right?
[00:03:13.840 --> 00:03:18.920]   We know that it's impressive. But a lot of people are not. They don't do the trial and error thing, right?
[00:03:18.920 --> 00:03:22.920]   So they try it once. That doesn't work. They don't try good.
[00:03:22.920 --> 00:03:29.920]   And so, this talk is about making good AI products.
[00:03:29.920 --> 00:03:34.920]   And to that end, I'm going to cover just three things.
[00:03:34.920 --> 00:03:44.920]   So those three things are the past, right? So how have products become more unbounded, and what has worked for unbounded products in the past?
[00:03:44.920 --> 00:03:53.920]   The present, which is AI products today. What are sort of good design patterns and bad design patterns?
[00:03:53.920 --> 00:04:03.920]   And then the third point is going to be the future, right? So again, just three things. Just the past, the present, and the future. Easy.
[00:04:03.920 --> 00:04:16.920]   So let's start with the past. So most software that we use lives on a screen, right? And you use it just by typing--
[00:04:16.920 --> 00:04:22.920]   sorry, you use it primarily by swiping, clicking, and tapping, right?
[00:04:22.920 --> 00:04:30.920]   When you click something, whatever the developer expected to happen is what happens, depending on how good of a developer you are.
[00:04:30.920 --> 00:04:35.920]   It's easy for users to understand what your app can do. They look. They see the buttons. They get it.
[00:04:35.920 --> 00:04:40.920]   It's also very easy for you to understand what your users are doing.
[00:04:40.920 --> 00:04:46.920]   You just add an amplitude or mix panel call on a button press. You see what they did.
[00:04:46.920 --> 00:04:55.920]   So if you think about one of the biggest changes to this, previous to the last two years, was multi-touch, right?
[00:04:55.920 --> 00:05:06.920]   And this is just like, instead of one pointer, you have two. But just by adding that second pointer, you get relative distance. You get rotation, right?
[00:05:06.920 --> 00:05:11.920]   And just this one little change, like, largely made the smartphone possible, right?
[00:05:11.920 --> 00:05:16.920]   Like, largely made it easy to use a screen that is that small.
[00:05:16.920 --> 00:05:20.920]   And now it's just getting crazy, right? It's like we have unbounded products everywhere.
[00:05:20.920 --> 00:05:27.920]   The products are so unbounded. You have software, you know, just freely roaming the streets of San Francisco, getting attacked by fiery mobs, right?
[00:05:27.920 --> 00:05:40.920]   So this is getting crazy. And so I want to talk a little bit about just one unbounded product that I got to work on, which is the Vision Pro.
[00:05:40.920 --> 00:05:51.920]   And what I want to talk about is just three lessons that we learned while we were designing it, lessons that I think aren't as intuitive looking from the outside in.
[00:05:51.920 --> 00:05:57.920]   So I think that unbounded products are often defined by this "what if" question.
[00:05:57.920 --> 00:06:04.920]   Like, when we were starting, it's like users get themselves into the craziest situations.
[00:06:04.920 --> 00:06:10.920]   So something as simple as, oh, well, what if someone's in the living room and then they move to the bedroom and they lay down on their bed, right?
[00:06:10.920 --> 00:06:17.920]   What should happen to your apps? If you're designing Mac OS that's on a laptop, you don't have to worry about that.
[00:06:17.920 --> 00:06:21.920]   But that's something we had to think about. And there's hundreds of more questions like this, right?
[00:06:21.920 --> 00:06:24.920]   What if someone's on a plane? What if someone's next to their friend?
[00:06:24.920 --> 00:06:31.920]   What if someone has a disability of some sort, right? Like, they cannot move. They can't move their neck. They're bedridden.
[00:06:31.920 --> 00:06:35.920]   So all of these what ifs. And I think this is, again, what defines unbounded products, right?
[00:06:35.920 --> 00:06:41.920]   All of us that are building AI products, we're constantly thinking, you know, oh, like, what if someone puts in this?
[00:06:41.920 --> 00:06:46.920]   What if someone puts in that? And there's evals, et cetera, et cetera.
[00:06:46.920 --> 00:06:55.920]   And so without structure, you just have chaos, right? You have a blank slate. You have all these what ifs, infinite world of possibilities.
[00:06:55.920 --> 00:07:03.920]   And so it's really on us as product designers to add structure. And structure is what creates clarity.
[00:07:03.920 --> 00:07:11.920]   So again, I want to talk about three ways we added structure. The first was highlighting what matters and doing it really fast.
[00:07:11.920 --> 00:07:19.920]   So the first thing you see in Vision OS is a home screen. It has apps, it has people, and it has environments.
[00:07:19.920 --> 00:07:26.920]   So those are the things that we think matter when you're using Vision OS. So they're the first thing you see.
[00:07:26.920 --> 00:07:32.920]   It might not sound that novel, and it's not. In a lot of ways, it's the same thing that happens on your iPhone.
