
[00:00:00.000 --> 00:00:04.340]   Hey, what's up everyone?
[00:00:04.340 --> 00:00:09.400]   My name is Costa and I am a machine learning engineer intern at Weights and Biases.
[00:00:09.400 --> 00:00:15.440]   I'm also a fourth year PhD student at Drexel University specializing in reinforcement learning.
[00:00:15.440 --> 00:00:19.520]   Today I want to talk about proximal policy optimization or PPO.
[00:00:19.520 --> 00:00:25.560]   PPO is a deep reinforcement learning algorithm proposed by OpenAI in 2017 and it has since
[00:00:25.560 --> 00:00:29.540]   become one of the most popular reinforcement learning algorithms.
[00:00:29.540 --> 00:00:35.800]   In today's video, we will build a PPO implementation in PyTorch from scratch, covering 11 general
[00:00:35.800 --> 00:00:37.720]   implementation details.
[00:00:37.720 --> 00:00:42.000]   You can find out where these implementation details come from by clicking on the GitHub
[00:00:42.000 --> 00:00:46.840]   permanent links in my blog post, which is linked in the video description.
[00:00:46.840 --> 00:00:50.360]   At the end of this video, you will know how to train the agents to balance a carpool with
[00:00:50.360 --> 00:00:52.520]   PPO, which is only a start.
[00:00:52.520 --> 00:00:57.360]   In the follow-up videos, we will make it work with a variety of games by making small modifications
[00:00:57.360 --> 00:01:00.360]   to today's implementation.
[00:01:00.360 --> 00:01:04.920]   The target audience of this video is intermediate to advanced reinforcement learning practitioners
[00:01:04.920 --> 00:01:09.300]   who are familiar with PyTorch and roughly how PPO works.
[00:01:09.300 --> 00:01:14.880]   If you are a beginner, a good way to start with PyTorch is to read the official tutorials.
[00:01:14.880 --> 00:01:19.760]   My personal favorite is the 16-minute blitz, which dives into the basics such as tensors
[00:01:19.760 --> 00:01:25.880]   and automatic differentiation before talking about the more advanced neural network stuff.
[00:01:25.880 --> 00:01:31.520]   To read more on RL and PPO, I highly recommend checking out Joshua Akim's OpenAI Spinning
[00:01:31.520 --> 00:01:35.800]   Up, which is a very beginner-friendly educational resource.
[00:01:35.800 --> 00:01:41.040]   For more intrigued readers, the policy gradient algorithms blog post from Lil's Log is also
[00:01:41.040 --> 00:01:43.680]   a fantastic resource.
[00:01:43.680 --> 00:01:48.320]   The first part of this video is logistics setup on quality of life developer tools such
[00:01:48.320 --> 00:01:53.200]   as ArcParse, TensorBoard, and Weights and Biases, so feel free to jump to the following
[00:01:53.200 --> 00:01:58.040]   timestamp when the implementation details actually start.
[00:01:58.040 --> 00:02:01.360]   Without further ado, let's get started.
[00:02:01.360 --> 00:02:03.480]   We will first set up the development environment.
[00:02:03.480 --> 00:02:08.400]   For my personal workflow, I usually use PyM to set up the virtualized environment, set
