
[00:00:00.000 --> 00:00:01.560]   Hello, everybody.
[00:00:01.560 --> 00:00:03.520]   It's Sam from Financial Samurai.
[00:00:03.520 --> 00:00:09.600]   And in this episode, I want to talk about the 2023 housing price forecast.
[00:00:09.600 --> 00:00:13.640]   There are definitely more bears than bulls, and I am one of them.
[00:00:13.640 --> 00:00:16.960]   But don't worry, I don't think it's gonna be that bad.
[00:00:16.960 --> 00:00:18.960]   But I don't think prices are going to go up.
[00:00:18.960 --> 00:00:27.600]   So the 2023 housing price forecast range from down 22% to up 5.4%.
[00:00:27.600 --> 00:00:32.080]   So there's no consensus, but the bias is towards the downside.
[00:00:32.080 --> 00:00:36.200]   There's also the issue of forecasting the national median home price and the price of
[00:00:36.200 --> 00:00:38.520]   your local housing market.
[00:00:38.520 --> 00:00:44.240]   While we care about the national median home price forecast, we care way more about our
[00:00:44.240 --> 00:00:46.880]   local housing market forecast.
[00:00:46.880 --> 00:00:52.560]   Personally, if I'm looking at buying houses in 2023, I'm looking for house prices that
[00:00:52.560 --> 00:00:56.600]   are trading at least 10% off its high.
[00:00:56.600 --> 00:01:02.160]   And I'm also looking for deals where, you know, maybe the sellers have to relocate to
[00:01:02.160 --> 00:01:04.660]   another part of the country or another part of the world.
[00:01:04.660 --> 00:01:06.720]   So they're more motivated to sell.
[00:01:06.720 --> 00:01:09.240]   This is especially true if you're listing during the winter.
[00:01:09.240 --> 00:01:12.960]   Or maybe the sellers are trying to sell because they went through a divorce and they just
[00:01:12.960 --> 00:01:17.320]   really couldn't care less about maximizing prices.
[00:01:17.320 --> 00:01:23.220]   And they just want to get rid of another asset, simplify life and split the proceeds.
[00:01:23.220 --> 00:01:25.920]   There are always opportunities out there, folks.
[00:01:25.920 --> 00:01:29.240]   You just have to make the effort to go search for them.
[00:01:29.240 --> 00:01:34.040]   For background, I expected the median sales price in the United States to rise by 8 to
[00:01:34.040 --> 00:01:36.360]   10% in 2022.
[00:01:36.360 --> 00:01:41.840]   My estimate was less bullish than the majority of firms expecting closer to 12 to 18% price
[00:01:41.840 --> 00:01:43.400]   increases.
[00:01:43.400 --> 00:01:48.400]   So in the fourth quarter of 2021, according to the St. Louis Fred, the median home price
[00:01:48.400 --> 00:01:51.320]   was $423,600.
[00:01:51.320 --> 00:02:00.020]   The latest pricing data available third quarter 2022 shows the median home price of $454,900
