
[00:00:00.000 --> 00:00:20.040]   Today I'm gonna talk about benchmarks as memes and this is the meme that Opus came up with when
[00:00:20.040 --> 00:00:25.380]   I was asking it what I should put as a meme and we are indeed gonna talk about how benchmarks are
[00:00:25.380 --> 00:00:31.740]   just memes that shape the most powerful tool ever created and quick background
[00:00:31.740 --> 00:00:40.200]   about me I guess I can't go forward here so we're gonna do it this way all right
[00:00:40.200 --> 00:00:49.200]   I'm Alex I lead a training consulting at every but essentially I'm very into education and AI and I
[00:00:49.200 --> 00:00:56.100]   think benchmarks are a really underrated way to educate and what I'm not talking about are these
[00:00:56.100 --> 00:01:03.000]   kinds of memes what I am talking about is the original definition of like ideas that spread
[00:01:03.000 --> 00:01:08.340]   Richard Dawkins an evolutionary biologist coined the term in the 70s Christianity democracy capitalism are
[00:01:08.340 --> 00:01:15.000]   kind of examples of ideas that spread from person to person and benchmarks are actually memes very much
[00:01:15.000 --> 00:01:21.360]   so in that way we heard Simon Wilson talk earlier today about his pelican riding a bicycle and I think
[00:01:21.360 --> 00:01:25.800]   that was a really great example because he started doing it a year ago and then that found its way
[00:01:25.800 --> 00:01:31.740]   onto Google I/O's keynote a couple weeks ago and I think how many ours and strawberries probably also
[00:01:31.740 --> 00:01:39.000]   maybe the most iconic meme them as a benchmark and now surprisingly unsurprisingly the models don't make
[00:01:39.000 --> 00:01:43.680]   that mistake anymore and I think that that's a really important part of this some benchmarks get popular
[00:01:43.680 --> 00:01:48.920]   in our memes just because their name like humanity's last exam you know that got pretty pretty big even
[00:01:48.920 --> 00:01:54.360]   though maybe more outside of AI circles but with that said we kind of have a little bit of a little bit
[00:01:54.360 --> 00:01:58.860]   of a problem how many of you guys when Claude got released a couple weeks ago looked at the benchmarks
[00:01:58.860 --> 00:02:04.440]   okay we got a few we got a few and and they've got some good benchmarks you know SWB bench pretty
[00:02:04.440 --> 00:02:10.080]   experiential you know it's tries to make what we do in real world and same with Pokemon but which we'll talk a
[00:02:10.080 --> 00:02:15.320]   little bit more about but I think some of them aren't as great and a big reason is because
[00:02:15.320 --> 00:02:20.060]   they're getting saturated benchmarks kind of like came from traditional machine learning we had a
[00:02:20.060 --> 00:02:26.600]   training set and a test set and it were structured very much like standardized tests and language models
[00:02:26.600 --> 00:02:33.560]   are really good at that and they weren't really set up for what they've become and as a result I think
[00:02:33.560 --> 00:02:38.840]   XJDR summarized this pretty well on X when Opus came out that you know they didn't look at benchmarks
[00:02:38.840 --> 00:02:43.580]   once when it dropped and officially no longer cares about the current ones and I think I fall a little
[00:02:43.580 --> 00:02:51.380]   bit into that category but in light of that there is a really big opportunity because the evals define
[00:02:51.380 --> 00:02:58.080]   what the big model providers are trying to get their models good at and that's a really big opportunity
[00:02:58.080 --> 00:03:03.740]   especially for people in the room and I think that this is kind of like a normal a normal thing this is the
[00:03:03.740 --> 00:03:09.560]   life cycle of the benchmark in my view somebody comes up with an idea and and especially uniquely a single
[00:03:09.560 --> 00:03:15.380]   person can come up with an idea that then gets adopted that idea spreads it becomes a meme and and
[00:03:15.380 --> 00:03:23.600]   the model providers then train on it or test on it until it eventually becomes saturated but that's okay and
[00:03:23.600 --> 00:03:29.480]   and I think there's some examples here and I'm not let me see if I can get my sound
[00:03:29.480 --> 00:03:39.200]   come is it coming through no all right well there is sound I promise and it is someone trying to count
[00:03:39.200 --> 00:03:45.920]   from 1 to 10 not flick you off but this is a cool benchmark that came out now that Google's got the best video
[00:03:45.920 --> 00:03:52.760]   model generated model that exists and it shows how difficult it is for somebody to count from 1 to 10
[00:03:52.760 --> 00:04:00.200]   speaking it out loud and even though it looks really really great that is a problem that is not solved
[00:04:00.200 --> 00:04:05.480]   yet but somebody's come up with this idea and I see that spreading and I see next year the models being
[00:04:05.480 --> 00:04:11.180]   better at that than ever before I think another example along the way is Pokemon we saw with the
[00:04:11.180 --> 00:04:17.480]   Claude model release as well as with the new Gemini models that they had it try and play the game of
[00:04:17.480 --> 00:04:21.920]   Pokemon and and while both needed a little bit of help and Gemini eventually got there with that help
[00:04:21.920 --> 00:04:28.520]   it's only midway up that adoption curve and an example of saturation or it's kind of like the GPT-3
[00:04:28.520 --> 00:04:33.860]   benchmarks I don't know how many of you guys remember superglue kind of from the NLP days but a lot of
[00:04:33.860 --> 00:04:40.740]   these benchmarks are not really used anymore in part because the language models got too good but one way of
[00:04:40.740 --> 00:04:47.280]   looking at this is actually that a single person can have an idea of how good is AI at this thing that I care
[00:04:47.280 --> 00:04:52.380]   about and then at the end of the journey the most powerful tool ever created it's now really great at
[00:04:52.380 --> 00:04:58.860]   that thing that I care about and so the point is that the people here the people that get that the
[00:04:58.860 --> 00:05:04.840]   people that can build benchmarks are going to shape the future and maybe the people watching online too but
[00:05:04.840 --> 00:05:09.300]   somebody here is going to make a benchmark that the models are going to test on and train on in the next
[00:05:09.300 --> 00:05:15.240]   five years and that's an incredible way that's an incredible power but that also comes with some
[00:05:15.240 --> 00:05:19.620]   responsibility it definitely can go wrong you know I know Simon talked about this a little bit before
[00:05:19.620 --> 00:05:26.820]   um but you know we saw a few weeks ago where we're chat GPT became very sycophantic how many of you
[00:05:26.820 --> 00:05:31.860]   guys tracked that we all learned about what that word meant a few weeks a few weeks ago but essentially
[00:05:31.860 --> 00:05:38.440]   chat GPT released open AI released new model that was benchmarked by thumbs up and thumbs down and
[00:05:38.440 --> 00:05:43.940]   unsurprisingly people thumbs up responses that agreed with them so you ended up with a model that got rolled
[00:05:43.940 --> 00:05:50.300]   out to millions of people that agreed with them no matter how crazy or bad their idea was which is
[00:05:50.300 --> 00:05:55.440]   problematic and I think that if we don't think about people this kind of stuff can happen and I'm still
[00:05:55.440 --> 00:06:00.760]   thinking about Toro Imai who at the start of Google IO said that we're here today to see each other in
[00:06:00.760 --> 00:06:06.100]   person and it's great to remember that people matter and so in the context of benchmarks let's not
[00:06:06.100 --> 00:06:11.940]   continue the original sin of social media which kind of treated everybody as like data points and it's like
[00:06:11.940 --> 00:06:16.380]   hey the more you look at something the more I should show you that let's make benchmarks that help
[00:06:16.380 --> 00:06:22.420]   empower people give them some agency and so for me you know this isn't a technical talk there are other
[00:06:22.420 --> 00:06:26.620]   people talking about how to make a great benchmark technically but generally I think that if you're
