
[00:00:00.000 --> 00:00:01.000]   Hello, everybody.
[00:00:01.000 --> 00:00:03.400]   It's Sam from Financial Samurai.
[00:00:03.400 --> 00:00:08.460]   And today I have a special guest with me, Sydney, my wife, to talk about an interesting
[00:00:08.460 --> 00:00:15.180]   topic I think, and that's the importance of feeling consistently uncomfortable for financial
[00:00:15.180 --> 00:00:18.600]   freedom, personal growth, and personal development.
[00:00:18.600 --> 00:00:19.600]   So say hi.
[00:00:19.600 --> 00:00:21.520]   Hello, guys.
[00:00:21.520 --> 00:00:28.000]   And welcome to this episode of the Financial Samurai podcast where we have not been recording
[00:00:28.000 --> 00:00:32.600]   a lot lately because we've been too busy trying to enjoy life a little bit more.
[00:00:32.600 --> 00:00:37.860]   So I don't know if you guys have noticed or have kept up with the news, but the state
[00:00:37.860 --> 00:00:40.880]   of Virginia is kind of blowing up.
[00:00:40.880 --> 00:00:46.560]   Racism and sexual assault allegations have befallen the governor of Virginia, the attorney
[00:00:46.560 --> 00:00:50.720]   general of Virginia, and the lieutenant governor of Virginia.
[00:00:50.720 --> 00:00:56.560]   And all this stuff just basically reminded me of all the racial and racist altercations
[00:00:56.560 --> 00:01:00.120]   I experienced growing up in Virginia for public high school and public university in the mid
[00:01:00.120 --> 00:01:01.560]   to late '90s.
[00:01:01.560 --> 00:01:05.960]   Given all that's happened in Virginia on the most senior level of government, you know
[00:01:05.960 --> 00:01:11.520]   racism in Virginia wasn't unusual decades ago when I was going to school.
[00:01:11.520 --> 00:01:15.960]   It wasn't a constant ubiquity, but I did experience some type of racist encounter about every
[00:01:15.960 --> 00:01:17.840]   tenth time I went out of the house.
[00:01:17.840 --> 00:01:19.880]   For example, here's a milder example.
[00:01:19.880 --> 00:01:25.280]   I remember I was waiting in line to go to the bathroom at a gas station off I-95 heading
[00:01:25.280 --> 00:01:26.280]   south.
[00:01:26.280 --> 00:01:29.160]   I was about to head down to the College of William & Mary.
[00:01:29.160 --> 00:01:32.680]   And a white guy behind me said, "Hey, don't you understand English?
[00:01:32.680 --> 00:01:33.680]   What are you waiting for?
[00:01:33.680 --> 00:01:34.680]   The bathroom is open."
[00:01:34.680 --> 00:01:36.400]   And I was like, "What?
[00:01:36.400 --> 00:01:37.400]   What the hell?"
[00:01:37.400 --> 00:01:40.560]   So I turned around and I said, "Look, there's actually someone in there.
[00:01:40.560 --> 00:01:42.040]   They just didn't lock the door.
[00:01:42.040 --> 00:01:45.440]   Do you understand the English that's coming out of my mouth?"
[00:01:45.440 --> 00:01:46.440]   And he was taken aback.
[00:01:46.440 --> 00:01:47.440]   He said, "Oh, okay, never mind."
[00:01:47.440 --> 00:01:50.020]   But I was ready to kick his ass and rumble.
[00:01:50.020 --> 00:01:54.880]   So the amazing thing about all these racial experiences is that it's all I ever knew
[00:01:54.880 --> 00:01:57.480]   since coming to America for high school.
[00:01:57.480 --> 00:02:01.560]   Before that I was living in Asia for 13 years in Zambia.
[00:02:01.560 --> 00:02:04.520]   And yeah, there was like racism there and all that.
[00:02:04.520 --> 00:02:07.760]   But what I knew about America is just kind of what I knew.
[00:02:07.760 --> 00:02:12.560]   I came for ninth grade and I just thought it was pretty normal to be on the receiving
[00:02:12.560 --> 00:02:16.960]   end of racial slurs or racial innuendos every so often, right?
[00:02:16.960 --> 00:02:20.320]   So I just endured and fought back as hard as I could each time.
[00:02:20.320 --> 00:02:24.840]   And yes, I got suspended a couple of times for fighting but it was worth it to defend
[00:02:24.840 --> 00:02:25.840]   my honor.
[00:02:25.840 --> 00:02:34.800]   Like all these altercations really I think built my character and my fierceness to what
[00:02:34.800 --> 00:02:35.800]   I am today.
[00:02:35.800 --> 00:02:40.320]   So kids stopped messing around with me once they felt my fist of fury.
[00:02:40.320 --> 00:02:44.800]   And after I got a job in 1999 in New York City and again when I moved to San Francisco
[00:02:44.800 --> 00:02:50.520]   in 2001, I realized that being a minority in America felt so much more comfortable in
[00:02:50.520 --> 00:02:52.240]   a diverse city.
[00:02:52.240 --> 00:02:56.800]   So my racial conflicts dropped from every 10th time I went outside in Manhattan to maybe
[00:02:56.800 --> 00:02:59.200]   every 25th time, right?
[00:02:59.200 --> 00:03:04.760]   And then in San Francisco, we've been here since 2001 and I can't remember my last racial
[00:03:04.760 --> 00:03:08.160]   conflict because we're a minority majority city.
[00:03:08.160 --> 00:03:11.360]   Do you experience any racism in San Francisco?
[00:03:11.360 --> 00:03:12.360]   In San Francisco?
[00:03:12.360 --> 00:03:13.360]   No, I don't remember.
[00:03:13.360 --> 00:03:15.840]   I don't have any situation.
[00:03:15.840 --> 00:03:18.680]   So that's great and it's kind of like, "Oh, OK.
[00:03:18.680 --> 00:03:24.760]   Actually America is not like exactly how I experienced when I was growing up in Northern
[00:03:24.760 --> 00:03:28.440]   Virginia and then in Williamsburg for college."
[00:03:28.440 --> 00:03:33.480]   And so as always, I think it's important to look at the positive side of things.
[00:03:33.480 --> 00:03:39.920]   And the positive side of racism I think is that it gave me extra strength I needed to
[00:03:39.920 --> 00:03:43.600]   endure those long work hours in banking for so many years, right?
[00:03:43.600 --> 00:03:48.400]   You remember when I first started banking in New York City, you were like my alarm clock.
[00:03:48.400 --> 00:03:54.400]   Yeah, you helped me try to wake up by 5 AM because the earliest I ever woke up before
[00:03:54.400 --> 00:03:59.320]   was like 7.30 to go to 8 AM class which I actually dropped.
[00:03:59.320 --> 00:04:05.320]   And I think racism gave me tremendous motivation to prove that I could succeed in America.
[00:04:05.320 --> 00:04:10.480]   And look, it's harder in the workplace when so few management people look like you or
[00:04:10.480 --> 00:04:12.040]   want to mentor you.
[00:04:12.040 --> 00:04:13.640]   But I was always telling myself, "You know what?
[00:04:13.640 --> 00:04:14.640]   Screw that.
[00:04:14.640 --> 00:04:15.640]   I'm going to blaze my own trail.
[00:04:15.640 --> 00:04:16.640]   I'm going to work extra hard.
[00:04:16.640 --> 00:04:19.640]   I'm going to be more energetic and entrepreneurial."
[00:04:19.640 --> 00:04:24.000]   So when I got promoted to VP at 27, it was one of the greatest feelings ever.
[00:04:24.000 --> 00:04:28.640]   It was like, "Ah, finally I got some power because nobody is going to mess with me now
[00:04:28.640 --> 00:04:34.200]   because in order to get promoted, you need to have a consensus driven committee to say,
[00:04:34.200 --> 00:04:39.760]   "Little Johnny or Little Jane or – not little, just like John or Jane.
[00:04:39.760 --> 00:04:42.600]   We give him or her our blessing."
[00:04:42.600 --> 00:04:47.040]   If you don't have a consensus on the committee, you're not getting promoted.
[00:04:47.040 --> 00:04:50.840]   And obviously, everyone wants to get promoted because it looks good and you get paid more,
[00:04:50.840 --> 00:04:51.840]   right?
[00:04:51.840 --> 00:04:55.320]   So all my contemporary colleagues were still associates, one level down and would stay
[00:04:55.320 --> 00:04:59.460]   associates usually until the age of 30 to 32.
[00:04:59.460 --> 00:05:05.340]   So despite being gone from the workforce since 2012, I still have the energy and motivation
[00:05:05.340 --> 00:05:08.020]   as I did when I was a teenager.
[00:05:08.020 --> 00:05:09.580]   I think you recognize that, right?
[00:05:09.580 --> 00:05:10.580]   For sure.
[00:05:10.580 --> 00:05:11.580]   For sure.
[00:05:11.580 --> 00:05:12.580]   OK.
[00:05:12.580 --> 00:05:17.100]   And I think it's like Iron Man's arc reactor if you ever watch Marvel comics and movies.
[00:05:17.100 --> 00:05:18.940]   It's like pulsating in my chest.
