
[00:00:00.040 --> 00:00:05.820]   Hae K're the. I
[00:00:05.820 --> 00:00:27.440]   concerned with a isn اور cable stuck skilled
[00:00:28.440 --> 00:00:34.940]   personal finance with a discussion on who should not
[00:00:34.940 --> 00:00:38.740]   have credit cards all this week. And last week, I have
[00:00:38.740 --> 00:00:41.260]   been focused on the topic of credit cards as we celebrate
[00:00:41.260 --> 00:00:45.180]   the launch of my newest course, which is called how to borrow
[00:00:45.180 --> 00:00:49.040]   money safely and never pay interest using credit cards. And
[00:00:49.040 --> 00:00:51.740]   so on Monday, of course, I shared with you one of my
[00:00:51.740 --> 00:00:54.460]   arguments and excerpt from the course called credit card debt
[00:00:54.460 --> 00:00:56.840]   is a very safe form of debt. I also
[00:00:56.880 --> 00:01:08.400]   y
[00:01:08.400 --> 00:01:26.600]   continue. I have a house,,,, yoga I say that I doку sabor legislature favors再來 STEM C De Nelson Le C L G This E Z Might
[00:01:26.680 --> 00:01:37.060]  �
[00:01:37.060 --> 00:01:38.580]   Hz sub may the cover,,,,,
[00:02:24.960 --> 00:02:35.780]   con
[00:02:35.780 --> 00:02:53.700]   particle is,TM X "� as. They. I. oh.,
[00:03:22.560 --> 00:03:22.560]   -------
[00:03:22.560 --> 00:03:22.560]   -------
[00:04:12.800 --> 00:04:12.820]   -------
[00:04:12.820 --> 00:04:12.840]   -------
[00:04:12.840 --> 00:04:12.900]   -------
[00:04:12.900 --> 00:04:13.000]   -------
[00:04:13.000 --> 00:04:13.060]   -------
[00:04:13.060 --> 00:04:13.120]   -------
[00:04:13.120 --> 00:04:13.300]   -------
[00:04:13.300 --> 00:04:13.360]   -------
[00:04:13.360 --> 00:04:13.400]   -------
[00:04:13.400 --> 00:04:13.460]   -------
[00:04:13.460 --> 00:04:13.520]   -------
[00:04:13.520 --> 00:04:13.540]   -------
[00:04:13.540 --> 00:04:13.600]   -------
[00:04:13.600 --> 00:04:13.680]   -------
[00:04:13.680 --> 00:04:13.720]   -------
[00:04:13.720 --> 00:04:13.760]   -------
[00:04:13.760 --> 00:04:13.820]   -------
[00:04:13.820 --> 00:04:14.160]   -------
[00:04:14.160 --> 00:04:14.220]   -------
[00:04:14.220 --> 00:04:14.320]   -------
[00:04:14.320 --> 00:04:14.400]   -------
[00:04:14.400 --> 00:04:14.480]   -------
[00:04:14.480 --> 00:04:14.560]   -------
[00:04:14.560 --> 00:04:14.720]   -------
[00:04:14.720 --> 00:04:14.840]   -------
[00:04:14.840 --> 00:04:15.180]   -------
[00:04:15.180 --> 00:04:15.240]   -------
[00:04:15.240 --> 00:04:15.540]   -------
[00:04:15.540 --> 00:04:15.900]   -------
[00:04:15.900 --> 00:04:16.240]   -------
[00:04:16.240 --> 00:04:16.280]   -------
[00:04:16.280 --> 00:04:16.380]   -------
[00:04:16.380 --> 00:04:16.480]   -------
[00:04:16.480 --> 00:04:16.580]   -------
[00:04:16.580 --> 00:04:16.780]   -------
[00:04:16.780 --> 00:04:16.880]   -------
[00:04:16.880 --> 00:04:17.080]   -------
[00:04:17.080 --> 00:04:17.200]   -------
[00:04:17.200 --> 00:04:17.300]   -------
[00:04:17.300 --> 00:04:17.400]   ------
[00:04:17.400 --> 00:04:17.500]   ------
[00:04:17.500 --> 00:04:17.620]   ------
[00:04:17.660 --> 00:04:44.200]   ------
[00:04:44.200 --> 00:04:47.700]   ------ in order to pay for my schoolingling and I was able to get
[00:04:47.720 --> 00:04:55.940]   through my freshman year of college without borrowing money.
[00:04:55.940 --> 00:04:56.120]   I had scholarships that covered some of my expenses.
[00:04:56.120 --> 00:04:56.240]   I had an on-campus job in my dorm that gave me a small amount of income.
[00:04:56.240 --> 00:04:56.320]   I had an on-campus job in my dorm that gave me a small amount of income.
[00:04:56.320 --> 00:05:00.980]   I had an on-campus job in my dorm that gave me a small amount of income.
[00:05:00.980 --> 00:05:01.060]   I spent my weekends doing construction work during the day, especially Saturday.
[00:05:01.060 --> 00:05:01.120]   I spent my weekends doing construction work during the day, especially Saturday.
[00:05:01.120 --> 00:05:05.620]   I spent my weekends doing construction work during the day, especially Saturday.
[00:05:05.620 --> 00:05:05.720]   I had one employer who was building an addition on his house.
[00:05:05.720 --> 00:05:05.860]   I had one employer who was building an addition on his house.
[00:05:05.860 --> 00:05:05.960]   He was also in the construction trade, and so I'd go and work with him every Saturday, in addition to some other stuff whenever I had school breaks.
[00:05:06.080 --> 00:05:26.280]   And then I also drove a bicycle rickshaw around the city where I lived on Thursday night, Friday night, and Saturday night to provide income from driving the bicycle rickshaw around.
[00:05:26.280 --> 00:05:26.420]   And then I also drove a bicycle rickshaw around the city where I lived on Thursday night, Friday night, and Saturday night to provide income from driving the bicycle rickshaw around.
[00:05:26.420 --> 00:05:26.520]   Those were my three jobs.
[00:05:26.520 --> 00:05:26.680]   Those were my three jobs.
[00:05:26.680 --> 00:05:28.420]   Those were my three jobs.
[00:05:28.420 --> 00:05:28.720]   And frankly, I was tired by the end of the year.
[00:05:28.720 --> 00:05:28.860]   And frankly, I was tired by the end of the year.
[00:05:28.860 --> 00:05:29.020]   And frankly, I was tired by the end of the year.
[00:05:29.020 --> 00:05:29.320]   And frankly, I was tired by the end of the year.
[00:05:29.320 --> 00:05:29.420]   And frankly, I was tired by the end of the year.
[00:05:29.420 --> 00:05:29.560]   And frankly, I was tired by the end of the year.
[00:05:29.560 --> 00:05:29.660]   And frankly, I was tired by the end of the year.
[00:05:29.700 --> 00:05:53.320]   a year.
[00:05:53.320 --> 00:05:53.820]   I was tired.
[00:05:53.820 --> 00:05:54.000]   I was tired.
