
[00:00:00.000 --> 00:00:19.500]   My name is Bianc. I'm the CTO and co-founder of a company called Sourcegraph. We build developer
[00:00:19.500 --> 00:00:24.900]   tools and today I want to share with you some of the observations and insights that we've had on
[00:00:24.900 --> 00:00:30.900]   the sort of like emerging skill set of how to wield coding agents. That sound good to everyone?
[00:00:30.900 --> 00:00:39.900]   All right, cool. Okay, so let's check in on the agent discourse. I don't know if you all saw this,
[00:00:39.900 --> 00:00:47.900]   but a couple days ago there were some spicy tweets about the efficacy of AI coding agents or inefficacy,
[00:00:47.900 --> 00:00:54.900]   depending on your perspective. So Jonathan Blow, who is a really talented developer, he basically
[00:00:54.900 --> 00:00:59.900]   single-handedly coded up the indie game Braid, if you're familiar with that. So he's kind of like
[00:00:59.900 --> 00:01:05.900]   god tier status in terms of coding ability. Retweeted Alex Albert, who is also someone I
[00:01:05.900 --> 00:01:10.900]   respect and admire a lot, works at Anthropic, basically claiming that all the hype around coding
[00:01:10.900 --> 00:01:17.900]   agents and code AI in general was just hype, right? There's no substance there. And then there were
[00:01:17.900 --> 00:01:22.900]   some responses, and there was kind of a spectrum of responses too. We had some other big names in the
[00:01:22.900 --> 00:01:27.900]   developer world, like Jessie Frazell. She was one of the early contributors, maintainers of Docker. She's
[00:01:27.900 --> 00:01:34.900]   also really legit. She said basically something to the effect of like, I think you're right, but you're in
[00:01:34.900 --> 00:01:40.900]   like the top 0.01% of programmers, Jonathan, for the rest of us down here in this room that aren't on
[00:01:40.900 --> 00:01:45.900]   Mount Olympus. It actually helps a lot, but not super helpful if you're really, really good. But then we also had folks like Eric S. Raymond, who is like one of the fathers of open source, who had a very spicy reply. He's basically like, look, I consider myself to be pretty decent at programming, and these things help a lot. And then the kind of my favorite one of this was actually the Top of Hacker News post that was written by
[00:01:45.900 --> 00:01:50.900]   Thomas Tacek, who is a
[00:01:50.900 --> 00:01:55.900]   Thomas Tacek, who is a really legit security engineer. Some of you may have seen this trending.
[00:01:55.900 --> 00:02:02.160]   reply is basically like, look, I consider myself to be pretty decent at programming, and these things
[00:02:02.160 --> 00:02:09.540]   help a lot. And then the kind of my favorite one of this was actually the Top of Hacker News post
[00:02:09.540 --> 00:02:18.660]   that was written by Thomas Tacek, who is a really legit security engineer. Some of you may have seen
[00:02:18.660 --> 00:02:22.980]   this trending. He was basically taking the opposite view of like, you know, there's some really smart
[00:02:22.980 --> 00:02:26.680]   people there who are very AI skeptical, but they're nuts. Like, these things are really useful.
[00:02:26.680 --> 00:02:33.220]   So I'm guessing if you're at this conference, you probably lean toward coding agents are
[00:02:33.220 --> 00:02:40.720]   substantively useful, and there's something there. I don't know. Just a guess. But I think even within
[00:02:40.720 --> 00:02:48.940]   this room, there's probably a spectrum of best practices and opinions about like where agents
[00:02:48.940 --> 00:02:56.020]   are good. You know, whether they're restricted to like small edits or like front end applications or
[00:02:56.020 --> 00:03:02.200]   weekend via coding, whether they actually work on your production code base. And I think this is just
[00:03:02.200 --> 00:03:07.760]   indicative of the dynamic technical landscape that we're in right now. And a couple months back, I read
[00:03:07.760 --> 00:03:15.240]   this blog post from this guy, Jeff Huntley. So Jeff was a senior engineer at Canva at the time. And his role
[00:03:15.240 --> 00:03:21.480]   at Canva is really interesting. He basically went around interviewing all the developers inside of
[00:03:21.480 --> 00:03:27.060]   Canva using AI tools like cursor and other things and seeing how they're using it. And he basically came
[00:03:27.060 --> 00:03:32.300]   to the conclusion that like most people were holding it wrong, which is really interesting. And he came up
[00:03:32.300 --> 00:03:37.540]   with the blog post about like all the different anti-patterns that he was seeing. But my summation
[00:03:37.540 --> 00:03:45.080]   of that blog post is like the number one mistake that people are using with coding agents right now is they're
[00:03:45.080 --> 00:03:52.480]   trying to use coding agents the same way they're using AI coding tools six months ago. And therefore, they're
[00:03:52.480 --> 00:03:57.720]   probably wrong, which is kind of crazy because normally, if you're, you know, using a tool,
[00:03:57.720 --> 00:04:04.420]   the best practices don't change in six months. Typically, the things that you learn that are good will
[00:04:04.420 --> 00:04:12.660]   still be like present and, you know, topical and relevant six months down the line. But I think we're in a
[00:04:12.660 --> 00:04:18.900]   really interesting moment in time right now. And, you know, why the sudden change? I think it's because
[00:04:18.900 --> 00:04:26.700]   of this step function transition that we've experienced in model capabilities in the past six months. So, you know,
[00:04:26.700 --> 00:04:36.700]   we've, we've all been around since the dawn of generative AI, the ancient year of 2022, right? November 2022 was
[00:04:36.700 --> 00:04:43.260]   when ChatGPT launched, right? And every year now, you know, this is now the year three, you know, three
[00:04:43.260 --> 00:04:48.900]   after ChatGPT, right? We're now living in the AI future. But I think there's already been kind of like three
[00:04:48.900 --> 00:04:56.700]   distinct waves or eras largely driven by the evolution of frontier model capabilities. And the
[00:04:56.700 --> 00:05:02.680]   model capabilities really dictate the ideal architecture that, that becomes dominant at the
[00:05:02.680 --> 00:05:09.280]   application layer. So in the GPT-3 era, all the models were text completion models, which meant all
[00:05:09.280 --> 00:05:13.540]   the applications that people were building were these like copilots or autocomplete tools. So the
[00:05:13.540 --> 00:05:19.000]   dominant UX paradigm was like, you type some stuff, it types some stuff, you type some more, and that's
[00:05:19.000 --> 00:05:25.980]   how you would interact. And then ChatGPT came along with GPT-3.5, which was InstructTuned to interact
[00:05:25.980 --> 00:05:31.960]   like a chat bot. And suddenly people realized like, oh, it's not just completing the next thing
