
[00:00:00.000 --> 00:00:00.840]   [upbeat music]
[00:00:00.840 --> 00:00:02.280]   Welcome to the Huberman Lab Podcast,
[00:00:02.280 --> 00:00:04.880]   where we discuss science and science-based tools
[00:00:04.880 --> 00:00:05.900]   for everyday life.
[00:00:05.900 --> 00:00:10.040]   I'm Andrew Huberman,
[00:00:10.040 --> 00:00:12.840]   and I'm a professor of neurobiology and ophthalmology
[00:00:12.840 --> 00:00:14.600]   at Stanford School of Medicine.
[00:00:14.600 --> 00:00:18.200]   Today is an Ask Me Anything or AMA episode,
[00:00:18.200 --> 00:00:20.880]   which is part of our premium subscriber content.
[00:00:20.880 --> 00:00:23.360]   Our premium channel was launched in order to raise support
[00:00:23.360 --> 00:00:25.640]   for the standard Huberman Lab Podcast channel,
[00:00:25.640 --> 00:00:28.200]   which still comes out once a week, every Monday,
[00:00:28.200 --> 00:00:30.460]   and of course is zero cost to consumer.
[00:00:30.460 --> 00:00:32.960]   The premium channel is also designed to support
[00:00:32.960 --> 00:00:35.200]   exciting research being done at major universities
[00:00:35.200 --> 00:00:36.940]   like Stanford and elsewhere,
[00:00:36.940 --> 00:00:40.080]   research that's done on humans that should lead to protocols
[00:00:40.080 --> 00:00:42.440]   for mental health, physical health, and performance
[00:00:42.440 --> 00:00:44.000]   in the near future.
[00:00:44.000 --> 00:00:45.080]   If you'd like to check out
[00:00:45.080 --> 00:00:46.500]   the premium channel subscription model,
[00:00:46.500 --> 00:00:49.160]   you can go to HubermanLab.com/premium,
[00:00:49.160 --> 00:00:52.320]   and there you can subscribe for $10 a month or $100 a year.
[00:00:52.320 --> 00:00:54.540]   We also have a lifetime subscriber option.
[00:00:54.540 --> 00:00:56.560]   For those of you that are already Huberman Lab Podcast
[00:00:56.560 --> 00:00:59.840]   premium subscribers, and you're watching and/or hearing this,
[00:00:59.840 --> 00:01:02.600]   please go to HubermanLab.com/premium
[00:01:02.600 --> 00:01:05.120]   and download the premium podcast feed.
[00:01:05.120 --> 00:01:06.800]   And for those of you that are not already
[00:01:06.800 --> 00:01:09.140]   Huberman Lab premium podcast subscribers,
[00:01:09.140 --> 00:01:11.760]   you will be able to hear the first 15 minutes or so
[00:01:11.760 --> 00:01:13.500]   of this episode, and hopefully that will allow you
[00:01:13.500 --> 00:01:15.040]   to discern whether or not you would like
[00:01:15.040 --> 00:01:16.780]   to become a premium subscriber.
[00:01:16.780 --> 00:01:19.760]   Without further ado, let's get to answering your questions.
[00:01:19.760 --> 00:01:22.720]   And as always, I will strive to be as accurate as possible,
[00:01:22.720 --> 00:01:27.280]   as thorough as possible, and yet as concise as possible.
[00:01:27.280 --> 00:01:29.840]   The first question is about how to improve sleep,
[00:01:29.840 --> 00:01:32.420]   in particular, how to improve deep sleep
[00:01:32.420 --> 00:01:34.620]   that is sometimes called slow wave sleep.
[00:01:34.620 --> 00:01:36.680]   This was a question that was asked by Jack Pritchard,
[00:01:36.680 --> 00:01:39.160]   and they got a lot of upvotes.
[00:01:39.160 --> 00:01:41.840]   Now, we've done multiple full length episodes
[00:01:41.840 --> 00:01:43.720]   of the Huberman Lab Podcast on sleep
[00:01:43.720 --> 00:01:45.240]   and tools to improve sleep,
[00:01:45.240 --> 00:01:48.120]   including the master your sleep episode
[00:01:48.120 --> 00:01:50.180]   and perfect your sleep episode,
[00:01:50.180 --> 00:01:52.320]   as well as a toolkit that is available
[00:01:52.320 --> 00:01:54.480]   at completely zero cost at HubermanLab.com.
[00:01:54.480 --> 00:01:57.680]   It's a downloadable PDF that lists out the behavioral tools
[00:01:57.680 --> 00:01:59.200]   and other tools that you can implement
[00:01:59.200 --> 00:02:00.760]   to improve your sleep.
[00:02:00.760 --> 00:02:02.480]   Now, Jack's question is specifically
[00:02:02.480 --> 00:02:04.720]   about how to improve deep sleep.
[00:02:04.720 --> 00:02:07.000]   He asks, I have a sleep analyzer,
[00:02:07.000 --> 00:02:09.800]   and I typically observe that I get a lot of REM sleep,
[00:02:09.800 --> 00:02:11.800]   that is rapid eye movement sleep.
[00:02:11.800 --> 00:02:14.280]   For him, he says it's 30% of his total sleep
[00:02:14.280 --> 00:02:16.620]   is rapid eye movement sleep.
[00:02:16.620 --> 00:02:21.620]   But he asks, my deep sleep is often low, around 10%.
[00:02:21.640 --> 00:02:23.800]   And I would like to know if there are any science-backed
[00:02:23.800 --> 00:02:27.620]   protocols I can use to specifically increase my deep sleep.
[00:02:27.620 --> 00:02:29.240]   Okay, so for those of you that may not know,
[00:02:29.240 --> 00:02:30.860]   what is deep sleep?
[00:02:30.860 --> 00:02:33.520]   Now, deep sleep is sometimes referred to as slow wave sleep.
[00:02:33.520 --> 00:02:35.720]   That is, slow wave sleep and deep sleep
[00:02:35.720 --> 00:02:37.800]   are sometimes used interchangeably
[00:02:37.800 --> 00:02:39.160]   to describe the same thing.
[00:02:39.160 --> 00:02:40.920]   They aren't necessarily the same thing,
[00:02:40.920 --> 00:02:44.420]   but they fall under the same mechanistic umbrella.
[00:02:44.420 --> 00:02:46.280]   What is that mechanistic umbrella?
[00:02:46.280 --> 00:02:48.880]   Well, when you go to sleep at night,
[00:02:48.880 --> 00:02:52.520]   you cycle through a number of different stages of sleep.
[00:02:52.520 --> 00:02:54.520]   And in the early part of the night,
[00:02:54.520 --> 00:02:57.880]   I would say in the first half of your night or so,
[00:02:57.880 --> 00:03:01.720]   most of your sleep is going to be slow wave deep sleep.
[00:03:01.720 --> 00:03:04.080]   But then as you transition into the second half
[00:03:04.080 --> 00:03:05.540]   of your night, more of your sleep
[00:03:05.540 --> 00:03:07.800]   will be rapid eye movement sleep.
[00:03:07.800 --> 00:03:10.520]   And that's the typical pattern that is observed
[00:03:10.520 --> 00:03:12.920]   when you're not disrupting your sleep architecture
[00:03:12.920 --> 00:03:14.640]   with things like caffeine and alcohol.
[00:03:14.640 --> 00:03:17.220]   We'll talk about caffeine and alcohol in a few minutes.
[00:03:17.220 --> 00:03:19.360]   Deep sleep, AKA slow wave sleep,
[00:03:19.360 --> 00:03:21.920]   at least for sake of this conversation,
[00:03:21.920 --> 00:03:24.560]   is vitally important in particular
[00:03:24.560 --> 00:03:26.880]   for repair of bodily tissues.
[00:03:26.880 --> 00:03:29.480]   During deep sleep, you secrete growth hormone.
[00:03:29.480 --> 00:03:32.200]   And in fact, you secrete growth hormone every night
[00:03:32.200 --> 00:03:33.400]   when you go to sleep.
[00:03:33.400 --> 00:03:35.140]   But most of that growth hormone release
[00:03:35.140 --> 00:03:39.400]   is restricted to the first half of your sleep night.
[00:03:39.400 --> 00:03:40.680]   The other feature of deep sleep
[00:03:40.680 --> 00:03:43.560]   is that the dreams that occur during deep sleep
[00:03:43.560 --> 00:03:46.480]   tend to be of a less emotional nature
[00:03:46.480 --> 00:03:48.580]   than the sorts of dreams that one experiences
[00:03:48.580 --> 00:03:50.540]   in rapid eye movement sleep.
[00:03:50.540 --> 00:03:52.940]   So just to give a broad top contour
[00:03:52.940 --> 00:03:56.460]   of what deep sleep, AKA slow wave sleep, is really about,
[00:03:56.460 --> 00:03:59.720]   it tends to occur in the first half of the night.
[00:03:59.720 --> 00:04:01.300]   It also occurs in the second half of the night,
[00:04:01.300 --> 00:04:02.380]   but in the first half of the night,
[00:04:02.380 --> 00:04:04.500]   most of your sleep is going to be occupied
[00:04:04.500 --> 00:04:07.080]   by deep sleep, AKA slow wave sleep.
[00:04:07.080 --> 00:04:09.860]   It is the time when your bodily tissues are repaired
[00:04:09.860 --> 00:04:11.760]   in part by release of growth hormone,
[00:04:11.760 --> 00:04:13.020]   which is involved in metabolism,
[00:04:13.020 --> 00:04:16.880]   but also protein synthesis, muscle repair,
[00:04:16.880 --> 00:04:19.580]   repair of all cell types and tissues.
[00:04:19.580 --> 00:04:21.080]   And during deep sleep,
[00:04:21.080 --> 00:04:22.840]   your dreams tend to be somewhat mundane,
[00:04:22.840 --> 00:04:24.840]   sometimes a little bizarre,
[00:04:24.840 --> 00:04:27.200]   but typically not very emotionally loaded.
[00:04:27.200 --> 00:04:28.360]   That can change if you're dealing
[00:04:28.360 --> 00:04:31.520]   with a lot of emotionally laden circumstances
[00:04:31.520 --> 00:04:32.740]   in your waking life.
[00:04:32.740 --> 00:04:34.900]   But in general, the sleep and dreams that occur
[00:04:34.900 --> 00:04:37.500]   in the first part of the night is deep,
[00:04:37.500 --> 00:04:40.740]   and it's not terribly emotionally ridden.
[00:04:40.740 --> 00:04:44.740]   Your body also goes through specific patterns of metabolism.
[00:04:44.740 --> 00:04:48.040]   This relates to recent findings just this last year
[00:04:48.040 --> 00:04:52.420]   in which researchers monitored the output of people's breath
[00:04:52.420 --> 00:04:55.820]   and the various metabolic factors present in the breath,
[00:04:55.820 --> 00:04:57.560]   as well as through blood draws.
[00:04:57.560 --> 00:04:58.700]   So basically doing all this
[00:04:58.700 --> 00:05:00.580]   while people are asleep in a laboratory.
[00:05:00.580 --> 00:05:02.640]   And they observed that during the first half of the night,
[00:05:02.640 --> 00:05:04.540]   while people are in deep sleep,
[00:05:04.540 --> 00:05:07.960]   their body is actually metabolizing energy very differently
[00:05:07.960 --> 00:05:10.660]   than it does in the second half of the night.
[00:05:10.660 --> 00:05:12.540]   I'll come back to this in a little while,
[00:05:12.540 --> 00:05:13.920]   but this turns out to be very important
[00:05:13.920 --> 00:05:16.120]   for establishing your metabolism
[00:05:16.120 --> 00:05:17.660]   and the way you regulate insulin
[00:05:17.660 --> 00:05:20.060]   and blood glucose during the daytime.
[00:05:20.060 --> 00:05:23.620]   So all of this is to say that getting sufficient deep sleep,
[00:05:23.620 --> 00:05:26.060]   slow wave sleep, is vitally important.
[00:05:26.060 --> 00:05:28.300]   And Jack's asking how he can increase the amount
[00:05:28.300 --> 00:05:29.420]   of deep sleep that he's getting
[00:05:29.420 --> 00:05:32.020]   because by his sleep tracking method,
[00:05:32.020 --> 00:05:34.740]   he's observing far less deep sleep
[00:05:34.740 --> 00:05:37.300]   than rapid eye movement sleep.
[00:05:37.300 --> 00:05:39.460]   Now that raises the question of how much deep sleep
[00:05:39.460 --> 00:05:41.500]   one should be getting overall.
[00:05:41.500 --> 00:05:44.180]   In general, the goal should be to balance
[00:05:44.180 --> 00:05:45.860]   the total amount of slow wave sleep
[00:05:45.860 --> 00:05:48.260]   and rapid eye movement sleep across the night.
