
[00:00:00.000 --> 00:00:19.440]   I basically dedicated my professional life towards getting developers to be able to build
[00:00:19.440 --> 00:00:26.700]   better applications and build applications better by leveraging not just individual data points,
[00:00:26.700 --> 00:00:33.360]   kind of retrieved at once, like one at a time, or summed up or group calculated averages,
[00:00:33.360 --> 00:00:38.520]   but individual data points connected by relationships, right? And today I'm going to
[00:00:38.520 --> 00:00:45.820]   talk about that applied in the world of LLMs and Gen AI. So before I do that, though, I'm going to take
[00:00:45.820 --> 00:00:49.920]   a little bit of a detour. I'm going to talk about search, the evolution of search. Everyone here in
[00:00:49.920 --> 00:00:54.720]   this room knows that the vast majority of web searches today are handled with Google, but some
[00:00:54.720 --> 00:00:59.440]   of you know that it didn't start that way. It started this way. Who here recognizes this web page?
[00:00:59.440 --> 00:01:07.440]   Right, yeah. Who here recognizes Alta Vista as a name? Like a few people, right? Back in the mid-90s,
[00:01:07.440 --> 00:01:12.600]   there was dozens of web search companies, dozens plural, like 30, 40, 50 web search companies,
[00:01:12.600 --> 00:01:19.020]   and they all used basically the same technology. They used keyword-based text search, inverted index
[00:01:19.020 --> 00:01:23.740]   type search, BM25 like, for those of you who know what that means. And it worked really, really well
[00:01:23.740 --> 00:01:31.740]   until it didn't. And the Alta Vista effect kicked in, which was the notion that you search for something,
[00:01:31.740 --> 00:01:37.660]   you got a thousand or thousands of hits back, and you have to look through page after page
[00:01:37.660 --> 00:01:43.740]   until you found the result that was relevant to you. The Alta Vista effect, you got too much back from the internet.
[00:01:43.740 --> 00:01:48.460]   That wasn't a problem in the beginning because most of the things you search for when I went onto the
[00:01:48.460 --> 00:01:52.860]   internet in the beginning got zero results back because there was no content about that on the
[00:01:52.860 --> 00:02:00.220]   internet, right? But the Alta Vista effect, too many search results, was solved by Google. This is
[00:02:00.220 --> 00:02:07.260]   Google's press release mid-2000. They talk about a billion URLs they've indexed, right? But they also
[00:02:07.260 --> 00:02:13.180]   talk about the technology that they use behind the scenes, the technology called PageRank that delivers
[00:02:13.180 --> 00:02:19.740]   the most important search results really early on. In fact, the first, the top 10 blue links on that
[00:02:19.740 --> 00:02:27.100]   first page, right? That technology, PageRank, is actually a graph algorithm, which is actually,
[00:02:27.100 --> 00:02:32.140]   it's called Eigenvector Centrality, and the innovation that Google did was applying that
[00:02:32.140 --> 00:02:39.820]   to the scale of the internet and the scale of the web, right? PageRank. That ushered in and created,
[00:02:39.820 --> 00:02:46.620]   honestly, the most valuable company on the planet for quite some while, the PageRank era, right? That
