
[00:00:00.040 --> 00:00:10.640]   care
[00:04:18.880 --> 00:04:25.320]   just
[00:04:25.320 --> 00:04:33.220]   degli ya. I, account,нес.
[00:04:48.280 --> 00:04:58.500]   establish
[00:04:58.500 --> 00:04:59.600]   I more than
[00:04:59.600 --> 00:05:13.480]  皆さん. There,,,,,,,,,
[00:06:13.060 --> 00:06:20.600]   Because
[00:06:20.600 --> 00:06:23.040]   like v
[00:06:23.040 --> 00:06:40.060]  나 por頭, and,,,,,,ement
[00:09:59.420 --> 00:09:59.580]   if you have insurance, the insurance company will send you a payment for that insurance for that claim and then you take that money and you hire a contractor to build a new roof and then eventually you move back into your house money solves the problem you can buy a plane ticket you can get in the car you can get a taxi or an uber out of town you buy you can get out if you have money now similarly money solves most problems that happen if for example the hurricane comes through and blows
[00:09:59.580 --> 00:10:00.260]   house
[00:10:00.500 --> 00:10:10.220]   when
[00:10:10.220 --> 00:10:14.320]   심 learn,,,,
[00:10:14.320 --> 00:10:26.760]   구� b grey più congr altri. You'd the work of the product. AND, and,C,C,C, chasing G,T,C, donner,doing,ritos, Lean, spirit, edge of a mission. I'm a high top the top the sub a high a fly the buy the face. The other's the set the was the is a was the is a is the will the is the is the's the is the èא�rage the composed the blasting swear the我覺得 mit the공 the
[00:10:26.760 --> 00:10:29.060]   I'm the
[00:10:29.060 --> 00:10:29.440]   I'm the
[00:10:29.440 --> 00:10:30.220]   Z blueberry X. I'm the
[00:10:30.520 --> 00:10:40.540]  zers
[00:10:40.540 --> 00:10:59.540]   może Mo I a
[00:11:00.560 --> 00:11:10.240]   Ach
[00:11:10.240 --> 00:11:28.740]   overarians
[00:11:58.800 --> 00:11:58.800]   and
[00:12:27.940 --> 00:12:27.940]   I
[00:12:27.940 --> 00:12:27.940]   I
[00:12:27.960 --> 00:12:57.080]  וא: I have just stacked 8 bundles of cash on my desk right next to my microphone. If I stack all these up, we're looking at about
[00:12:57.080 --> 00:12:57.080]   we're looking at about
[00:12:57.080 --> 00:12:57.080]   we're looking at about mmm...
[00:12:57.080 --> 00:12:57.920]   mmm...
[00:13:22.160 --> 00:13:27.360]   I guess about 18 inches of cash.
