
[00:00:00.000 --> 00:00:01.000]   [GASP]
[00:00:01.000 --> 00:00:02.000]   [GLASS BREAKING]
[00:00:02.000 --> 00:00:03.000]   [SIGH]
[00:00:03.000 --> 00:00:06.000]   Shop break-resistant glassware at wineenthusiast.com
[00:00:06.000 --> 00:00:07.000]   so you can spend more time--
[00:00:07.000 --> 00:00:08.000]   [DING]
[00:00:08.000 --> 00:00:09.000]   --and less time--
[00:00:09.000 --> 00:00:10.000]   [GLASS BREAKING]
[00:00:10.000 --> 00:00:12.000]   --ugh, I'll get the broom.
[00:00:12.000 --> 00:00:14.000]   Shop our Black Friday and Cyber Monday deals
[00:00:14.000 --> 00:00:17.000]   for the best prices of the season on wine storage, gifts,
[00:00:17.000 --> 00:00:18.000]   and more.
[00:00:18.000 --> 00:00:21.000]   Plus, get free shipping on orders of $99 and more.
[00:00:21.000 --> 00:00:24.000]   At wineenthusiast.com, we bring wine to life.
[00:00:24.000 --> 00:00:25.000]   [DING]
[00:00:25.000 --> 00:00:26.000]   Exclusions apply.
[00:00:26.000 --> 00:00:27.000]   See website for details.
[00:00:27.000 --> 00:00:28.000]   [DING]
[00:00:28.000 --> 00:00:30.000]   Today on Radical Personal Finance, it's Q&A.
[00:00:30.000 --> 00:00:34.000]   And for the first time, it's actually the live Q&A,
[00:00:34.000 --> 00:00:37.000]   where you can hear kind of that whole, you know,
[00:00:37.000 --> 00:00:40.000]   caller and host type of interaction.
[00:00:40.000 --> 00:00:41.000]   Kind of cool, huh?
[00:00:41.000 --> 00:00:44.000]   [MUSIC PLAYING]
[00:00:44.000 --> 00:01:02.000]   Welcome to the Radical Personal Finance podcast.
[00:01:02.000 --> 00:01:04.000]   My name is Joshua Sheets, and I'm your host here with you
[00:01:04.000 --> 00:01:07.000]   today to answer your questions, although I'm not actually
[00:01:07.000 --> 00:01:08.000]   answering them today.
[00:01:08.000 --> 00:01:10.000]   This show today is a little different than normal.
[00:01:10.000 --> 00:01:13.000]   This is the audio of that all-patron call
[00:01:13.000 --> 00:01:15.000]   that I did a couple weeks ago.
[00:01:15.000 --> 00:01:18.000]   This is where, as a bonus for all patrons of the show,
[00:01:18.000 --> 00:01:20.000]   I did about a two-hour Q&A.
[00:01:20.000 --> 00:01:21.000]   And this is the audio from that call.
[00:01:21.000 --> 00:01:24.000]   A lot of good questions, hopefully some good answers,
[00:01:24.000 --> 00:01:26.000]   but that's up to you to decide.
[00:01:26.000 --> 00:01:32.000]   [MUSIC PLAYING]
[00:01:32.000 --> 00:01:33.000]   Going to go ahead and release this audio.
[00:01:33.000 --> 00:01:36.000]   I was thinking about just making it a patron-only file
[00:01:36.000 --> 00:01:38.000]   or releasing it for the general public.
[00:01:38.000 --> 00:01:41.000]   I decided to go ahead and release it for the general public.
[00:01:41.000 --> 00:01:44.000]   This is a little bit different from the normal style
[00:01:44.000 --> 00:01:45.000]   of the show.
[00:01:45.000 --> 00:01:47.000]   This is not quite as polished.
[00:01:47.000 --> 00:01:50.000]   This is simply the unedited audio from the conference call.
[00:01:50.000 --> 00:01:54.000]   So this was my first time hosting a large conference call
[00:01:54.000 --> 00:01:56.000]   like this, so I was a little bit unsure of the etiquette
[00:01:56.000 --> 00:02:01.000]   of how to ask the next person to go and all of those things.
[00:02:01.000 --> 00:02:02.000]   So forgive my stumbling starts.
[00:02:02.000 --> 00:02:03.000]   I'm getting a little bit better.
[00:02:03.000 --> 00:02:06.000]   I've done three of them since then for patrons again.
[00:02:06.000 --> 00:02:08.000]   But this one, I thought it was just interesting.
[00:02:08.000 --> 00:02:09.000]   There were some interesting questions.
[00:02:09.000 --> 00:02:11.000]   I thought it'd be fun to go ahead and release to you all.
[00:02:11.000 --> 00:02:14.000]   So I'm going to release the audio for, again,
[00:02:14.000 --> 00:02:18.000]   forgive my stumbling starts and also forgive the audio quality.
[00:02:18.000 --> 00:02:20.000]   The audio quality is not up to my usual standard simply due
[00:02:20.000 --> 00:02:21.000]   to it being on a phone line.
