
[00:00:00.000 --> 00:00:09.520]   let's talk about fluoride i've already been accused of being a sunscreen denier no i actually
[00:00:09.520 --> 00:00:15.100]   believe that sunscreen exists i do occasionally use zinc oxide sunscreen a little bit i prefer
[00:00:15.100 --> 00:00:20.400]   a physical barrier because i'll wear a hat or something if i i don't tend to burn very easily
[00:00:20.400 --> 00:00:25.300]   but if i feel like i might burn i use a physical barrier um i'm being somewhat facetious here
[00:00:25.300 --> 00:00:33.560]   because people will say all sorts of things but um i did an episode about water a little bit about
[00:00:33.560 --> 00:00:39.700]   oral health certainly not the depth or expertise that you're providing today so thank you and i said
[00:00:39.700 --> 00:00:49.240]   yeah fluoride does a bunch of things my question was and remains why are we drinking fluoride but
[00:00:49.240 --> 00:00:55.100]   this relates to okay i'll tell this story briefly it's not as cool as your story i was taken to a
[00:00:55.100 --> 00:01:02.920]   dentist when i was a kid and they put me they put these like a like a mouthpiece with fluoride gel in
[00:01:02.920 --> 00:01:09.580]   it on the top and bottom and they sat me in a little wicker chair in front of a tv with cartoons and i
[00:01:09.580 --> 00:01:16.760]   hated it it tasted awful and it kind of like had this sour thing so i was probably six or seven
[00:01:16.760 --> 00:01:24.680]   so i drank it i just sucked it up drank it down turned around barfed all over the wicker chair oh my
[00:01:24.680 --> 00:01:32.060]   gosh fluoride's a poison but everything is a poison at high concentrations so most everything is a is a
[00:01:32.060 --> 00:01:37.500]   fluoride is a poison excuse me at high concentrations so i don't have anything against fluoride but it is
[00:01:37.500 --> 00:01:44.680]   a poison then the question becomes if something is not dangerous in a small dose or concentration
[00:01:44.680 --> 00:01:49.780]   what are its cumulative effects this is what this is what i have issues like people say oh going through
[00:01:49.780 --> 00:01:56.280]   the x-ray machine no big deal but what if you fly 150 times a year yes is it cumulative and so like
[00:01:56.280 --> 00:02:03.380]   the logic of the the sort of pushback from the traditional if i will uh community sucks like
[00:02:03.380 --> 00:02:07.700]   they're just not logical these are my colleagues sometimes too right just you go to the dentist to
[00:02:07.700 --> 00:02:12.560]   get an x-ray they're like running behind the the next wall put you in a lead shield and then they're
[00:02:12.560 --> 00:02:16.840]   like oh no it's no big deal well how many you know maybe how many times a year can you do this
[00:02:16.840 --> 00:02:25.780]   before it becomes ideal so my question is what is the rationale for putting fluoride in water in
[00:02:25.780 --> 00:02:32.600]   drinking water given that the contact time in the mouth is so short and then what what's the cumulative
[00:02:32.600 --> 00:02:37.320]   effect of bringing fluoride into the gut over and over and then earlier you said something and i've never
[00:02:37.320 --> 00:02:46.520]   thought about this the bones contain hydroxyapatite 60 i think you said 60 of your bone minerals are made
[00:02:46.520 --> 00:02:52.740]   from hydroxyapatite fluoride infiltrates the minerals of the teeth and replaces it so is fluoride going
[00:02:52.740 --> 00:02:58.460]   into our bones skeletal fluorosis okay so i'm not trying to paint a scary picture here but but frankly
[00:02:58.460 --> 00:03:02.840]   and people can probably tell my blood pressure goes up a little bit when people say oh you know you're
[00:03:02.840 --> 00:03:08.320]   anti-fluoride i'm not anti-fluoride but i just don't get the logic it doesn't make sense you're thinking
[00:03:08.320 --> 00:03:13.040]   critically about the about it like why would i continually bombard my system with fluoride
[00:03:13.040 --> 00:03:19.680]   at the level of the gut at the level of my bones if it's good for me tell me it's good for me but
[00:03:19.680 --> 00:03:25.460]   they're saying oh it's so that poorer populations don't have uh decaying teeth sounds like a good
[00:03:25.460 --> 00:03:32.040]   argument not even counter-arguing it but i can't piece together the logic and like most public health
[00:03:32.040 --> 00:03:40.380]   arguments i feel like neither side is is explicitly clear about what exactly they're arguing about and
