
[00:00:00.000 --> 00:00:18.640]   Okay, so PaperClub year in review. We've gone over a year, like a year and a half,
[00:00:18.640 --> 00:00:23.960]   no missed weeks, we've always done PaperClub. And it's pretty interesting, you know, I don't think
[00:00:23.960 --> 00:00:29.560]   any of us expected it to get this far, but every week for the past year and a half, we have always
[00:00:29.560 --> 00:00:34.480]   done a PaperClub Wednesday at noon. We've had a bunch of authors come share their work, people from
[00:00:34.480 --> 00:00:41.140]   Nvidia, Meta, Allen AI, Amazon Together, Ryder, bunch of authors come, we get direct one-hour sessions
[00:00:41.140 --> 00:00:45.340]   with them, they share their work, we get nice feedback, and you know, some of these have started
[00:00:45.340 --> 00:00:51.460]   to do pretty well. On average, we get about 100 people in here every session, and just for, you
[00:00:51.460 --> 00:00:59.120]   know, for information, that's like on a Wednesday, workday at noon, we have 100 people joined to discuss
[00:00:59.120 --> 00:01:06.500]   a random Paper. And some of the big ones, DeepSeek V3 had 300 live people sitting, listening to me yap
[00:01:06.500 --> 00:01:12.740]   about DeepSeek. Of course, all the other speakers do great, this is all built on volunteers, right? And
[00:01:12.740 --> 00:01:18.260]   along the way, we made many friends, and yeah, PaperClub went much further than we expected. Now,
[00:01:18.260 --> 00:01:23.840]   the launch, you know, we have to ship something, we basically have to launch at World's Fair. So,
[00:01:23.840 --> 00:01:29.480]   we're launching our test of time PaperClub. This is going to be a V2 second PaperClub. So,
[00:01:29.480 --> 00:01:33.800]   the one that we do now are Wednesday at noon, this is still sticking around, it will still be the same
[00:01:33.800 --> 00:01:38.660]   thing. Every week, we'll kind of have a paper, something that's trending, cover it, have an author,
[00:01:38.660 --> 00:01:43.220]   have our Q&A session, you know, 30 minutes of paper presentation, whether that's highlights or that's
[00:01:43.220 --> 00:01:48.320]   slides. And then we'll continue that with some discussion. But test of time PaperClub is going
[00:01:48.320 --> 00:01:52.940]   to be a little bit different, you know? So, it's more curriculum based. Basically, we take this idea of,
[00:01:52.940 --> 00:01:58.160]   what's everything that you would need to know to be a good AI engineer? What are the themes? What are the
[00:01:58.160 --> 00:02:03.800]   core papers that don't change? So, stuff like, you know, what is attention? How does sequential text
[00:02:03.800 --> 00:02:08.540]   generation work? So, what's going on in GPT-2? How do, like, optimizers work? What about, like,
[00:02:08.540 --> 00:02:14.200]   the key inference techniques, right? So, stuff like speculative decoding, flash attention, stable
[00:02:14.200 --> 00:02:19.280]   diffusion, whisper, the key papers that, you know, are the foundation of what's being built. We're going
[00:02:19.280 --> 00:02:24.040]   to kind of group those together, and session by session, we'll go over them. So, we're going to kick
[00:02:24.040 --> 00:02:29.560]   off in July and run till December. That leaves us six months. Six months is about four weeks a month,
[00:02:29.560 --> 00:02:35.140]   you know, 24 weeks. Every week, we plan to go through two to four pre-presented papers. So, you
[00:02:35.140 --> 00:02:40.240]   kind of have a bit more structure to it. There'll be presentations, but, you know, in six months, we can
[00:02:40.240 --> 00:02:46.300]   get through, like, 50 to 100 papers, and we can cover the core concepts. And every week will be kind of
