
[00:00:00.000 --> 00:00:05.320]   By my count there were around 12 underrated developments in AI over the last few days but
[00:00:05.320 --> 00:00:12.580]   they may have to stay underrated for just a moment longer because the 13th Manus AI has millions of
[00:00:12.580 --> 00:00:18.860]   people on its waitlist and maybe a hundred million people talking about it. So for just a few hours
[00:00:18.860 --> 00:00:26.980]   Gemini's new image editing feature, the rise in reward hacking, OpenAI's secret creative writing
[00:00:26.980 --> 00:00:33.040]   model and just about everything else will have to wait. To be honest Manus says a lot about the AI
[00:00:33.040 --> 00:00:40.080]   landscape for both good and ill so let's get started. Before I show you my tests and comparisons
[00:00:40.080 --> 00:00:47.920]   to Deep Research, Grok3 Deep Search and Gemini's Deep Research I want you to think to yourself about
[00:00:47.920 --> 00:00:54.260]   what the perfect hype campaign would be. For me it would start like this, call your product a glimpse
[00:00:54.260 --> 00:01:00.700]   into potential AGI. What other AI stops at generating ideas, Manus delivers results. We see it as the
[00:01:00.700 --> 00:01:05.600]   next paradigm of human-machine collaboration and potentially a glimpse into AGI. Then put your
[00:01:05.600 --> 00:01:12.320]   product behind a waitlist but give early access prioritizing those who you think might hype your
[00:01:12.320 --> 00:01:19.380]   product. A perfect outcome would be comments like this one that China reached AGI with Manus before we
[00:01:19.380 --> 00:01:25.820]   saw GPT-5. Next, create enough scarcity that invite codes are being offered as competition prizes on
[00:01:25.820 --> 00:01:31.200]   Twitter and even better if you can create stories that they are being resold for thousands of dollars
[00:01:31.200 --> 00:01:35.780]   online. If that was true I could very quickly mint it because I was given multiple invite codes.
[00:01:35.780 --> 00:01:42.280]   Of course it's also definitely wise to delay mentioning that your model is based on Claude because
[00:01:42.280 --> 00:01:48.560]   that would slightly dampen down hype and also explains why your website is blocked in China because that
[00:01:48.560 --> 00:01:54.800]   model is blocked in China. Oh and as a cherry on top mention that you have benchmarks plural but then only
[00:01:54.800 --> 00:02:01.040]   provide a single benchmark and of course while you're at it make bloody sure that that is a benchmark that you
[00:02:01.040 --> 00:02:07.720]   outperform your rivals on. Now of course with that long rant I am being awfully cheeky because Manus is actually
[00:02:07.720 --> 00:02:14.660]   fairly cool. The team behind Manus have been kind to me so it's almost a little bit rude for me to do that rant.
[00:02:14.660 --> 00:02:20.860]   But I just couldn't resist giving you a quick insight into how the hype machine works. I'm sure that every single
[00:02:20.860 --> 00:02:29.760]   industry has its own hype merchants. It's just that in a field as important to the future as AI, I don't want you guys or anyone to fall into the extremes.
[00:02:29.760 --> 00:02:34.800]   The extremes being that every new development is just one click away from automating everyone's job
[00:02:34.800 --> 00:02:40.780]   and the other extreme being that AI is just all hype and there's just literally no substance there at all.
[00:02:40.780 --> 00:02:47.040]   Just quickly though while we're on this particular Gaia benchmark which was written in part by Jan LeCun,
[00:02:47.040 --> 00:02:54.680]   famously a skeptic of LLMs, I and perhaps you are quite impressed by these scores compared to OpenAI Deep Research.
[00:02:54.680 --> 00:02:59.740]   The problem is it is a public benchmark so we are slightly reliant on trust that they didn't
[00:02:59.740 --> 00:03:10.760]   over optimize to game essentially the benchmark. For example, because the answers are public, you could keep training your model and optimizing it until it reached a certain bar on this particular benchmark.
[00:03:10.760 --> 00:03:15.780]   For the few of you who haven't actually heard of Manus AI, what is it and what does it do?
[00:03:15.780 --> 00:03:27.780]   Well, it's a bit like a combination of OpenAI's Operator and Deep Research systems. Think of Operator as an agent that can take actions on your computer, it can click things and indeed book restaurants, do that kind of thing.
[00:03:27.780 --> 00:03:44.780]   Operator can be fairly cumbersome though and require a lot of babysitting where it'll do one thing at a time and then ask you another question. In contrast, Deep Research, after clarifying your query, will go off and search, in this case, 37 sources in 14 minutes and produce a comprehensive output.
[00:03:44.780 --> 00:03:59.780]   Deep Research in particular, I think is great, but the reason that Operator and Deep Research aren't particularly popular or terribly widespread is that until very recently, they were limited to the $200 tier called the pro tier from OpenAI.
[00:03:59.780 --> 00:04:09.780]   The final bit of context comes from Claude Projects, which you may or may not be familiar with, which you can think of as interactive previews of the work you've done with Claude.
[00:04:09.780 --> 00:04:14.780]   Put all of that together and ignore every single bug and you have Manus AI.
[00:04:14.780 --> 00:04:25.780]   I asked, for example, create a simple website densely packed with text about what happened with LLMs in March 2025, lit up only by the cursor, which is acting as a flaming torch.
[00:04:25.780 --> 00:04:38.780]   Notice the model would have to do a fairly comprehensive web search a la Deep Research to find out everything that happened with LLMs in March 2025, but then also do a Claude project to make an interactive website.
[00:04:38.780 --> 00:04:51.780]   And then it would have to come up with this little window. So like OpenAI's operator, you could see it taking actions in real time. In fact, you can stop it and guide it. And when it all works, it's pretty impressive.
[00:04:51.780 --> 00:04:57.780]   Here is that website and I had to do pretty much nothing to get it working like this.
[00:04:57.780 --> 00:05:07.780]   And that is where Manus is great, tying together all of these disparate capabilities, albeit not being incredible at each of them, but tying them together into this one agent.
[00:05:07.780 --> 00:05:11.780]   But let's get a few things out of the way to dispel some false notions.
[00:05:11.780 --> 00:05:22.780]   Manus uses dozens of tools and several models, but the key model behind it as of today, according to a person with direct knowledge of the situation, according to the information, is Claude 3.7 Sonnet.
[00:05:22.780 --> 00:05:35.780]   And that model is fairly expensive and incredibly rate limited, which has led to one estimate reported in the MIT Technology Review of a per task cost of about $2 for Manus AI.
[00:05:35.780 --> 00:05:41.780]   Before we rush then and call this China's second DeepSeek moment, we've got to realize a couple of crucial disanalogies with DeepSeek.
[00:05:41.780 --> 00:05:46.780]   DeepSeek made their own model. Manus AI is a compilation of other people's models.
[00:05:46.780 --> 00:05:54.780]   And second, for me, what made the DeepSeek moment was how cheap it was and how widespread the availability was, hence it rocketing up the app charts.
[00:05:54.780 --> 00:06:01.780]   At $2 per task, if you just did, say, five tasks per day, you can just calculate what the cost would be over a month.
[00:06:02.780 --> 00:06:08.780]   And yes, this is probably why even YouTubers like me, who got early access, hit maximum daily usage limits pretty quickly.
[00:06:08.780 --> 00:06:13.780]   Tell me what you think, but no, I don't see Manus AI as the second DeepSeek moment.
[00:06:13.780 --> 00:06:15.780]   What about quality, though?
[00:06:15.780 --> 00:06:21.780]   Well, in my opinion, it does everything really quite well, but nothing at state of the art level.
[00:06:21.780 --> 00:06:31.780]   Let me give you a few examples and try to bring in comparisons with DeepSeek from OpenAI, Grok3 DeepSeek, and even Gemini's DeepSeek.
[00:06:31.780 --> 00:06:40.780]   Yes, the names are confusing, but Manus AI is multimodal in the sense you can upload an image and get it to perform a task based on that image.
[00:06:40.780 --> 00:06:44.780]   For example, I said list the founders of each company featured in this image.
[00:06:44.780 --> 00:06:49.780]   So it would have to recognize the names of the companies and then, of course, perform a kind of deep research.
[00:06:49.780 --> 00:06:55.780]   I tried this with all four of the tools I just mentioned, and I'm going to give you the results in order of speed.
[00:06:55.780 --> 00:07:01.780]   Fastest was deep research from Gemini Advanced, which told me that adding files is not available yet.
[00:07:01.780 --> 00:07:04.780]   That was done in less than one second, which is quite impressive.
[00:07:04.780 --> 00:07:11.780]   Next was Grok3 DeepSeek, which took only two and a half minutes and analyzed 344 sources.
