
[00:00:00.000 --> 00:00:05.240]   I'd like to talk a little bit about body recomposition.
[00:00:05.240 --> 00:00:08.280]   Simple question to start off.
[00:00:08.280 --> 00:00:14.700]   Is it possible to, quote unquote, gain muscle while at the same time losing fat?
[00:00:14.700 --> 00:00:16.660]   Yes.
[00:00:16.660 --> 00:00:17.620]   Great.
[00:00:17.620 --> 00:00:18.960]   That will be reassuring to people.
[00:00:18.960 --> 00:00:23.100]   Does it require a caloric deficit?
[00:00:23.100 --> 00:00:25.620]   This is the weird part.
[00:00:25.620 --> 00:00:27.060]   No, no.
[00:00:27.860 --> 00:00:30.500]   And just super interesting, man.
[00:00:30.500 --> 00:00:39.820]   My friend and colleague, Chris Barakat, he collected all the studies that witnessed this recomposition phenomenon with a recomposition.
[00:00:39.820 --> 00:00:40.600]   We call it recomp.
[00:00:40.600 --> 00:00:44.240]   You know, it's simultaneous gain in lean mass and loss in fat mass.
[00:00:44.240 --> 00:00:46.080]   So he collected all the studies.
[00:00:46.080 --> 00:00:48.420]   He collected 10 studies.
[00:00:48.420 --> 00:00:51.860]   And this review was put out five years ago.
[00:00:51.860 --> 00:00:55.100]   So you can imagine there's probably a few more studies that have shown recomp now.
[00:00:55.100 --> 00:01:03.060]   So we can say at least a dozen studies have shown this phenomenon, which we didn't necessarily think was possible like 10 years ago.
[00:01:03.060 --> 00:01:09.640]   You know, we thought, okay, you need a caloric surplus to gain muscle and you need a caloric deficit to lose fat.
[00:01:09.640 --> 00:01:22.880]   But what happened in these studies is the recomposition phenomenon is, I think, seven out of the 10 studies was a lean mass gain dominant recomposition.
[00:01:22.880 --> 00:01:27.920]   So in other words, more lean mass was gained than fat was lost.
[00:01:27.920 --> 00:01:38.800]   So there were net gains in body mass by the end of these trials, which would at least very strongly imply that fat was lost in a caloric surplus.
[00:01:38.800 --> 00:01:49.060]   If you were going to suggest to somebody the best way to approach this, let's say somebody, loosely speaking, this is not a competitive athlete.
[00:01:49.060 --> 00:01:58.680]   This could be a man or a woman, assuming that the same advice would pertain to both, is willing to do resistance training three to four times per week.
[00:01:58.680 --> 00:02:05.600]   Let's say three times per week, do some cardio three times per week for about an hour each session for those.
[00:02:06.940 --> 00:02:18.740]   And they are willing to eat maintenance calories or slightly over, and their goal is to gain some muscle and lose some fat.
[00:02:18.740 --> 00:02:23.100]   Where would you set the calories relative to their needs?
[00:02:23.100 --> 00:02:25.680]   Would it be an extra two to 500 calories?
[00:02:25.680 --> 00:02:31.220]   I realize that's hard to say because we should talk in percentages, but let's just keep it broad for sake of a broad audience.
[00:02:32.400 --> 00:02:35.640]   How much more than maintenance should somebody ingest?
[00:02:35.640 --> 00:02:38.580]   And let's assume that when they go in the gym, they know what they're doing.
[00:02:38.580 --> 00:02:41.860]   They warm up for five, 10 minutes, and then they train hard.
[00:02:41.860 --> 00:02:43.500]   They take the sets close to failure.
[00:02:43.500 --> 00:02:45.860]   They're doing, you know, three to six sets per body part.
[00:02:45.860 --> 00:02:48.660]   They're training with meaningful effort.
[00:02:48.660 --> 00:02:56.300]   And when they do their cardio, they're somewhere between zone two, and maybe they throw in a, you know, a max heart rate workout once a week.
[00:02:56.300 --> 00:02:59.680]   They do some sprints in the middle of their zone two and go back to, you know.
[00:02:59.680 --> 00:03:03.120]   So this, I think, is pretty typical of what a lot of people are willing to do or currently doing.
[00:03:03.120 --> 00:03:11.460]   I would say sort of the simple and direct answer is to try to keep the caloric surplus pretty judicious.
[00:03:11.960 --> 00:03:24.200]   So 10%-ish above maintenance conditions, which could be for somewhere between 200, possibly 300 calories above what you see as maintenance.
[00:03:24.200 --> 00:03:32.680]   And the common thread amongst these recomposition studies was that protein was very high.
[00:03:32.680 --> 00:03:37.720]   Protein was somewhere between a gram to a gram and a half per pound of body weight.
[00:03:37.920 --> 00:03:38.320]   Interesting.
