
[00:00:00.000 --> 00:00:03.160]   (soft music)
[00:00:03.160 --> 00:00:05.160]   All right, so we're gonna get started.
[00:00:05.160 --> 00:00:07.520]   This is session two, finally.
[00:00:07.520 --> 00:00:11.940]   And we're essentially looking at the second section
[00:00:11.940 --> 00:00:15.720]   in the Hugging Face official course.
[00:00:15.720 --> 00:00:18.920]   And so this week we'll be looking at...
[00:00:18.920 --> 00:00:22.880]   So last week we looked at their high level pipeline API,
[00:00:22.880 --> 00:00:25.320]   which is a really friendly,
[00:00:25.320 --> 00:00:28.200]   two or three lines of code to be able to use
[00:00:28.200 --> 00:00:32.000]   some of the core NLP tasks with raw text.
[00:00:32.000 --> 00:00:34.920]   And so we're going to be looking at this week
[00:00:34.920 --> 00:00:37.580]   how to actually do these things ourselves.
[00:00:37.580 --> 00:00:40.700]   So working with tokenizers, working with models,
[00:00:40.700 --> 00:00:44.160]   and then working with the outputs directly.
[00:00:44.160 --> 00:00:47.060]   And then we'll also take a look at Blur.
[00:00:47.060 --> 00:00:48.400]   And so, as I mentioned,
[00:00:48.400 --> 00:00:52.640]   there's at least three fast AI Hugging Face
[00:00:52.640 --> 00:00:54.720]   integration libraries.
[00:00:54.720 --> 00:00:57.160]   So Blur is one of them, that's the one I created.
[00:00:58.000 --> 00:01:01.680]   And we'll look at how it handles tokenization
[00:01:01.680 --> 00:01:03.740]   and models in a fast AI world.
[00:01:03.740 --> 00:01:06.040]   And then next week,
[00:01:06.040 --> 00:01:08.120]   we're gonna be looking at all three frameworks.
[00:01:08.120 --> 00:01:11.360]   We're gonna have folks presenting a demo
[00:01:11.360 --> 00:01:13.700]   using the same data set and task.
[00:01:13.700 --> 00:01:14.960]   So you can get an idea and feel
[00:01:14.960 --> 00:01:17.200]   for some of the design decisions,
[00:01:17.200 --> 00:01:18.560]   as well as how they work.
[00:01:18.560 --> 00:01:23.560]   And you can choose one or more to use in your own work.
[00:01:23.560 --> 00:01:26.880]   So resources again,
[00:01:27.720 --> 00:01:31.240]   the Steady Group registration page is up there.
[00:01:31.240 --> 00:01:33.400]   Hopefully we'll be back online next week
[00:01:33.400 --> 00:01:36.000]   without any disruptions.
[00:01:36.000 --> 00:01:39.080]   Until then, we have the Steady Group Discord.
[00:01:39.080 --> 00:01:42.680]   And also the presentation
[00:01:42.680 --> 00:01:45.000]   and the CoLab notebooks we'll be looking at
[00:01:45.000 --> 00:01:47.000]   will be shared at the end of this.
[00:01:47.000 --> 00:01:48.880]   So we'll share them on the Discord
[00:01:48.880 --> 00:01:53.100]   and probably also through Weights and Biases.
[00:01:53.100 --> 00:01:55.000]   Again, if you're new to fast AI,
[00:01:55.000 --> 00:01:57.360]   check out the course, check out Zach's
[00:01:57.360 --> 00:01:59.360]   Walk with Fast AI course as well.
