
[00:00:00.000 --> 00:00:04.400]   Democrats still think the currency of politics is money and the currency of politics is attention.
[00:00:04.400 --> 00:00:07.000]   And that's a huge difference between the two sides right now.
[00:00:07.000 --> 00:00:09.500]   I think the steel man is very easy to make here.
[00:00:09.500 --> 00:00:11.240]   Department of Government Efficiency.
[00:00:11.240 --> 00:00:15.560]   That sounds like an organization that's needed if government is inefficient.
[00:00:15.560 --> 00:00:20.260]   And one of the themes of our book is just how inefficient government can be.
[00:00:20.260 --> 00:00:25.300]   Not only at building houses, building energy, often at achieving its own ends.
[00:00:25.300 --> 00:00:28.140]   Building high-speed rail when it wants to build high-speed rail.
[00:00:28.320 --> 00:00:32.460]   Adding affordable housing units when it wants to add affordable housing units.
[00:00:32.460 --> 00:00:37.020]   You know, I love Ezra's line that we don't just need to think about, you know, deregulating the market.
[00:00:37.020 --> 00:00:39.800]   We need to think about deregulating government itself.
[00:00:39.800 --> 00:00:46.140]   Getting the rules out of the way that keep government from achieving the democratic outcomes that it's trying to achieve.
[00:00:46.140 --> 00:00:51.820]   This is a world in which a Department of Government Efficiency is a godsend.
[00:00:52.340 --> 00:01:01.580]   We should be absolutely obsessed with making government work well, especially if we're going to be the kind of liberals who believe that government is important in the first place.
[00:01:02.200 --> 00:01:13.140]   In my lifetime, the Democratic Party has never been as internally fragmented and weak, leaderless, rudderless, as it is right now.
[00:01:13.140 --> 00:01:14.680]   Now, it won't stay that way.
[00:01:14.680 --> 00:01:17.060]   You cannot change American politics.
[00:01:17.060 --> 00:01:21.800]   You can't change the Democratic Party if you're not willing to upset people.
[00:01:21.940 --> 00:01:25.500]   Donald Trump reformed the Republican Party by willing and able to fight Republicans.
[00:01:25.500 --> 00:01:35.140]   He ran against George W. Bush, against Jeb Bush, against Mitt Romney, against the trade deals, against a bunch of things that were understood to be sacred cows.
[00:01:35.220 --> 00:01:41.420]   Somehow this guy ran, like, right after Mitt Romney and John McCain while attacking Mitt Romney and John McCain, right?
[00:01:41.420 --> 00:01:44.260]   If you are not, like, the Democratic Party does need to change.
[00:01:44.260 --> 00:01:47.540]   It needs to attain a different form because the Obama coalition is exhausted.
[00:01:47.540 --> 00:01:48.180]   It's done.
[00:01:48.180 --> 00:01:53.480]   It's not going to be able to do that if it doesn't have standard bears who are willing to say, we were wrong about some things.
[00:01:53.480 --> 00:01:55.720]   We have to change our views on some things.
[00:01:55.720 --> 00:01:57.580]   We have to act differently and speak differently.
