
[00:00:00.000 --> 00:00:02.180]   (beeping)
[00:00:02.180 --> 00:00:10.940]   (upbeat music)
[00:00:10.940 --> 00:00:18.800]   - Welcome to Portfolio Rescue.
[00:00:18.800 --> 00:00:21.600]   Each week our audience gives us tons of questions
[00:00:21.600 --> 00:00:23.800]   and Duncan and I try to get on here,
[00:00:23.800 --> 00:00:25.800]   provide some context, research data,
[00:00:25.800 --> 00:00:27.560]   maybe a few charts, help people out.
[00:00:27.560 --> 00:00:30.840]   Duncan, our Google doc is full of questions.
[00:00:30.840 --> 00:00:32.760]   So many so that I don't know how we're gonna get to them.
[00:00:32.760 --> 00:00:34.800]   So we might have to do a Jim Cramer lightning round
[00:00:34.800 --> 00:00:35.640]   at one point.
[00:00:35.640 --> 00:00:36.480]   - Yeah, yeah, I like that.
[00:00:36.480 --> 00:00:37.960]   - And you're just gonna have to put a timer up,
[00:00:37.960 --> 00:00:39.720]   60 seconds and go.
[00:00:39.720 --> 00:00:40.560]   Remember if you have a question,
[00:00:40.560 --> 00:00:44.160]   askthecompoundshow@gmail.com.
[00:00:44.160 --> 00:00:46.680]   I've been writing about finance for almost a decade now
[00:00:46.680 --> 00:00:47.520]   and there's certain topics
[00:00:47.520 --> 00:00:48.600]   that always get people worked up.
[00:00:48.600 --> 00:00:49.600]   Taxes is one of them.
[00:00:49.600 --> 00:00:50.840]   We've mentioned that on the show before.
[00:00:50.840 --> 00:00:52.880]   The Fed, you know, my colleagues at the Fed
[00:00:52.880 --> 00:00:53.880]   always get people worked up.
[00:00:53.880 --> 00:00:55.200]   Crypto of late.
[00:00:55.200 --> 00:00:56.600]   Anything with government policy
[00:00:56.600 --> 00:00:59.680]   and how it impacts the economy or individual households.
[00:00:59.680 --> 00:01:00.800]   Here's one that surprises me.
[00:01:00.800 --> 00:01:02.520]   Individual bonds versus bond funds.
[00:01:02.520 --> 00:01:04.160]   People have very strong opinions about this.
[00:01:04.160 --> 00:01:05.680]   Maybe we'll get a question about that someday.
[00:01:05.680 --> 00:01:06.520]   And finally, housing.
[00:01:06.520 --> 00:01:08.840]   And I think that's because housing is by far
[00:01:08.840 --> 00:01:11.480]   the most emotional of all assets you can own.
[00:01:11.480 --> 00:01:14.520]   And also 2/3 of the country owns a home.
[00:01:14.520 --> 00:01:16.520]   So people like have a vested interest there
[00:01:16.520 --> 00:01:18.320]   and they have personal experience there.
