
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:06.040]   - Welcome friends to this episode
[00:00:06.040 --> 00:00:09.000]   of the "Everyday Educator" podcast.
[00:00:09.000 --> 00:00:10.800]   I'm your host, Lisa Bailey,
[00:00:10.800 --> 00:00:14.280]   and I'm excited to spend some time with you today
[00:00:14.280 --> 00:00:17.680]   as we encourage one another, learn together,
[00:00:17.680 --> 00:00:20.660]   and ponder the delights and challenges
[00:00:20.660 --> 00:00:24.240]   that make homeschooling the adventure of a lifetime.
[00:00:24.240 --> 00:00:26.420]   Whether you're just considering
[00:00:26.420 --> 00:00:28.640]   this homeschooling possibility
[00:00:28.640 --> 00:00:32.620]   or deep into the daily delight of family learning,
[00:00:32.620 --> 00:00:36.620]   I believe you'll enjoy thinking along with us.
[00:00:36.620 --> 00:00:37.940]   But don't forget,
[00:00:37.940 --> 00:00:41.540]   although this online community is awesome,
[00:00:41.540 --> 00:00:46.540]   you'll find even closer support in a local CC community.
[00:00:46.540 --> 00:00:51.460]   So go to classicalconversations.com
[00:00:51.460 --> 00:00:55.400]   and find a community near you today.
[00:00:55.400 --> 00:00:58.540]   Well, I have a question for you.
[00:00:58.540 --> 00:01:03.180]   Does your family like to travel?
[00:01:03.180 --> 00:01:07.500]   What makes travel enjoyable for you?
[00:01:07.500 --> 00:01:12.220]   Are you explorers, people who like to try new things,
[00:01:12.220 --> 00:01:14.740]   embracing the habits and the culture
[00:01:14.740 --> 00:01:17.140]   of the place you're visiting?
[00:01:17.140 --> 00:01:19.860]   Or are you experiencers,
[00:01:19.860 --> 00:01:23.620]   loving to soak in the atmosphere of a new spot,
[00:01:23.620 --> 00:01:26.060]   living like the natives?
[00:01:26.060 --> 00:01:31.060]   Are you documenters, people who like to observe and record
[00:01:31.060 --> 00:01:34.900]   and take lots of pictures of what you see
[00:01:34.900 --> 00:01:38.220]   as the similarities and differences
[00:01:38.220 --> 00:01:42.500]   between home and the travel location?
[00:01:42.500 --> 00:01:47.260]   Most of us, even self-proclaimed homebodies,
[00:01:47.260 --> 00:01:52.020]   like to see new places and try some new things.
[00:01:52.020 --> 00:01:55.220]   Many of us are able to travel with our families
[00:01:55.220 --> 00:01:59.780]   to some extent, but lots of us have bucket lists
[00:01:59.780 --> 00:02:04.780]   of places to go, some so long or so ambitious
[00:02:04.780 --> 00:02:10.300]   we might actually never go to all of them.
[00:02:10.300 --> 00:02:15.300]   Reading is a way to go farther without leaving home.
[00:02:15.300 --> 00:02:20.620]   When I was young, and actually even now that I'm not young,
[00:02:20.780 --> 00:02:25.780]   I love visiting places, strange places sometimes
[00:02:25.780 --> 00:02:28.500]   through the books I read.
[00:02:28.500 --> 00:02:32.780]   When I was little, I went to London and Paris and China
[00:02:32.780 --> 00:02:35.780]   and Jamaica and Russia.
