
[00:00:00.000 --> 00:00:06.840]   [APPLAUSE]
[00:00:06.840 --> 00:00:07.560]   OK.
[00:00:07.560 --> 00:00:09.280]   I think we're going to get started
[00:00:09.280 --> 00:00:12.320]   on our questions and answers.
[00:00:12.320 --> 00:00:15.040]   Jesse will be joining us shortly.
[00:00:15.040 --> 00:00:15.760]   Here he is.
[00:00:15.760 --> 00:00:18.600]   Come on down.
[00:00:18.600 --> 00:00:19.680]   I think one thing--
[00:00:19.680 --> 00:00:21.360]   I think we'll start with the question of,
[00:00:21.360 --> 00:00:25.640]   for people who are saving and investing now,
[00:00:25.640 --> 00:00:29.280]   how do they balance their priorities, saving
[00:00:29.280 --> 00:00:32.760]   for retirement, maybe saving for kids' college,
[00:00:32.760 --> 00:00:37.120]   for a home purchase, for their emergency fund?
[00:00:37.120 --> 00:00:38.920]   People have different priorities.
[00:00:38.920 --> 00:00:41.960]   The house is the one thing that you can buy and enjoy,
[00:00:41.960 --> 00:00:46.400]   and it generally goes up in value.
[00:00:46.400 --> 00:00:50.560]   Typically, I tell people to put their retirement ahead
[00:00:50.560 --> 00:00:55.520]   of the kid's college education.
[00:00:55.520 --> 00:00:58.240]   That's just my own personal viewpoint.
[00:00:58.240 --> 00:01:02.000]   There's a lot of discussion about funding 529
[00:01:02.000 --> 00:01:04.240]   should the kid have skin in their game.
[00:01:04.240 --> 00:01:06.880]   My answer was not a very good one.
[00:01:06.880 --> 00:01:08.720]   My parents paid for my college.
[00:01:08.720 --> 00:01:11.200]   I paid for my son's college.
[00:01:11.200 --> 00:01:15.640]   So you kind of have to have the discussion with the client
[00:01:15.640 --> 00:01:17.480]   about what their priorities are.
[00:01:17.480 --> 00:01:20.400]   And sometimes I try to shift their priorities,
[00:01:20.400 --> 00:01:24.520]   but ultimately, they have to agree to it.
[00:01:24.520 --> 00:01:26.000]   Yeah, I think that's great.
[00:01:26.000 --> 00:01:29.000]   I also love the idea of building that kind of $1,000,
[00:01:29.000 --> 00:01:32.040]   like just have like $1,000 at some point that
[00:01:32.040 --> 00:01:33.120]   is easily accessible.
[00:01:33.120 --> 00:01:35.000]   I love that idea.
[00:01:35.000 --> 00:01:39.000]   But my priority system would be get to your magic number.
[00:01:39.000 --> 00:01:42.160]   Get to that savings rate number for your future self.
[00:01:42.160 --> 00:01:44.160]   I mean, it wasn't until I actually sat across
[00:01:44.160 --> 00:01:46.360]   from people who could not retire,
[00:01:46.360 --> 00:01:48.280]   and I realized that the pain of that
[00:01:48.280 --> 00:01:53.760]   is so severe that it cannot be offset by anything purchased
[00:01:53.760 --> 00:01:57.320]   along the way, meaning that people would do anything
[00:01:57.320 --> 00:02:00.040]   to go back and change the fact that they had not
[00:02:00.040 --> 00:02:03.960]   saved enough over those decades to be able to stop working.
[00:02:03.960 --> 00:02:06.600]   So I'm sure someday one person will
[00:02:06.600 --> 00:02:09.000]   be able to give me something else that they could have
[00:02:09.000 --> 00:02:11.920]   bought that would have been more important than the ability
[00:02:11.920 --> 00:02:15.080]   to stop working, but I still have not found that yet.
[00:02:15.080 --> 00:02:17.320]   So I always put that as the number one ranking.
[00:02:17.320 --> 00:02:19.800]   And then you can kind of be in and out of credit card debt.
[00:02:19.800 --> 00:02:22.160]   Fancy free, don't save for the kids' college,
[00:02:22.160 --> 00:02:25.640]   take out tons of credit card debt and student loan debt.
[00:02:25.640 --> 00:02:28.080]   I guess that's fine, and it works,
[00:02:28.080 --> 00:02:32.480]   but maybe you won't be living and maximizing your happiness
[00:02:32.480 --> 00:02:34.440]   and utility with money.
[00:02:34.440 --> 00:02:36.640]   But I say just get that priority done.
[00:02:36.640 --> 00:02:39.800]   And then if you look at my pay yourself first kind
[00:02:39.800 --> 00:02:43.360]   of hierarchy, then second, get three to six months
[00:02:43.360 --> 00:02:45.520]   of emergency savings set aside.
[00:02:45.520 --> 00:02:47.560]   You can take about five years sometimes
[00:02:47.560 --> 00:02:49.200]   for people to build that.
[00:02:49.200 --> 00:02:51.760]   And then I believe in setting up squirrel funds.
[00:02:51.760 --> 00:02:53.800]   And so you can do that either with YNAB.
[00:02:53.800 --> 00:02:55.800]   We have a lot of clients that use
[00:02:55.800 --> 00:02:58.840]   that tool that simulates those different buckets,
[00:02:58.840 --> 00:03:01.280]   or you can actually set up your own savings
[00:03:01.280 --> 00:03:03.080]   buckets at your bank account.
[00:03:03.080 --> 00:03:05.960]   Call them different things-- vacation, home repairs,
[00:03:05.960 --> 00:03:07.240]   car repairs.
[00:03:07.240 --> 00:03:11.280]   I have a clothing savings, just all the pet savings.
[00:03:11.280 --> 00:03:12.640]   Oh my god, do you know how--
[00:03:12.640 --> 00:03:13.480]   don't get a pet.
[00:03:13.480 --> 00:03:18.600]   Forget college savings, y'all.
[00:03:18.600 --> 00:03:20.080]   I just took my dog in.
[00:03:20.080 --> 00:03:21.720]   He got Rocky Mountain spotted fever.
[00:03:21.720 --> 00:03:24.800]   We're running about $3,000 so far.
[00:03:24.800 --> 00:03:28.840]   And then I heard another guy pay $4,000 at the register.
[00:03:28.840 --> 00:03:31.200]   And another person flinched when they said $600.
[00:03:31.200 --> 00:03:33.160]   It's no-- it is crazy.
[00:03:33.160 --> 00:03:34.760]   Don't own a pet.
[00:03:34.760 --> 00:03:36.840]   There's your kid's college education right there.
[00:03:36.840 --> 00:03:39.240]   It's cute.
[00:03:39.240 --> 00:03:40.680]   Ran over.
[00:03:40.680 --> 00:03:41.720]   I don't know.
[00:03:41.720 --> 00:03:45.080]   The insurance-- the house always wins, right?
[00:03:45.080 --> 00:03:47.280]   I know, with pet insurance, house always wins.
[00:03:48.240 --> 00:03:51.120]   [INAUDIBLE]
[00:03:51.120 --> 00:03:53.160]   This is true.
[00:03:53.160 --> 00:03:54.760]   But please don't make that decision.
[00:03:54.760 --> 00:03:56.440]   SC, I've got to disagree with you.
[00:03:56.440 --> 00:03:58.200]   Dogs are wonderful.
[00:03:58.200 --> 00:04:01.640]   So that goes back to Jesse and investing thoughtfully
[00:04:01.640 --> 00:04:03.360]   for what's important to you, right?
[00:04:03.360 --> 00:04:06.600]   Yeah, I also was going to say to get rid of your dogs.
[00:04:06.600 --> 00:04:07.120]   So--
[00:04:07.120 --> 00:04:09.760]   [LAUGHTER]
[00:04:09.760 --> 00:04:11.880]   No, that was a fantastic demonstration
[00:04:11.880 --> 00:04:13.120]   of different priorities.
[00:04:13.120 --> 00:04:15.360]   I have nothing else to add.
[00:04:15.360 --> 00:04:17.440]   I'm starting with the emergency fund.
[00:04:17.440 --> 00:04:20.920]   So how should I invest my emergency fund?
[00:04:20.920 --> 00:04:23.560]   I mean, I am not nearly as experienced in the investing
[00:04:23.560 --> 00:04:24.800]   side as these three are.
[00:04:24.800 --> 00:04:28.420]   But it obviously needs to be liquid, safe, quickly
[00:04:28.420 --> 00:04:29.800]   accessible.
[00:04:29.800 --> 00:04:32.720]   Check those boxes.
[00:04:32.720 --> 00:04:35.120]   I think that money market funds are
[00:04:35.120 --> 00:04:36.560]   good for your emergency fund.
[00:04:36.560 --> 00:04:40.920]   But I also-- for people who are in a very high tax state,
[00:04:40.920 --> 00:04:43.800]   you might want to use a treasury money market fund or just
[00:04:43.800 --> 00:04:45.160]   treasury bills.
[00:04:45.160 --> 00:04:47.960]   Just buy T-bills and roll three-month T-bills
[00:04:47.960 --> 00:04:51.520]   because you don't have to pay state income tax on that.
[00:04:51.520 --> 00:04:53.400]   Something very conservative.
[00:04:53.400 --> 00:04:55.120]   Unless you have access--
[00:04:55.120 --> 00:04:58.720]   I mean, the stock funds are liquid.
