
[00:00:00.040 --> 00:00:10.620]   care
[00:00:54.480 --> 00:00:55.480]   and I'll see you next time. Bye! :D
[00:00:55.480 --> 00:00:55.480]   :D "I was inspired to create this short show for you because of the life well lived. How do you live well?" :D
[00:01:21.220 --> 00:01:21.220]   "I was inspired to create this short show for you because of the life well lived. How do you live well?" :D
[00:01:21.220 --> 00:01:21.220]   "I was inspired to create this short show for you because of the life well lived. How do you live well?" :D
[00:01:21.220 --> 00:01:21.220]   "I was inspired to create this short show for you because of the life well lived. How do you live well?" :D
[00:01:21.220 --> 00:01:21.220]   "I was inspired to create this short show for you because of the life well lived. How do you live well?" :D
[00:01:21.220 --> 00:01:21.220]   "I was inspired to create this short show for you because of the life well lived. How do you live well?" :D
[00:01:21.220 --> 00:01:21.220]   "I was inspired to create this short show for you because of the life well lived. How do you live well?" :D
[00:01:21.220 --> 00:01:21.220]   "I was inspired to create this short show for you because of the life well lived. How do you live well?" :D
[00:01:21.220 --> 00:01:46.960]  , "I was inspired to create this short show for you because of the life well lived. How do you live well?" :D
[00:01:46.960 --> 00:01:46.960]   "I was inspired to create this short show for you because of the life well lived. How do you live well?" :D
[00:01:46.960 --> 00:01:46.960]   "I was inspired to create this short show for you because of the life well lived. How do you live well?" :D
[00:01:46.960 --> 00:01:46.960]   "I was inspired to create this short show for you because of the life well lived. How do you live well?" :D
[00:01:46.960 --> 00:01:46.960]   "I was inspired to create this short show for you because of the life well lived." :D
[00:01:46.960 --> 00:01:46.960]   :D
[00:01:48.920 --> 00:02:03.180]   Again, Charlie O'Daniels writes this: "Observations on turning 82." :D
[00:02:03.180 --> 00:02:03.220]   Again, Charlie O'Daniels writes this: "Observations on turning 82." :D
[00:02:03.220 --> 00:02:03.280]   Again, Charlie O'Daniels writes this: "Observations on turning 82." :D
[00:02:03.280 --> 00:02:03.420]   Again, Charlie O'Daniels writes this: "Observations on turning 82." :D
[00:02:03.420 --> 00:02:03.680]   Again, Charlie O'Daniels writes this: "Observations on turning 82." :D
[00:02:03.680 --> 00:02:03.840]   Again, Charlie O'Daniels writes this: "Observations on turning 82." :D
[00:02:03.840 --> 00:02:03.920]   Again, Charlie O'Daniels writes this: "Observations on turning 82." :D
[00:02:03.920 --> 00:02:04.100]   Again, Charlie O'Daniels writes this: "Observations on turning 82." :D
[00:02:04.100 --> 00:02:04.220]   Again, Charlie O'Daniels writes this: "Observations on turning 82." :D
[00:02:33.180 --> 00:02:33.220]   Again, Charlie O'Daniels writes this: "Observations on turning 82." :D
[00:02:33.220 --> 00:02:33.260]   Again, Charlie O'Daniels writes this: "Observations on turning 82." :D
[00:02:33.260 --> 00:02:33.320]   Again, Charlie O'Daniels writes this: "Observations on turning 82." :D
[00:02:33.320 --> 00:02:33.380]   Again, Charlie O'Daniels writes this: "Observations on turning 82." :D
[00:02:33.380 --> 00:02:33.460]   Again, Charlie O'Daniels writes this: "Observations on turning 82." :D
[00:02:33.460 --> 00:02:33.460]   Again, Charlie OBServations on turning 82" :D
[00:03:02.500 --> 00:03:02.500]   "Observations on turning 82." :D
[00:03:02.500 --> 00:03:02.580]   Again, Charlie O'Daniels writes this: "Observations on turning 82." :D
[00:03:02.580 --> 00:03:02.660]   Again, Charlie O'Daniels writes this: "Observations on turning 82." :D
[00:03:02.660 --> 00:03:02.700]   Again, Charlie O'Daniels writes this: "Observations on turning 82." :D
