
[00:00:00.000 --> 00:00:04.000]   (Music)
[00:00:04.000 --> 00:00:08.000]   Well, last time we looked at the God-centeredness of God.
[00:00:08.000 --> 00:00:15.000]   God, with all of his heart and soul and mind and strength, loves God.
[00:00:15.000 --> 00:00:19.000]   Pastor John, you said this back in 1992, and quote,
[00:00:19.000 --> 00:00:24.000]   "God delights in his glory. He rejoices in his magnificence.
[00:00:24.000 --> 00:00:32.000]   He is not an idolater. He always has himself at the center of his infinitely worshipping heart."
[00:00:32.000 --> 00:00:34.000]   End quote. That is so good.
[00:00:34.000 --> 00:00:40.000]   That was in APJ 1901 in a sermon clip I shared last time on Wednesday.
[00:00:40.000 --> 00:00:45.000]   The God-centeredness of God provides the foundation for us to understand
[00:00:45.000 --> 00:00:51.000]   why our salvation hinges on the life and work and blood of Jesus Christ.
[00:00:51.000 --> 00:00:53.000]   It's essential.
[00:00:53.000 --> 00:00:59.000]   On the flip side of this, this God-centeredness of God is one reason why many others reject Christ.
[00:00:59.000 --> 00:01:04.000]   They simply cannot stomach the idea of a jealous God.
[00:01:04.000 --> 00:01:09.000]   Well, he is jealous. So jealous. His name is Jealous.
[00:01:09.000 --> 00:01:11.000]   Capital J Jealous we see in scripture.
[00:01:11.000 --> 00:01:18.000]   God reserves for himself the right to our exclusive worship.
[00:01:18.000 --> 00:01:21.000]   For believers, that's the greatest calling in the universe.
[00:01:21.000 --> 00:01:24.000]   But for others, this is sheer folly, Pastor John.
[00:01:24.000 --> 00:01:29.000]   And that includes Oprah Winfrey, one prominent rejecter of God's jealousy.
[00:01:29.000 --> 00:01:33.000]   For many people, divine jealousy seems defective.
[00:01:33.000 --> 00:01:35.000]   It seems immature.
[00:01:35.000 --> 00:01:39.000]   How can a great and all-sufficient God be jealous?
[00:01:39.000 --> 00:01:42.000]   Doesn't this make it sound like he's an insecure tyrant
[00:01:42.000 --> 00:01:45.000]   complaining about losing his grip on his lover?
[00:01:45.000 --> 00:01:50.000]   So, Pastor John, I know you've been giving this theme some fresh thought lately.
[00:01:50.000 --> 00:01:54.000]   Help us understand what the Bible means by God's jealousy,
[00:01:54.000 --> 00:02:01.000]   and why should this truth bring us into worship rather than repel us away from God?
[00:02:01.000 --> 00:02:04.000]   You mentioned Oprah Winfrey.
[00:02:04.000 --> 00:02:06.000]   It might be helpful to start there.
[00:02:06.000 --> 00:02:15.000]   You can go to YouTube and listen to her explain why she left traditional Christianity.
[00:02:15.000 --> 00:02:22.000]   She described being in a church service where the preacher was talking about the attributes of God,
[00:02:22.000 --> 00:02:26.000]   his omnipotence, omnipresence, and here's what she said.
[00:02:26.000 --> 00:02:28.000]   I wrote it down.
[00:02:28.000 --> 00:02:33.000]   Then he said, "The Lord thy God is a jealous God."
[00:02:33.000 --> 00:02:38.000]   I was caught up in the rapture of the moment until he said, "Jealous."
[00:02:38.000 --> 00:02:40.000]   And something struck me.
[00:02:40.000 --> 00:02:45.000]   I was 27 or 28, and I was thinking, "God is all.
[00:02:45.000 --> 00:02:47.000]   God is omnipresent.
[00:02:47.000 --> 00:02:50.000]   God is also jealous?
[00:02:50.000 --> 00:02:53.000]   A jealous God? Jealous of me?"
[00:02:53.000 --> 00:02:58.000]   And something about that didn't feel right in my spirit
[00:02:58.000 --> 00:03:05.000]   because I believe that God is love and that God is in all things.
[00:03:05.000 --> 00:03:10.000]   Now, why did she stumble over the jealousy of God?
[00:03:10.000 --> 00:03:22.000]   She doesn't say exactly why, but many have said that they are uncomfortable with the idea that God demands our affections,
