
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:08.600]   - Welcome back to the podcast and happy 2/22,
[00:00:08.600 --> 00:00:10.200]   today on this Wednesday.
[00:00:10.200 --> 00:00:15.200]   And that means that 2/22/22 is coming up later in the month
[00:00:15.200 --> 00:00:18.520]   and that date 2/22/22 happens to land
[00:00:18.520 --> 00:00:21.320]   on a Tuesday of all things.
[00:00:21.320 --> 00:00:24.320]   Speaking of dates, nearly 30 years ago,
[00:00:24.320 --> 00:00:26.400]   Pastor John delivered a lecture series
[00:00:26.400 --> 00:00:28.960]   on biblical manhood and womanhood.
[00:00:28.960 --> 00:00:30.080]   The relevance of the series
[00:00:30.080 --> 00:00:32.240]   you are about to hear for yourself.
[00:00:32.240 --> 00:00:34.720]   It was 1993, he was speaking to college students
[00:00:34.720 --> 00:00:36.280]   in Dayton, Tennessee.
[00:00:36.280 --> 00:00:38.680]   I only recently listened to the series
[00:00:38.680 --> 00:00:41.480]   and today we are gonna feature a clip from part four of it
[00:00:41.480 --> 00:00:43.320]   brought to our attention by a couple named David
[00:00:43.320 --> 00:00:46.440]   and Katerina who listened to APJ in Germany.
[00:00:46.440 --> 00:00:48.480]   Katerina wrote in to say this,
[00:00:48.480 --> 00:00:50.840]   "The other week, my husband and I celebrated
[00:00:50.840 --> 00:00:53.040]   our second wedding anniversary."
[00:00:53.040 --> 00:00:54.920]   Congratulations to you both.
[00:00:54.920 --> 00:00:56.900]   "And we went away for a weekend to refocus,
[00:00:56.900 --> 00:00:59.360]   reflecting on the year past and planning for the year ahead
[00:00:59.360 --> 00:01:01.160]   and we wanted to listen to a sermon series
[00:01:01.160 --> 00:01:03.560]   to give us something to think about and ponder.
[00:01:03.560 --> 00:01:06.020]   And this time we picked Pastor John's lecture series
[00:01:06.020 --> 00:01:08.920]   called Manhood, Womanhood and God,
[00:01:08.920 --> 00:01:13.000]   a series from 1993, almost three decades ago."
[00:01:13.000 --> 00:01:14.760]   Well, thank you.
[00:01:14.760 --> 00:01:17.640]   For the prompt, Katerina drew our attention to part four,
[00:01:17.640 --> 00:01:19.360]   especially which is titled,
[00:01:19.360 --> 00:01:22.560]   "Lovers of Truth in a Politically Correct
[00:01:22.560 --> 00:01:25.860]   and Gender Leveling World."
[00:01:25.860 --> 00:01:28.600]   She sent this clip on political correctness
[00:01:28.600 --> 00:01:32.880]   where Pastor John gives examples of slogans in his day
[00:01:32.880 --> 00:01:35.000]   back in '93, Orwellian slogans
[00:01:35.000 --> 00:01:37.860]   used to sort of bias interpretation.
[00:01:37.860 --> 00:01:40.640]   The following audio is, it's not perfect.
[00:01:40.640 --> 00:01:41.800]   We worked with it a little bit,
[00:01:41.800 --> 00:01:43.400]   but the point is very relevant.
[00:01:43.400 --> 00:01:44.640]   It's worth a listen.
[00:01:44.640 --> 00:01:48.020]   Here's Pastor John in 1993.
[00:01:48.020 --> 00:01:52.080]   - Let me read you a text from the teachings of Jesus
[00:01:52.080 --> 00:01:56.260]   that is a clarion call to you this morning
[00:01:56.260 --> 00:01:59.700]   to be courageous in speaking unpopular things.
[00:01:59.700 --> 00:02:03.060]   This comes from Matthew 10, starting in verse 24.
[00:02:03.060 --> 00:02:05.740]   "A disciple is not above his teacher,
