
[00:00:00.000 --> 00:00:02.420]   (soft music)
[00:00:02.420 --> 00:00:06.820]   - Welcome friends to this episode
[00:00:06.820 --> 00:00:09.540]   of the Everyday Educator podcast.
[00:00:09.540 --> 00:00:11.300]   I'm your host, Lisa Bailey,
[00:00:11.300 --> 00:00:15.000]   and I am excited to spend some time with you today
[00:00:15.000 --> 00:00:18.260]   as we encourage one another, learn together,
[00:00:18.260 --> 00:00:21.340]   and ponder the delights and challenges
[00:00:21.340 --> 00:00:24.820]   that make homeschooling the adventure of a lifetime.
[00:00:24.820 --> 00:00:26.900]   Whether you're just considering
[00:00:26.900 --> 00:00:29.080]   this homeschooling possibility
[00:00:29.080 --> 00:00:33.200]   or deep into the daily delight of family learning,
[00:00:33.200 --> 00:00:37.160]   I believe you'll enjoy thinking along with us.
[00:00:37.160 --> 00:00:39.040]   But don't forget,
[00:00:39.040 --> 00:00:42.500]   although this online community is awesome,
[00:00:42.500 --> 00:00:47.500]   you'll find even closer support in a local CC community.
[00:00:47.500 --> 00:00:52.200]   So go to classicalconversations.com
[00:00:52.200 --> 00:00:55.920]   and find a community near you today.
[00:00:57.060 --> 00:01:00.020]   Well, listeners, I am excited to welcome you
[00:01:00.020 --> 00:01:04.020]   to this wonderful fall day podcast
[00:01:04.020 --> 00:01:05.960]   here at the end of October.
[00:01:05.960 --> 00:01:11.520]   The end of October has always, at our house,
[00:01:11.520 --> 00:01:14.660]   been a special time in homeschooling.
[00:01:14.660 --> 00:01:17.800]   I remember when my girls were really, really young
[00:01:17.800 --> 00:01:20.500]   and we had just started homeschooling.
[00:01:20.500 --> 00:01:23.060]   Late October was that time
[00:01:23.060 --> 00:01:26.820]   when I began to get a little itchy.
[00:01:26.820 --> 00:01:31.820]   I began to think, yeah, this is going pretty well,
[00:01:31.820 --> 00:01:35.640]   but am I doing everything I'm supposed to be doing?
[00:01:35.640 --> 00:01:40.080]   Or some years, man, this is getting sort of hard
[00:01:40.080 --> 00:01:42.880]   and I feel like we might be in a rut
[00:01:42.880 --> 00:01:46.880]   and now I'm wondering, is this what I'm supposed to be doing?
[00:01:46.880 --> 00:01:49.760]   Am I doing everything I'm supposed to do?
[00:01:49.760 --> 00:01:53.120]   Are my girls getting everything they're supposed to get?
[00:01:53.980 --> 00:01:57.520]   I also know that this time of year
[00:01:57.520 --> 00:02:02.520]   is when folks who have kids that are maybe three or four
[00:02:02.520 --> 00:02:07.680]   and they're not officially homeschooling yet,
[00:02:07.680 --> 00:02:11.600]   but as the fall rolls on and the new year approaches,
[00:02:11.600 --> 00:02:15.500]   they began to think, what am I gonna do with my kids?
[00:02:15.500 --> 00:02:18.480]   Am I really gonna try this homeschooling thing?
[00:02:18.480 --> 00:02:20.720]   And what would that really look like?
[00:02:20.720 --> 00:02:25.720]   And am I able to do that and where do I even go for advice?
[00:02:25.720 --> 00:02:31.000]   And so today I have invited a good friend,
[00:02:31.000 --> 00:02:35.460]   Katie Beth Pearson, homeschooling mom
[00:02:35.460 --> 00:02:39.800]   with some experience under her belt to join me today.
[00:02:39.800 --> 00:02:43.800]   And we are gonna talk about advice, right?
[00:02:43.800 --> 00:02:49.400]   For getting started as a homeschooler,
[00:02:49.400 --> 00:02:54.400]   advice for those of you with young children
[00:02:54.400 --> 00:02:58.480]   who are wondering, am I doing it right?
[00:02:58.480 --> 00:03:00.240]   Am I doing enough?
[00:03:00.240 --> 00:03:04.880]   What's a better way to get started
[00:03:04.880 --> 00:03:09.880]   and prepare our family to love learning together so much
[00:03:09.880 --> 00:03:13.040]   that we can stick it out till the very end.
[00:03:13.040 --> 00:03:16.400]   Katie Beth, thank you so much for joining me today.
[00:03:16.400 --> 00:03:18.320]   - Oh, thank you for inviting me, Lisa.
[00:03:18.320 --> 00:03:19.720]   This is quite the honor.
[00:03:19.720 --> 00:03:20.560]   I appreciate it.
[00:03:20.560 --> 00:03:22.720]   - Well, every time I talk to you about homeschooling,
[00:03:22.720 --> 00:03:26.560]   I feel like our enthusiasm feeds off of each other.
[00:03:26.560 --> 00:03:31.560]   And I thought, what better way to encourage some moms
[00:03:31.560 --> 00:03:35.200]   and dads who may be having a few qualms
[00:03:35.200 --> 00:03:38.600]   or even if things are going great.
[00:03:38.600 --> 00:03:41.040]   And this happened to me sometimes in the early years,
[00:03:41.040 --> 00:03:43.600]   things would be going along really smoothly
[00:03:43.600 --> 00:03:48.200]   and I would begin to think, but as there's something else,
[00:03:48.200 --> 00:03:50.160]   this seems too easy.
[00:03:50.160 --> 00:03:52.080]   Something must be wrong.
[00:03:52.080 --> 00:03:55.920]   Is there something else I'm supposed to be thinking?
[00:03:55.920 --> 00:04:00.080]   So I just thought we would put everybody's mind at rest
[00:04:00.080 --> 00:04:02.800]   and hey, maybe give people something new
[00:04:02.800 --> 00:04:04.720]   to think about to boot.
[00:04:04.720 --> 00:04:06.960]   - Absolutely, yeah.
[00:04:06.960 --> 00:04:08.160]   - Let me ask you this.
[00:04:08.160 --> 00:04:12.000]   How long have you homeschooled?
[00:04:13.560 --> 00:04:18.560]   - I love that question because I like to say
[00:04:18.560 --> 00:04:22.320]   I've homeschooled since I became a mother, right?
[00:04:22.320 --> 00:04:28.040]   Because education is not just about the academics.
[00:04:28.040 --> 00:04:32.920]   So I absolutely take credit in teaching my daughters to walk
[00:04:32.920 --> 00:04:37.000]   and in potty training them because I was teaching them,
[00:04:37.000 --> 00:04:38.700]   teaching them table manners.
[00:04:39.540 --> 00:04:44.540]   But how long have I taken on the sole responsibility
[00:04:44.540 --> 00:04:49.780]   of educating my children academically
[00:04:49.780 --> 00:04:54.420]   was six weeks into pre-K for my first child.
[00:04:54.420 --> 00:05:00.020]   I always knew the second we found out we were pregnant
[00:05:00.020 --> 00:05:01.560]   and we were starting our family,
[00:05:01.560 --> 00:05:04.440]   I always knew I wanted to homeschool my kids.
[00:05:05.640 --> 00:05:10.640]   But I did not feel equipped to teach them the basics.
[00:05:10.640 --> 00:05:16.840]   The squiggly line here is an M
[00:05:16.840 --> 00:05:21.140]   or this bumpy shape right here is the number three
[00:05:21.140 --> 00:05:22.820]   and what that meant.
[00:05:22.820 --> 00:05:27.480]   So I felt like I could just outsource their academics
[00:05:27.480 --> 00:05:31.680]   for the first few years and let somebody else take control
[00:05:31.680 --> 00:05:35.520]   of giving them those foundational bits of knowledge
[00:05:35.520 --> 00:05:37.960]   and then I could take it from there.
[00:05:37.960 --> 00:05:40.380]   You know, the Lord just grabs you by the heart
[00:05:40.380 --> 00:05:44.280]   and tells you, "Ma'am, when I convict you of something,
[00:05:44.280 --> 00:05:47.600]   "I don't mean for you to outsource that."
[00:05:47.600 --> 00:05:52.160]   And so about six weeks into pre-K,
[00:05:52.160 --> 00:05:58.040]   I was humbled and utterly exhausted from the routine
[00:05:58.040 --> 00:06:02.380]   of taking my child to preschool
[00:06:02.380 --> 00:06:05.400]   and I had a brand new baby on my hip at the time
[00:06:05.400 --> 00:06:10.400]   and it was just, I was putting in more work emotionally
[00:06:10.400 --> 00:06:15.520]   and time-wise just for her to go to a preschool
[00:06:15.520 --> 00:06:20.240]   and I wasn't seeing any kind of emotional return
[00:06:20.240 --> 00:06:21.080]   from my daughter.
[00:06:21.080 --> 00:06:23.000]   She was exhausted.
[00:06:23.000 --> 00:06:26.760]   She was not necessarily enjoying the time.
[00:06:26.760 --> 00:06:29.600]   I wasn't enjoying it and I missed her
[00:06:29.600 --> 00:06:31.880]   'cause she was a cool person
[00:06:31.880 --> 00:06:34.460]   and it was that time when I was like,
[00:06:34.460 --> 00:06:37.220]   "Okay, I guess I'll share you with somebody else now."
