
[00:00:00.000 --> 00:00:02.000]   Hello, I'm Chris.
[00:00:02.000 --> 00:00:05.760]   You might remember me from the transfer learning video.
[00:00:05.760 --> 00:00:06.840]   Well, I'm back.
[00:00:06.840 --> 00:00:09.440]   And I'm super excited, because in most of the videos
[00:00:09.440 --> 00:00:12.800]   up until this point, we haven't actually deployed a model.
[00:00:12.800 --> 00:00:15.440]   But today, we're going to build a model from scratch
[00:00:15.440 --> 00:00:19.800]   and deploy it into a web browser where we can actually use it.
[00:00:19.800 --> 00:00:22.000]   And this model is especially cool,
[00:00:22.000 --> 00:00:25.320]   because it is going to be able to detect emotion.
[00:00:25.320 --> 00:00:28.160]   So we're actually making something that could be useful.
[00:00:28.160 --> 00:00:32.000]   I personally sometimes struggle knowing how I feel.
[00:00:32.000 --> 00:00:35.000]   But now, finally, a machine can tell me
[00:00:35.000 --> 00:00:38.600]   with a high degree of accuracy exactly what my feelings are.
[00:00:38.600 --> 00:00:39.720]   So let's dig into it.
[00:00:39.720 --> 00:00:43.560]   So inside the emotion classifier directory of videos
[00:00:43.560 --> 00:00:47.560]   in the ML class project, you can see train.py.
[00:00:47.560 --> 00:00:50.160]   Train.py is a pretty simple script.
[00:00:50.160 --> 00:00:52.000]   We're pulling in a couple Keras layers,
[00:00:52.000 --> 00:00:54.200]   setting up some configuration parameters.
[00:00:54.200 --> 00:00:56.140]   And then we have this custom callback,
[00:00:56.140 --> 00:00:59.440]   which is going to tell us how long the model is actually
[00:00:59.440 --> 00:01:01.080]   taking to perform inference.
[00:01:01.080 --> 00:01:05.160]   So we can do some performance monitoring, as well as
[00:01:05.160 --> 00:01:08.360]   monitoring on the metrics that we're trying to measure.
[00:01:08.360 --> 00:01:11.520]   This function simply loads the data, which in this case,
[00:01:11.520 --> 00:01:16.320]   the data is black and white images of people making
[00:01:16.320 --> 00:01:18.160]   seven different emotions.
[00:01:18.160 --> 00:01:19.480]   Here, we load the data.
[00:01:19.480 --> 00:01:20.720]   We normalize it.
[00:01:20.720 --> 00:01:24.280]   And currently, we have a really simple perceptron
[00:01:24.280 --> 00:01:27.920]   that is simply outputting seven different numbers, which
[00:01:27.920 --> 00:01:32.400]   will be the probabilities of the emotions anger, disgust, fear,
[00:01:32.400 --> 00:01:35.720]   happiness, sad, surprise, and neutral.
[00:01:35.720 --> 00:01:37.360]   Finally, after we finish training,
[00:01:37.360 --> 00:01:39.760]   we're going to save our model so that we can use it later
[00:01:39.760 --> 00:01:42.160]   and deploy it to the web.
[00:01:42.160 --> 00:01:43.760]   So let's go ahead and run train.py.
[00:01:43.760 --> 00:01:50.560]   Takes a second to load the data.
[00:01:50.560 --> 00:01:53.040]   But we can watch live progress in the Weights and Biases
[00:01:53.040 --> 00:01:55.200]   interface.
[00:01:55.200 --> 00:01:57.040]   So for this model, let's go ahead and dig in
