
[00:00:00.000 --> 00:00:06.280]   Welcome back everyone.
[00:00:06.280 --> 00:00:08.820]   This is the sixth and final screencast
[00:00:08.820 --> 00:00:10.680]   in our series on methods and metrics.
[00:00:10.680 --> 00:00:12.900]   We're going to talk about model evaluation.
[00:00:12.900 --> 00:00:15.300]   This is a high-level discussion that is directly
[00:00:15.300 --> 00:00:18.900]   oriented toward helping you with your final project work.
[00:00:18.900 --> 00:00:21.940]   Here's an overview. We're going to talk about baselines.
[00:00:21.940 --> 00:00:24.260]   What are they? Why are they important?
[00:00:24.260 --> 00:00:26.300]   We'll talk about the trials and
[00:00:26.300 --> 00:00:28.620]   tribulations of hyperparameter optimization
[00:00:28.620 --> 00:00:30.120]   and why it's important.
[00:00:30.120 --> 00:00:32.720]   We'll think about classifier comparison,
[00:00:32.720 --> 00:00:34.100]   a common mode to be in as
[00:00:34.100 --> 00:00:36.620]   you're evaluating systems and hypotheses.
[00:00:36.620 --> 00:00:38.520]   Then we'll talk about two things that are
[00:00:38.520 --> 00:00:40.960]   really particular to the deep learning era.
[00:00:40.960 --> 00:00:43.460]   How to assess models that don't converge in
[00:00:43.460 --> 00:00:46.460]   any strict sense and also the role of
[00:00:46.460 --> 00:00:48.660]   random parameter initialization in
[00:00:48.660 --> 00:00:51.800]   the performance of our biggest models.
[00:00:51.800 --> 00:00:54.180]   Let's start with baselines.
[00:00:54.180 --> 00:00:55.380]   We take this for granted,
[00:00:55.380 --> 00:00:58.500]   but this is actually pretty important conceptually.
[00:00:58.500 --> 00:01:01.520]   Here's a fundamental observation about baselines.
[00:01:01.520 --> 00:01:03.980]   Evaluation numbers in our field can
[00:01:03.980 --> 00:01:06.820]   never be understood properly in isolation.
[00:01:06.820 --> 00:01:09.740]   Suppose your system gets 0.95 F1,
[00:01:09.740 --> 00:01:11.520]   you feel overjoyed,
[00:01:11.520 --> 00:01:14.700]   but the first question reviewers will ask you is,
[00:01:14.700 --> 00:01:16.280]   is the task too easy?
[00:01:16.280 --> 00:01:19.600]   How do simple baselines do on the problem?
[00:01:19.600 --> 00:01:24.260]   Conversely, suppose your system gets 0.6 and you feel
[00:01:24.260 --> 00:01:26.500]   in despair because you
[00:01:26.500 --> 00:01:28.220]   feel like you haven't had a success here,
[00:01:28.220 --> 00:01:30.020]   but the next question should be,
[00:01:30.020 --> 00:01:31.180]   how do humans do?
[00:01:31.180 --> 00:01:33.780]   They're presumably a upper bound.
[00:01:33.780 --> 00:01:36.180]   If it's a hard task or a noisy task,
[00:01:36.180 --> 00:01:38.540]   human performance might be close to 0.61 and
[00:01:38.540 --> 00:01:41.380]   you might really have achieved something meaningful there.
[00:01:41.380 --> 00:01:43.520]   It's baseline models and in that case,
[00:01:43.520 --> 00:01:46.660]   Oracle models that are helping us to understand.
[00:01:46.660 --> 00:01:51.180]   Baselines are also crucial for strong experimental design.
[00:01:51.180 --> 00:01:54.940]   Defining your baseline should not be some afterthought,
[00:01:54.940 --> 00:01:56.640]   but rather central to how you
[00:01:56.640 --> 00:01:58.800]   define your overall hypotheses.
[00:01:58.800 --> 00:02:01.160]   Think about simple systems,
[00:02:01.160 --> 00:02:03.860]   think about ablations of your target system and
[00:02:03.860 --> 00:02:05.780]   incorporate those into your thinking
[00:02:05.780 --> 00:02:07.580]   about the comparisons that you'll make.
[00:02:07.580 --> 00:02:10.060]   Baselines are really just one aspect
[00:02:10.060 --> 00:02:12.820]   of the comparisons we want to offer.
[00:02:12.820 --> 00:02:16.640]   Baselines are essential for building a persuasive case.
[00:02:16.640 --> 00:02:18.660]   We saw that in my two examples there.
[00:02:18.660 --> 00:02:22.020]   To really understand and calibrate on what you achieved,
[00:02:22.020 --> 00:02:26.100]   we need some baselines to calibrate all of that stuff.
[00:02:26.100 --> 00:02:28.640]   They can also be used to illuminate
[00:02:28.640 --> 00:02:30.860]   specific aspects of the problem
[00:02:30.860 --> 00:02:33.720]   and specific virtues of your proposed system.
[00:02:33.720 --> 00:02:35.180]   That often falls under the heading
[00:02:35.180 --> 00:02:36.740]   of ablations of your system.
[00:02:36.740 --> 00:02:38.920]   Those are baselines that remove
[00:02:38.920 --> 00:02:41.220]   crucial features or components
[00:02:41.220 --> 00:02:43.420]   and test the model with the same protocol.
[00:02:43.420 --> 00:02:45.180]   Then the distance between
[00:02:45.180 --> 00:02:49.420]   your chosen model and the ablated model is a estimate of
[00:02:49.420 --> 00:02:50.920]   the importance of
[00:02:50.920 --> 00:02:54.580]   the ablated component to the overall system performance.
[00:02:54.580 --> 00:02:56.940]   Crucial aspect of arguing and
[00:02:56.940 --> 00:03:00.140]   supporting hypotheses and everything else.
[00:03:00.140 --> 00:03:05.340]   Random baselines are really useful for many purposes.
[00:03:05.340 --> 00:03:07.700]   First, they can provide a really true lower
[00:03:07.700 --> 00:03:10.460]   bound on how systems can do on your problem.
[00:03:10.460 --> 00:03:12.780]   Sometimes they are surprisingly robust,
[00:03:12.780 --> 00:03:14.780]   and so it's worth running these early.
[00:03:14.780 --> 00:03:18.340]   I think also they can help you fully debug your system.
[00:03:18.340 --> 00:03:20.300]   These are probably lightweight models that do
[00:03:20.300 --> 00:03:22.740]   relatively little processing and can make
[00:03:22.740 --> 00:03:24.660]   sure that everything is functioning
[00:03:24.660 --> 00:03:26.700]   and makes sense and all that other stuff.
[00:03:26.700 --> 00:03:28.820]   Scikit-learn again has you covered.
[00:03:28.820 --> 00:03:31.620]   They have dummy classifier and dummy regressor.
[00:03:31.620 --> 00:03:35.100]   They have different ways of acting as random models,
[00:03:35.100 --> 00:03:36.740]   and I think this is really useful to
[00:03:36.740 --> 00:03:39.860]   set up early in your process.
[00:03:39.860 --> 00:03:43.620]   You could also think about task specific baselines.
[00:03:43.620 --> 00:03:45.220]   This might require real thought
[00:03:45.220 --> 00:03:47.420]   and real study in the literature.
[00:03:47.420 --> 00:03:50.500]   Does your problem suggest a baseline that will reveal
[00:03:50.500 --> 00:03:53.500]   something about the problem or the way it's modeled?
[00:03:53.500 --> 00:03:57.100]   If so, you should have one of these task specific baselines.
[00:03:57.100 --> 00:03:59.860]   Here are two recent examples from NLU.
[00:03:59.860 --> 00:04:02.220]   The first one is natural language inference.
[00:04:02.220 --> 00:04:04.500]   People discovered that so-called
[00:04:04.500 --> 00:04:08.100]   hypothesis only baselines can be very strong.
[00:04:08.100 --> 00:04:09.900]   The reason this happens is that
[00:04:09.900 --> 00:04:12.100]   in the underlying crowdsourcing effort,
[00:04:12.100 --> 00:04:14.540]   crowd workers were given premise sentences
[00:04:14.540 --> 00:04:16.700]   and asked to construct three hypotheses,
[00:04:16.700 --> 00:04:18.420]   one for neutral, one for
[00:04:18.420 --> 00:04:20.780]   contradiction, and one for entailment.
[00:04:20.780 --> 00:04:22.860]   In that process of construction,
[00:04:22.860 --> 00:04:25.940]   they did some systematic things that convey
[00:04:25.940 --> 00:04:27.940]   information about the label
[00:04:27.940 --> 00:04:30.620]   inadvertently through the hypothesis.
[00:04:30.620 --> 00:04:33.540]   For example, many contradictions involve
[00:04:33.540 --> 00:04:36.420]   negation and many entailment pairs involve
[00:04:36.420 --> 00:04:39.780]   very general terms as part of the hypothesis.
[00:04:39.780 --> 00:04:41.620]   What that means is that the hypothesis
[00:04:41.620 --> 00:04:43.180]   actually carries information about
[00:04:43.180 --> 00:04:46.700]   the label and a hypothesis only baseline quantifies that.
[00:04:46.700 --> 00:04:48.580]   You simply fit a model without
[00:04:48.580 --> 00:04:51.540]   any premise information and see how you do.
[00:04:51.540 --> 00:04:54.540]   The finding of the literature is that very often,
[00:04:54.540 --> 00:04:56.700]   for our benchmarks, the hypothesis
[00:04:56.700 --> 00:04:59.140]   only baseline is way above chance.
[00:04:59.140 --> 00:05:00.340]   What that shows you is that
[00:05:00.340 --> 00:05:04.460]   the random baseline is not so informative anymore.
[00:05:04.460 --> 00:05:07.860]   There's a similar story for the story closed task.
[00:05:07.860 --> 00:05:09.700]   This is to distinguish between
[00:05:09.700 --> 00:05:12.500]   a coherent and incoherent ending for a story.
[00:05:12.500 --> 00:05:14.340]   Again, systems that look only at
[00:05:14.340 --> 00:05:16.340]   the ending often do really well.
[00:05:16.340 --> 00:05:17.660]   I think for the same reason,
[00:05:17.660 --> 00:05:20.580]   the coherent versus incoherent thing is often
[00:05:20.580 --> 00:05:23.900]   actually inferable just from the ending,
[00:05:23.900 --> 00:05:25.460]   neglecting the story.
[00:05:25.460 --> 00:05:28.580]   It's not that the task is broken here necessarily,
[00:05:28.580 --> 00:05:30.460]   but rather again, that you should think about
[00:05:30.460 --> 00:05:33.860]   this as a baseline to compare against and progress.
[00:05:33.860 --> 00:05:38.780]   It's really progress from this very specialized baseline.
[00:05:38.780 --> 00:05:42.860]   Next topic, hyperparameter optimization.
[00:05:42.860 --> 00:05:44.660]   This is discussed extensively in
[00:05:44.660 --> 00:05:47.460]   one of our background units on sentiment analysis.
[00:05:47.460 --> 00:05:49.580]   You might go there for a refresher.
[00:05:49.580 --> 00:05:52.300]   Here, I'll just briefly review the rationale.
[00:05:52.300 --> 00:05:55.860]   You want maybe to obtain the best version of your model,
[00:05:55.860 --> 00:05:57.700]   and that might mean exploring over
[00:05:57.700 --> 00:05:59.460]   different hyperparameters to find
[00:05:59.460 --> 00:06:01.660]   a optimal setting for it.
[00:06:01.660 --> 00:06:05.340]   Another motivation is about comparison between models.
[00:06:05.340 --> 00:06:07.220]   Suppose you do have a results table
[00:06:07.220 --> 00:06:09.580]   full of different systems you're comparing.
[00:06:09.580 --> 00:06:12.420]   It makes no sense to compare them against
[00:06:12.420 --> 00:06:14.500]   randomly chosen parameter settings
[00:06:14.500 --> 00:06:16.260]   because you really want to give
[00:06:16.260 --> 00:06:18.780]   every model the best chance to shine.
[00:06:18.780 --> 00:06:20.820]   Otherwise, there's an arbitrariness to
[00:06:20.820 --> 00:06:22.580]   the evaluation that might
[00:06:22.580 --> 00:06:24.980]   not translate into robust results.
[00:06:24.980 --> 00:06:27.780]   What you really do is give every system a chance by
[00:06:27.780 --> 00:06:31.060]   exploring a wide range of hyperparameters and
[00:06:31.060 --> 00:06:33.100]   reporting the optimal results
[00:06:33.100 --> 00:06:34.940]   according to that exploration.
[00:06:34.940 --> 00:06:37.300]   That's a fair comparison and it implies
[00:06:37.300 --> 00:06:40.300]   a lot of search over hyperparameters.
[00:06:40.300 --> 00:06:41.620]   You might want to understand
[00:06:41.620 --> 00:06:43.100]   the stability of your architecture.
[00:06:43.100 --> 00:06:44.420]   This is interestingly different.
[00:06:44.420 --> 00:06:45.580]   This is where you're not
[00:06:45.580 --> 00:06:47.500]   interested in the best parameters,
[00:06:47.500 --> 00:06:50.540]   but rather how stable system performance is under
[00:06:50.540 --> 00:06:53.820]   various choices people might make in order to get
[00:06:53.820 --> 00:06:57.020]   a sense for how robustly it will perform if people are
[00:06:57.020 --> 00:07:00.340]   say not attentive to these hyperparameters or set them
[00:07:00.340 --> 00:07:03.500]   incorrectly in a inadvertent accident
[00:07:03.500 --> 00:07:06.100]   or an adversarial setting.
[00:07:06.100 --> 00:07:09.980]   Crucial to all of this no matter what your goals,
[00:07:09.980 --> 00:07:12.100]   hyperparameter tuning must be done
[00:07:12.100 --> 00:07:14.340]   only on train and development data.
[00:07:14.340 --> 00:07:16.700]   You never do model selection of
[00:07:16.700 --> 00:07:19.100]   any kind based on the test data.
[00:07:19.100 --> 00:07:20.700]   This is a special case of
[00:07:20.700 --> 00:07:22.860]   the rule that I've been repeating throughout the course.
[00:07:22.860 --> 00:07:25.020]   This is really fundamental to how we think about
[00:07:25.020 --> 00:07:27.740]   testing and generalization and it applies with
[00:07:27.740 --> 00:07:29.900]   real force in the context of
[00:07:29.900 --> 00:07:33.020]   the kind of model selection we're doing here.
[00:07:33.020 --> 00:07:37.780]   Now, hyperparameter optimization has gotten really
[00:07:37.780 --> 00:07:39.460]   challenging in the era of
[00:07:39.460 --> 00:07:42.100]   long-running expensive training regimes.
[00:07:42.100 --> 00:07:44.260]   Let me give you a sense for what the problem is
[00:07:44.260 --> 00:07:46.020]   by way of an example.
[00:07:46.020 --> 00:07:48.620]   For each hyperparameter, you identify
[00:07:48.620 --> 00:07:51.860]   a large set of values for it in some range.
[00:07:51.860 --> 00:07:54.740]   Then you create a list of all the combinations
[00:07:54.740 --> 00:07:56.580]   of all the hyperparameters.
[00:07:56.580 --> 00:07:59.180]   This is the cross product of all the values
[00:07:59.180 --> 00:08:01.860]   for all the features you identified in step 1.
[00:08:01.860 --> 00:08:03.860]   What you can hear in that description is
[00:08:03.860 --> 00:08:07.180]   an exponential growth in the number of settings.
[00:08:07.180 --> 00:08:09.740]   For each setting, you cross-validate it
[00:08:09.740 --> 00:08:11.180]   on the available training data,
[00:08:11.180 --> 00:08:15.540]   which might imply 5, or 10, or 20 experiments.
[00:08:15.540 --> 00:08:18.780]   Then you choose the settings that did best in step 3,
[00:08:18.780 --> 00:08:21.820]   and you train on all the trained data using that setting,
[00:08:21.820 --> 00:08:24.220]   and then you evaluate that model on the test set.
[00:08:24.220 --> 00:08:26.580]   That is a pristine version
[00:08:26.580 --> 00:08:29.580]   of the protocol that we might be implementing.
[00:08:29.580 --> 00:08:31.420]   But here's the problem.
[00:08:31.420 --> 00:08:33.180]   Suppose parameter h1 has
[00:08:33.180 --> 00:08:36.060]   five values and parameter 2 has 10,
[00:08:36.060 --> 00:08:39.100]   then the total number of settings is now 50.
[00:08:39.100 --> 00:08:43.180]   Suppose we add 3, then it goes to 100.
[00:08:43.180 --> 00:08:44.620]   Now, suppose we're going to do
[00:08:44.620 --> 00:08:47.620]   five-fold cross-validation to select optimal parameters.
[00:08:47.620 --> 00:08:49.940]   Now we are at 500 runs.
[00:08:49.940 --> 00:08:54.060]   Very quickly, the number of experiments exploded.
[00:08:54.060 --> 00:08:56.300]   If each one of these runs takes a day,
[00:08:56.300 --> 00:08:58.620]   you're pretty much out of contention in terms of
[00:08:58.620 --> 00:09:01.660]   actually implementing this protocol completely.
[00:09:01.660 --> 00:09:03.820]   Something has to change.
[00:09:03.820 --> 00:09:06.540]   The above is untenable as
[00:09:06.540 --> 00:09:08.500]   a set of laws for the scientific community.
[00:09:08.500 --> 00:09:12.660]   We cannot insist on this level of hyperparameter optimization.
[00:09:12.660 --> 00:09:14.180]   If we adopted it,
[00:09:14.180 --> 00:09:17.020]   complex models trained on large datasets would end up
[00:09:17.020 --> 00:09:19.140]   disfavored and only the very
[00:09:19.140 --> 00:09:20.980]   wealthy would be able to participate.
[00:09:20.980 --> 00:09:22.180]   To give you a glimpse of this,
[00:09:22.180 --> 00:09:24.300]   here's a quote from a paper from a team at
[00:09:24.300 --> 00:09:27.060]   Google doing NLP for healthcare.
[00:09:27.060 --> 00:09:29.700]   The performance of all above neural networks were
[00:09:29.700 --> 00:09:32.700]   tuned automatically using Google Vizier with
[00:09:32.700 --> 00:09:36.700]   a total of over 200,000 GPU hours.
[00:09:36.700 --> 00:09:40.380]   That is a lot of money spent on a lot of compute.
[00:09:40.380 --> 00:09:43.740]   Obviously, we cannot insist on a similar level of
[00:09:43.740 --> 00:09:46.700]   investment for experiments say for this course,
[00:09:46.700 --> 00:09:49.420]   but frankly, for any contribution in the field,
[00:09:49.420 --> 00:09:51.420]   we have to have compromises.
[00:09:51.420 --> 00:09:53.620]   Here are some reasonable compromises.
[00:09:53.620 --> 00:09:55.740]   These are pragmatic steps you can take to
[00:09:55.740 --> 00:09:58.460]   alleviate this resource problem.
