
[00:00:00.000 --> 00:00:23.120]   So hi, hi everybody. My name is Ching Kyeong-Lam. I'm a founder and CEO of Patto.ai. A bit of a
[00:00:23.120 --> 00:00:28.720]   background about my company. Patto.ai started two years ago with an invitation from National Science
[00:00:28.720 --> 00:00:37.040]   Foundation, from the SBIR grant funding investigating LLM-BIRD. We did a LLM-BIRD driven discovery
[00:00:37.040 --> 00:00:43.200]   application. Since then, we branched out to leverage what we learned about building AI system
[00:00:43.200 --> 00:00:49.280]   for large corporations. We are currently building expert AI system for several clients. Currently,
[00:00:49.280 --> 00:00:56.320]   the system we build goes beyond RAC system. Many of our clients are asking for AI systems that perform
[00:00:56.320 --> 00:01:03.600]   tasks like research and advisory role based on their area of interest. Today, the talk is about
[00:01:03.600 --> 00:01:08.400]   sharing with our fellow AI engineer what we learned so far building this kind of system.
[00:01:08.400 --> 00:01:15.120]   Okay. What is knowledge? Generally, philosophically, I say knowledge is the understanding and awareness
[00:01:15.120 --> 00:01:19.040]   gained through experience, education, and the comprehension of facts and principle.
[00:01:19.920 --> 00:01:25.200]   And that leads to the next question is what is knowledge graph, right? So knowledge graph is a
[00:01:25.200 --> 00:01:32.000]   systematic method of preserving wisdom by connecting them and creating a network or interconnect relationship.
[00:01:32.000 --> 00:01:39.600]   That's important. The graph represents the thought process and comprehensive taxonomy of a specific
[00:01:39.600 --> 00:01:48.080]   domain of expertise. That's why this is very important for people's moving forward. It's about AI system. Then think a lot and return
[00:01:48.080 --> 00:01:55.360]   and advice instead of just retrieving data from your database, right? So that comes to the development of
[00:01:55.360 --> 00:02:04.000]   this KAG. What is KAG? KAG stands for Knowledge Augment Generations, and it's different from RAC, okay? It is enhanced
[00:02:04.000 --> 00:02:11.200]   language model by integrating structure knowledge graph for more accurate and insightful response, making it smarter,
[00:02:11.200 --> 00:02:19.600]   more structured approach than a simple RAC. KAG doesn't just retrieve. Remember, it understands that this is different.
[00:02:19.600 --> 00:02:29.760]   Okay. After interviewing a lot of my clients, okay? So we also expert in a certain area of scale, I found that there are
[00:02:29.760 --> 00:02:38.480]   common ways of their thinking, decision-making process. The way that make them expert in their area, knowledge graph, seems to be a perfect fit.
[00:02:38.480 --> 00:02:43.760]   So here is the graph or state diagram if you're a computer engineering grad like me.
[00:02:43.760 --> 00:02:55.760]   So it shows wisdom. The wisdom note, as you can see, it's a core, right? It's wisdom. It just isn't static.
[00:02:55.760 --> 00:03:00.000]   It actively guides decision and views by other elements.
[00:03:01.760 --> 00:03:09.200]   The output from the wisdom actually goes to decision-making in the blue, right? Wisdom isn't passive.
[00:03:09.200 --> 00:03:16.800]   It guides decision, helping us choose wisely, okay? And then the decision-making analyses the situation,
[00:03:16.800 --> 00:03:26.320]   given in the circle in the green, and decisions aren't made in a vacuum, okay? They analyze real-world
[00:03:26.320 --> 00:03:32.640]   situation. That's the difference, okay? So look at the wisdom input, okay? Look at the relationship feedback
[00:03:32.640 --> 00:03:39.440]   from the knowledge to wisdom in gold colour. Example of that is knowledge to wisdom, like
[00:03:40.400 --> 00:03:52.640]   All your book smart, encyclopedia, Wikipedia, whatever you store, plus once that data get absorbed by IRM, whatever model you use up there,
[00:03:52.640 --> 00:03:59.680]   it need to regurgitate that and understand. That's why it's very important that wisdom is able to synthesize the data after you ingested knowledge.
[00:03:59.680 --> 00:04:07.120]   You know, that's the kind of abstract, but I'll come to that later. How about talking about, okay? Okay, from inside, example of that is
[00:04:07.120 --> 00:04:14.800]   wisdom derive pattern from chaos, right? Some of my client has a lot of social media, their product,
[00:04:14.800 --> 00:04:20.240]   how do they, you know, track their product sediment from social media, right? So it's very chaotic,
[00:04:20.240 --> 00:04:24.960]   and from X, tweet, right? So from that, you can see some pattern of their competitor versus
[00:04:24.960 --> 00:04:31.520]   current what my product is. That is, like, an example of that, and I will go to that later. Okay,
[00:04:31.520 --> 00:04:38.400]   when all these connected nodes matter together, why do they matter? All the nodes relate to one another to
