
[00:00:00.000 --> 00:00:05.480]   The Hartford Small Business Insurance knows that running a small business is a big-time commitment.
[00:00:05.480 --> 00:00:14.480]   So this holiday season, they're celebrating hard-working small business owners with a chance to go to I Heart Radio Jingle Ball in Miami on December 16th.
[00:00:14.480 --> 00:00:19.000]   Nominate yourself or another small business owner for a chance to win a trip for two.
[00:00:19.000 --> 00:00:24.680]   Includes airfare, two-night hotel, tickets to the show, plus $1,000 in spending cash.
[00:00:24.680 --> 00:00:29.680]   For official rules and entry information, visit IHeartRadio.com/SmallBusiness.
[00:00:30.680 --> 00:00:33.680]   Good Friday to you, Radicals, and Merry Christmas.
[00:00:33.680 --> 00:00:37.680]   Today I have for you the final episode of Radical Personal Finance for 2017.
[00:00:37.680 --> 00:00:40.680]   And on today's show, five specific topics.
[00:00:40.680 --> 00:00:42.680]   Number one is tax reform.
[00:00:42.680 --> 00:00:43.680]   Number two is Bitcoin.
[00:00:43.680 --> 00:00:47.680]   Number three is your financial tracking for the new year.
[00:00:47.680 --> 00:00:50.680]   Number four is a year-end cleanse.
[00:00:50.680 --> 00:00:55.680]   And number five is thoughts on the future and how it impacts your life.
[00:00:55.680 --> 00:00:57.680]   Let's start with tax reform.
[00:00:57.680 --> 00:01:04.680]   As I record today's show, a little bit earlier today, President Trump here in the United States signed the tax reform bill,
[00:01:04.680 --> 00:01:10.680]   officially known as the Tax Cuts and Jobs Act of 2017.
[00:01:10.680 --> 00:01:15.680]   Overall, I am happy to see some tax reform take place.
[00:01:15.680 --> 00:01:22.680]   It's very hard to sort out my own personal opinions on the subject and then to look at things analytically.
[00:01:22.680 --> 00:01:25.680]   So first, let's just start with analysis for you.
[00:01:25.680 --> 00:01:29.680]   I have been looking at the text of the bill, looking at the analysis of it.
[00:01:29.680 --> 00:01:41.680]   And as of yet, I find it hard to fully ascertain the changes and the strategies that will be appropriate for you to make in the coming years based upon the tax reform bill.
[00:01:41.680 --> 00:01:47.680]   This legislation definitely does have very significant impact.
[00:01:47.680 --> 00:01:52.680]   But probably the most significant impact will be on corporations.
[00:01:52.680 --> 00:02:00.680]   The elimination and also the elimination of the AMT, the alternative minimum tax, which for them, which is really, really valuable.
[00:02:00.680 --> 00:02:14.680]   For individuals, this particular tax bill seems to be a mixed bag that's going to bring out, I'm sure, new strategies that we can put in play to help you save on taxes and will eliminate some of the older strategies.
