
[00:00:00.000 --> 00:00:17.520]   Welcome back Portfolio Rescue.
[00:00:17.520 --> 00:00:19.960]   This is the show where we take questions from you, the viewers.
[00:00:19.960 --> 00:00:23.960]   If you have a question for us, askthecompoundshow@gmail.com.
[00:00:23.960 --> 00:00:25.720]   I see everyone in the live stream today.
[00:00:25.720 --> 00:00:26.720]   Thanks for coming.
[00:00:26.720 --> 00:00:28.720]   If you have a question for us in the live stream, put it in there.
[00:00:28.720 --> 00:00:29.720]   We have someone monitoring now.
[00:00:29.720 --> 00:00:31.080]   I know there were some questions last week.
[00:00:31.080 --> 00:00:32.800]   We didn't get to them.
[00:00:32.800 --> 00:00:34.720]   And this is how powerful I am.
[00:00:34.720 --> 00:00:35.720]   Send us a question.
[00:00:35.720 --> 00:00:37.520]   I will move it to the top of the list for the next couple of weeks, and we'll put it
[00:00:37.520 --> 00:00:38.520]   on there.
[00:00:38.520 --> 00:00:39.520]   So let us know what you think.
[00:00:39.520 --> 00:00:42.480]   Especially if you're from Michigan, it'll go right up to the top.
[00:00:42.480 --> 00:00:45.360]   Yeah, I have a place in my heart for those flyover states.
[00:00:45.360 --> 00:00:48.800]   Duncan, anything going on in the stock market lately?
[00:00:48.800 --> 00:00:49.800]   Seems like it.
[00:00:49.800 --> 00:00:51.880]   Seems like a lot's going on.
[00:00:51.880 --> 00:00:52.880]   Let's do it.
[00:00:52.880 --> 00:00:54.880]   We got some questions on the correction again.
[00:00:54.880 --> 00:00:55.880]   They're coming in hot.
[00:00:55.880 --> 00:00:56.880]   What do we got?
[00:00:56.880 --> 00:00:57.880]   Okay.
[00:00:57.880 --> 00:01:02.000]   First up, we have a question from Benjamin, who writes, "Since Ben is a data junkie, does
[00:01:02.000 --> 00:01:05.160]   he have any data or opinions on when markets hit a bottom?
[00:01:05.160 --> 00:01:08.600]   Does the adage 'catching a falling knife' always hold true?"
[00:01:08.600 --> 00:01:09.800]   Guilty.
[00:01:09.800 --> 00:01:12.120]   I am a data junkie.
[00:01:12.120 --> 00:01:13.520]   I like looking at historical data.
[00:01:13.520 --> 00:01:16.920]   I don't think I do it because it tells you what is going to happen in the future.
[00:01:16.920 --> 00:01:19.920]   It tells you what can happen, not what will happen.
[00:01:19.920 --> 00:01:21.680]   It gives you this range.
[00:01:21.680 --> 00:01:23.920]   I have some bad news for you.
[00:01:23.920 --> 00:01:25.440]   You really can't call a bottom.
[00:01:25.440 --> 00:01:28.200]   It's basically impossible.
[00:01:28.200 --> 00:01:32.800]   The problem is that fundamentals don't matter very much, especially when this is happening.
[00:01:32.800 --> 00:01:34.120]   Emotions grab the steering wheel.
[00:01:34.120 --> 00:01:37.260]   That's why markets are always way more volatile on the way down than the way up.
[00:01:37.260 --> 00:01:40.820]   You take this slow stare up and then an elevator down, they say.
[00:01:40.820 --> 00:01:44.800]   It's because when people are losing money, they panic, and then they try to do more,
[00:01:44.800 --> 00:01:47.840]   and they think if they try harder, they're going to figure it out.
[00:01:47.840 --> 00:01:52.200]   It is funny, though, because there are all these sayings about market bottoms, right?
[00:01:52.200 --> 00:01:54.080]   Markets never bottom on a Friday, right?
[00:01:54.080 --> 00:01:56.800]   Which sounds really smart to say, because it's like people think about their losses
[00:01:56.800 --> 00:01:58.240]   over the weekend.
[00:01:58.240 --> 00:02:03.560]   And then another one in the past has been markets never bottom on a huge up day, because
[00:02:03.560 --> 00:02:07.840]   the idea is when stocks get more volatile, you have these big up and down days on the
[00:02:07.840 --> 00:02:09.080]   same days, right?
[00:02:09.080 --> 00:02:10.080]   Because people are going back and forth.
[00:02:10.080 --> 00:02:15.960]   So March 2020, we saw up 8%, down 8%, up 9%, down 10% on a daily basis.
[00:02:15.960 --> 00:02:20.440]   And so the best and worst days in history tend to cluster around these bad bear markets.
[00:02:20.440 --> 00:02:25.720]   Unfortunately, in March 2020, the market bottomed on an up 9.4% day.
[00:02:25.720 --> 00:02:29.760]   In three days, the market was up 18%, and it basically never looked back.
[00:02:29.760 --> 00:02:32.080]   And when it happened, everyone goes, "Okay, it's impossible.
[00:02:32.080 --> 00:02:33.080]   Markets don't bottom like this."
[00:02:33.080 --> 00:02:37.400]   So I think even if you find something that can work, like let's say you found this secret
[00:02:37.400 --> 00:02:39.640]   sauce, it probably wouldn't work forever.
[00:02:39.640 --> 00:02:44.480]   So the only thing I've found is that we can segment corrections a little bit to figure
[00:02:44.480 --> 00:02:46.200]   out how long they're going to last.
[00:02:46.200 --> 00:02:48.240]   So John, let's pull up this first chart.
[00:02:48.240 --> 00:02:49.240]   Let's do a chart on.
[00:02:49.240 --> 00:02:55.360]   This is the S&P 500 since 1950, and I looked at corrections when they're in a recession
[00:02:55.360 --> 00:02:57.280]   or caused by a recession or non-recessionary.
[00:02:57.280 --> 00:03:02.320]   And you can see non-recessionary corrections tend to last a little less time.
[00:03:02.320 --> 00:03:03.320]   They don't fall as much.
[00:03:03.320 --> 00:03:06.640]   If you're in a recession, it's going to last a lot longer, closer to a year.
[00:03:06.640 --> 00:03:08.580]   The average downturn is like 30%.
[00:03:08.580 --> 00:03:12.000]   So we typically see those crashes during a recession.
[00:03:12.000 --> 00:03:14.880]   If it's a non-recessionary one, it doesn't go down as much.
[00:03:14.880 --> 00:03:15.880]   It's more of a correction.
[00:03:15.880 --> 00:03:18.240]   So let's take a look at the recessionary ones first.
[00:03:18.240 --> 00:03:20.320]   So John, let's put this next chart up.
[00:03:20.320 --> 00:03:22.320]   I took the S&P since 1950.
[00:03:22.320 --> 00:03:25.560]   I looked at these drawdowns during recession, and then I looked at what happened at the
[00:03:25.560 --> 00:03:26.560]   bottom.
[00:03:26.560 --> 00:03:27.560]   So what's the CAPE ratio?
[00:03:27.560 --> 00:03:29.560]   What's the P/E ratio using trailing 12-month earnings?
[00:03:29.560 --> 00:03:31.080]   What's the dividend yield?
[00:03:31.080 --> 00:03:33.400]   I wish I could find a pattern here.
[00:03:33.400 --> 00:03:34.400]   There really isn't much.
[00:03:34.400 --> 00:03:37.720]   The only pattern really is in the 70s and 80s, valuations were much lower, yields were
[00:03:37.720 --> 00:03:38.720]   much higher.
[00:03:38.720 --> 00:03:40.820]   Now they've been much higher and yields lower.
[00:03:40.820 --> 00:03:45.820]   You can see in 2009 that the P/E ratio was over 110 because earnings fell off so much.
[00:03:45.820 --> 00:03:51.440]   So leaning on fundamentals during a market correction is not going to help you very much.
[00:03:51.440 --> 00:03:54.460]   I wish there was a line in the sand, but there really isn't.
[00:03:54.460 --> 00:03:58.760]   And actually during recessionary corrections, it's kind of rare when there isn't a bear
[00:03:58.760 --> 00:03:59.760]   market.
[00:03:59.760 --> 00:04:00.760]   It usually happens more often than not.
[00:04:00.760 --> 00:04:02.160]   It's almost always a bear.
[00:04:02.160 --> 00:04:06.120]   So let's look at the ones outside of a recession, because I think that's probably more apt for
[00:04:06.120 --> 00:04:08.840]   today, unless people think the economy is really rolling over.
[00:04:08.840 --> 00:04:10.320]   So again, there's more of these.
[00:04:10.320 --> 00:04:15.240]   Again, the valuations and the P/E ratio and the dividend yields, there's no level you
[00:04:15.240 --> 00:04:17.400]   can find in the sand that's going to do something.
[00:04:17.400 --> 00:04:19.600]   I do have some potentially good news.
[00:04:19.600 --> 00:04:23.920]   Assuming this current downturn, the economy doesn't slow, we actually had GDP numbers
[00:04:23.920 --> 00:04:25.800]   come up this morning.
[00:04:25.800 --> 00:04:32.140]   On a nominal basis, before inflation, the U.S. GDP grew like 11.7% in 2021.
[00:04:32.140 --> 00:04:37.440]   After inflation, it was still talking like 4 or 5%, pretty good.
[00:04:37.440 --> 00:04:40.600]   So let's say the recession doesn't happen and we're just a regular downturn.
[00:04:40.600 --> 00:04:42.660]   John, show up to the last table here.
[00:04:42.660 --> 00:04:45.320]   This is bear markets outside of a recession.
[00:04:45.320 --> 00:04:47.080]   It basically doesn't happen.
[00:04:47.080 --> 00:04:50.360]   So if you're worried about this correction turning into a crash, you never say never
[00:04:50.360 --> 00:04:55.160]   with the markets, but really 1966 and 1987, I put these other ones up there, they were
[00:04:55.160 --> 00:04:56.640]   19 and change.
[00:04:56.640 --> 00:05:01.880]   I really don't know who decided, who's the grand wizard who said, "All right, 20% is
