
[00:00:00.000 --> 00:00:02.420]   [silence]
[00:00:02.420 --> 00:00:04.380]   So any discussion about heat and sperm
[00:00:04.380 --> 00:00:06.220]   and how heat is detrimental to sperm
[00:00:06.220 --> 00:00:09.740]   has to raise this issue of whether or not cold
[00:00:09.740 --> 00:00:11.060]   is good for the testicle.
[00:00:11.060 --> 00:00:14.320]   Okay, well now there's a lot of data starting to come out
[00:00:14.320 --> 00:00:16.060]   about the positive effects,
[00:00:16.060 --> 00:00:20.540]   the positive biological effects of deliberate cold exposure
[00:00:20.540 --> 00:00:23.540]   on different aspects of brain biology,
[00:00:23.540 --> 00:00:25.740]   such as the release of dopamine and norepinephrine,
[00:00:25.740 --> 00:00:27.860]   and on the biology of the body,
[00:00:27.860 --> 00:00:29.080]   to some extent metabolism,
[00:00:29.080 --> 00:00:31.440]   but more so the impact on brown fat stores,
[00:00:31.440 --> 00:00:34.400]   which are good for us, so-called brown fat thermogenesis.
[00:00:34.400 --> 00:00:37.080]   There's a lot related to deliberate cold exposure,
[00:00:37.080 --> 00:00:39.700]   and we've done entire episodes on deliberate cold exposure.
[00:00:39.700 --> 00:00:41.560]   Again, you can find that at hubermanlab.com.
[00:00:41.560 --> 00:00:43.680]   We did a guest episode with an expert
[00:00:43.680 --> 00:00:46.320]   on the use of cold for health and performance
[00:00:46.320 --> 00:00:47.340]   with my colleague Craig Heller
[00:00:47.340 --> 00:00:49.000]   from Stanford Department of Biology.
[00:00:49.000 --> 00:00:52.220]   We also have a toolkit on how to apply
[00:00:52.220 --> 00:00:53.840]   deliberate cold exposure for health
[00:00:53.840 --> 00:00:56.040]   for both females and for males,
[00:00:56.040 --> 00:00:57.800]   for sports performance, cognitive performance,
[00:00:57.800 --> 00:00:59.080]   mood, sleep, et cetera.
[00:00:59.080 --> 00:01:00.960]   You can find all that, again, hubermanlab.com,
[00:01:00.960 --> 00:01:02.760]   totally zero cost.
[00:01:02.760 --> 00:01:04.280]   Just go into the menu, go to newsletter,
[00:01:04.280 --> 00:01:06.240]   and scroll down, and you'll find those.
[00:01:06.240 --> 00:01:09.920]   When thinking about sperm quality,
[00:01:09.920 --> 00:01:12.680]   we want to remember that excessive heat is bad.
[00:01:12.680 --> 00:01:15.440]   Now, does that mean that deliberate cold is good?
[00:01:15.440 --> 00:01:18.400]   Well, it turns out that one of the major causes
[00:01:18.400 --> 00:01:23.400]   of lowered sperm count and overall reduced sperm quality
[00:01:23.400 --> 00:01:25.400]   that's quite common is the presence
[00:01:25.400 --> 00:01:26.560]   of what's called a varicella.
[00:01:26.560 --> 00:01:29.040]   A varicella is kind of like varicose veins
[00:01:29.040 --> 00:01:32.400]   of the veins that innervate the testicle.
[00:01:32.400 --> 00:01:35.800]   And what it essentially does is it means
[00:01:35.800 --> 00:01:39.880]   that blood will pool in the testicular region.
[00:01:39.880 --> 00:01:42.200]   It can't circulate back to the body quickly enough,
