
[00:00:00.000 --> 00:00:05.800]   The holidays start here at Ralph's with a variety of options to celebrate traditions old and new.
[00:00:05.800 --> 00:00:10.200]   Whether you're making a traditional roasted turkey or spicy turkey tacos,
[00:00:10.200 --> 00:00:13.800]   your go-to shrimp cocktail, or your first Cajun risotto,
[00:00:13.800 --> 00:00:17.800]   Ralph's has all the freshest ingredients to embrace your traditions.
[00:00:17.800 --> 00:00:20.000]   Ralph's. Fresh for Everyone.
[00:00:20.000 --> 00:00:25.000]   Choose from a great selection of digital coupons and use them up to five times in one transaction.
[00:00:25.000 --> 00:00:26.600]   Check our app for details.
[00:00:26.600 --> 00:00:29.000]   Ralph's. Fresh for Everyone.
[00:00:30.000 --> 00:00:33.000]   Your tough Tacoma is here.
[00:00:33.000 --> 00:00:36.000]   Your powerful 4Runner.
[00:00:36.000 --> 00:00:38.000]   Your stylish Camry.
[00:00:38.000 --> 00:00:41.000]   Your versatile RAV4.
[00:00:41.000 --> 00:00:44.000]   Even your fully electric VZ4X.
[00:00:44.000 --> 00:00:50.000]   Your new Toyota car, truck, or SUV is available now.
[00:00:50.000 --> 00:00:53.000]   So see your Toyota dealer today.
[00:00:53.000 --> 00:00:56.000]   We make it easy.
[00:00:56.000 --> 00:00:59.000]   Toyota. Let's Go Places.
[00:00:59.000 --> 00:01:09.000]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom in ten years or less.
[00:01:09.000 --> 00:01:11.000]   My name is Joshua Sheets. I'm your host.
[00:01:11.000 --> 00:01:16.000]   Today we continue with our series on how to invest in your children when they are young.
[00:01:16.000 --> 00:01:24.000]   The goal is to help our children to be strong and healthy and beautiful and smart and accomplished and capable, etc.
[00:01:24.000 --> 00:01:36.000]   Because if we can help to facilitate those things, especially when our children are young, they'll be so far ahead of their peers that they'll be able to make their own course and path in life fairly easily.
[00:01:36.000 --> 00:01:50.000]   And I have long believed that an intense focus in some of these areas is a very productive use of our time and our resources, especially financial resources, and that these resources are best invested at a young age.
[00:01:50.000 --> 00:01:58.000]   In today's podcast, we're going to explore a little bit the idea of making your children smarter through music.
[00:01:58.000 --> 00:02:08.000]   Again, throughout this series, I've tried to be very honest with everything that we know about how to help our children to be strong, healthy, accomplished, smart, etc.
[00:02:08.000 --> 00:02:24.000]   Some of the basics are simply genetic potential. You as parents have passed along a certain genetic code, a certain basic innate capacity to your children in terms of their physical health, their potential for their height, for their intelligence, etc.
[00:02:24.000 --> 00:02:31.000]   But then we want to work with that basic genetic potential and help to cultivate it to the maximum that we can.
[00:02:31.000 --> 00:02:39.000]   We want our children to grow as tall as they're capable of, so we feed them. We want them to grow as strong as they're capable of, so we make sure they're exercising.
[00:02:39.000 --> 00:02:45.000]   And we want them to grow as smart as they are capable of, and so we need to nourish and care for the brain.
[00:02:45.000 --> 00:03:01.000]   Today, we're going to discuss music and its impact on the brain, because music is one of those areas where there is good evidence that musicality can affect the brain and the potential of your children in many different ways.
[00:03:01.000 --> 00:03:11.000]   Now, we'll talk about this in the context of consuming music, and also we'll talk about this in the context of expressing music.
[00:03:11.000 --> 00:03:23.000]   Let's begin with just a couple of articles here. I'm going to read from Psychology Today, an article published last year called "Music Can Literally Grow Your Brain," published by Eric Hazeltine, PhD.
[00:03:23.000 --> 00:03:29.000]   Subtitle, "Melodies Can Be As Good For Your Mind As They Are For Your Mood."
[00:03:29.000 --> 00:03:30.000]   And here are the key points.
[00:03:30.000 --> 00:03:41.000]   Listening to music does not make you smarter, as first reported with the Mozart effect, but listening to music can slow cognitive decline.
[00:03:41.000 --> 00:03:50.000]   On the other hand, habitually playing a musical instrument can increase brain tissue volume and improve cognitive skills, such as visual memory.
[00:03:50.000 --> 00:03:58.000]   These benefits are strongest when musical training starts at a young age, but can still be significant when instruments are learned in adulthood.
[00:03:58.000 --> 00:04:14.000]   About 30 years ago, Rauscher et al. published a study of children in the prestigious journal Nature, showing that just listening to Mozart could increase a child's cognitive abilities, such as scores on the Stanford-Binet Subtask on Spatial Reasoning.
[00:04:14.000 --> 00:04:36.000]   Although other researchers later replicated these results, albeit with much smaller effects, in children and adults, today the consensus of neuroscientists is that listening to Mozart or other classical music improves performance not by growing your brain, but by temporarily elevating your arousal and mood so that you perform better.
[00:04:36.000 --> 00:04:43.000]   Thus, the so-called "Mozart effect" is really just an example of the well-known effect of arousal on performance.
[00:04:43.000 --> 00:04:47.000]   Alert people do better on cognitive tasks than sleepy people.
[00:04:47.000 --> 00:04:55.000]   Recently, however, some researchers have started to re-examine the benefits of listening to music, not in children, but in dementia patients.
[00:04:55.000 --> 00:05:18.000]   A 2018 literature review in the journal Dementia Neuropsychologia summarizing the results of 24 different studies concluded that exposing Alzheimer's patients to music, especially familiar music, improved both mood and memory in dementia patients.
[00:05:18.000 --> 00:05:29.000]   Scientists involved in the research hypothesized that musical memories are often preserved in dementia patients, and that activating those memories can help associated memories.
[00:05:29.000 --> 00:05:33.000]   These findings were replicated and extended in a 2021 study published blah blah blah.
[00:05:33.000 --> 00:05:36.000]   But does playing a musical instrument make you smarter?
[00:05:36.000 --> 00:05:49.000]   We can conclude from the above research that listening to music doesn't necessarily make you smarter, but can elevate your mood and arousal and help you temporarily perform better, and even slow cognitive decline later in life.
[00:05:49.000 --> 00:05:54.000]   But what about actively playing a musical instrument versus passively listening to music?
[00:05:54.000 --> 00:05:59.000]   There, the research on positive long-term cognitive effects of music is much more compelling.
[00:05:59.000 --> 00:06:06.000]   Another review article in Dementia Neuropsychologia by Rodriguez et al.
[00:06:06.000 --> 00:06:22.000]   "Musical training, neuroplasticity, and cognition shows that learning to play a musical instrument, then practicing that instrument, can actually grow parts of your brain associated with perceiving and playing music (corpus callosum, cerebellum, hippocampus, temporal neocortex)."
[00:06:22.000 --> 00:06:37.000]   These trophic benefits of playing an instrument are larger the earlier in development musical training starts, but measurable increases in brain tissue size have even been found in musicians who did not start playing an instrument until well into adulthood.
[00:06:37.000 --> 00:06:56.000]   Rodriguez et al. go on to point out that numerous studies suggest that the physical changes to the brain have functional significance, with trained musicians exhibiting elevated performance relative to non-musicians in cognitive tasks such as visuospatial processing and visual memory.
[00:06:56.000 --> 00:07:05.000]   Of course, teasing apart nature-nurture questions, i.e. are musicians just born smarter or become smarter with practice, is not straightforward.
[00:07:05.000 --> 00:07:21.000]   But longitudinal studies involving before and after experiments in individual test subjects by Dr. Lutz Janka at the University of Zurich support the idea that brain and cognitive changes associated with playing an instrument can be acquired versus inherited.
[00:07:21.000 --> 00:07:25.000]   One more thing before you take up an instrument to grow your brain.
[00:07:25.000 --> 00:07:35.000]   The foregoing studies strongly suggest that you can grow your brain, improve cognitive skills, and delay cognitive decline by regularly playing a musical instrument.
[00:07:35.000 --> 00:07:56.000]   But if you are really motivated to beef up your brain and cognitive skills, a broad range of studies in brain plasticity, summarized by Dr. Lawrence Katz in the book Keep Your Brain Alive, suggest that you should not stick with one instrument, but constantly teach yourself to play unfamiliar instruments so that you expose your brain to constant novelty.
[00:07:56.000 --> 00:08:12.000]   According to Dr. Katz, your brain is like your muscles. If you do weight training at constant loads, your muscles will grow to a certain point, then stop gaining strength. Just as with your muscles, if you want to continue to grow your brain, you must continuously challenge it with novel or increasingly difficult tasks.
[00:08:12.000 --> 00:08:19.000]   I know that sounds like an uncomfortable amount of work, but we can't stay comfortable while venturing out of our comfort zones, can we?
[00:08:19.000 --> 00:08:25.000]   Now I want to pivot to a different article called How Music Affects the Brain from the website bbrainfit.com.
[00:08:25.000 --> 00:08:36.000]   Now in this article, all of these claims are linked to various other articles. I have several of the studies, looked through them as a non-scientist, just generally interested to read a little bit about it.
[00:08:36.000 --> 00:08:42.000]   And they're too meaty to go through, but let me read a few excerpts from this article from bbrainfit.
[00:08:42.000 --> 00:08:54.000]   Subtitle or subhead. "Music improves brain health and function in many ways. It makes you smarter, happier, and more productive at any age. Listening is good. Playing is better."
[00:08:54.000 --> 00:09:07.000]   "Music has played an important part in every human culture, both past and present. People around the world respond to music in a universal way, and now advances in neuroscience enable researchers to measure just how music affects the brain."
[00:09:07.000 --> 00:09:16.000]   "The interest in the effects of music on the brain has produced a new field of research called neuromusicology, which explores how the nervous system reacts to music."
[00:09:16.000 --> 00:09:21.000]   "And the evidence is in, music activates every part of the brain."
[00:09:21.000 --> 00:09:29.000]   "Playing, or even just listening to music, can make you smarter, happier, healthier, and more productive at all stages of life."
[00:09:29.000 --> 00:09:32.000]   Dropping down. Why musicians have healthier brains.
[00:09:32.000 --> 00:09:39.000]   "For evidence of how music affects the brain, it makes sense to look at the brains of those who play a lot of music, professional musicians."
[00:09:39.000 --> 00:09:44.000]   "Brain scans show that their brains are different than those of non-musicians."
[00:09:44.000 --> 00:09:48.000]   "Musicians have bigger, better connected, more sensitive brains."
[00:09:48.000 --> 00:09:53.000]   "Musicians have superior working memory, auditory skills, and mental flexibility."
[00:09:53.000 --> 00:09:58.000]   "Their brains are physically more symmetrical and respond more symmetrically when listening to music."
[00:09:58.000 --> 00:10:04.000]   "Areas of the brain responsible for motor control, auditory processing, and spatial coordination are larger."
[00:10:04.000 --> 00:10:07.000]   "Musicians also have a larger corpus callosum."
[00:10:07.000 --> 00:10:12.000]   "This is the band of nerve fibers that transfers information between the two hemispheres of the brain."
[00:10:12.000 --> 00:10:18.000]   "This increase in size indicates that the two sides of musicians' brains are better at communicating with each other."
[00:10:18.000 --> 00:10:24.000]   "While most of us aren't professional musicians, we still listen to a lot of music, an average of 32 hours per week."
[00:10:24.000 --> 00:10:30.000]   "This is enough time for music to have an effect on the brains of non-musicians as well."
[00:10:30.000 --> 00:10:36.000]   There's a section here called "How Music Improves Mood and Reduces Stress."
[00:10:36.000 --> 00:10:40.000]   If you're interested in that, just induce what you already know about.
[00:10:40.000 --> 00:10:48.000]   There's also a section on how music can make you creative, but I want to drop down to the benefits of music for young brains.
[00:10:48.000 --> 00:10:53.000]   In the 1990s, the effect of music on the brain was popularized as the Mozart effect.
[00:10:53.000 --> 00:10:58.000]   This theory purported that listening to music composed by Mozart made kids smarter.
[00:10:58.000 --> 00:11:05.000]   Parents exposed their babies to the music of Mozart to give their brains a jumpstart, often even before they were born.
[00:11:05.000 --> 00:11:12.000]   The accepted theory now is that while taking music lessons as a child enhances brain function and structure,
[00:11:12.000 --> 00:11:16.000]   there's nothing uniquely beneficial about the music of Mozart.
[00:11:16.000 --> 00:11:20.000]   Children with musical backgrounds do better in subjects like language, reading, and math,
[00:11:20.000 --> 00:11:24.000]   and have better fine motor skills than their non-musical classmates.
[00:11:24.000 --> 00:11:30.000]   Early music lessons encourage brain plasticity, the brain's capacity to change and grow.
[00:11:30.000 --> 00:11:35.000]   Just a half-hour music lesson increases blood flow in the left hemisphere of the brain.
[00:11:35.000 --> 00:11:38.000]   And if kids don't stick with their music lessons forever, that's okay.
[00:11:38.000 --> 00:11:44.000]   There's evidence that when music training begins young, the brain enhancement that takes place can last a lifetime.
[00:11:44.000 --> 00:11:52.000]   When children had as little as four years of music lessons, they experienced long-term cognitive benefits that researchers could detect 40 years later.
[00:11:52.000 --> 00:11:57.000]   Kids who sing together in a choir report higher satisfaction in all their classes.
[00:11:57.000 --> 00:12:04.000]   Not just music. Most studies on music in the brain have been done on school-age kids, but it looks like it's never too young to start.
[00:12:04.000 --> 00:12:10.000]   Music lessons of sorts, playing drums and singing nursery rhymes, were given to babies before they could walk or talk.
[00:12:10.000 --> 00:12:17.000]   Babies who had music lessons communicated better and showed earlier and more sophisticated brain responses to music.
[00:12:17.000 --> 00:12:20.000]   Music makes children better students.
