
[00:00:00.000 --> 00:00:20.880]   All right, everybody. My name is Ben. I'm going to talk about anthropomorphized agents. I'm calling
[00:00:20.880 --> 00:00:25.280]   it personality-driven development, which is a kind of a cute name. And what we do at Perpetual
[00:00:25.280 --> 00:00:31.920]   is we build AI agents. We call them virtual teammates or AI employees. And we have really
[00:00:31.920 --> 00:00:38.000]   leaned into the idea of giving them forms and form factors. So level set on terminology,
[00:00:38.000 --> 00:00:42.720]   anthropomorphization, which I had to practice saying a whole lot. I like A18N, which I don't
[00:00:42.720 --> 00:00:47.440]   know if it will catch on. That is when you give human traits to non-human entities, right? So
[00:00:47.440 --> 00:00:54.240]   Yogi Bear or Lightning McQueen or Nemo, right? These are all anthropomorphized creatures.
[00:00:54.240 --> 00:01:01.200]   Fun fact, zoomorphization is when you do the same thing for animals. Not really relevant to this talk,
[00:01:01.200 --> 00:01:06.160]   but I thought it was kind of cool. Aslan is a good example of this, right? Aslan's a lion from Narnia.
[00:01:06.160 --> 00:01:11.840]   So it was a non-human entity or whatever, a non-animal entity that got animal characteristics.
[00:01:11.840 --> 00:01:15.040]   You can tell your boss on Monday this is what you learned at the conference.
[00:01:15.920 --> 00:01:20.320]   So these are not new ideas, right? We've seen this in software for decades, right? Clippy.
[00:01:20.320 --> 00:01:24.240]   You know, her, I actually put this on the slide before, you know, the recent
[00:01:24.240 --> 00:01:31.840]   OpenAI fiasco. But anthropomorphizing, giving technology a human form, very, very common, right?
[00:01:31.840 --> 00:01:36.400]   And we're seeing this obviously a lot more with agents, but again, not new ideas.
[00:01:37.040 --> 00:01:44.800]   Right? So Mailchimp, you know, 20 years, they've had a monkey as the form of a human that like sends email for you, right?
[00:01:44.800 --> 00:01:51.040]   So again, these are not new. But I would ask, right? So we have Siri, which is clearly not
[00:01:51.040 --> 00:01:56.000]   anthropomorphized, right? There's just no persona here. However, I'm going to make you raise your hands.
[00:01:56.720 --> 00:02:06.240]   How many think Siri or you could do Alexa 2 is female? Anyone think it's male? Got one. Anyone
[00:02:06.240 --> 00:02:11.360]   think it's non-binary or think this is just a stupid question? Right? It's very weird, right? And this is
[00:02:11.360 --> 00:02:17.120]   sort of a lot of like my learnings and my observations is that we're all people and we really like to ascribe
[00:02:17.120 --> 00:02:24.800]   human characteristics to things, right? So, well, suddenly this AI became female because it had a voice.
[00:02:24.800 --> 00:02:35.040]   And that's strange, right? So, you know, GPT 4.0. Is this female? Male? What about when you're talking
[00:02:35.040 --> 00:02:40.640]   to it? Suddenly it's like, oh, well, now it has a voice. And so suddenly it has a prescribed gender.
[00:02:40.640 --> 00:02:45.520]   And these are just weird concepts, right? And they're normal, nothing profound here. But it's interesting
[00:02:45.520 --> 00:02:50.080]   when you're thinking about product development and software development, what your customers or what
[00:02:50.080 --> 00:02:56.160]   an audience is going to perceive on the other side. The foundational models, interestingly,
[00:02:56.160 --> 00:03:01.360]   have really moved away from any of these concepts. And you can guess some of the reasons, some of them
[00:03:01.360 --> 00:03:07.520]   we'll talk about. But these are like the most modern representations of the foundational models,
[00:03:07.520 --> 00:03:12.320]   at least the ones that have consumer experiences, right? You have Copilot, you have OpenAI, you have
[00:03:12.320 --> 00:03:19.840]   Meta AI, Gemini. This is how they're being represented, right? They clearly all share a single designer for some reason.
[00:03:19.840 --> 00:03:27.440]   Actually, I want to go back to the female thing for a second. I'll keep it here. When we got a Google Home a
[00:03:27.440 --> 00:03:31.600]   couple years ago, right? The little screen you put in your kitchen that shows your photos. And I was super
[00:03:31.600 --> 00:03:37.840]   excited. And I was showing my wife. And I said, hey, look, we can set a timer and it can play music and all these
[00:03:37.840 --> 00:03:43.280]   things. And she looked at me with just this, like, look in her eyes. She's like, you could not have a
[00:03:43.280 --> 00:03:47.680]   woman in the kitchen that you boss around. She's like, and she was dead serious. She was like, that is
[00:03:47.680 --> 00:03:54.080]   unacceptable. You can't just tell a woman what to do. And I was like, it's not a woman, right? And she's
[00:03:54.080 --> 00:03:59.600]   like, I don't care. And she was very, very serious. And I was like, wow, this is remarkable how like deeply
[00:03:59.600 --> 00:04:03.440]   ingrained the star. So I changed the voice to like an Australian man. And like, now we're cool. And
[00:04:03.440 --> 00:04:10.080]   like, everyone's happy. But like, true story, right? So I think it's also helpful to think about the
[00:04:10.080 --> 00:04:15.440]   contrapositive, the opposite. Like, what is it like an AI that's like, doesn't have a form, right? So
[00:04:15.440 --> 00:04:20.480]   this is just a great example, right? The AI that's inside Google Photos is just mind blowing,
[00:04:20.480 --> 00:04:26.320]   right? Just like search for a dog, all the pictures of my beagle, like, lovely. But there's no form here.
[00:04:26.320 --> 00:04:30.640]   You don't think about Google Photos as having like, personality, right? It just, it just is.
[00:04:30.640 --> 00:04:35.200]   And the algorithm is like under the covers. Oh, another fun fact, as long as I'm talking to my
[00:04:35.200 --> 00:04:42.480]   family. So I showed this to my 11 year old Zeke. And he was like, oh, my God, Google Photos has ChatGPT
[00:04:42.480 --> 00:04:47.680]   inside. So if you wonder how, you know, Gemini's branding is going with the youth, it is not,
[00:04:47.680 --> 00:04:55.600]   not good at all. So at Perpetual, we've really leaned into this idea of
[00:04:55.600 --> 00:05:00.080]   giving agents forms and personalities. And we really took it a couple steps. And we tell our
[00:05:00.080 --> 00:05:07.680]   customers, you can give your agents their own forms. And so here's tech lead, right? Kind of a cyborg
[00:05:07.680 --> 00:05:14.000]   Android type of, you know, persona. And, you know, a member of the team writes code, does code reviews,
[00:05:14.000 --> 00:05:19.280]   things like that. But really leaned in to say, listen, they can have a personality, they can have a form
[00:05:19.280 --> 00:05:24.320]   factor, they can have preferences. And then things get real weird because our recruiter is like
[00:05:24.880 --> 00:05:28.960]   an artichoke. And it's like, oh, it's kind of like technology that's
[00:05:28.960 --> 00:05:34.000]   zoom morphized into a, or whatever you do with a vegetable that now has human characteristics.
[00:05:34.000 --> 00:05:37.520]   And it's all very bizarre. But on the other hand, it's like, oh, it actually kind of makes sense.
[00:05:37.520 --> 00:05:41.760]   You're like, I mean, it makes no sense. But it's also like, I understand this, like, it's a recruiter
[00:05:41.760 --> 00:05:46.960]   who has this form. And we have teams of agents. And these are hamsters. And they run the business.
[00:05:46.960 --> 00:05:54.240]   And we have the general manager and the graphic designer. And they represent their own roles,
[00:05:54.240 --> 00:05:58.320]   right? And on one hand, it's very amusing. So the question would be like, why are we doing this?
[00:05:58.320 --> 00:06:01.680]   And, well, I'll get to why we're doing it in a second. Let me talk about the expectations,
[00:06:01.680 --> 00:06:08.720]   because this was surprising. So customer expectations, as soon as you put a form onto something,
[00:06:08.720 --> 00:06:14.960]   like, get real. And they get real very quickly. So assumption number one is that you can chat with
[00:06:14.960 --> 00:06:19.760]   it. And there's nothing about workflow. At the end of the day, like our agents, all we're talking about
[00:06:19.760 --> 00:06:23.200]   is workflow. If we're being real, right? It's just like, it's just smart workflow. That's what we're all
[00:06:23.200 --> 00:06:28.400]   doing. There's no reason that you should be able to chat with it. But all of a sudden, oh, it has a face.
[00:06:28.400 --> 00:06:33.280]   I must be able to chat with it. Oh, do I talk with it in Slack or in Teams? Like, wait, why do you think
[00:06:33.280 --> 00:06:39.600]   that should even be a thing? But like, 100% it is. Personality. Everyone assumes it's going to have
[00:06:39.600 --> 00:06:43.920]   a personality, right? And generally, the baseline is like, you're a helpful assistant, right? So assume,
[00:06:43.920 --> 00:06:49.680]   oh, you're going to be friendly, a helpful assistant. And we've very, very quickly adopted that mental
[00:06:49.680 --> 00:06:53.920]   model. By we, I mean, customers like have adopted this mental model of just like, oh, a helpful
[00:06:53.920 --> 00:06:58.800]   assistant. That's great. You know, we let customers make, you know, make them snarky, make them funny.
[00:06:58.800 --> 00:07:02.480]   But like, at the end of the day, there's an assumption. And again, that was also weird. Like,
[00:07:02.480 --> 00:07:05.280]   why does software have personality? And suddenly with a face, it just needs it.
[00:07:05.280 --> 00:07:11.440]   Users have no patience with these things going wrong, right? We all know this stuff goes off the
[00:07:11.440 --> 00:07:15.120]   rails. It gets wrong. But like, all of software fails all the time, right? But you never hear
[00:07:15.120 --> 00:07:20.480]   people being like, fuck you, Google Sheets, right? But like, they curse those hamsters. You better
[00:07:20.480 --> 00:07:24.480]   believe it, right? It's just like, it's weird. You suddenly have this thing that you can get mad at.
[00:07:24.480 --> 00:07:29.920]   And like, you can -- this is all just psychology. It's user psychology that is really, really innate.
[00:07:29.920 --> 00:07:36.560]   And thinking about this from the perspective of product development, of, you know, software
[00:07:36.560 --> 00:07:41.280]   development, it's like, well, is there any reason that we actually do it? Like, it seems like there's,
[00:07:41.280 --> 00:07:45.040]   like -- I mean, I already named some downsides actually listed a lot more at the end. But so,
[00:07:45.040 --> 00:07:53.200]   why do we -- why do we even bother? First off, these are really easy concepts to understand, right?
[00:07:53.200 --> 00:07:59.280]   When I tell someone, oh, you have an AI software engineer. Okay, like, you instantly know what we're
