
[00:00:00.040 --> 00:00:10.700]   change
[00:00:57.600 --> 00:00:58.820]   I'm a pretty competitive person. Yeah. Um, doing sports that basically require your full attention, I think is really important to my like mental health and, and the way I just stay focused at doing everything I'm doing. So I decided to get into martial arts.
[00:00:58.820 --> 00:00:58.820]   I'm a pretty competitive person. Yeah. Um, doing sports that basically require your full attention. I think is really important to my like mental health and, and the way I just stay focused at doing everything I'm doing. So I decided to get into martial arts.
[00:00:58.820 --> 00:00:58.820]   I'm a pretty competitive person. Yeah. Um, doing sports that basically require your full attention. I think is really important to my like mental health and, and the way I just stay focused at doing everything I'm doing. So I decided to get into martial arts.
[00:01:28.840 --> 00:01:28.840]   I'm a pretty competitive person. Yeah. Um, doing sports that basically require your full attention. So I decided to get into martial arts.
[00:01:28.840 --> 00:01:28.840]   I'm a pretty competitive person. Yeah. Um, doing sports that basically require your full attention. So I decided to get into martial arts.
[00:01:28.840 --> 00:01:28.840]   I'm a pretty competitive person. Yeah. Um, doing sports that basically require your full attention. So I decided to get into martial arts.
[00:01:28.840 --> 00:01:28.840]   I'm a pretty competitive person. Yeah. Um, doing sports that basically require your full attention. So I decided to get into martial arts.
[00:01:28.840 --> 00:01:28.840]   I'm a pretty competitive person. Yeah. Um, doing sports that basically require your full attention. So I decided to get into martial arts.
[00:01:28.840 --> 00:01:28.840]   I'm a pretty competitive person. Yeah. Um, doing sports that basically require your full attention. So I decided to get into martial arts.
[00:01:28.840 --> 00:01:28.840]   I'm a pretty competitive person. Yeah. Um, doing sports that basically require your full attention. So I decided to get into martial arts.
[00:01:28.980 --> 00:01:58.860]   I'm a pretty competitive person. Yeah. Um, doing sports that basically require your full attention. So I decided to get into martial arts.
[00:01:58.860 --> 00:01:58.860]   I'm a pretty competitive person. Yeah. Um, doing sports that basically require your full attention. So I decided to get into martial arts.
[00:01:58.860 --> 00:01:58.860]   I'm a pretty competitive person. Yeah. Um, doing sports that basically require your full attention. So I decided to get into martial arts.
[00:01:58.860 --> 00:01:58.860]   I'm a pretty competitive person. Yeah. Um, doing sports that basically require your full attention. So I decided to get into martial arts.
[00:01:58.880 --> 00:02:28.880]   I'm a pretty competitive person. Yeah. Um, doing sports that basically require your full attention. So I decided to get into martial arts.
[00:02:28.880 --> 00:02:28.880]   I'm a pretty competitive person. Yeah. Um, doing sports that basically require your full attention. So I decided to get into martial arts.
[00:02:28.880 --> 00:02:28.880]   I'm a pretty competitive person. Yeah. Um, doing sports that basically require your full attention. So I decided to get into martial arts.
[00:02:28.880 --> 00:02:28.880]   I'm a pretty competitive person. Yeah. Um, doing sports that basically require your full attention. So I decided to get into martial arts.
[00:02:28.880 --> 00:02:28.880]   I'm a pretty competitive person. Yeah. Um, doing sports that basically require your full attention. So I decided to get into martial arts.
[00:02:28.900 --> 00:02:58.900]  ,
[00:02:58.900 --> 00:02:58.900]   I'm a pretty competitive person. Yeah. Um, doing sports that basically require your full attention. So I decided to get into martial arts.
