
[00:00:00.000 --> 00:00:07.240]   I asked some different women that I know, you know, if you could ask the world expert in
[00:00:07.240 --> 00:00:13.780]   exercise physiology, hormones, and nutrition, et cetera, as it relates to women, one question,
[00:00:13.780 --> 00:00:20.300]   what would it be? And one of the most common questions I got in the 50 and up category was,
[00:00:20.300 --> 00:00:27.560]   what is the most efficient way for a woman older than 50 to train for the maximum healthspan and
[00:00:27.560 --> 00:00:33.440]   lifespan benefits? I love this question because I get it all the time. We have to turn our brains
[00:00:33.440 --> 00:00:38.840]   away from everything that's been predicated before to this point. So if we're looking for longevity
[00:00:38.840 --> 00:00:43.700]   and we're looking at what we want to do when we're 80 or 90, we want to be independently living. We
[00:00:43.700 --> 00:00:49.500]   want to have good proprioception balance. We want to have good bones and we want to be strong. So this
[00:00:49.500 --> 00:00:56.420]   is where we look at 10 minutes, three times a week, jump training. So this isn't your landing softly in
[00:00:56.420 --> 00:01:02.540]   our knees. This is like impact in the skeletal system. A colleague and friend of mine, Tracy
[00:01:02.540 --> 00:01:11.640]   Klissel did a post, not a postdoc, but post research on this and is developing an app on it to show
[00:01:11.640 --> 00:01:17.080]   women how to jump to improve bone mineral density. Over the course of four months of this type of
[00:01:17.080 --> 00:01:24.500]   training, people have gone from being osteopenic to normal bone density. So it's a different type
[00:01:24.500 --> 00:01:29.940]   of stress. So if your concern is that, which a lot of women do have a concern because they lose about
[00:01:29.940 --> 00:01:33.840]   one third of their bone mass at the onset of menopause. Wow.
[00:01:33.840 --> 00:01:35.460]   Yeah. Significant amount. One third?
[00:01:35.460 --> 00:01:35.820]   Yeah.
[00:01:35.820 --> 00:01:37.100]   Goodness gracious.
[00:01:37.100 --> 00:01:41.660]   If you don't do something as an intervention. So we see a lot of women are like, oh, I'm going to go
[00:01:41.660 --> 00:01:49.060]   on menopause hormone therapy to stop bone loss. Yeah, it can be a treatment, but I always look at an
[00:01:49.060 --> 00:01:54.660]   external stress that we can put on the body that's going to invoke a change without pharmaceuticals.
[00:01:54.660 --> 00:02:01.180]   So jump training, heavy resistance training, and sprint interval training. Those are the three key
[00:02:01.180 --> 00:02:08.000]   things. And from a training standpoint, and then from a nutrition standpoint, getting protein. Protein
[00:02:08.000 --> 00:02:15.520]   is so important. When you start telling women, they need to look at around one to 1.1 grams per pound,
[00:02:15.520 --> 00:02:21.120]   which is around that two to 2.3 grams per kilo per day. They're like, whoa, that's a lot of protein.
[00:02:21.340 --> 00:02:24.400]   It is because we haven't been conditioned to eat it.
[00:02:24.400 --> 00:02:28.020]   It's a few scrambled eggs. It's a chicken rest at lunch. It's a
[00:02:28.020 --> 00:02:30.580]   small steak at dinner. Plus other things.
[00:02:30.580 --> 00:02:33.960]   Right. Exactly. And it doesn't all have to be animal products. I mean, you're looking at all
[00:02:33.960 --> 00:02:37.880]   the different beans and things that you can put together. And that's the other big thing that
[00:02:37.880 --> 00:02:43.660]   in order to build the muscle and to keep the body composition in the state that we want it to keep
[00:02:43.660 --> 00:02:49.400]   going for longevity, those are the big rocks. The sprint interval training, the heavy resistance
[00:02:49.400 --> 00:02:54.060]   training, the jump training, and the protein. I'm thinking about this. And I'm thinking about my
[00:02:54.060 --> 00:03:01.060]   mother who's 79 years old. She'll be 80 at the end of June and is in good health, walks a lot,
[00:03:01.060 --> 00:03:06.320]   gardens, does some yoga, but does none of the things that you're describing. So mom, please,
[00:03:06.320 --> 00:03:09.340]   I'm going to send her to listen to this. I got my mom to switch.
[00:03:09.340 --> 00:03:19.500]   In the same vein, what about the women out there age 20 to, maybe we make it the 20 to 40 bracket.
[00:03:19.500 --> 00:03:26.540]   And if we need to divide that more finely, we can. What is the most efficient way for them to train
[00:03:26.540 --> 00:03:29.400]   for health, vigor, and longevity?
[00:03:29.400 --> 00:03:35.840]   Making things fun for the most part. I don't want people to think that it's a chore. So if you're
[00:03:35.840 --> 00:03:40.240]   someone who's been told you need to run and you hate running, then don't run. Like that's common
[00:03:40.240 --> 00:03:48.020]   sense. And I say that because I see little kids in non-US countries that have to run across country.
[00:03:48.020 --> 00:03:53.640]   And you see these kids when they're six years old and all running around the field. And they're the
[00:03:53.640 --> 00:03:57.260]   kids that hate running that aren't natural runners. And then they hate physical activity for the rest of
[00:03:57.260 --> 00:04:02.480]   their life. So I put that in, like when you are exercising, you want to find something that you find
[00:04:02.480 --> 00:04:08.040]   fun. When you're in your twenties to forties, you have more room to get away with things that might
[00:04:08.040 --> 00:04:14.280]   not be optimal for you when you start to get older. Big rock again is resistance training. It doesn't
[00:04:14.280 --> 00:04:18.840]   have to be heavy resistance training. Like I said earlier to failure, you're periodizing. If you want
[00:04:18.840 --> 00:04:23.520]   to do a block of Olympic lifting, go for it. If you're like, I'm not comfortable doing that kind of
[00:04:23.520 --> 00:04:28.440]   lifting. I want to do more machine stuff. Great. But we want to make sure that you're changing it up all
[00:04:28.440 --> 00:04:32.940]   the time to keep things moving and shaking with regards to strength and hypertrophy.
[00:04:32.940 --> 00:04:38.860]   And then it becomes more of, are you training for something that's endurance? Are you looking for
[00:04:38.860 --> 00:04:45.640]   just longevity for brain health? We need to have some lactate production because women, as I said,
