
[00:00:00.000 --> 00:00:04.800]   [MUSIC PLAYING]
[00:00:04.800 --> 00:00:06.160]   Hi, Kaljien here.
[00:00:06.160 --> 00:00:09.440]   A follow-up question to your semester plans,
[00:00:09.440 --> 00:00:11.880]   a fellow academic here as well.
[00:00:11.880 --> 00:00:16.680]   How do you factor in teaching in your semester plans?
[00:00:16.680 --> 00:00:20.240]   So I get the research component, but how
[00:00:20.240 --> 00:00:23.960]   do you factor in teaching in your semester strategic plans,
[00:00:23.960 --> 00:00:27.040]   that is prep and everything else?
[00:00:27.040 --> 00:00:33.480]   And then how do you factor in your personal semester goals
[00:00:33.480 --> 00:00:37.440]   or strategic goals, however you may want to call them,
[00:00:37.440 --> 00:00:40.760]   in the semester plans?
[00:00:40.760 --> 00:00:42.440]   So looking forward to hearing from you,
[00:00:42.440 --> 00:00:45.680]   and thank you so much for all you do.
[00:00:45.680 --> 00:00:48.360]   As I said, following you for the last many, many years,
[00:00:48.360 --> 00:00:50.040]   so appreciate it.
[00:00:50.040 --> 00:00:53.240]   Looking forward to hearing your take on incorporating
[00:00:53.240 --> 00:00:58.000]   all the wheels of academia into the strategic plans.
[00:00:58.000 --> 00:01:00.120]   Thank you.
[00:01:00.120 --> 00:01:02.800]   Well, when it comes to my plan for the upcoming semester,
[00:01:02.800 --> 00:01:04.800]   I start with teaching.
[00:01:04.800 --> 00:01:06.640]   That's my starting point, because obviously,
[00:01:06.640 --> 00:01:09.480]   the teaching is something that has to happen,
[00:01:09.480 --> 00:01:13.760]   and it has to happen at a consistently high level.
[00:01:13.760 --> 00:01:15.400]   Now, the good news about teaching
[00:01:15.400 --> 00:01:18.440]   is that after you've taught a class a few times,
[00:01:18.440 --> 00:01:22.760]   the work that's required becomes quite predictable.
[00:01:22.760 --> 00:01:24.480]   So you know what you're in for.
[00:01:24.480 --> 00:01:26.080]   It doesn't have the same uncertainty
[00:01:26.080 --> 00:01:27.960]   that research does, where you don't know,
[00:01:27.960 --> 00:01:29.280]   is this going to work or not?
[00:01:29.280 --> 00:01:31.120]   Are you going to come across a topic that's interesting?
[00:01:31.120 --> 00:01:32.240]   Is it going to take a ton of time?
[00:01:32.240 --> 00:01:34.000]   Are you going to have a quick breakthrough?
[00:01:34.000 --> 00:01:36.320]   That can be really hard to predict and plan.
[00:01:36.320 --> 00:01:37.680]   Teaching, you know.
[00:01:37.680 --> 00:01:38.960]   Taught this class twice before.
[00:01:38.960 --> 00:01:40.680]   I know what's involved.
[00:01:40.680 --> 00:01:45.080]   So my approach typically is to automate everything.
[00:01:45.080 --> 00:01:48.400]   I'm using the word automate here in an idiosyncratic way
[00:01:48.400 --> 00:01:52.160]   that's unique to the way I talk about work and productivity.
