
[00:00:00.000 --> 00:00:02.040]   The following is a conversation with Scott Horton.
[00:00:02.040 --> 00:00:09.080]   He's the director of the Libertarian Institute, editorial director of ntawar.com, co-host of
[00:00:09.080 --> 00:00:15.340]   Provoked, and host of The Scott Horton Show, on which he has done over 6,000 interviews
[00:00:15.340 --> 00:00:16.980]   since 2003.
[00:00:16.980 --> 00:00:24.300]   He's the author of Provoked, Enough Already, and other books and articles that have, over
[00:00:24.300 --> 00:00:30.560]   the past three decades, criticized U.S. foreign policy, especially in regard to military
[00:00:30.560 --> 00:00:34.220]   interventionism and the military-industrial complex.
[00:00:34.220 --> 00:00:36.860]   This is the Lex Frutman Podcast.
[00:00:36.860 --> 00:00:40.000]   To support it, please check out our sponsors in the description.
[00:00:40.000 --> 00:00:43.880]   And now, dear friends, here's Scott Horton.
[00:00:43.880 --> 00:00:50.360]   I think one of the darkest and most disturbing chapters of modern American history is everything
[00:00:50.360 --> 00:00:54.180]   that happened around conducting the so-called wars on terror.
[00:00:54.180 --> 00:00:57.000]   I think, to me, it was a wake-up call.
[00:00:57.000 --> 00:01:02.440]   I think it was a wake-up call to a lot of Americans in understanding and seeing the military-industrial
[00:01:02.440 --> 00:01:12.120]   complex and seeing what the government's capacity is to mislead us into war and to continuously
[00:01:12.120 --> 00:01:13.640]   erode basic human freedoms.
[00:01:13.640 --> 00:01:19.460]   If I can, allow me to list some of the estimates from the Cost of War project from Brown University,
[00:01:19.700 --> 00:01:22.600]   just so we understand the cost of these wars.
[00:01:22.600 --> 00:01:32.280]   The post-9-11 wars in Afghanistan, Iraq, Syria, Pakistan, and Yemen led to an estimated 900,000 to 940,000 direct deaths
[00:01:32.280 --> 00:01:36.300]   and 3.6 to 3.8 million indirect deaths.
[00:01:36.880 --> 00:01:47.480]   And the cost, in terms of dollars, was $8 trillion, with $2.2 trillion on Afghanistan and $2.9 trillion on Iraq and Syria.
[00:01:47.700 --> 00:01:55.980]   And the result on every front, as we'll talk about, I think it's fair to say, that it did not accomplish this purpose.
[00:01:55.980 --> 00:02:05.580]   And in fact, if we even just look at the human toll of the people of Afghanistan, I was also looking at the numbers before the war and after the war.
[00:02:05.580 --> 00:02:10.140]   percent of Afghans facing food insecurity went from 62% to 92%.
[00:02:10.140 --> 00:02:15.660]   Percent of children under five experiencing acute malnutrition went from 9% to 50%.
[00:02:15.660 --> 00:02:20.240]   Percent of Afghans living in poverty went from 80% to 97%.
[00:02:20.240 --> 00:02:25.400]   So it was extremely costly for Americans, and it was extremely costly for Afghans.
[00:02:25.400 --> 00:02:36.520]   As you do in your book enough already, can you lay out how the full history, the full context of how it is that the American people were misled into this war on terror
[00:02:36.520 --> 00:02:38.780]   that was so costly in so many ways?
[00:02:38.780 --> 00:02:41.160]   Yeah, first of all, thank you for having me again.
[00:02:41.160 --> 00:02:42.220]   It's great to be with you on the show.
[00:02:42.580 --> 00:02:51.580]   One important statistic that you could have mentioned from the cost of war project as well is 37 million people displaced from their homes, right?
[00:02:51.580 --> 00:02:57.700]   And the same group, it was, Lex, I'm telling you, it was at least five years ago.
[00:02:57.700 --> 00:02:59.100]   God, it's the future.
[00:02:59.100 --> 00:03:07.400]   Now, this may have been seven, eight years ago that they did a study that determined that 30,000 American servicemen had blown their own brains out since then.
[00:03:07.400 --> 00:03:11.180]   Well, one way or the other, deliberately crashing their motorcycle or whatever it is.
