
[00:00:00.040 --> 00:00:09.480]   ghee
[00:00:09.480 --> 00:00:27.700]   even� quest:
[00:00:28.540 --> 00:00:57.040]   Our society has reached a pinnacle of self-expression and respect for individuality rare or unmatched in history. Our entire popular culture, from fashion magazines to the cinema, positively screams the matchless worth of the individual, and glories in eccentricity, non-conceptuality, and a sense of self-worth.
[00:00:57.040 --> 00:00:57.040]   The public interest, a quarterly journal of opinion published by National Affairs, Inc. Our society has reached a pinnacle of self-expression and respect for individuality, rare or unmatched in history. Our entire popular culture, from fashion magazines to the cinema, positively screams the matchless worth of the individual, and glories in eccentricity, non-conceptuality, and a sense of self-worth.
[00:00:57.080 --> 00:00:59.040]   child
[00:00:59.040 --> 00:01:07.520]  �
[00:01:07.520 --> 00:01:11.280]   functions. T T T T It It I become belong系 persuade지�實 anche 식�Gurgerор � dicht COVID B K T B L P до P T P的話
[00:01:11.280 --> 00:01:23.760]   less
[00:01:23.760 --> 00:01:25.200]   ändern a
[00:01:25.460 --> 00:01:53.840]   didnt say it in the beginning, but it did in the beginning. So this is a very incalculable self-worth. The media and the law enforcement establishment continually advises us that, when confronted with the threat of lethal violence, we should not resist, but simply give the attacker what he wants. If the crime under consideration is rape, there is some notable waffling on this point. And the discussion quickly moves to how the woman can change her behavior to minimize the risk of rape, and the various ridiculous, non-lethal weapons she may acceptably carry, such as whistles, keys, mace, or that weapon.
[00:01:53.880 --> 00:02:01.520]   Lil
[00:02:01.520 --> 00:02:04.260]   won,
[00:02:04.260 --> 00:02:21.140]   Go Soỏ Ad make a you con something
[00:02:21.140 --> 00:02:22.500]   but the but the BBQ the table the provide the rent the hung the yourü 這 Orion THEерв the NPCC the excit formul theiful the trait of a Parsion, the較 PEI, the--"잖아, to, the, the, a, of, the, or, "N, " меся, "auf, "G, "G" " дом, "" "將, "M, "P, "N". "innen, "" " política" "S" "B" "I "200" "B "Spe" " cabbage" " teşekkür" "" " basin " - " half" " gagn" " hidden "完" "blo" "發 "üssel " em " WWE" " younger in a " Или" "TAA " heat " Britt " instal "лена me " ci " Bol" at " connector" cost " lying scare " sculpture "
[00:02:22.560 --> 00:02:26.780]   with great dignity and poise, simply hand over the goods.
[00:02:26.780 --> 00:02:30.920]   The assumption, of course, is that there is no inconsistency.
[00:02:30.920 --> 00:02:40.340]   The advice not to resist a criminal assault and simply hand over the goods is founded on the notion that one's life is of incalculable value and that no amount of property is worth it.
[00:02:40.340 --> 00:02:51.940]   Put aside for a moment the outrageousness of the suggestion that a criminal who proffers lethal violence should be treated as if he has instituted a new social contract, I will not hurt or kill you if you give me what I want.
[00:02:51.940 --> 00:02:51.940]   I will not hurt or kill you if you give me what I want.
[00:02:51.940 --> 00:02:52.180]   I will not hurt or kill you if you give me what I want.
[00:02:52.180 --> 00:02:52.280]   I will not hurt or kill you if you give me what I want.
[00:02:52.280 --> 00:02:52.340]   I will not hurt or kill you if you give me what I want.
[00:02:52.340 --> 00:02:52.580]   I will not hurt or kill you if you give me what I want.
[00:02:52.580 --> 00:03:22.620]  , I will not hurt or kill you if you give me what I want.
[00:03:22.620 --> 00:03:22.620]   I will not hurt or kill you if you give me what I want.
[00:03:22.620 --> 00:03:22.620]   I will not hurt or kill you if you give me what I want.
[00:03:22.620 --> 00:03:22.620]   I will not hurt or kill you if you give me what I want.
[00:03:22.620 --> 00:03:22.620]   I will not hurt or kill you if you give me what I want.
[00:03:22.620 --> 00:03:22.620]   I will not hurt or kill you if you give me what I want.
[00:03:22.620 --> 00:03:22.620]   I will not hurt or kill you if you give me what I want.
[00:03:22.620 --> 00:03:22.620]   I will not hurt or kill you if you give me what I want.
[00:03:22.620 --> 00:03:22.620]   I will not hurt or kill you if you give me what I want. I will not hurt or kill you if you give me what I want.
[00:03:22.660 --> 00:03:31.360]   de
[00:03:31.360 --> 00:03:50.500]   2. screen fine, lion,
[00:04:22.100 --> 00:04:22.100]   He that suffers his life to be taken from him by one that has no authority for that purpose, when he might preserve it by defense, incurs the guilt of self-murder, since God hasn't joined him to seek the continuance of his life, and nature itself teaches every creature to defend itself.
[00:04:22.100 --> 00:04:22.100]   -----
[00:04:22.100 --> 00:04:22.100]   from the book of Proverbs, chapter 3, verse 1 to 2.
[00:04:22.100 --> 00:04:22.100]   -----
[00:04:22.100 --> 00:04:22.100]   -----
[00:04:22.100 --> 00:04:22.140]   -----
[00:04:51.880 --> 00:04:51.880]   -----
[00:04:51.880 --> 00:04:51.880]   -----
[00:04:51.880 --> 00:04:51.900]   -----
[00:04:51.900 --> 00:04:51.920]   -----
[00:04:51.960 --> 00:05:01.760]   talk
[00:05:01.760 --> 00:05:17.480]   Berg cannot like
[00:05:47.000 --> 00:05:47.000]   The
[00:05:47.000 --> 00:05:47.000]   The
[00:05:47.000 --> 00:05:47.000]   The
[00:06:14.540 --> 00:06:14.540]   The
[00:06:14.540 --> 00:06:15.040]   The
[00:06:15.040 --> 00:06:15.040]   The
[00:06:43.900 --> 00:06:43.980]   The
[00:07:12.840 --> 00:07:14.000]   are not the only people who are being called a criminal. In so far as the police deter by their presence, they are very, very good. Criminals take great pains not to commit a crime in front of them. Unfortunately, the corollary is that you can pretty much bet your life, and you are, that they won't be there at the moment you actually need them. Should you ever be the victim of an assault, a robbery, or a rape, you will find it very difficult to call the police while the act is in progress, even if you are carrying a, you know, a gun.
[00:07:14.000 --> 00:07:14.000]   A
[00:07:14.000 --> 00:07:14.000]   a
[00:07:44.020 --> 00:07:44.020]   a
[00:07:44.020 --> 00:07:44.020]   a
[00:07:44.020 --> 00:07:44.020]   a p
[00:07:44.060 --> 00:07:49.660]   provide
[00:07:49.660 --> 00:07:54.980]  �� blessed after
[00:07:54.980 --> 00:08:14.040]   зн noitudes escal Sec De Ste deliberately
[00:09:14.080 --> 00:09:14.080]  ,
[00:09:14.080 --> 00:09:14.080]   and
[00:09:14.080 --> 00:09:14.080]   the police are asking a criminal to protect yourself from being a victim of a crime that you have committed to your own country.
[00:09:14.080 --> 00:09:14.080]   The police are asking another human being to risk his life to protect yours when you will assume no responsibility yourself. Because that is his job and we pay him to do it. Because your life is of incalculable value but his is only worth the $30,000 salary we pay him. If you believe it reprehensible to possess the means and will to use lethal force to repel a criminal assault, how can you call upon another to do so for you? If you believe that you are forbidden to protect yourself because the police are begging you to do so, how can you call upon another to do so for you?
[00:10:14.160 --> 00:10:44.140]   "You can't do it the way you want to. You can't do it the way you want to."
[00:11:14.200 --> 00:11:24.560]   tap
[00:11:24.560 --> 00:11:42.760]  � in a did
[00:12:40.900 --> 00:12:50.880]  哦
[00:12:50.880 --> 00:12:51.220]   don no that�
[00:12:51.220 --> 00:12:54.440]   Harmon
