
[00:00:00.000 --> 00:00:05.400]   Welcome to Huberman Lab Essentials, where we revisit past episodes for the most potent and
[00:00:05.400 --> 00:00:10.000]   actionable science-based tools for mental health, physical health, and performance.
[00:00:10.000 --> 00:00:15.920]   I'm Andrew Huberman, and I'm a professor of neurobiology and ophthalmology at Stanford
[00:00:15.920 --> 00:00:21.940]   School of Medicine. And now, my conversation with Dr. Aaliyah Crum. Well, great to have you here.
[00:00:21.940 --> 00:00:23.020]   Great to be here.
[00:00:23.020 --> 00:00:29.200]   Yeah. Just to start off, you know, you've talked a lot and worked a lot on the science of mindsets.
[00:00:29.320 --> 00:00:34.520]   Could you define for us what is a mindset and what sort of purpose does it serve?
[00:00:34.520 --> 00:00:42.920]   We define mindsets as core beliefs or assumptions that we have about a domain or category of things
[00:00:42.920 --> 00:00:52.300]   that orient us to a particular set of expectations, explanations, and goals. I can distill it down
[00:00:52.300 --> 00:00:57.800]   for you. So mindsets are an assumption that you make about a domain. So take stress, for example,
[00:00:58.640 --> 00:01:04.860]   stress. What's your sort of core belief about that? Do you view stress as enhancing, good for you,
[00:01:04.860 --> 00:01:11.240]   or do you view it as debilitating and bad for you? Those mindsets, those core beliefs, orient our
[00:01:11.240 --> 00:01:17.020]   thinking. They change what we expect will happen to us when we're stressed, how we explain the
[00:01:17.020 --> 00:01:23.200]   occurrences that happen or unfold when we're stressed, and also change our motivation for what
[00:01:23.200 --> 00:01:28.160]   we engage in when we're stressed. Sort of distilling down those core assumptions that really shape and
[00:01:28.160 --> 00:01:30.040]   orient our thinking and action.
[00:01:30.040 --> 00:01:35.660]   I've heard you say before that mindsets simplify life in some way by constraining the number of things
[00:01:35.660 --> 00:01:41.620]   that we have to consider. And it sounds to me like we can have mindsets about many things. As you said,
[00:01:41.980 --> 00:01:47.440]   many people are familiar with our colleague Carol Dweck's notion of growth mindset, that if we're not
[00:01:47.440 --> 00:01:53.600]   proficient at something that we should think about not being proficient yet, that we are on some path to
[00:01:53.600 --> 00:02:01.000]   proficiency. But what are some examples of mindsets? And how early do these get laid down? Or do we learn them from
[00:02:01.000 --> 00:02:05.940]   our parents? Yeah, sure. So I think it's important with Carol Dweck's work, a lot of people kind of get
[00:02:05.940 --> 00:02:12.840]   focused on growth motivation and all these things. But her work really originated from thinking about
[00:02:12.840 --> 00:02:19.600]   what she called those implicit theories or core beliefs about the nature of intelligence or ability.
[00:02:19.600 --> 00:02:27.980]   Right. So do you believe that your baseline levels of intelligence are fixed, static, set throughout the rest of
[00:02:27.980 --> 00:02:35.360]   your life? Or do you believe that they can grow and change? And the reality is, as it always is complex, and it's a bit of
[00:02:35.360 --> 00:02:42.160]   both, and it's all these things. But as humans, we need these simplifying systems to help us understand a complex
[00:02:42.160 --> 00:02:51.340]   reality. But they're not inconsequential, right? They matter in shaping our motivation. And as she has shown, if you have the
[00:02:51.340 --> 00:02:57.260]   mindset that intelligence is malleable, you're motivated to work harder to grow your
[00:02:57.260 --> 00:03:02.700]   intelligence. If you have the mindset that it's fixed, why work harder at math if you don't think you're good at it?
[00:03:02.700 --> 00:03:13.080]   What our work has aimed to do is to expand the range of mindsets that we are studying, focused on, and also
[00:03:13.080 --> 00:03:18.980]   understand and expand the range of effects that they have. So I mentioned, you know, mindsets about stress.
[00:03:18.980 --> 00:03:26.540]   We've also looked at mindsets about food and healthy eating. So do you have the mindset that foods that are good for you, healthy
[00:03:26.540 --> 00:03:34.600]   foods are disgusting and depriving? Or do you have the mindset that healthy foods are indulgent and delicious?
[00:03:34.600 --> 00:03:43.160]   Generally, people, at least in our culture in the West, have this view that stress is debilitating, healthy foods are
[00:03:43.160 --> 00:03:49.960]   disgusting and depriving. And those mindsets, whether or not they're true or false, right or wrong, they have an impact.
[00:03:50.340 --> 00:04:05.220]   And they have an impact not just through the motivational mechanisms that Dweck and others have studied, but as our lab has started to reveal, they also shape physiological mechanisms by changing what our bodies prioritize and prepare to do.
[00:04:05.220 --> 00:04:15.660]   We've looked at mindsets about exercise. Do you feel like you're getting enough? Or do you feel like you're getting an insufficient amount to get the health benefits you're seeking?
[00:04:16.000 --> 00:04:24.920]   Mindsets about illness? Do you view cancer as an unmitigated catastrophe? Or do you view cancer as manageable?
[00:04:24.920 --> 00:04:36.500]   We've looked at mindsets about symptoms and side effects. Do you view side effects as, you know, a sign that the treatment is harmful? Or do you view side effects as a sign that the treatment is working?
[00:04:36.860 --> 00:04:55.680]   Again, these are sort of core beliefs or assumptions you have about these domains or categories, but they matter because they're shaping, they're synthesizing and simplifying the way we're thinking, but they're also shaping what we're paying attention to, what we're motivated to do, and potentially even how our bodies respond.
[00:04:56.040 --> 00:05:10.100]   I'd love to talk about this notion of mindset shaping, how our bodies respond. And maybe as an example of this, if you could share with us this now famous study that you've done with a milkshake study.
[00:05:10.680 --> 00:05:23.200]   Certainly, yeah, this was a study that I ran as a graduate student at Yale University. I was working with Kelly Brownell and Peter Salovey. Peter Salovey had done a lot of work on really coining the term emotional intelligence, studying that.
[00:05:23.200 --> 00:05:24.080]   He's now the president of Yale, right?
[00:05:24.080 --> 00:05:25.580]   He's now the president of Yale, yes.
[00:05:25.580 --> 00:05:26.240]   So he's done well.
[00:05:26.240 --> 00:05:29.700]   He's done well for himself and for the university and society.
[00:05:29.700 --> 00:05:41.120]   I had come in doing some previous work on mindsets about exercise and placebo effects and exercise, and it really occurred to me that there was a very simple question that hadn't been probed yet.
[00:05:41.120 --> 00:05:53.780]   And that was, do our beliefs about what we're eating change our body's physiological response to that food, holding constant the objective nutrients of that thing?
[00:05:54.260 --> 00:06:04.540]   So that question might sound outrageous at first, but it was, it's really not outrageous if you're coming from a place of having studied in depth placebo effects.
[00:06:04.540 --> 00:06:23.580]   So placebo effects are this robust demonstration in which simply taking a sugar pill, taking nothing, under the impression that it's a real medication that might relieve your asthma, reduce your blood pressure, boost your immune system, can lead to those physiological effects,
[00:06:23.880 --> 00:06:26.000]   even though there's no objective nutrients.
[00:06:26.000 --> 00:06:40.160]   And we have more evidence on placebo effects than we have for any other drug because of, because of the clinical trial process in which all new drugs and medication are, medications are required to outperform a placebo effect.
