
[00:00:00.000 --> 00:00:21.240]   I think we've all noticed tools like vZero getting pretty good at generative UI and creating
[00:00:21.240 --> 00:00:28.920]   good-looking things as well as Claude code being able to let us run things more complicated locally
[00:00:28.920 --> 00:00:36.180]   and build on those things so I think the the thing that comes out of this is designers product people
[00:00:36.180 --> 00:00:39.960]   and engineers all building together and I'm really excited about that because I've never loved the
[00:00:39.960 --> 00:00:47.280]   the divides and between these things so this really lets us get rid of in my mind get rid of
[00:00:47.280 --> 00:00:54.420]   mock-ups get rid of the click-through prototypes and all the hand-wringing about whether the thing
[00:00:54.420 --> 00:01:00.900]   that we're building is worth the engineering effort so as we as we go into this it's time for us to
[00:01:00.900 --> 00:01:06.300]   jump in and feel the material that we're working with and see what emerges so I'll give you a super
[00:01:06.300 --> 00:01:13.740]   quick overview of flat files AI stack this is not an official diagram but it's how I see it and we
[00:01:13.740 --> 00:01:21.420]   migrate data big if you need to move a lot of data between systems frequently you use our developer
[00:01:21.420 --> 00:01:26.100]   platform and since we're a developer platform LMs are good at writing code makes it the perfect place
[00:01:26.100 --> 00:01:33.060]   for a lot of AI at the bottom here we have our customers flat file applications that they deploy to
[00:01:33.060 --> 00:01:39.360]   our infrastructure then there's this like real-time context which is the data and the validation outcome
[00:01:39.360 --> 00:01:44.820]   so what are the errors and warnings and things that are in that that data that dirty data and then our
[00:01:44.820 --> 00:01:51.960]   AI agents the tools they have and the jobs that they can run and then what gets shown to users so I see it
[00:01:51.960 --> 00:01:57.840]   as four buckets here there's more there's invisible so it's kind of like the ghost in the machine almost
[00:01:57.840 --> 00:02:03.840]   called called that ghost ambient so it's kind of happening in the space but you're not directly
[00:02:03.840 --> 00:02:09.960]   working with it in line so it's actually in your work in your workflow and then conversational the ones
[00:02:09.960 --> 00:02:16.560]   that were I guess all arguing about I think that's what I learned being here at this conference here's
[00:02:16.560 --> 00:02:22.740]   an example of invisible so when you start if you sign up for a flat file we go in the background we take
[00:02:22.740 --> 00:02:27.960]   your email address you find the company you work for we look it up and in the background the AI agents
[00:02:27.960 --> 00:02:33.060]   are writing a flat file application so they're writing code and essentially sending you up a demo
[00:02:33.060 --> 00:02:38.340]   that is perfect for your use case so if you come in you're from an HR company you're gonna get an HR
[00:02:38.340 --> 00:02:44.340]   demo and while that's running you don't need to know that AI is working on it so that I'd say is like
[00:02:44.340 --> 00:02:49.800]   it's working in the background here's something working more ambiently it's a very initial take on
[00:02:49.800 --> 00:02:55.740]   this but you can see there's something an agent analyzing the data in the background this is a tool
[00:02:55.740 --> 00:03:03.180]   actually I lead this team for AI transformation and you can see the little sparkles pop up on the columns
[00:03:03.180 --> 00:03:09.900]   when it finds opportunities to fix it so that's ambient this is in line so you're busy working in the data
[00:03:09.900 --> 00:03:17.800]   and the AI is able you're able to use the AI I'm directly in line here to fix the data these agents are
[00:03:17.800 --> 00:03:23.740]   writing code that then gets run on this data set so you could have a million rows and 50 columns or
