
[00:00:00.000 --> 00:00:04.880]   [Intro]
[00:00:04.880 --> 00:00:10.600]   The prosperity gospel is alive and well. It seeps into American churches, it's been called
[00:00:10.600 --> 00:00:17.100]   America's theological export to Africa, and it has seeped into the American prison system
[00:00:17.100 --> 00:00:23.680]   of all places, even in Angola. Angola is the largest maximum security prison in the US.
[00:00:23.680 --> 00:00:31.460]   An 18,000 acre complex comprised of five former plantations now home to 6,300 prisoners, limited
[00:00:31.460 --> 00:00:37.280]   to only murderers, rapists, armed robbers, and habitual felons. The average sentence
[00:00:37.280 --> 00:00:44.760]   here is 88 years, with 3,200 people in one place serving life sentences. 90% of the inmates
[00:00:44.760 --> 00:00:46.400]   will die here.
[00:00:46.400 --> 00:00:52.360]   Yes, the prosperity gospel even reaches into a place like that. John Piper traveled to
[00:00:52.360 --> 00:00:58.080]   Louisiana and preached in Angola's chapel on November 20th, 2009. About 800 prisoners
[00:00:58.080 --> 00:01:02.800]   packed in to hear a message on John 6, on Jesus' feeding of the 5,000, and his walk
[00:01:02.800 --> 00:01:07.360]   on water. "I preached with all my heart to those who could fit in the chapel," Piper
[00:01:07.360 --> 00:01:10.400]   recounted later. "I pulled no punches."
[00:01:10.400 --> 00:01:13.880]   Hundreds of other prisoners heard the sermon through closed circuit television, including
[00:01:13.880 --> 00:01:18.760]   those on death row, like Gerald Bordelon, a convicted rapist and child murderer we met
[00:01:18.760 --> 00:01:25.280]   in episode 1445. Piper pulled no punches, and the result is one of my favorite all-time
[00:01:25.280 --> 00:01:30.760]   sermons. Pastor John, it is most urgent. Here's a clip from that Angola sermon.
[00:01:30.760 --> 00:01:38.280]   I want very much to say the best news in all the world for Christians is on the other side
[00:01:38.280 --> 00:01:43.960]   there's life. So there's another young lady in our church, young, late 40s, four kids,
[00:01:43.960 --> 00:01:52.960]   two in college, two smaller, and the doctors have told her maybe two weeks before her leukemia
[00:01:52.960 --> 00:01:59.080]   takes her out. We're still praying, "Oh God, make this last ditch, unusual, creative, never
[00:01:59.080 --> 00:02:06.440]   tried before kind of chemo. Do the thing that might do it," but they are preparing themselves.
[00:02:06.440 --> 00:02:15.920]   And oh, I am willing big time to do that funeral if it comes, because I've got such good news
[00:02:15.920 --> 00:02:23.480]   for that elder in my church and that family and those kids. God cares about the body.
[00:02:23.480 --> 00:02:33.400]   He'll never, ever throw it away. He will make it new, but he didn't come mainly to do that
[00:02:33.400 --> 00:02:41.680]   here. He didn't come mainly to cause all of our physical desires to be satisfied, but
[00:02:41.680 --> 00:02:48.160]   to change those desires at their core so that he becomes our treasure over everything. And
[00:02:48.160 --> 00:02:56.480]   that can happen in this prison way better sometimes than it can in the free, prosperous,
[00:02:56.480 --> 00:03:06.480]   hell-bent world. So I hope you men get this, that Jesus Christ came into the world to do
[00:03:06.480 --> 00:03:15.400]   mainly what can be done here, mainly to do what can be done here in human beings, treasuring
[00:03:15.400 --> 00:03:21.920]   him, loving him, following him, living for him, rejoicing in him, being satisfied in
[00:03:21.920 --> 00:03:28.080]   him, making much of him in everything you do morning to night can be done anywhere on
[00:03:28.080 --> 00:03:34.080]   the planet, and that's the main reason we exist. That's the main point of the message.
[00:03:34.080 --> 00:03:38.560]   Now let's go to the text. So if you have your Bible, you can read with me. If you don't,
[00:03:38.560 --> 00:03:48.120]   well just listen. Verses 1 to 15 is the story of the feeding of the 5,000. It goes like
[00:03:48.120 --> 00:03:53.160]   this. After this, Jesus went away to the other side of the Sea of Galilee, which is the Sea
[00:03:53.160 --> 00:04:00.480]   of Tiberias. And a large crowd was following him because they saw signs that he was doing
[00:04:00.480 --> 00:04:06.440]   on the sick. Verse 3, "Jesus went up on the mountain, and there he sat down with his disciples.
[00:04:06.440 --> 00:04:13.840]   Now the Passover, the feast of the Jews, was at hand. Lifting up his eyes then and seeing
[00:04:13.840 --> 00:04:19.440]   that a large crowd was coming toward him, Jesus said to Philip, 'Where are we to buy
[00:04:19.440 --> 00:04:27.740]   bread so that these people may eat?' And he said this to test him, to test him, for he
[00:04:27.740 --> 00:04:35.240]   himself knew what he would do. Philip answered him, 'Two hundred denarii, that's 200 days'
[00:04:35.240 --> 00:04:42.320]   wages, would not buy enough bread for each of them to get a little.' One of his disciples,
[00:04:42.320 --> 00:04:46.840]   Andrew Simon Peter's brother, said, 'There's a boy here who has five barley loaves and
[00:04:46.840 --> 00:04:54.480]   two fish, but what are they for so many?' Jesus said, 'Have the people sit down.' Now
[00:04:54.480 --> 00:05:00.160]   there was much grass in that place, so the men sat down about 5,000 in number. Jesus
[00:05:00.160 --> 00:05:06.840]   then took the loaves, and when he had given thanks, he distributed them to those who were
[00:05:06.840 --> 00:05:15.240]   seated. So also the fish, as much as they wanted. And when they had eaten their fill,
[00:05:15.240 --> 00:05:23.920]   of what he distributed, when they had eaten their fill, he said, 'Gather up the leftover
