
[00:00:00.000 --> 00:00:01.720]   Stocks versus real estate.
[00:00:01.720 --> 00:00:04.080]   What is the best way to build your wealth?
[00:00:04.080 --> 00:00:07.120]   Today, we are putting them head to head to find out.
[00:00:07.120 --> 00:00:11.280]   If you look at the past 150 years of data on an unlevered basis,
[00:00:11.280 --> 00:00:13.960]   stocks have definitely delivered the best nominal returns.
[00:00:13.960 --> 00:00:17.840]   It's really one of the fastest, easiest ways to get into investing.
[00:00:17.840 --> 00:00:22.320]   If you want to maximize your wealth, especially early in your career,
[00:00:22.320 --> 00:00:25.120]   real estate investing is by far the best way to do it.
[00:00:25.120 --> 00:00:28.920]   I'm Chris Hutchins, and this is All The Hacks, a show about upgrading your life,
[00:00:28.920 --> 00:00:32.200]   money and travel. Today, we have two of the biggest players in investing.
[00:00:32.200 --> 00:00:34.240]   Joining me in a head to head debate.
[00:00:34.240 --> 00:00:38.400]   We have Jason Moser and Matt Argesinger from The Motley Fool going up against
[00:00:38.400 --> 00:00:41.280]   Scott Trench and Dave Meyer from Bigger Pockets.
[00:00:41.280 --> 00:00:46.120]   I am excited to be your moderator to talk stocks versus real estate.
[00:00:46.120 --> 00:00:47.040]   Let's get into it.
[00:00:47.040 --> 00:00:51.880]   Welcome, everybody, I am so excited to be hosting this.
[00:00:51.880 --> 00:00:53.600]   Let's just kick it off right now.
[00:00:53.600 --> 00:00:57.000]   I want to jump to the Bigger Pockets team, the Motley Fool team.
[00:00:57.000 --> 00:00:58.640]   Thank you for being here.
[00:00:58.640 --> 00:01:02.120]   Can you guys just start on each side explaining to the audience
[00:01:02.120 --> 00:01:04.440]   what stock investing and real estate investing is?
[00:01:04.440 --> 00:01:05.760]   Maybe define it for people.
[00:01:05.760 --> 00:01:07.360]   Sure. So I'll start on that one.
[00:01:07.360 --> 00:01:10.600]   Real estate investing is the act of purchasing real estate investing.
[00:01:10.600 --> 00:01:14.280]   To me, the act of investing in real estate is purchasing real property,
[00:01:14.280 --> 00:01:18.120]   holding on to it and operating it at its highest and best use
[00:01:18.120 --> 00:01:21.400]   in order to generate cash flow and benefit from long term appreciation.
[00:01:21.400 --> 00:01:25.120]   You can also, in the act of doing that, experience tax benefits
[00:01:25.120 --> 00:01:29.280]   and amortization of debts of debt if it was used to finance the purchase.
[00:01:29.280 --> 00:01:31.360]   All right. I guess I'll do the stock side.
[00:01:31.360 --> 00:01:33.280]   That was nice and succinct.
[00:01:33.280 --> 00:01:37.120]   I will say I think it's easy to think of stock investing as
[00:01:37.120 --> 00:01:40.840]   trading a bunch of green and red numbers on a screen.
[00:01:40.840 --> 00:01:44.600]   Prices, ticker symbols, many of which we don't even understand,
[00:01:44.600 --> 00:01:47.680]   jumping around every day and in some days jumping around a lot.
[00:01:47.680 --> 00:01:50.680]   But I think the key thing to remember with stock
[00:01:50.680 --> 00:01:53.800]   investing is what those symbols and prices really are.
[00:01:53.960 --> 00:01:55.920]   They are pieces of real businesses.
[00:01:55.920 --> 00:02:00.200]   You as an investor, as a stock investor, can own pieces of real companies.
[00:02:00.200 --> 00:02:02.240]   Yes, you can own a piece of Apple.
[00:02:02.240 --> 00:02:03.840]   You can own a piece of Nike.
[00:02:03.840 --> 00:02:05.720]   If you want to invest in artificial intelligence,
[00:02:05.720 --> 00:02:07.880]   you can own a piece of Nvidia or Microsoft.
[00:02:07.880 --> 00:02:11.600]   So and by owning a pieces of those businesses via shares
[00:02:11.600 --> 00:02:14.920]   in your brokerage account, you are at least indirectly
[00:02:14.920 --> 00:02:19.480]   entitled to a portion, however small, of the profits generated by that business.
[00:02:19.480 --> 00:02:23.440]   In many cases, you're directly given a portion of those profits via dividends.
[00:02:24.000 --> 00:02:26.520]   Or cash payments directly to you in your brokerage account,
[00:02:26.520 --> 00:02:28.440]   usually on a quarterly basis.
[00:02:28.440 --> 00:02:31.880]   So you're not buying bits of data on a screen or random ticker symbols.
[00:02:31.880 --> 00:02:34.480]   You're buying equity in real companies that earn profits
[00:02:34.480 --> 00:02:36.240]   and hopefully grow over time. Awesome.
[00:02:36.240 --> 00:02:40.280]   All right. So so the goal here today is to have a fun and healthy
[00:02:40.280 --> 00:02:43.040]   spirited debate talking about these two areas.
[00:02:43.040 --> 00:02:45.200]   We both set out the outline of what they are.
[00:02:45.200 --> 00:02:47.080]   I'm going to give you guys each a minute.
[00:02:47.080 --> 00:02:51.960]   Either side go first on why you think your type of investing
[00:02:51.960 --> 00:02:53.720]   is the best way to build wealth.
[00:02:53.720 --> 00:02:57.440]   Well, I'll jump in in regard to stock investing, at least.
[00:02:57.440 --> 00:03:00.120]   I mean, there are a lot of benefits that really come from it.
[00:03:00.120 --> 00:03:03.800]   I mean, you look at things from capital appreciation, right?
[00:03:03.800 --> 00:03:06.440]   I mean, stocks, ultimately, they have the potential
[00:03:06.440 --> 00:03:11.120]   to increase in value over time, you know, as companies grow,
[00:03:11.120 --> 00:03:15.280]   as they improve, as they get better, as they do more things.
[00:03:15.280 --> 00:03:19.040]   That gives you the opportunity to to see the value
[00:03:19.040 --> 00:03:23.800]   and in the business that you're invested in, you know, continue to grow.
[00:03:23.800 --> 00:03:30.120]   You know, another thing that that stocks do a lot of well-established companies,
[00:03:30.120 --> 00:03:34.480]   they'll pay dividends in order to return value to shareholders.
[00:03:34.480 --> 00:03:38.040]   And so for you look at companies like Starbucks, for example,
[00:03:38.040 --> 00:03:42.520]   they they will continue to reward shareholders
[00:03:42.520 --> 00:03:45.120]   through holding those shares over long periods of time
[00:03:45.360 --> 00:03:49.480]   by returning cash to shareholders in the form of dividends.
[00:03:49.480 --> 00:03:52.400]   There's compounding, right?
[00:03:52.400 --> 00:03:56.800]   I think that's something that probably doesn't get enough attention.
[00:03:56.800 --> 00:04:01.360]   But the longer you own certain companies and that comes with dividends
[00:04:01.360 --> 00:04:05.960]   and also capital appreciation stocks go up in liquidity.
[00:04:05.960 --> 00:04:09.840]   I mean, hey, listen, I mean, if you if you own stocks, you can buy and sell.
[00:04:09.840 --> 00:04:11.680]   Right. That's a great thing.
[00:04:11.680 --> 00:04:16.320]   It's not so hard to buy and sell stocks, which is a nice part of it.
[00:04:16.320 --> 00:04:21.440]   And then obviously there's the diversification part of it. Right.
[00:04:21.440 --> 00:04:26.000]   Real estate is a great way to invest, but stocks are, too.
[00:04:26.000 --> 00:04:29.200]   And ultimately, what we what we believe
[00:04:29.200 --> 00:04:33.760]   the fool here is that you should own a little bit of a lot of this stuff.
[00:04:33.760 --> 00:04:37.640]   And so whether it's real estate or whether it's stocks,
[00:04:37.880 --> 00:04:41.880]   I mean, holding a lot of that stuff together makes a lot more sense.
[00:04:41.880 --> 00:04:46.440]   Diversification really makes a lot of sense, because as we've seen here
[00:04:46.440 --> 00:04:50.560]   over the last several months and really over the over the last few years,
[00:04:50.560 --> 00:04:54.680]   it becomes a little bit more difficult to predict exactly
[00:04:54.680 --> 00:04:59.120]   what asset classes are going to make the most sense for investors.
[00:04:59.120 --> 00:05:03.720]   And so owning stocks is a great way to sort of, you know,
[00:05:03.720 --> 00:05:07.640]   look at what's going on in the world today and say,
[00:05:07.640 --> 00:05:11.240]   well, we we had that that that sort of exposure
[00:05:11.240 --> 00:05:16.000]   to companies that are are sort of leading the way
[00:05:16.000 --> 00:05:18.640]   towards where we are going.
[00:05:18.640 --> 00:05:22.960]   And they give you the opportunity to stay well diversified.
[00:05:22.960 --> 00:05:24.920]   All right. That was that was great, Matt.
[00:05:24.920 --> 00:05:25.920]   I saw you raise your hand.
[00:05:25.920 --> 00:05:29.240]   I'm going to give you 15 seconds to chime in before I jump over to Scott
[00:05:29.240 --> 00:05:30.320]   to talk about real estate.
[00:05:30.320 --> 00:05:33.560]   Yeah, I just want to put a quick finer point on something Jason said,
[00:05:33.560 --> 00:05:34.720]   which is long term returns.
[00:05:34.720 --> 00:05:39.080]   If you look at, say, the past 150 years of data on an unlevered basis,
[00:05:39.080 --> 00:05:42.240]   stocks have definitely delivered the best nominal returns.
[00:05:42.240 --> 00:05:45.080]   10% annual annualized for 150 years.
[00:05:45.080 --> 00:05:49.960]   You can't really get that with real estate bonds, gold or what have you.
[00:05:49.960 --> 00:05:53.520]   So stocks have been kind of the winner in that specific regard.
[00:05:53.520 --> 00:05:54.480]   That sounds pretty good.
[00:05:54.480 --> 00:05:56.800]   Scott, let's hear you make a case for real estate.
[00:05:56.800 --> 00:05:59.440]   First, I want to say I completely agree that unlevered
[00:05:59.440 --> 00:06:02.040]   stocks are going to outperform real estate.
[00:06:02.040 --> 00:06:05.960]   The reason I'm not, you know, and I think you should own both right long term.
[00:06:05.960 --> 00:06:08.560]   But since we're in a Mortal Kombat style, duke it out.
[00:06:08.560 --> 00:06:10.800]   Real estate versus stocks debate here.
[00:06:10.800 --> 00:06:11.600]   I'm going to make the case
[00:06:11.600 --> 00:06:14.760]   for why I think you should start with real estate on your financial journey.
[00:06:14.760 --> 00:06:16.280]   And a couple of reasons here.
[00:06:16.280 --> 00:06:18.040]   First is that leverage component.
[00:06:18.040 --> 00:06:20.520]   Long term leverage against long term appreciation
[00:06:20.520 --> 00:06:22.440]   makes a huge difference in returns.
[00:06:22.440 --> 00:06:25.640]   You can integrate real estate into your lifestyle through house hacks
[00:06:25.640 --> 00:06:27.680]   or what's called a live in flip.
[00:06:27.680 --> 00:06:31.560]   And that can generate huge long term returns that are really tax advantaged.
[00:06:32.320 --> 00:06:34.880]   You can generate more cash flow from real estate.
[00:06:34.880 --> 00:06:38.960]   And so if you want to retire early or use that to fuel your lifestyle,
[00:06:38.960 --> 00:06:41.080]   that can be a huge advantage.
[00:06:41.080 --> 00:06:43.560]   Real estate is often less volatile than stocks.
[00:06:43.560 --> 00:06:45.760]   And so that brings us back to the concept of leverage,
[00:06:45.760 --> 00:06:48.000]   which I'm sure we'll get into multiple times throughout this debate.
[00:06:48.000 --> 00:06:52.040]   And then I think I've already mentioned this from other tax advantages,
[00:06:52.040 --> 00:06:53.680]   but that makes a huge difference over time.
[00:06:53.680 --> 00:06:56.480]   A lot of that cash flow can be completely tax free during
[00:06:56.480 --> 00:06:59.880]   the early years of a hold period, and especially if you're levered.
[00:06:59.920 --> 00:07:02.720]   And also just wanted to mention, particularly right now,
[00:07:02.720 --> 00:07:05.680]   the fact that real estate tends to be an excellent inflation
[00:07:05.680 --> 00:07:07.080]   hedge is also pertinent.
[00:07:07.080 --> 00:07:08.360]   Yeah, Scott, I like how you said
[00:07:08.360 --> 00:07:11.600]   you're going to advocate for real estate being a way to start.
[00:07:11.600 --> 00:07:14.880]   I'm curious if you guys could talk a little bit about the barriers to entry
[00:07:14.880 --> 00:07:16.120]   for someone to just get into this.
[00:07:16.120 --> 00:07:17.560]   What does someone need to have?
[00:07:17.560 --> 00:07:19.520]   What kind of capital? What kind of experience?
[00:07:19.520 --> 00:07:21.720]   Maybe we'll start with stocks.
[00:07:21.720 --> 00:07:24.800]   Well, stocks are super easy to get into, but I would say
[00:07:24.800 --> 00:07:28.800]   stock investing takes very little time other than the minor hassle
[00:07:28.800 --> 00:07:31.720]   of opening a brokerage account, which today is like as simple
[00:07:31.720 --> 00:07:34.520]   as downloading an app and pressing a few buttons on your phone
[00:07:34.520 --> 00:07:36.040]   and connecting your bank account.
[00:07:36.040 --> 00:07:36.960]   I mean, that's really it.
[00:07:36.960 --> 00:07:39.480]   And I mean, in some cases, it's almost too easy today
[00:07:39.480 --> 00:07:41.400]   to start to open a brokerage account.
[00:07:41.400 --> 00:07:43.320]   But once you've opened a brokerage account,
[00:07:43.320 --> 00:07:47.120]   you can buy and sell stocks in a few seconds and boom, you're done.
[00:07:47.120 --> 00:07:49.400]   You can start earning those profits, those dividends
[00:07:49.400 --> 00:07:52.280]   that Jason was talking about, and really without lifting a finger
[00:07:52.280 --> 00:07:54.920]   more than maybe a few times a month or a few times a year.
[00:07:55.560 --> 00:08:00.880]   So it's really one of the fastest, easiest ways to get into investing.
[00:08:00.880 --> 00:08:02.200]   And you don't have a lot of need, a lot of capital.
[00:08:02.200 --> 00:08:04.280]   You can buy a hundred dollars with a stock today.
[00:08:04.280 --> 00:08:06.200]   And that's probably a good start for a lot of people.
[00:08:06.200 --> 00:08:09.000]   Real estate, though, it seems like it could be expensive, right?
[00:08:09.000 --> 00:08:12.960]   There are greater barriers to entry, I think, for real estate investing
[00:08:12.960 --> 00:08:16.880]   because it tends to be a more capital intensive asset class.
[00:08:16.880 --> 00:08:20.880]   You can't just open an app and buy rental properties for ten dollars,
[00:08:20.880 --> 00:08:23.800]   although there are some funds and some modern crowd
[00:08:24.120 --> 00:08:26.480]   funding platforms that do allow you to do that.
[00:08:26.480 --> 00:08:32.120]   But generally, I think of real estate investing as more entrepreneurial
[00:08:32.120 --> 00:08:35.400]   than buying equities and buying stock.
[00:08:35.400 --> 00:08:39.320]   And so in addition to capital, you need money for a down payment.
[00:08:39.320 --> 00:08:43.240]   You need to have solid, predictable income, typically,
[00:08:43.240 --> 00:08:46.760]   to get leverage on a property and take out debt.
[00:08:46.760 --> 00:08:48.320]   You need decent credit.
[00:08:48.320 --> 00:08:50.320]   So you do need all that to get started.
[00:08:50.320 --> 00:08:52.920]   And you also need a bit of an entrepreneurial spirit.
[00:08:52.920 --> 00:08:54.880]   You are starting a small business.
[00:08:54.880 --> 00:08:59.080]   And so you're going to need some level of business acumen and expertise
[00:08:59.080 --> 00:09:01.400]   to be able to operate that business successfully.
[00:09:01.400 --> 00:09:04.640]   Yeah. And I'll just piggyback on Dave's great point by saying that expertise,
[00:09:04.640 --> 00:09:08.880]   I think, comes in the form of several, maybe at least a several dozen,
