
[00:00:00.000 --> 00:00:05.240]   With Kroger Brand products from Ralphs, you can make all your favorite things this holiday season.
[00:00:05.240 --> 00:00:09.920]   Because Kroger Brand's proven quality products come at exceptionally low prices.
[00:00:09.920 --> 00:00:14.760]   And with a money-back quality guarantee, every dish is sure to be a favorite.
[00:00:14.760 --> 00:00:18.180]   ♪ These are a few of my favorite things ♪
[00:00:18.180 --> 00:00:24.900]   Whether you shop delivery, pickup, or in-store, Kroger Brand has all your favorite things.
[00:00:24.900 --> 00:00:27.360]   Ralphs. Fresh for everyone.
[00:00:27.360 --> 00:00:30.760]   ♪
[00:00:30.760 --> 00:00:37.600]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now,
[00:00:37.600 --> 00:00:40.640]   while building a plan for financial freedom in 10 years or less.
[00:00:40.640 --> 00:00:45.900]   My name is Joshua, and I hope you really enjoy today's show, because we're going to cover two important themes.
[00:00:45.900 --> 00:00:54.720]   Theme number one is I'm going to share with you the ongoing story of a listener and a returning guest of Radical Personal Finance,
[00:00:54.720 --> 00:01:00.620]   and how this particular man has put in place his own approach towards financial freedom.
[00:01:00.620 --> 00:01:07.400]   This story is important because it shows how financial independence and financial freedom can be achieved in stages.
[00:01:07.400 --> 00:01:14.500]   Stages that involve getting out of debt, stages that involve building up assets so that you can transition your life,
[00:01:14.500 --> 00:01:19.840]   and stages that allow you to transition to a career choice that is much better suited to you.
[00:01:19.840 --> 00:01:22.480]   And that's what this particular listener has done.
[00:01:22.480 --> 00:01:25.220]   Thing number two is we're going to talk about being a financial advisor.
[00:01:25.220 --> 00:01:33.160]   One of the continual themes that I have learned is of interest to my listeners is how to become a financial advisor.
[00:01:33.160 --> 00:01:41.200]   And this is normal. I went down this road being a personal finance aficionado, and then finally realizing, "Hey, wait a second. I can do this and make a living at it."
[00:01:41.200 --> 00:01:46.960]   And there are a lot of people who are seeking to do that, and this particular listener has done that.
[00:01:46.960 --> 00:01:50.500]   And so with that, Matt, welcome to Radical Personal Finance.
[00:01:50.500 --> 00:01:54.640]   Matt, is it fair to call your story a financial independence story?
[00:01:54.640 --> 00:02:00.780]   Yeah, I think so. I think it's probably fair to call it a journey toward financial independence story.
[00:02:00.780 --> 00:02:04.280]   So Matt is a returning guest here on Radical Personal Finance.
[00:02:04.280 --> 00:02:12.020]   You were first on the show in episode 377, which was back in September of 2016.
[00:02:12.020 --> 00:02:17.300]   That episode was titled, "Should You Go to Graduate School as a Simple Way of Increasing Your Income?"
