
[00:00:00.040 --> 00:00:09.540]  わか
[00:00:09.540 --> 00:00:10.800]   at the,,, 12 12 buy
[00:00:26.840 --> 00:00:53.600]   provin. You are an entrepreneur. You are at least a modest personal finance aficionado. Wow. That's a new word for me. And you and your wife have seven young children. Your eldest is now just turned 10. Okay. So you have seven children, 10 and under. So your life is an absolute joy and an absolute craziness. I'm sure. I started with joy. I started with joy. But I wanted to have you on to talk about entrepreneurship and joy.
[00:00:53.640 --> 00:00:55.360]   something
[00:00:55.360 --> 00:01:04.640]   during. I have,,,,
[00:01:20.320 --> 00:01:22.000]   a question for you. How did your business and entrepreneurship journey begin?
[00:01:22.000 --> 00:01:33.040]   Yeah, I was a youth and family worker at a church for like 12 years and that ended very poorly.
[00:01:33.040 --> 00:01:39.360]   We had a lot of bad things kind of go on the church and it ended up with 10 of us being fired
[00:01:39.360 --> 00:01:47.000]   on staff. It was a sizable church and so I was number nine out of the 10 and losing your job
[00:01:47.000 --> 00:01:47.000]   and losing your job when you need to like make some money, you know, it's a quick, you know,
[00:01:47.000 --> 00:01:47.000]   and losing your job when you need to like make some money, you know, it's a quick, you know,
[00:01:47.000 --> 00:01:47.000]   and losing your job when you need to like make some money, you know, it's a quick, you know,
[00:01:47.000 --> 00:01:47.000]   and losing your job when you need to like make some money, you know, it's a quick, you know,
[00:01:47.000 --> 00:02:13.780]   a quick, you know, it's a quick, you know, it's a quick, you know, it's a quick, you know, you gotta figure something out real fast.
[00:02:13.800 --> 00:02:15.480]   And you would have had one baby at the time?
[00:02:15.480 --> 00:02:16.860]   We had two at the time. We had two at the time.
[00:02:16.860 --> 00:02:20.080]   Yeah, so I guess it was maybe like 2011 or I don't know exactly.
[00:02:20.080 --> 00:02:24.020]   There's nothing like getting fired and losing your job when you have two little babies at home.
[00:02:24.020 --> 00:02:27.520]   Yeah, and they gave me some severance but it expired on Christmas day.
[00:02:27.520 --> 00:02:29.880]   And you're like, oh, Merry Christmas everybody.
[00:02:29.880 --> 00:02:30.580]   Right, right.
[00:02:30.580 --> 00:02:35.380]   So, yeah, so that, so I started, I spent a few years just kind of living off the blog
[00:02:35.380 --> 00:02:39.520]   and turned that into an income really quick because I didn't have a choice and, you know,
[00:02:39.520 --> 00:02:39.640]   all the light of fire under your butt to get that going. So I did that and then I'm still looking forward to it.
[00:02:39.640 --> 00:02:40.060]   And you would have had one baby at the time?
[00:02:40.060 --> 00:02:40.120]   Yeah, so I guess it was maybe like 2011 or 2011 or I don't know exactly.
[00:02:40.920 --> 00:03:06.520]  , but I didn't have a choice and, you know, all the light of fire under your butt to get that going.
[00:03:06.520 --> 00:03:07.920]   So I did that and then I was still looking for other youth ministry gigs and stuff, but there wasn't anything that was like,
[00:03:07.920 --> 00:03:08.000]   either I was really just trigger shy or whatever, gun shy or something, I don't know, but eventually I took a job up in Cincinnati doing YouTube strategy for a company.
[00:03:08.000 --> 00:03:08.100]   I've already been like our YouTube channel is already reaching like a million people a month.
[00:03:08.100 --> 00:03:08.200]   I've already been like a million people a month.
[00:03:08.200 --> 00:03:08.300]   Because you and your wife had started kind of an informal vlog.
[00:03:08.300 --> 00:03:08.300]   Yeah, I started off when I was in grad school.
[00:03:08.300 --> 00:03:09.400]   I just wanted to introduce her to my family.
[00:03:09.400 --> 00:03:10.000]  , I just wanted to introduce her to my family.
[00:03:10.020 --> 00:03:11.820]   I was like, okay, I'm going to do this.
[00:03:11.820 --> 00:03:11.840]   I was like, okay, I'm going to do this.
[00:03:11.840 --> 00:03:12.280]   And so we put together little videos and that was like 2006 before blogging was a thing.
[00:03:12.280 --> 00:03:12.320]   And so we put together little videos and that was like 2006 before blogging was a thing.
[00:03:12.320 --> 00:03:16.320]   And so we put together little videos and that was like 2006 before blogging was a thing.
[00:03:16.320 --> 00:03:16.360]   Right.
[00:03:16.360 --> 00:03:16.840]   Right.
[00:03:16.840 --> 00:03:16.880]   And so we do those and so the channel is growing, we're reaching about a million people a month and so I do a YouTube strategy for this company and had a lot of fun with that.
[00:03:16.880 --> 00:03:26.000]   And so we do those and so the channel is growing, we're reaching about a million people a month and so I do a YouTube strategy for this company and had a lot of fun with that.
[00:03:26.040 --> 00:03:42.280]  , I was like, man, losing another job.
[00:03:42.280 --> 00:03:42.280]   , I was like, man, losing another job.
[00:03:42.280 --> 00:03:42.280]   , I was like, man, losing another job.
[00:03:42.280 --> 00:03:42.280]   , I was like, man, losing another job.
[00:03:42.280 --> 00:03:42.280]   , I was like, man, losing another job.
[00:03:42.280 --> 00:03:42.280]   , I was like, man, losing another job.
[00:03:42.280 --> 00:03:42.280]   , I was like, man, losing another job.
[00:03:42.280 --> 00:03:42.360]   , I was like, man, losing another job.
[00:03:42.360 --> 00:03:42.400]   , I was like, man, losing another job.
[00:03:42.400 --> 00:03:42.480]   , I was like, man, losing another job.
[00:03:42.480 --> 00:03:42.520]   , I was like, man, losing another job.
[00:03:42.520 --> 00:03:42.600]   , I was like, man, losing another job.
[00:03:42.600 --> 00:03:42.640]   , I was like, missing another job.
[00:03:42.640 --> 00:03:42.720]   , I was like, missing another job.
[00:03:42.720 --> 00:03:42.760]   I was like, missing another job.
[00:03:42.760 --> 00:03:42.800]   I was like, missing another job.
[00:03:42.800 --> 00:03:42.880]   I was like, missing another job.
[00:03:42.880 --> 00:03:42.920]   I was like, missing another job.
[00:03:53.120 --> 00:04:01.020]   it
[00:04:01.020 --> 00:04:03.460]   wh like. My,,,, curved
[00:04:03.460 --> 00:04:22.340]  wards downtime receive de law and as if the car is the guard de 투 Number C committees지� hör scored了吧~!! sequence "T, about, a, its, and, but, and, and, about, when, basically, be, do, care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, believe trying Le 然後 Э ciPer aleg Dire the Begin clique sprouts Kurat though辦法對 Mountain movieacing pear «rze play y not marrow sur eradow third case Might but�lier liquid Look at将 ent equ alle brave andaluik steady 이�ote進inho點blue do Seven no intended equal ...ав about de b powdered con plac cinco earned in or Juan seguenson XXB can'tRI. creepy and when may ton church be
[00:04:22.420 --> 00:04:51.640]  łych tahtsou a long time ago, you know. But I think for me it was like I don't know one in my background, my family on my wife's side or mine had like started known businesses, you know, and I think it was just like a combination of being in the right place at the right time. It's also a combination of having like a personality that really likes to solve big problems. Right. And YouTube stuff was a big one, especially back in the day. And, and also just being like I can't, I'm not going to go look for another job. I don't want to do that again. Right.
[00:04:51.720 --> 00:05:01.340]   at
[00:05:01.340 --> 00:05:05.920]   Monster film, called a base want to have,,,,, dét Pi
[00:05:05.920 --> 00:05:19.600]  � Ober Schr Cow even
[00:05:20.460 --> 00:05:31.480]   � won were provides
[00:05:31.480 --> 00:05:32.380]   deccat Пон hung
[00:05:32.380 --> 00:05:39.200]  ène hear. I'm making a be. And, and, and, and, and, and, care. I'm,
[00:05:39.200 --> 00:05:48.140]  ,
[00:06:46.480 --> 00:07:14.300]  obed. We're married. Let's build it up. Okay. Yeah. So impressive to find it's a down payment for car on your, uh, on your credit card. No, we did the down payment on the credit card. We financed the rest of the car and then we, uh, wanted to buy a house. So I met with a financial advisor and our church and I was just like, Hey, how much of a house can we, for, I don't know. Or man was looking at like a hundred thousand, 600,000, a million point two. Like I don't really know what range I should be looking at here.
[00:07:14.300 --> 00:07:15.840]   And so he come in with all our,
[00:07:15.840 --> 00:07:16.480]   a statement.
[00:07:16.500 --> 00:07:45.160]   He's like, I'm going to ask you a question. I want an answer. He's like looking through it. He literally like runs his fingers through his hair. His eyes get big and he's like, like, wow. You didn't say wow, but that's the expression on his face. And he's like, okay. Like before we talk about this, you guys first need to read this book. And he slides total money makeover with Dave Ramsey across the table. He's like, read this book and then once you read it, come back and then we'll talk. I was like, come on dude, that's not helpful. Like just tell me the number.
[00:07:45.160 --> 00:07:46.200]   So
[00:07:46.200 --> 00:08:15.920]  ,
[00:08:15.920 --> 00:08:16.220]   underway.
[00:08:16.220 --> 00:08:16.220]   I was like, I'm going to ask you a question.
[00:08:16.220 --> 00:08:46.240]   the next question.
[00:08:46.240 --> 00:08:46.240]   The next question.
[00:08:46.280 --> 00:08:57.420]   de
[00:08:57.420 --> 00:09:14.060]   buy as Beij Gra, it, it, it, it,,,,,,,,,,, find a Xiao Ti tasted independVERMFIge guess Light Nike numbers l Elijk that is a good that is a company that is a tenemos a co and a and a and a and I's aم OVER A學 g raj E desde a Boo設 a вещи code
[00:09:14.060 --> 00:09:14.520]  �Mar week was
[00:09:15.240 --> 00:09:18.340]   thing
[00:09:18.340 --> 00:09:24.480]   wasn,
[00:09:24.480 --> 00:09:27.240]   de just,,,,,
[00:09:27.240 --> 00:09:28.200]   다� chilly気 in the work for the work. . . . . . .. .. but "��
[00:09:44.200 --> 00:09:45.920]   expanded dramatically quickly.
[00:09:45.920 --> 00:09:50.920]   You said you had when you're when your twins were born, you had four children, two and under.
[00:09:50.920 --> 00:09:51.720]   That's right. Yeah.
[00:09:51.720 --> 00:09:53.420]   So I've been there, right?
[00:09:53.420 --> 00:09:55.380]   My wife and I, we have four children, five and under.
[00:09:55.380 --> 00:09:58.880]   And that's a pretty trying.
[00:09:58.880 --> 00:09:59.820]   Yeah, we got in two years.
[00:09:59.820 --> 00:10:00.720]   It's crazy. Yeah.
[00:10:00.720 --> 00:10:02.520]   We had twins in there, which is kind of. . .
[00:10:02.520 --> 00:10:12.320]   I'm filled with empathy for you and also extremely impressed because knowing how challenging four or five and under are, I can imagine the challenge of even younger.
[00:10:12.320 --> 00:10:13.160]   So how
[00:10:13.160 --> 00:10:13.160]   How do you think the challenge of even younger?
[00:10:13.160 --> 00:10:13.160]   So how do you think the challenge of even younger?
[00:10:13.160 --> 00:10:13.160]   So how do you think the challenge of even younger?
[00:10:13.160 --> 00:10:13.160]   So how do you think the challenge of even younger?
[00:10:13.160 --> 00:10:13.160]   So how do you think the challenge of even younger?
[00:10:13.160 --> 00:10:42.140]   I don't think we would have been able to handle the family without the business because and by that time when the twins came along, my wife was bedridden for the final three months of that pregnancy.
[00:10:42.140 --> 00:10:42.140]   I don't think we would have been able to handle the family without the business because and by that time when the twins came along, my wife was bedridden for the final three months of that pregnancy.
[00:10:42.140 --> 00:10:42.140]   So I had, I think at that time there was like five or five people on my team.
[00:10:42.140 --> 00:10:42.140]   So I had, I think at that time there was like five or five people on my team.
[00:10:42.140 --> 00:10:42.140]   So I had, I think at that time there was like five or five people on my team.
[00:10:42.140 --> 00:10:42.140]   So I had, I think at that time there was like five or five people on my team.
[00:10:42.140 --> 00:10:42.140]   So I had, I think at that time there was like five or five people on my team.
[00:10:42.160 --> 00:11:11.120]   So I had, I think at that time there was like five or five people on my team.
[00:11:11.120 --> 00:11:11.120]   So I had, I think at that time there was like five or five people on my team.
[00:11:11.120 --> 00:11:11.120]   So I had, I think at that time there was like five or five people on my team.
[00:11:11.120 --> 00:11:11.120]   So I had, I think at that time there was like five or five people on my team.
[00:11:11.120 --> 00:11:11.120]   So I had, I think at that time there was like five or five people on my team.
[00:11:11.120 --> 00:11:11.120]   So I had, I think at that time there was like five or five people on my team.
[00:11:11.120 --> 00:11:11.120]   So I had, I think at that time there was like five or five people on my team.
[00:11:11.120 --> 00:11:11.120]   So I had, I think at that time there was like five or five people on my team.
[00:11:11.120 --> 00:11:11.120]   So I had, I think at that time there was like five or five people on my team.
[00:11:11.120 --> 00:11:40.100]  ,
[00:11:40.100 --> 00:11:40.100]   So I had, I think at that time there was like five or five people on my team.
[00:11:40.100 --> 00:11:40.100]   So I had, I think at that time there was like five or five people on my team.
[00:11:40.100 --> 00:11:40.100]   So I had, I think at that time there was like five or five people on my team.
[00:11:40.100 --> 00:11:40.100]   So I had, I think at that time there was like five or five people on my team.
[00:11:40.100 --> 00:11:40.100]   So I had, I think at that time there was like five or five people on my team.
[00:11:40.100 --> 00:11:40.100]   So I had, I think at that time there was like five people on my team.
[00:11:40.100 --> 00:11:40.100]   So I had, I had, I think at that time there was like five people on my team.
[00:11:40.120 --> 00:12:09.080]   So I had, I think at that time there was like five people on my team.
[00:12:09.080 --> 00:12:09.080]   So I had, I think at that time there was like five people on my team.
[00:12:09.080 --> 00:12:09.080]   So I had, I think at that time there was like five people on my team.
[00:12:09.080 --> 00:12:09.080]   So I had, I think at that time there was like five people on my team.
[00:12:09.080 --> 00:12:09.080]   So I had, I think at that time there was like five people on my team.
[00:12:09.080 --> 00:12:09.080]   So I had, I think at that time there was like five people on my team.
[00:12:09.080 --> 00:12:09.080]   So I had, I think at that time there was like five people on my team.
[00:12:09.080 --> 00:12:09.080]   So I had, I think at that time there was like five people on my team.
[00:12:09.080 --> 00:12:09.080]   So I had, I think at that time there was like five people on my team.
