
[00:00:00.000 --> 00:00:03.240]   (upbeat hip hop music)
[00:00:03.240 --> 00:00:11.560]   - Welcome back to another episode of Curious Mike.
[00:00:11.560 --> 00:00:15.480]   I am here with my boy, my friend, the GOAT designer,
[00:00:15.480 --> 00:00:18.880]   up and coming best designer ever, Donnie Nemeus.
[00:00:18.880 --> 00:00:20.600]   I appreciate you getting on the show, my boy.
[00:00:20.600 --> 00:00:22.360]   - Thank you for having me, my boy.
[00:00:22.360 --> 00:00:23.640]   - Let's do it.
[00:00:23.640 --> 00:00:25.640]   So yeah, before we get into the fashion space
[00:00:25.640 --> 00:00:27.240]   and everything you got going on,
[00:00:27.240 --> 00:00:29.160]   I think it's important, you know,
[00:00:29.160 --> 00:00:30.520]   everybody kind of gets to know you.
[00:00:30.520 --> 00:00:33.000]   So what was your childhood like growing up?
[00:00:33.000 --> 00:00:35.680]   You know, I feel like people with the creative mind
[00:00:35.680 --> 00:00:38.440]   that you have, always have an interesting childhood
[00:00:38.440 --> 00:00:39.480]   to think outside the box.
[00:00:39.480 --> 00:00:41.280]   So kind of walk me through that.
[00:00:41.280 --> 00:00:44.680]   - Yeah, growing up, I grew up in a small beach town
[00:00:44.680 --> 00:00:46.320]   called Santa Barbara.
[00:00:46.320 --> 00:00:50.600]   It's about two hours north of Los Angeles.
[00:00:50.600 --> 00:00:53.920]   Super small community, but I really just grew up
[00:00:53.920 --> 00:00:56.320]   skateboarding, spent some time surfing,
[00:00:56.320 --> 00:00:59.720]   and I was kind of just a--
[00:00:59.720 --> 00:01:00.640]   - A free spirit?
[00:01:00.640 --> 00:01:04.520]   - Just a free spirit, getting into some trouble as a kid,
[00:01:04.520 --> 00:01:07.600]   just, you know, getting through school as I could.
[00:01:07.600 --> 00:01:10.680]   And, you know, I loved to play basketball
[00:01:10.680 --> 00:01:13.480]   and just kind of hang around and cruise around the city
[00:01:13.480 --> 00:01:14.920]   on my skateboard.
[00:01:14.920 --> 00:01:16.760]   - Was it, so did you go to public school
[00:01:16.760 --> 00:01:19.240]   or were you, how was that dynamic?
[00:01:19.240 --> 00:01:20.880]   - I went to public school.
[00:01:20.880 --> 00:01:22.240]   I went to Santa Barbara High School,
[00:01:22.240 --> 00:01:23.760]   Santa Barbara Junior High,
[00:01:23.760 --> 00:01:27.040]   and just kind of breezed my way through.
[00:01:27.040 --> 00:01:32.040]   I was never really the most academic student, I would say.
[00:01:32.040 --> 00:01:34.680]   - So at what point then, growing up,
[00:01:34.680 --> 00:01:38.640]   did you decide like, oh, fashion is important to me.
[00:01:38.640 --> 00:01:39.560]   I wanna get into this.
[00:01:39.560 --> 00:01:41.600]   I know you probably didn't have the vision
[00:01:41.600 --> 00:01:43.200]   for like a whole brand yet,
[00:01:43.200 --> 00:01:45.560]   but when did you realize fashion was kind of important to you?
[00:01:45.560 --> 00:01:49.320]   - Yeah, I really didn't know much about fashion,
[00:01:49.320 --> 00:01:51.200]   especially in Santa Barbara.
[00:01:51.200 --> 00:01:53.160]   There's not much designer stores.
[00:01:53.160 --> 00:01:55.880]   There's no Saks Fifth Avenue or anything like that.
[00:01:55.880 --> 00:01:57.080]   We had like a Macy's.
[00:01:57.080 --> 00:01:59.760]   So I didn't know much about fashion,
[00:01:59.760 --> 00:02:03.520]   but as I started to spend time at the skate park
[00:02:03.520 --> 00:02:07.600]   or at school, I did notice myself looking at
[00:02:07.600 --> 00:02:09.160]   what other people were wearing
[00:02:09.160 --> 00:02:11.400]   and maybe not as much the brands,
[00:02:11.400 --> 00:02:12.600]   'cause I didn't know much about that,
[00:02:12.600 --> 00:02:15.120]   but how they were wearing their clothes,
[00:02:15.120 --> 00:02:16.600]   how baggy they were,
[00:02:16.600 --> 00:02:18.800]   were they rolling the cuffs at the bottom,
[00:02:18.800 --> 00:02:21.640]   were they double layering their t-shirts,
[00:02:21.640 --> 00:02:23.120]   and how does the collars look.
[00:02:23.120 --> 00:02:25.560]   So it was more, I started to pay attention
[00:02:25.560 --> 00:02:28.280]   to kind of like the silhouettes of what people were wearing
[00:02:28.280 --> 00:02:30.240]   and noticed what I liked and didn't like.
[00:02:30.240 --> 00:02:34.000]   And I think that was my first kind of like instinctive,
[00:02:34.000 --> 00:02:37.400]   like loving fashion or how things were worn.
[00:02:37.400 --> 00:02:39.360]   - Right, and like, obviously, you know,
[00:02:39.360 --> 00:02:42.000]   you have this big brand now that's booming.
[00:02:42.000 --> 00:02:42.840]   You know, things are going well.
[00:02:42.840 --> 00:02:44.040]   - It's getting there.
[00:02:44.040 --> 00:02:46.400]   - It didn't always start out like that.
[00:02:46.400 --> 00:02:48.400]   You don't just become the entrepreneur you are.
[00:02:48.400 --> 00:02:49.560]   You had to start somewhere.
[00:02:49.560 --> 00:02:52.720]   So like walk me through like, okay, you know,
[00:02:52.720 --> 00:02:54.160]   high school, college,
[00:02:54.160 --> 00:02:56.840]   and then did you have to do some interning
[00:02:56.840 --> 00:02:58.160]   or what did that kind of,
[00:02:58.160 --> 00:02:59.720]   how did that journey look for you?
[00:02:59.720 --> 00:03:02.600]   - I was definitely just a self-taught designer.
[00:03:02.600 --> 00:03:05.000]   I had no clue what I was doing.
[00:03:05.000 --> 00:03:06.680]   I knew I wanted to do it.
[00:03:06.680 --> 00:03:09.600]   So I initially started by just kind of,
[00:03:09.600 --> 00:03:13.760]   my first garments was I was selling pockets on t-shirts.
[00:03:13.760 --> 00:03:14.920]   I was going to craft stores,
[00:03:14.920 --> 00:03:17.520]   picking some interesting fabrics I liked
[00:03:17.520 --> 00:03:19.960]   and selling pockets on shirts.
[00:03:19.960 --> 00:03:21.600]   I was screen printing
[00:03:21.600 --> 00:03:24.880]   and I was just trying to sell these to friends and family.
[00:03:24.880 --> 00:03:27.800]   And just at the time I thought it was cool,
[00:03:27.800 --> 00:03:28.720]   but looking back,
[00:03:28.720 --> 00:03:31.560]   it's almost embarrassing what some of the stuff looked like,
[00:03:31.560 --> 00:03:34.080]   but you got to start somewhere.
[00:03:34.080 --> 00:03:37.520]   But every piece I did,
[00:03:37.520 --> 00:03:40.680]   I started to learn what made it better and better.
[00:03:40.680 --> 00:03:44.400]   And it just took years of evolving to understand
[00:03:44.400 --> 00:03:48.000]   like how to get to a luxury brand level
[00:03:48.000 --> 00:03:53.000]   versus a very amateur kid starting a brand.
[00:03:53.000 --> 00:03:56.000]   - Yeah, anyone who starts their own business,
[00:03:56.000 --> 00:03:57.200]   like I have a lot of respect for,
[00:03:57.200 --> 00:04:00.440]   'cause it's just so many hoops you have to jump through.
[00:04:00.440 --> 00:04:05.440]   What was something that was like harder than you thought
[00:04:05.440 --> 00:04:10.160]   about inventing your own thing, like from scratch?
[00:04:10.160 --> 00:04:11.440]   Is it the hiring of people?
[00:04:11.440 --> 00:04:14.160]   'Cause I mean, I've been to your warehouse plenty of times.
[00:04:14.160 --> 00:04:15.040]   It's a lot going on.
[00:04:15.040 --> 00:04:18.000]   What was some of those kind of early on struggles
[00:04:18.000 --> 00:04:20.440]   and things of like literally starting from the ground up?
[00:04:20.440 --> 00:04:22.680]   - I think the hardest thing
[00:04:22.680 --> 00:04:26.480]   is really finding your voice as a designer.
[00:04:26.480 --> 00:04:27.640]   I think starting out,
[00:04:27.640 --> 00:04:29.800]   all I was doing at the beginning
[00:04:29.800 --> 00:04:32.240]   was looking at all the other designers,
[00:04:32.240 --> 00:04:35.440]   like who's winning, who's working and what are they doing?
[00:04:35.440 --> 00:04:38.160]   And I'd be like trying to rework
[00:04:38.160 --> 00:04:39.920]   what was already out on the market.
[00:04:39.920 --> 00:04:43.560]   And I think once my brand started to grow
[00:04:43.560 --> 00:04:46.600]   was when I stopped looking at what other people were doing
[00:04:46.600 --> 00:04:48.360]   and taking inspiration from them,
[00:04:48.360 --> 00:04:51.080]   but diving into myself for inspiration
[00:04:51.080 --> 00:04:54.600]   and like making unique original pieces that were true to me.
[00:04:54.600 --> 00:04:57.320]   So I think things started to work
[00:04:57.320 --> 00:05:01.120]   as you learn to be more authentic
[00:05:01.120 --> 00:05:03.560]   and find your own brand DNA
[00:05:03.560 --> 00:05:06.000]   versus being influenced by others.
[00:05:06.000 --> 00:05:08.520]   I think everyone starts that way.
[00:05:08.520 --> 00:05:10.520]   Everyone starts by loving something
[00:05:10.520 --> 00:05:11.520]   and taking it from there,
[00:05:11.520 --> 00:05:15.920]   but then you'll learn to create your own as you go.
[00:05:15.920 --> 00:05:17.560]   - And man, there's so many brands now,
[00:05:17.560 --> 00:05:19.480]   so many people trying to dip their feet
[00:05:19.480 --> 00:05:20.320]   in the fashion world
[00:05:20.320 --> 00:05:24.480]   that it's probably hard to even come up with creative ideas.
[00:05:24.480 --> 00:05:26.560]   I mean, but me and you have talked about,
[00:05:26.560 --> 00:05:27.800]   and it's similar in basketball,
[00:05:27.800 --> 00:05:29.880]   like when you feel refreshed
[00:05:29.880 --> 00:05:34.440]   or you feel like mentally, physically, emotionally,
[00:05:34.440 --> 00:05:37.520]   like stress-free, you come up with your best ideas.
[00:05:37.520 --> 00:05:39.040]   And like I said, I've been to your warehouse
[00:05:39.040 --> 00:05:41.600]   and there's so many unique pieces.
[00:05:41.600 --> 00:05:46.200]   Like how do you even come up with these concepts?
[00:05:46.200 --> 00:05:47.040]   Is it just sitting there
[00:05:47.040 --> 00:05:49.400]   and kind of like sitting still and meditating
[00:05:49.400 --> 00:05:50.440]   and just thinking of things,
[00:05:50.440 --> 00:05:52.040]   or is it just like they come to you on the fly?
[00:05:52.040 --> 00:05:53.400]   How is that process?
[00:05:53.400 --> 00:05:55.520]   - Yeah, it'll come in waves.
[00:05:55.520 --> 00:05:58.760]   Like there'll be days or weeks even where I'm just slumped.
[00:05:58.760 --> 00:05:59.920]   I can't think of anything.
[00:05:59.920 --> 00:06:03.480]   Like I'll just be so consumed by the business as a whole
[00:06:03.480 --> 00:06:07.760]   and the operations and having to answer to so many people.
[00:06:07.760 --> 00:06:09.680]   But then there's days that
[00:06:09.680 --> 00:06:11.440]   I'll go up to Santa Barbara for the weekend,
[00:06:11.440 --> 00:06:14.040]   let my mind and like my brain kind of turn off,
[00:06:14.040 --> 00:06:16.720]   and like my brain will just start firing.
[00:06:16.720 --> 00:06:18.400]   And I'll just take a bunch of notes on my phone
[00:06:18.400 --> 00:06:19.760]   or sketch something out real quick.
[00:06:19.760 --> 00:06:22.640]   And like I could get a whole collection done
[00:06:22.640 --> 00:06:24.080]   in a matter of a few days,
[00:06:24.080 --> 00:06:27.000]   but sometimes it could take a few weeks
[00:06:27.000 --> 00:06:28.600]   just to be like, figure out
[00:06:28.600 --> 00:06:30.680]   what the fuck am I doing with these genes, you know?
[00:06:30.680 --> 00:06:34.240]   So I think mental clarity is key.
[00:06:34.240 --> 00:06:39.160]   And this industry is like so stressful.
[00:06:39.160 --> 00:06:42.540]   So it's really important to figure out times
[00:06:42.540 --> 00:06:44.760]   that you can, you know, be alone
[00:06:44.760 --> 00:06:46.760]   and just let your mind rest,
[00:06:46.760 --> 00:06:48.720]   'cause that's when you'll perform the best.
[00:06:48.720 --> 00:06:50.520]   I'm sure same with basketball, like.
[00:06:50.520 --> 00:06:52.560]   - It's that inner work and that inner peace
[00:06:52.560 --> 00:06:54.880]   that then allows you to go do the physical thing
[00:06:54.880 --> 00:06:56.040]   at a high level.
[00:06:56.040 --> 00:06:57.080]   It's super true.
[00:06:57.080 --> 00:06:59.960]   You talk about the stress of this industry.
[00:06:59.960 --> 00:07:02.960]   I mean, everyone kind of looks at their own
[00:07:02.960 --> 00:07:05.160]   kind of like the area they're in in life.
[00:07:05.160 --> 00:07:06.960]   You know, athletes think that we have it the worst
[00:07:06.960 --> 00:07:09.160]   and it's so stressful and we have so much pressure.
[00:07:09.160 --> 00:07:12.440]   You know, other people working a nine to five
[00:07:12.440 --> 00:07:14.160]   think they got it rough, you know?
[00:07:14.160 --> 00:07:16.200]   And then you talk about the stresses
[00:07:16.200 --> 00:07:20.480]   and I guess the anxieties of like your industry.
[00:07:20.480 --> 00:07:22.280]   Kind of what makes the fashion industry
[00:07:22.280 --> 00:07:23.760]   so competitive and so hard?
[00:07:23.760 --> 00:07:26.280]   I mean, there's only so many dope designer brands
[00:07:26.280 --> 00:07:27.760]   that people like to wear.
[00:07:27.760 --> 00:07:29.080]   Is that the hardest thing
[00:07:29.080 --> 00:07:31.320]   or what do you think makes it so stressful?
[00:07:31.320 --> 00:07:32.920]   - I think it's so competitive
[00:07:32.920 --> 00:07:35.280]   in the sense, I mean, even comparing it to basketball,
[00:07:35.280 --> 00:07:37.720]   like there's so many hoopers out there
[00:07:37.720 --> 00:07:39.960]   and there's so many incredible basketball players,
[00:07:39.960 --> 00:07:42.600]   but only like few can shine through that.
[00:07:42.600 --> 00:07:45.480]   And that might be through work ethic or not giving up
[00:07:45.480 --> 00:07:48.280]   or a certain style or a certain swagger
[00:07:48.280 --> 00:07:50.280]   that make people connect to it more.
[00:07:50.280 --> 00:07:52.320]   And I think same with fashion.
[00:07:52.320 --> 00:07:53.600]   There is so many brands.
[00:07:53.600 --> 00:07:55.640]   I think almost every kid grows up,
[00:07:55.640 --> 00:07:57.120]   like I wanna have a brand.
[00:07:57.120 --> 00:07:59.840]   Like it's such a common thing.
[00:07:59.840 --> 00:08:03.760]   So I think just being able to figure out
[00:08:03.760 --> 00:08:05.600]   how to shine through the rest
[00:08:05.600 --> 00:08:07.360]   and it's really about being different
[00:08:07.360 --> 00:08:08.520]   and pushing boundaries.
[00:08:08.520 --> 00:08:12.040]   And like, you can't be afraid,
[00:08:12.040 --> 00:08:13.440]   just like in basketball,
[00:08:13.440 --> 00:08:15.240]   you can't be afraid to take that last shot.
[00:08:15.240 --> 00:08:16.760]   If you miss, you miss.
[00:08:16.760 --> 00:08:18.480]   Like people might hate on you at that moment,
[00:08:18.480 --> 00:08:20.920]   but if you make it, you're great.
