
[00:00:00.040 --> 00:00:09.540]  ечение
[00:00:09.540 --> 00:00:10.400]   like,
[00:00:10.400 --> 00:00:11.940]  兒
[00:00:11.940 --> 00:00:28.820]   work to end, have, Dam, -,,,,,,,, excell
[00:00:30.060 --> 00:00:58.920]   before
[00:00:58.920 --> 00:01:00.040]   wasn of was he De " знаком, the, the, the, the,,,,,,,,, Little I Delta I would be in the en the home. So,C CBSCCaning recipe million
[00:01:00.080 --> 00:01:10.180]   necessarily
[00:01:10.180 --> 00:01:14.940]   e the cr
[00:01:14.940 --> 00:01:28.860]  ," playing,,, all
[00:01:28.940 --> 00:01:36.360]  �
[00:01:36.360 --> 00:01:38.980]   wanted,,,
[00:01:38.980 --> 00:01:56.600]   Twice�� de a water and that is a better than Pearl Advisor
[00:01:57.320 --> 00:02:01.280]   and that is a better than Pearl Advisor
[00:02:01.280 --> 00:02:25.700]   and that is a better than Pearl Advisor
[00:02:25.700 --> 00:02:25.700]   and that is a better than Pearl Advisor
[00:02:25.700 --> 00:02:25.700]   and that is a better than Pearl Advisor
[00:02:25.700 --> 00:02:25.700]   and that is a better than Pearl Advisor
[00:02:25.700 --> 00:02:25.700]   and that is a better than Pearl Advisor
[00:02:25.700 --> 00:02:25.700]   and that is a better than Pearl Advisor
[00:02:25.700 --> 00:02:25.700]   and that is a better than Pearl Advisor
[00:02:25.700 --> 00:02:25.700]   and that is a better than Pearl Advisor
[00:02:25.700 --> 00:02:25.700]   and that is a better than Pearl Advisor
[00:02:25.700 --> 00:02:25.700]   and that is a better than Pearl Advisor
[00:02:25.700 --> 00:02:25.700]   and that is a better than Pearl Advisor
[00:02:25.700 --> 00:02:25.700]   and that is a better than Pearl Advisor
[00:02:25.700 --> 00:02:25.700]   and that is a better than Pearl Advisor
[00:02:25.700 --> 00:02:25.700]   and that is a better than Pearl Advisor
[00:02:25.700 --> 00:02:25.780]   and that is a better than Pearl Advisor
[00:02:25.780 --> 00:02:25.820]   and that is a better than Pearl Advisor
[00:02:25.820 --> 00:02:25.860]   and that is a better than Pearl Advisor
[00:02:25.860 --> 00:02:25.900]   and that is a better than Pearl Advisor
[00:02:25.900 --> 00:02:25.940]   and that is a better than Pearl Advisor
[00:02:25.940 --> 00:02:25.980]   and that is a better than Pearl Advisor
[00:02:25.980 --> 00:02:54.720]   and that is a better than Pearl Advisor
[00:02:54.720 --> 00:02:54.760]   and that is a better than Pearl Advisor
[00:02:54.760 --> 00:02:54.780]   and that is a better than Pearl Advisor
[00:02:54.780 --> 00:02:54.820]   and that is a better than Pearl Advisor
[00:02:54.820 --> 00:02:54.860]   and that is a better than Pearl Advisor
[00:02:54.860 --> 00:02:54.900]   and that is a better than Pearl Advisor
[00:02:54.900 --> 00:02:54.940]   and that is a better than Pearl Advisor
[00:02:54.940 --> 00:02:54.980]   and that is a better than Pearl Advisor
[00:02:54.980 --> 00:02:55.000]   and that is a better than Pearl Advisor
[00:02:55.000 --> 00:02:55.060]   and that is a better than Pearl Advisor
[00:02:55.060 --> 00:02:55.100]   and that is a better than Pearl Advisor
[00:02:55.100 --> 00:02:55.180]   and that is a better than Pearl Advisor
[00:02:55.180 --> 00:02:55.220]   and that is a better than Pearl Advisor
[00:02:55.220 --> 00:02:55.220]   and that is a better than Pearl Advisor
[00:02:55.220 --> 00:02:55.220]   and that is a better than Pearl Advisor
[00:02:55.220 --> 00:02:55.220]   and that is a better than Pearl Advisor and that is a better than Pearl Advisor
[00:02:55.220 --> 00:02:55.260]   and that is a better than Pearl Advisor and that is a better than Pearl Advisor and the other people
[00:02:55.300 --> 00:02:55.300]   rendition of the Pearl Advisor and that is a better than Pearl Advisor and the other people
[00:02:55.300 --> 00:02:56.880]   and that is a better than Pearl Advisor and that is a better than Pearl Advisor and the other people so for example, not to be vague,
[00:02:56.880 --> 00:02:56.920]   and that is a better than Pearl Advisor and that is a better than Pearl Advisor and the other people so for example, not to be vague,
[00:02:56.920 --> 00:03:23.220]   and that is a better than Pearl Advisor and that is a better than Pearl Advisor and the other people so for example, not to be vague, but for example, we would not have any device use beyond the threshold of the door in the apartment and when we were home together we were present and home together and we would live this kind of quiet log cabin existence in the middle of Manhattan while we were home and that is really the way we were heading and it just so happens that we ended up taking it into an extreme level by living in the woods in a van for nine months.
[00:03:23.420 --> 00:03:52.500]  , and that is really the way we were heading and it just so happens that we ended up taking it into an extreme level by living in the woods in a van for nine months.
[00:03:52.520 --> 00:04:21.780]   So you have that natural bent or cultivated vent probably to asking questions and learning people's stories. You've traveled all four corners of the country over the last six months. We've traveled a good portion of the country and one of my main reasons for going out and traveling in addition to personal reasons was to get a sense of what's happening in the United States of America. One of the big challenges for me in building Radical Personal Finance is I no longer have a water cooler or a coffee pot to talk to people.
[00:04:21.820 --> 00:04:51.060]  , and it's very easy for me in a normal week to sit in front of my computer and all of my work is solitary. I don't work physically with any coworkers. I just sit in front of my computer and I get together with a few personal friends and some church friends and that's about it as far as my in-person interaction. And what I have learned is that's very dangerous for me because then it leaves me trying to form my understanding of what's happening in the world from Twitter.
[00:04:51.060 --> 00:05:20.340]  , or from YouTube or from NewYorkTimes.com or whatever those kinds of things are and I've struggled to maintain a grip on reality without having coworkers to talk to at the coffee pot. And so today we're going to talk about what's happening in the country and you and I have both been out traveling getting a sense of what's happening. My question for you is what you've observed over the last six months a surprise to you? Is the world about you?
[00:05:20.340 --> 00:05:21.080]   Is the world about you?
[00:05:21.080 --> 00:05:21.080]   Is the world about you?
[00:05:21.100 --> 00:05:51.100]   I'm not sure if that's how you thought it was when you were living in Manhattan or is it very different?
[00:05:51.100 --> 00:05:51.100]   The short answer is no I learned a lot first of all let me set the scene of how I we lived. So part of this experience I almost think completely opted out of any exposure to media. I have not read the news in months, although I found I'm exposed to information people just tell me things. I don't feel less informed but I used to read the news on a moment to moment basis and I were reporting reporting the news
[00:05:51.100 --> 00:05:51.100]   I was reporting the news.
[00:05:51.100 --> 00:05:51.100]   You were reporting the news.
[00:05:51.100 --> 00:05:51.100]   I was reporting the news.
[00:05:51.100 --> 00:05:51.100]   That used to be the news.
[00:05:51.100 --> 00:05:51.100]   Well it's not that I was not.
[00:05:51.140 --> 00:06:19.240]   or
