
[00:00:00.000 --> 00:00:05.000]   We sow a thought and reap an act.
[00:00:05.000 --> 00:00:09.000]   We sow an act and reap a habit.
[00:00:09.000 --> 00:00:14.000]   We sow a habit and reap a character.
[00:00:14.000 --> 00:00:21.000]   We sow a character and reap a destiny.
[00:00:21.000 --> 00:00:37.000]   [Music]
[00:00:37.000 --> 00:00:49.000]   Welcome to Radical Personal Finance, the show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom in ten years or less.
[00:00:49.000 --> 00:00:52.000]   My name is Joshua Sheets, and I am your host.
[00:00:52.000 --> 00:00:56.000]   Today, I am your philosopher.
[00:00:56.000 --> 00:00:59.000]   Practical philosophy, though. Don't get scared of that word, philosopher.
[00:00:59.000 --> 00:01:07.000]   We're going to talk about the philosophical background of cause and effect and how that applies to your money.
[00:01:07.000 --> 00:01:09.000]   [Music]
[00:01:09.000 --> 00:01:22.000]   A lot of times in modern society, we get uncomfortable with this word philosophy, talking about basically envisioning it as something that has no bearing to our daily life.
[00:01:22.000 --> 00:01:33.000]   But the word philosophy is not a word to be scared of, and your philosophy will determine many, many, many of the things that you experience in life and even how you experience life.
[00:01:33.000 --> 00:01:54.000]   You could have the same event or circumstance that happens to two different people, and they will have the same experience, but their experience of the event – excuse me – they'll have the same event, but their experience of the event will vary dramatically depending on their philosophy.
[00:01:54.000 --> 00:02:13.000]   An overly simplistic example would be that a novice non-athlete who goes into the weight room for the first time might experience the sensation of their muscles burning while doing some physical exercise and conceive it as pain and as a terrible thing.
[00:02:13.000 --> 00:02:23.000]   But an experienced athlete will conceive that as victory of pressing through, and they will visualize all of the benefits that are going to come from this experience.
[00:02:23.000 --> 00:02:26.000]   And it will even affect different interpretation.
[00:02:26.000 --> 00:02:30.000]   So, when I use the word philosophy, please don't be scared by that word.
[00:02:30.000 --> 00:02:37.000]   Today's show is going to be extremely practical and extremely focused on money.
[00:02:37.000 --> 00:02:46.000]   But I want to give you just a quick definition of the word philosophy so that you can have something that's workable in your mind.
[00:02:46.000 --> 00:02:53.000]   And then I'll explain how we're going to apply that to the topic of today, which is the subject of cause and effect.
[00:02:53.000 --> 00:02:56.000]   There are many definitions of the word philosophy.
[00:02:56.000 --> 00:03:01.000]   It comes from the Greek word philosophia, which comes from love of wisdom.
[00:03:01.000 --> 00:03:06.000]   The most useful definition for us is very simple.
[00:03:06.000 --> 00:03:17.000]   It could be made as simple as this, any personal belief about how to live or how to deal with a situation.
[00:03:17.000 --> 00:03:20.000]   Now, there are other formalized versions of it.
[00:03:20.000 --> 00:03:25.000]   For example, you could call philosophy the study of the fundamental nature of knowledge, reality, and existence.
