
[00:00:00.000 --> 00:00:03.000]   Your tough Tacoma is here.
[00:00:03.000 --> 00:00:05.000]   Your powerful 4Runner.
[00:00:05.000 --> 00:00:08.000]   Your stylish Camry.
[00:00:08.000 --> 00:00:10.000]   Your versatile RAV4.
[00:00:10.000 --> 00:00:14.000]   Even your fully electric VZ4X.
[00:00:14.000 --> 00:00:20.000]   Your new Toyota car, truck or SUV is available now.
[00:00:20.000 --> 00:00:23.000]   So see your Toyota dealer today.
[00:00:23.000 --> 00:00:26.000]   We make it easy.
[00:00:26.000 --> 00:00:29.000]   Toyota. Let's go places.
[00:00:30.000 --> 00:00:40.000]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom in 10 years or less.
[00:00:40.000 --> 00:00:42.000]   My name is Joshua Sheets. I'm your host.
[00:00:42.000 --> 00:00:55.000]   And today on the show, we're going to talk about the recent ProPublica article called "The Secret IRS Files, Trove of Never-Before-Seen Records Reveal How the Wealthiest Avoid Income Tax."
[00:00:55.000 --> 00:01:07.000]   In today's show, we're going to analyze this article, going to speak extensively about some of the points that this article brings up, and walk you through how I approach this particular subject and some of the thoughts that I have on it.
[00:01:07.000 --> 00:01:19.000]   I don't expect today's show to be short, so I'm going to give you an overview of the article right here at the beginning, and then you can decide how deep into this particular rabbit hole you prefer to go.
[00:01:19.000 --> 00:01:29.000]   In essence, if you're a longtime listener of Radical Personal Finance, you should simply know how the wealthiest avoid income tax.
[00:01:29.000 --> 00:01:35.000]   I'll give you a moment to think about it. How do the wealthiest avoid income tax?
[00:01:35.000 --> 00:01:41.000]   The answer should be immediately obvious. You avoid income.
[00:01:41.000 --> 00:02:01.000]   And that is simply at the heart of this particular article. The wealthiest among us – in this particular case, the journalists are analyzing the tax returns of the 25 wealthiest people in the United States of America, evidently – the wealthiest among us avoid income.
[00:02:01.000 --> 00:02:13.000]   In exactly the same way that I teach you to avoid income, except when it's convenient or taxed in an appropriately reasonable way, that's what the wealthiest people do.
[00:02:13.000 --> 00:02:17.000]   So there, I just saved you 12 pages of reading and thinking about it.
[00:02:17.000 --> 00:02:27.000]   And we'll analyze this in some more depth, but what I find most striking about this particular article is its relative lack of newsworthiness.
[00:02:27.000 --> 00:02:33.000]   We'll talk in a moment about the public release of this confidential tax data.
[00:02:33.000 --> 00:02:43.000]   ProPublica is making the argument that it is in all of our best interests to actually know the exact figures and facts from these particular individuals' confidential tax records.
[00:02:43.000 --> 00:02:45.000]   Time will tell.
[00:02:45.000 --> 00:02:59.000]   But what's remarkable about this particular article is there are no allegations within it of any of these wealthiest billionaires committing any form of tax fraud.
[00:02:59.000 --> 00:03:06.000]   There's no articles of tax – there's no allegations of tax evasion. There's no allegations of tax fraud.
[00:03:06.000 --> 00:03:18.000]   There's not even any allegations in this particular article of influence peddling – it's a concern that I have personally – of people buying political donations, although that's alluded to in the article.
[00:03:18.000 --> 00:03:33.000]   The article basically simply shows that the wealthiest people are doing what you and I as moderately well-educated financial payers' attention – people pay attention – are doing what we would say.
[00:03:33.000 --> 00:03:38.000]   Build your wealth in capital assets that don't create income that you don't need.
[00:03:38.000 --> 00:03:51.000]   If you do create income, do your best to shelter that income through the use of appropriate investment losses and/or appropriate charitable donations, and then pay the levels of tax that are legally required of you.
[00:03:51.000 --> 00:03:55.000]   And remarkably, that's what these billionaires have done.
[00:03:55.000 --> 00:04:02.000]   I think we should pause a moment before we get into the meat of the article and acknowledge how remarkable that is.
[00:04:02.000 --> 00:04:22.000]   I think that's something well worth noting and celebrating, that in the United States of America, a journalist was given unrestricted access to perhaps decades of confidential tax records of the wealthiest people in the country.
