
[00:00:00.000 --> 00:00:09.860]   Well, hey, everyone. Welcome back to another episode of Everyday Educator. We are so excited
[00:00:09.860 --> 00:00:14.420]   because today we're going to be talking all about summer rhythms. And we know that right
[00:00:14.420 --> 00:00:19.300]   now community is either done for you or getting ready to be done in the next couple of days.
[00:00:19.300 --> 00:00:23.380]   But we want to encourage you to make sure that you stay connected to one another. And
[00:00:23.380 --> 00:00:26.700]   if you want to find out more about that, of course, you can learn more about being connected
[00:00:26.700 --> 00:00:32.140]   in community at classicalconversations.com. So definitely go there. For today, we have a
[00:00:32.140 --> 00:00:39.820]   special guest, Camila Carter. Hey, Camila. Hello. Camila has been on. We're so excited, too.
[00:00:39.820 --> 00:00:45.040]   She's been on the Everyday Educator podcast and the Blessings in Motherhood podcast. So if you have not
[00:00:45.040 --> 00:00:51.360]   heard her backstory, any other shows with her, go check those out after you listen to this one.
[00:00:51.360 --> 00:00:54.740]   And Lisa, of course, is here with me today as well. Hey, Lisa.
[00:00:54.960 --> 00:01:01.200]   Hey, Delise. Good to be with you again. So excited to talk about this today. So like I said,
[00:01:01.200 --> 00:01:07.180]   today's show is all about summer rhythms. And we're going to actually break this show down into a couple
[00:01:07.180 --> 00:01:12.260]   of different categories. We are going to talk about education and what it looks like to continue
[00:01:12.260 --> 00:01:17.180]   learning. But we're also going to talk about what it looks like in the household, maybe focusing on the
[00:01:17.180 --> 00:01:21.700]   spiritual aspect of your life and even exploring outside of your house during the summer.
[00:01:22.400 --> 00:01:27.960]   As I was preparing for this episode, I thought about that verse that says,
[00:01:27.960 --> 00:01:34.100]   teach us to number our days that we might gain a heart of wisdom. And I don't know about you guys,
[00:01:34.100 --> 00:01:41.340]   but at my church, as you walk down the hall in the children's ministry, there are these
[00:01:41.340 --> 00:01:50.360]   shadow boxes and they're full of pom-poms. And there is a shadow box for every week of your child's life.
[00:01:50.360 --> 00:01:57.080]   So as you walk down the hall, right, you can see the pom-poms going down and they say,
[00:01:57.080 --> 00:02:03.880]   you know, it's about a thousand weeks that you get with your kids. And I've heard so many conflicting
[00:02:03.880 --> 00:02:09.820]   thoughts about that idea of kind of like numbering the days of your parenting, numbering the weeks of
[00:02:09.820 --> 00:02:15.780]   your parenting. And I think it's easy for us to think of that as a negative thing. But when I look at the
[00:02:15.780 --> 00:02:22.220]   word, he says it's a good thing because it can cause you to gain a heart of wisdom. What do you guys think
[00:02:22.220 --> 00:02:26.680]   about that? Do you think of your time with your children as fleeting or as something to savor?
[00:02:28.680 --> 00:02:39.200]   You know, when I was in the throes of little kids at home, motherhood, I did not think,
[00:02:39.200 --> 00:02:46.280]   oh, I only have this many days. Some days, really being honest, some days I was like,
[00:02:46.280 --> 00:02:54.540]   I can live through this day and it will be over. And so it felt like there were just a plethora of days.
[00:02:54.540 --> 00:03:00.520]   It felt like there was going to be plenty of time. But as my children got older, time seemed to go
[00:03:00.520 --> 00:03:10.900]   faster. And I got more and more intimately aware how few days or weeks or summers I had left. I can
[00:03:10.900 --> 00:03:15.860]   remember as the girls moved into high school, beginning to think, well, I only have three more
[00:03:15.860 --> 00:03:21.380]   summers. I only have two more summers. This is the last summer. And I remember when my daughter,
[00:03:21.380 --> 00:03:28.000]   my older daughter went off to college, I remember just saying to her, I want you to be prepared.
[00:03:28.000 --> 00:03:33.320]   It's never going to be the same. You're going to come home in the summer, but it's never going to
[00:03:33.320 --> 00:03:38.460]   be the same again. And she was just like, what are you even talking about? It is going to be the same.
[00:03:38.460 --> 00:03:43.780]   And I just, because I wanted her to, I wanted to caution her because when she was getting ready to
[00:03:43.780 --> 00:03:49.120]   come home after her freshman year, I didn't want her to mourn that it wasn't the same anymore.
[00:03:49.120 --> 00:03:53.220]   I wanted her to know that I had already realized it wasn't going to be the same.
[00:03:53.220 --> 00:04:01.440]   But I think that in the positive sense that you were saying, Delise, it does help us to think,
[00:04:01.440 --> 00:04:11.740]   wow, I have this many moments, this many occasions, this many vacations, this many Bible schools
[00:04:11.740 --> 00:04:19.180]   to celebrate with my children. And I'm going to make sure that I savor them because I now know on
[00:04:19.180 --> 00:04:26.580]   the back end, you will be missing them. Yeah, that's good. Yeah. I'm so glad that Lisa went first
[00:04:26.580 --> 00:04:37.680]   because I have been struck recently by this thought of seasons, right? When I've been in the same
[00:04:37.680 --> 00:04:45.520]   season, so to speak, for so long. And now my first has launched and my kids came really quickly, so
[00:04:45.520 --> 00:04:54.460]   they're going to leave just as quickly. Yes. Allegedly. But, and I keep telling myself, this is a good
[00:04:54.460 --> 00:05:01.480]   thing. Like you get to go to somewhere new. Now you get to experience, Lord willing, being a grandmother
[00:05:01.480 --> 00:05:06.760]   with David as a granddad. And like, are we going to travel to see the kids? Are the kids going to come
