
[00:00:00.000 --> 00:00:08.920]   (sound of clock ticking)
[00:00:08.920 --> 00:00:19.080]   (music)
[00:00:19.080 --> 00:00:21.240]   Welcome back to Portfolio Rescue.
[00:00:21.240 --> 00:00:25.520]   Duncan, I would wish you a happy New Year, but I'm not a happy New Year kind of guy.
[00:00:25.520 --> 00:00:29.960]   I don't do it. Nothing against people who do it, it's just not my thing. I don't say it.
[00:00:29.960 --> 00:00:35.040]   Maybe this is kind of like my Larry David thing, but I'm just not a happy New Year kind of guy.
[00:00:35.040 --> 00:00:37.520]   No problem that people will say it, but that's just me. Kind of like investing.
[00:00:37.520 --> 00:00:40.640]   It's just as important to define what you won't invest in as what you will invest in.
[00:00:40.640 --> 00:00:45.240]   Today's show is sponsored by, yes, Liftoff Invest.
[00:00:45.240 --> 00:00:47.960]   That's our automated platform that is run through Betterment's technology.
[00:00:47.960 --> 00:00:49.760]   Duncan, I was looking at my Liftoff account.
[00:00:49.760 --> 00:00:52.080]   I have one account, but I have four goals under there.
[00:00:52.080 --> 00:00:54.600]   One of them is for me and my wife, just a general investment account.
[00:00:54.600 --> 00:00:56.760]   The other one, each one for three of our kids.
[00:00:56.760 --> 00:01:01.360]   I was looking, and surprisingly, the investments were down this year, but my market values were up.
[00:01:01.360 --> 00:01:03.880]   Why? Because I increased my savings rate.
[00:01:03.880 --> 00:01:07.960]   I think especially for young people, that's a really big thing these days.
[00:01:07.960 --> 00:01:12.480]   Yes, it hurts to see the value of your portfolio go down, but if you bump up your savings rate,
[00:01:12.480 --> 00:01:16.160]   especially when you're just starting out, that's where most of your gains are going to come from.
[00:01:16.160 --> 00:01:19.800]   They're not technically gains, but if you want to see growth in your portfolio,
[00:01:19.800 --> 00:01:21.680]   it's going to come from putting money to work.
[00:01:21.680 --> 00:01:25.520]   Go check out LiftoffInvest.com to learn more.
[00:01:25.520 --> 00:01:29.760]   Duncan, you told me that you finished my most recent book.
[00:01:29.760 --> 00:01:32.520]   It's a pretty short one. How many pages is that, 140?
[00:01:32.520 --> 00:01:34.880]   Let's see. I have it right here.
[00:01:34.880 --> 00:01:39.560]   It's like 116 pages.
[00:01:39.560 --> 00:01:41.560]   It's a short book, everything you need to know about saving for retirement.
[00:01:41.560 --> 00:01:47.120]   I wrote it for people with 401(k)s or 403(b)s who are just getting started.
[00:01:47.120 --> 00:01:51.320]   Maybe some of our clients' kids have read it, some people in our 401(k) plans.
[00:01:51.320 --> 00:01:54.880]   You told me that you finished reading and had some questions or had some thoughts.
[00:01:54.880 --> 00:01:56.320]   Yeah, I've had a lot of thoughts.
[00:01:56.320 --> 00:02:00.720]   I was like, "I wish I did a podcast with Ben because then I could ask him these questions."
[00:02:00.720 --> 00:02:02.560]   And then, yeah, it worked out.
[00:02:02.560 --> 00:02:05.520]   First of all, I just wanted to say, on behalf of a lot,
[00:02:05.520 --> 00:02:07.400]   we had a lot of people writing in and commenting,
[00:02:07.400 --> 00:02:10.920]   "We're all sorry for you getting so robbed of your take."
[00:02:10.920 --> 00:02:15.600]   Michael took your Bezos take and just got famous off of it.
[00:02:15.600 --> 00:02:18.160]   It was on TV yesterday, talking about it and stuff.
[00:02:18.160 --> 00:02:21.320]   He's going to be the new Michael Burry because he leased one of my takes
[00:02:21.320 --> 00:02:23.840]   about Jeff Bezos coming back to take over Amazon.
[00:02:23.840 --> 00:02:26.240]   That's the kind of podcast co-host and friend that I am.
[00:02:26.240 --> 00:02:28.680]   I'm willing to give my takes away to other people.
[00:02:28.680 --> 00:02:30.120]   I have too many of them.
[00:02:30.120 --> 00:02:31.680]   Very generous, very generous.
[00:02:31.680 --> 00:02:34.360]   But yeah, so a couple of things I just thought of that I noted down
[00:02:34.360 --> 00:02:35.840]   that I wanted to ask you about.
[00:02:35.840 --> 00:02:39.200]   They're very basic probably, but I think people would be curious to hear,
[00:02:39.200 --> 00:02:41.080]   or a lot of our younger people especially.
[00:02:41.080 --> 00:02:43.920]   But so, you're known as the target date guy.
[00:02:43.920 --> 00:02:46.760]   You're a target date expert, connoisseur.
[00:02:46.760 --> 00:02:48.400]   What happens to them when they hit their date?
[00:02:48.400 --> 00:02:51.960]   I mean, do they just go 100% bonds and stay that way forever?
[00:02:51.960 --> 00:02:54.120]   Does it just disappear into the ether?
[00:02:54.120 --> 00:02:55.640]   What happens there?
[00:02:55.640 --> 00:02:58.520]   Well, I looked at the Vanguard 2020 fund today.
[00:02:58.520 --> 00:03:01.600]   So, someone would have set that 10, 15 years ago and said,
[00:03:01.600 --> 00:03:02.720]   "I'm going to retire in 2020.
[00:03:02.720 --> 00:03:05.680]   This is going to be my glide path to that point."
[00:03:05.680 --> 00:03:09.760]   It's in roughly 45% stocks, 55% bonds right now.
[00:03:09.760 --> 00:03:13.240]   So, your investing lifecycle doesn't stop just the moment you retire.
[00:03:13.240 --> 00:03:14.680]   You still could have two, three decades.
[00:03:14.680 --> 00:03:15.840]   It just moves into a different phase.
[00:03:15.840 --> 00:03:17.360]   We actually have a question about this for today's show,
[00:03:17.360 --> 00:03:18.640]   which we'll get into more detail.
[00:03:18.640 --> 00:03:23.840]   So, yeah, it just gets more conservative over time.
[00:03:23.840 --> 00:03:25.080]   But yeah, still some stocks in there
[00:03:25.080 --> 00:03:26.760]   because you still need some growth in your portfolio.
[00:03:26.760 --> 00:03:30.120]   Okay. So, they don't end or anything like that or go away?
[00:03:30.120 --> 00:03:31.720]   No, it keeps going and it keeps going the glide path.
[00:03:31.720 --> 00:03:33.800]   It'll probably get more and more conservative
[00:03:33.800 --> 00:03:34.920]   the further you get away from that date,
[00:03:34.920 --> 00:03:37.080]   but there's still some stocks in there.
[00:03:37.080 --> 00:03:38.720]   Okay, cool. Good to know.
[00:03:38.720 --> 00:03:40.280]   Okay, another thing I was going to ask,
