
[00:00:00.000 --> 00:00:14.600]   *Music*
[00:00:14.600 --> 00:00:18.400]   Thank you everyone for coming here. I hope you're excited to figure out with me what
[00:00:18.400 --> 00:00:23.240]   Enterprise Ready MCP means. I'm not sure a month ago people even fully
[00:00:23.240 --> 00:00:28.880]   understood what MCP meant. So we're all on this journey together, but hopefully
[00:00:28.880 --> 00:00:34.380]   it should be fun. So I was chatting to a good friend and colleague who is giving
[00:00:34.380 --> 00:00:37.580]   a talk tomorrow on building MCP servers and what it looks like to build that out
[00:00:37.580 --> 00:00:43.060]   and his question was how do the tools of today map to the AI systems of tomorrow?
[00:00:43.060 --> 00:00:48.200]   We already have some kind of concept of enterprise-ready tooling and building
[00:00:48.200 --> 00:00:51.920]   tools for the enterprise of production. What does it actually mean for MCP and
[00:00:51.920 --> 00:00:56.780]   something I kind of you know want to talk through today, chat with you guys. So for a
[00:00:56.780 --> 00:01:00.620]   long time from several years now we've had the model of you are a user you talk to
[00:01:00.620 --> 00:01:06.500]   an AI, talk to a chatbot it does stuff. The AI's had tool calling, now they have MCP,
[00:01:06.500 --> 00:01:11.020]   this is the MCP logo which is just a way of interfacing between the AI and an
[00:01:11.020 --> 00:01:15.200]   external resource of some kind to do something. It can just be a database
[00:01:15.200 --> 00:01:19.020]   access, it can be performing some complicated computation, it can be
[00:01:19.020 --> 00:01:22.280]   pulling in a prompt, there's lots of stuff in the MCP spec that frankly you
[00:01:22.280 --> 00:01:26.240]   should go and read. There's more there than most people realize. We're also
[00:01:26.240 --> 00:01:30.860]   seeing workloads like this where an IT admin spins up an asynchronous workflow
[00:01:30.860 --> 00:01:35.780]   which is we're going to call an AI agent which automates some process that is you
[00:01:35.780 --> 00:01:38.720]   know kind of headless and it's going and doing a thing we're trying to manage that.
[00:01:38.720 --> 00:01:43.880]   That is then going to use MCP to access external tools that might be secured, might
[00:01:43.880 --> 00:01:48.560]   be internal enterprise tools which introduce some fun problems. I also for the
[00:01:48.560 --> 00:01:52.360]   sake of this kind of diagram of what is the future going to look like want to
[00:01:52.360 --> 00:01:58.920]   introduce this line here just to throw some some spanners in the works of users
[00:01:58.920 --> 00:02:04.580]   in a company using their chatbot which makes a call to an MCP server which then
[00:02:04.580 --> 00:02:07.700]   goes and queries an AI workload, an AI agent that's existing in the cloud
[00:02:07.700 --> 00:02:12.260]   performing some operation. And so with this kind of diagram of what could happen I
[00:02:12.260 --> 00:02:16.100]   want us to figure out what we need to fix to make this really useful in
[00:02:16.100 --> 00:02:20.960]   production ready. Okay why am I why am I talking to you? I work for Work OS which
[00:02:20.960 --> 00:02:24.980]   is an enterprise security vendor which I'll talk about in a second. I'm also a
[00:02:24.980 --> 00:02:27.800]   research fellow at Stanford working on safety for AI agents and just finished a
[00:02:27.800 --> 00:02:32.540]   PhD where I got to wear this really funny silly hat just a couple months ago.
[00:02:32.540 --> 00:02:44.480]   Open AI, Work OS is a enterprise security vendor that sells to all of the AI labs because the AI labs do not want to do the really painful annoying work to scale
[00:02:44.480 --> 00:02:48.860]   the security and auth operations into the enterprise. And so we've been thinking a lot
[00:02:48.860 --> 00:02:53.300]   about what it means to provide the glue that means people can build agents and then
[00:02:53.300 --> 00:02:56.900]   just seamlessly scale it and sell it to everyone. And so I want to just tell you
