
[00:00:00.000 --> 00:00:04.000]   (music)
[00:00:04.000 --> 00:00:07.000]   Good Monday morning to you. Thanks for listening to the podcast.
[00:00:07.000 --> 00:00:09.500]   We're going to start this week talking about prayer.
[00:00:09.500 --> 00:00:13.500]   Sometimes we say that we are wrestling in prayer for something.
[00:00:13.500 --> 00:00:16.500]   We hear others use that phrase as well.
[00:00:16.500 --> 00:00:19.000]   And that phrase, "wrestling in prayer," is a biblical one,
[00:00:19.000 --> 00:00:21.500]   used by the Apostle Paul in the book of Colossians.
[00:00:21.500 --> 00:00:24.000]   But it only appears one time.
[00:00:24.000 --> 00:00:29.000]   So, what does he mean, biblically speaking, to wrestle in prayer?
[00:00:29.000 --> 00:00:31.500]   That's the question from a listener to the podcast named Jason.
[00:00:31.500 --> 00:00:36.500]   Pastor John, hello. I listen to your podcast daily through my iPhone.
[00:00:36.500 --> 00:00:38.500]   Thank you for helping me think through questions,
[00:00:38.500 --> 00:00:41.500]   even questions I didn't even know should be asked.
[00:00:41.500 --> 00:00:43.000]   Here's mine.
[00:00:43.000 --> 00:00:47.000]   In Colossians 4, verse 12, Paul affirms Epaphras
[00:00:47.000 --> 00:00:52.500]   because he is always wrestling or struggling in prayer for the church of Colossae.
[00:00:52.500 --> 00:00:55.000]   What does it mean to wrestle in prayer?
[00:00:55.000 --> 00:00:57.500]   Who is the wrestling against?
[00:00:57.500 --> 00:01:03.000]   How do I, and all of us, learn to wrestle like this, to wrestle in prayer ourselves?
[00:01:03.000 --> 00:01:08.000]   Well, the first thing I'd say is that kind of question is so good, so important.
[00:01:08.000 --> 00:01:09.500]   And it's so simple.
[00:01:09.500 --> 00:01:13.000]   You're reading along and you tend to just breeze by something.
[00:01:13.000 --> 00:01:16.000]   And he's stopping and saying, "Whoa, whoa, whoa, wait a minute.
[00:01:16.000 --> 00:01:18.000]   What's that really like?"
[00:01:18.000 --> 00:01:21.000]   He says he's wrestling in prayer.
[00:01:21.000 --> 00:01:22.500]   What would that feel like?
[00:01:22.500 --> 00:01:24.500]   What would I be doing differently than I'm doing?
[00:01:24.500 --> 00:01:27.500]   It's just a great question and good for me to think about.
[00:01:27.500 --> 00:01:31.000]   And I think, and this is the best I know how to proceed,
[00:01:31.000 --> 00:01:34.000]   the best way forward in answering a question like that
[00:01:34.000 --> 00:01:36.500]   is not first to look into my experience and say,
[00:01:36.500 --> 00:01:39.000]   "Okay, where have I done that? What's wrestling like for me?"
[00:01:39.000 --> 00:01:43.000]   Because I might just read in my experience into the text.
[00:01:43.000 --> 00:01:47.500]   So I think the best thing to do is to take the word "wrestle" or "struggle"
[00:01:47.500 --> 00:01:50.000]   or whatever the word happens to be you're working on
[00:01:50.000 --> 00:01:54.000]   and look up the ways in the Bible with a concordance.
[00:01:54.000 --> 00:01:59.000]   How Paul, or whoever you're reading, used it in other settings
[00:01:59.000 --> 00:02:03.500]   so that the word, in this case, the Greek "agonizomai"
[00:02:03.500 --> 00:02:08.000]   and you can hear the word "agonize" in English in the Greek "agonizomai."
[00:02:08.000 --> 00:02:10.000]   Where has he used that word?
[00:02:10.000 --> 00:02:14.000]   Or you could just use the English with "wrestle" or "struggle."
[00:02:14.000 --> 00:02:19.500]   And what light might that shed on the way you pray?
[00:02:19.500 --> 00:02:23.000]   So let's start with Colossians 4.12
[00:02:23.000 --> 00:02:25.000]   because that's the text he's asking about.
[00:02:25.000 --> 00:02:26.500]   Here's what it says.
[00:02:26.500 --> 00:02:29.000]   "Epiphras, who is one of you,"
[00:02:29.000 --> 00:02:33.500]   so Epiphras was from Colossae, but he was with Paul.
[00:02:33.500 --> 00:02:36.000]   That's why Paul knew how he was praying.
[00:02:36.000 --> 00:02:40.000]   "Epiphras, who is one of you, a servant of Christ Jesus,
[00:02:40.000 --> 00:02:45.000]   greets you always struggling," or wrestling,
[00:02:45.000 --> 00:02:49.000]   "on your behalf in his prayers, that you may stand mature
[00:02:49.000 --> 00:02:51.500]   and fully assured in all the will of God."
[00:02:51.500 --> 00:02:57.500]   So the answer that Epiphras is after in his prayers
[00:02:57.500 --> 00:03:00.500]   for the Colossian believers would be that they stand
[00:03:00.500 --> 00:03:06.000]   and that they stand mature and be fully assured of God's favor
[00:03:06.000 --> 00:03:09.000]   and God's will as they live their Christian life.
[00:03:09.000 --> 00:03:13.000]   But what Jason is asking about is not what they're praying for,
[00:03:13.000 --> 00:03:16.000]   not what Epiphras is praying for,
[00:03:16.000 --> 00:03:20.500]   but about the way Epiphras is praying.
[00:03:20.500 --> 00:03:22.000]   And he's wrestling.
[00:03:22.000 --> 00:03:24.500]   He says he's wrestling and he wants to know, and I want to know,
[00:03:24.500 --> 00:03:28.000]   "Well, what's that like? Should I be doing more of that?
[00:03:28.000 --> 00:03:30.000]   And if I did, what would it look like?"
[00:03:30.000 --> 00:03:36.000]   So let's go to those other uses of the word wrestle or struggle or fight
[00:03:36.000 --> 00:03:39.000]   or however that agonizomai is translated.
[00:03:39.000 --> 00:03:43.000]   Probably the most important one is right here in Colossians,
[00:03:43.000 --> 00:03:46.000]   back in chapter 1, verse 28-29.
[00:03:46.000 --> 00:03:49.000]   Paul says, "Christ we proclaim,
[00:03:49.000 --> 00:03:53.000]   warning everyone, teaching everyone with all wisdom,
[00:03:53.000 --> 00:03:57.000]   that we may present everyone mature in Christ."
[00:03:57.000 --> 00:04:00.000]   Same goal as Epiphras' prayer, by the way.
[00:04:00.000 --> 00:04:03.000]   "For this I toil."
[00:04:03.000 --> 00:04:05.000]   Now, that's not the word,
[00:04:05.000 --> 00:04:09.000]   but the modifying participle that comes after is the word.
[00:04:09.000 --> 00:04:11.500]   "For this I toil," wrestling.
[00:04:11.500 --> 00:04:14.000]   "For this I toil," struggling,
[00:04:14.000 --> 00:04:18.000]   "with all the energy that he powerfully works within me."
[00:04:18.000 --> 00:04:20.000]   "He works within me."
[00:04:20.000 --> 00:04:24.000]   Now, two things stand out there concerning this wrestling.
[00:04:24.000 --> 00:04:28.000]   One is the word toil.
[00:04:28.000 --> 00:04:32.000]   So this form of wrestling is work. It's work.
[00:04:32.000 --> 00:04:36.000]   So Paul is saying that his teaching, his warning,
