
[00:00:00.000 --> 00:00:25.320]   it's great to be here so I'm Josh Albrecht I'm the CTO of imbue and our focus is on making more
[00:00:25.320 --> 00:00:31.800]   robust useful AI agents in particular focusing on software agents right now and the main product
[00:00:31.800 --> 00:00:37.880]   that we're working on today is called sculptor so the purpose of sculptor is to kind of help us with
[00:00:37.880 --> 00:00:42.940]   something that we've all experienced you know we've all tried these vibe coding tools and you
[00:00:42.940 --> 00:00:48.660]   you know tell it to go off and do something it goes off and creates a bunch of code for you and then
[00:00:48.660 --> 00:00:53.880]   you know voila you're done right well not quite like at least today there's a big gap between kind
[00:00:53.880 --> 00:00:58.080]   of the stuff that comes back and what you want to ship to production especially as you get away
[00:00:58.080 --> 00:01:03.700]   from the prototyping into a larger more established code bases so today I'm going to go over some of
[00:01:03.700 --> 00:01:09.780]   the technical decisions that went into the design of sculptor our experimental coding agent environment
[00:01:09.780 --> 00:01:16.700]   and kind of go through some of the context and motivations for the various ideas that we've
[00:01:16.700 --> 00:01:21.780]   explored and the features that we've implemented it's still a research preview so these features may
[00:01:21.780 --> 00:01:27.720]   change before we actually release it but I hope that you know whether you're an individual using these
[00:01:27.720 --> 00:01:32.460]   tools or you're someone who's developing the tools yourself you'll find these kind of learnings from our
[00:01:32.460 --> 00:01:39.160]   experiments to be useful for yourselves so today if you're thinking about how you can make coding agents
[00:01:39.160 --> 00:01:44.160]   better then there's a million different things that you could build you could build something that
[00:01:44.160 --> 00:01:51.000]   helps improve the performance on really large context windows you can make something to make it cheaper or
[00:01:51.000 --> 00:01:57.200]   faster you could make something that does a better job of parsing the outputs but I don't think that we
[00:01:57.200 --> 00:02:02.780]   really should be building any of these things I think that what we really want to be building is things
[00:02:02.780 --> 00:02:08.720]   that are much more specific to the use case or to like the problem domain or the thing that you are like
[00:02:08.720 --> 00:02:14.720]   really specialized in most of the things that I just mentioned are going to get solved over the next call
[00:02:14.720 --> 00:02:20.540]   it three to twelve to twenty four months as models get better coding agents get better etc and so I
