
[00:00:00.000 --> 00:00:03.000]   Your tough Tacoma is here.
[00:00:03.000 --> 00:00:05.000]   Your powerful 4Runner.
[00:00:05.000 --> 00:00:08.000]   Your stylish Camry.
[00:00:08.000 --> 00:00:10.000]   Your versatile RAV4.
[00:00:10.000 --> 00:00:14.000]   Even your fully electric VZ4X.
[00:00:14.000 --> 00:00:20.000]   Your new Toyota car, truck or SUV is available now.
[00:00:20.000 --> 00:00:23.000]   So see your Toyota dealer today.
[00:00:23.000 --> 00:00:26.000]   We make it easy.
[00:00:26.000 --> 00:00:29.000]   Toyota. Let's go places.
[00:00:30.000 --> 00:00:40.000]   Welcome to Radical Personal Finance, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a rich and meaningful life now while building a plan for financial freedom in 10 years or less.
[00:00:40.000 --> 00:00:42.000]   My name is Joshua. I'm your host.
[00:00:42.000 --> 00:00:54.000]   And today we need to dig again into the topic of what is now called COVID-19, the coronavirus that is increasingly making its presence known throughout the world.
[00:00:54.000 --> 00:01:09.000]   It's almost a month ago that I first recorded the topic on January 27 where I recorded a show, episode 694, How to Prepare for a Flu and Coronavirus Quarantine.
[00:01:09.000 --> 00:01:18.000]   And I was hoping that by now this would be, that show would have been overreaction and there's no reason to even bother.
[00:01:18.000 --> 00:01:20.000]   But unfortunately, things are going the opposite way.
[00:01:20.000 --> 00:01:27.000]   And so I want to begin by just giving you a thesis statement of this show, then tell you what's going to be in the outline of it.
[00:01:27.000 --> 00:01:28.000]   And then we're going to dig into the topics.
[00:01:28.000 --> 00:01:29.000]   Don't know how long this is going to be.
[00:01:29.000 --> 00:01:30.000]   It's going to be difficult.
[00:01:30.000 --> 00:01:36.000]   I've tried recording this multiple times and I've given up on trying to get the right tone.
[00:01:36.000 --> 00:01:37.000]   I'm just going to, I just got to get it out.
[00:01:37.000 --> 00:01:42.000]   So basically here's the thesis of what I want to communicate to you.
[00:01:42.000 --> 00:01:55.000]   The COVID-19 outbreak of flu around the world is an increasing economic threat to you and possibly an increasing physical threat.
[00:01:55.000 --> 00:02:05.000]   It does bear the risk of potentially causing sickness for you and your family, which can be devastating.
[00:02:05.000 --> 00:02:10.000]   And that sickness could also be life ending, which could be devastating.
[00:02:10.000 --> 00:02:20.000]   I'm less concerned about the specific sickness than I am about the potential economic effects of this sickness.
[00:02:20.000 --> 00:02:36.000]   Yes, the sickness could be significant, but there's a good chance that in the societies that you and I live in, which are more advanced medically, that the sickness itself is not going to be the biggest risk.
[00:02:36.000 --> 00:02:39.000]   It is a risk, but it's not going to be the biggest risk.
[00:02:39.000 --> 00:02:42.000]   Whereas the big risk is potentially economic.
[00:02:42.000 --> 00:02:45.000]   And we're going to, I'm going to do my best to unpack that for you.
[00:02:45.000 --> 00:02:53.000]   So at this point in time, I have moved my own personal DEF CON threat level up substantially.
[00:02:53.000 --> 00:03:11.000]   And specifically, I expect that there's a very good chance that this COVID-19 will be a triggering event for what we will later call a significant recession and/or potentially longer term.
[00:03:11.000 --> 00:03:17.000]   Maybe we'll reach the economic academic term for depression or something like that, but a significant financial crisis.
[00:03:17.000 --> 00:03:26.000]   And unfortunately, based upon the way that this is emerging, if it does reach that, it could have very long range effects.
[00:03:26.000 --> 00:03:30.000]   So I'm going to do my best towards the back half of this show to give you some things to prepare.
[00:03:30.000 --> 00:03:44.000]   But the simplest thing that I would do is just say, think about how you need to think about some of the medical stuff, but think also then about how you would prepare for a significant recession.
[00:03:44.000 --> 00:04:01.000]   And here I will commend to you and probably re-release the episode that I recorded back in September of 2019, episode, ironically enough, 666, How to Prepare for the Coming Recession.
