
[00:00:00.000 --> 00:00:01.000]   Hey, everyone.
[00:00:01.000 --> 00:00:02.760]   Welcome to the Latent Space Podcast.
[00:00:02.760 --> 00:00:06.120]   This is Alessio, partner and CTO of Residence Invisible Partners.
[00:00:06.120 --> 00:00:09.400]   And I'm joined by my co-host, Swix, founder of Small AI.
[00:00:09.400 --> 00:00:11.520]   Hey, and today we are back in the studio
[00:00:11.520 --> 00:00:14.480]   with Andreas and Junghwan from Elicit.
[00:00:14.480 --> 00:00:15.240]   Welcome.
[00:00:15.240 --> 00:00:16.000]   Thanks, guys.
[00:00:16.000 --> 00:00:16.880]   It's great to be here.
[00:00:16.880 --> 00:00:17.380]   Yeah.
[00:00:17.380 --> 00:00:19.060]   So I'll introduce you separately,
[00:00:19.060 --> 00:00:22.080]   but also we'd love to learn a little bit more about you
[00:00:22.080 --> 00:00:23.320]   personally.
[00:00:23.320 --> 00:00:28.440]   So Andreas, it looks like you started Elicit, or ought first,
[00:00:28.440 --> 00:00:31.520]   and Junghwan joined later.
[00:00:31.520 --> 00:00:33.200]   That's right, although you did--
[00:00:33.200 --> 00:00:35.240]   I guess, for all intents and purposes,
[00:00:35.240 --> 00:00:39.080]   the Elicit and also the ought that existed before then
[00:00:39.080 --> 00:00:42.360]   were very different from what I started.
[00:00:42.360 --> 00:00:46.120]   So I think it's fair to say that she co-founded it.
[00:00:46.120 --> 00:00:49.400]   And Junghwan, you're a co-founder and COO of Elicit.
[00:00:49.400 --> 00:00:50.200]   Yeah, that's right.
[00:00:50.200 --> 00:00:52.840]   So there's a little bit of a history to this.
[00:00:52.840 --> 00:00:55.920]   I'm not super aware of the journey.
[00:00:55.920 --> 00:00:59.320]   I was aware of ought and Elicit as sort
[00:00:59.320 --> 00:01:01.040]   of a nonprofit-type situation.
[00:01:01.040 --> 00:01:04.080]   And recently, you turned into sort of like a B Corp--
[00:01:04.080 --> 00:01:05.600]   Public Benefit Corporation.
[00:01:05.600 --> 00:01:07.280]   So yeah, maybe if you want, you could
[00:01:07.280 --> 00:01:12.400]   take us through that journey of finding the problem.
[00:01:12.400 --> 00:01:14.960]   Obviously, you're working together now.
[00:01:14.960 --> 00:01:18.920]   So how do you get together to decide to leave your startup
[00:01:18.920 --> 00:01:20.880]   career to join him?
[00:01:20.880 --> 00:01:22.440]   Yeah, it's truly a very long journey.
[00:01:22.440 --> 00:01:24.680]   I guess, truly, it kind of started in Germany
[00:01:24.680 --> 00:01:25.440]   when I was born.
[00:01:25.440 --> 00:01:30.720]   So even as a kid, I was always interested in AI.
[00:01:30.720 --> 00:01:32.120]   I kind of went to the library.
[00:01:32.120 --> 00:01:34.980]   There were books about how to write programs in QBasic.
[00:01:34.980 --> 00:01:39.440]   And some of them talked about how to implement chatbots.
[00:01:39.440 --> 00:01:40.040]   I guess Eliza--
[00:01:40.040 --> 00:01:42.600]   To be clear, he grew up in a tiny village
[00:01:42.600 --> 00:01:44.120]   on the outskirts of Munich called
[00:01:44.120 --> 00:01:47.880]   Dingelscherbin, where it's a very, very idyllic German
[00:01:47.880 --> 00:01:49.000]   village.
[00:01:49.000 --> 00:01:51.680]   Important to the story.
[00:01:51.680 --> 00:01:54.900]   But basically, the main thing is I've kind of always
[00:01:54.900 --> 00:01:56.480]   been thinking about AI my entire life
[00:01:56.480 --> 00:01:58.200]   and been thinking about, well, at some point,
[00:01:58.200 --> 00:01:59.560]   this is going to be a huge deal.
[00:01:59.560 --> 00:02:00.900]   It's going to be transformative.
[00:02:00.900 --> 00:02:02.920]   How can I work on it?
