
[00:00:00.000 --> 00:00:02.000]   Previously on Grace TV...
[00:00:02.000 --> 00:00:10.000]   As surely as sparks off a fire fly upward, man is born for trouble.
[00:00:10.000 --> 00:00:15.000]   In fact, there is nothing more certain than the fact that we're all going to die.
[00:00:15.000 --> 00:00:18.000]   That alone is the certainty of life.
[00:00:18.000 --> 00:00:24.000]   He gave you life in order to sustain that life for His own purposes.
[00:00:24.000 --> 00:00:31.000]   What in the world makes us so embarrassed about the Gospel?
[00:00:31.000 --> 00:00:38.000]   For I determined to know nothing among you except Jesus Christ and Him crucified.
[00:00:38.000 --> 00:00:45.000]   You have little faith.
[00:00:45.000 --> 00:01:05.620]   And by the way, the Lord said that a number of times to the disciples.
[00:01:05.620 --> 00:01:07.000]   It's recorded in Matthew, chapter 6, here in verse 17.
[00:01:07.000 --> 00:01:08.000]   "You have little faith."
[00:01:08.000 --> 00:01:14.000]   Verse 30, and the parallel passage in Luke 12, "You're worried about clothes," according
[00:01:14.000 --> 00:01:15.000]   to Luke.
[00:01:15.000 --> 00:01:21.500]   Again, in Matthew 8, He says, "You have little faith," pointing out their fear of drowning
[00:01:21.500 --> 00:01:25.440]   in a storm when He was there.
[00:01:25.440 --> 00:01:29.600]   Matthew 14, another expression of Peter's fear and little faith.
[00:01:29.600 --> 00:01:37.000]   Matthew 16, the disciples continually expressing this lack of faith.
[00:01:37.000 --> 00:01:44.000]   This went through the whole duration, you might say, of our Lord's ministry with the
[00:01:44.000 --> 00:01:54.000]   disciples, that they continually demonstrated the inability to trust God for their lives.
[00:01:54.000 --> 00:01:58.900]   It's a sin to have a lack of faith.
[00:01:58.900 --> 00:02:03.320]   Not trusting God is a sin.
[00:02:03.320 --> 00:02:04.920]   Understand His love.
[00:02:04.920 --> 00:02:06.000]   Understand His care.
[00:02:06.000 --> 00:02:07.080]   Understand His power.
[00:02:07.080 --> 00:02:08.300]   Understand His abilities.
[00:02:08.300 --> 00:02:12.720]   Understand His promises.
[00:02:12.720 --> 00:02:25.320]   So it is, first of all, a sin to worry because of our Father, because of our Father.
[00:02:25.320 --> 00:02:27.820]   Go down to verse 31.
[00:02:27.820 --> 00:02:31.200]   Here's the second time He says, "Do not worry."
[00:02:31.200 --> 00:02:33.000]   It's in a different form.
[00:02:33.000 --> 00:02:35.000]   "Do not worry," then, saying, "Do not worry."
[00:02:35.000 --> 00:02:38.500]   It's saying, "What will we eat?
[00:02:38.500 --> 00:02:40.880]   Or what will we drink?
[00:02:40.880 --> 00:02:45.820]   Or what will we wear for clothing?
[00:02:45.820 --> 00:02:54.280]   For the Gentiles eagerly seek all these things, for your heavenly Father knows that you need
[00:02:54.280 --> 00:02:57.000]   all these things."
[00:02:57.000 --> 00:03:03.080]   First, seek His kingdom and His righteousness, and all these things will be added to you.
[00:03:03.080 --> 00:03:04.080]   Secondly, He says, "Do not worry."
[00:03:04.080 --> 00:03:10.740]   Secondly, He says, "Don't worry because - " I guess you could call it "because of your family."
[00:03:10.740 --> 00:03:15.780]   Let's just use that term, "because of your family."
[00:03:15.780 --> 00:03:17.660]   You're not a heathen.
[00:03:17.660 --> 00:03:21.740]   The term "Gentile" is the key term.
[00:03:21.740 --> 00:03:23.760]   You're not part of the nations.
[00:03:23.760 --> 00:03:25.520]   You're not pagan.
[00:03:25.520 --> 00:03:27.580]   You're not a part of the kingdom of darkness.
[00:03:27.580 --> 00:03:29.000]   You're not outsiders.
[00:03:29.000 --> 00:03:31.940]   It is needless.
[00:03:31.940 --> 00:03:33.080]   It is senseless.
[00:03:33.080 --> 00:03:37.860]   It is useless to worry.
[00:03:37.860 --> 00:03:51.600]   It is faithless to worry when you're not a part of those who should worry because they have rejected their heavenly Father, because
[00:03:51.600 --> 00:03:55.460]   they have no hope, they have no promise.
[00:03:55.460 --> 00:04:02.080]   They have turned against God, and God is their enemy, but not you.
[00:04:02.080 --> 00:04:09.440]   This is what Gentiles - and the verb is very strong - eagerly seek.
[00:04:09.440 --> 00:04:11.860]   They live for this.
[00:04:11.860 --> 00:04:17.900]   People outside the kingdom of God live for what they eat, what they drink, and what they
[00:04:17.900 --> 00:04:20.060]   wear.
[00:04:20.060 --> 00:04:27.100]   The pagans, the Christless world, those who do not acknowledge God, do not know God as
[00:04:27.100 --> 00:04:30.860]   their Father, and have not come to Him to claim His provision and His promise.
[00:04:30.860 --> 00:04:35.940]   They have reason to worry about their supply.
[00:04:35.940 --> 00:04:37.980]   They're on their own.
[00:04:37.980 --> 00:04:40.300]   Now there's a providential provision.
[00:04:40.300 --> 00:04:46.080]   God allows the sun to rise and fall on the just and the unjust, and the rain the same.
[00:04:46.080 --> 00:04:51.000]   And God has providentially built into the world common grace by which people's lives
[00:04:51.000 --> 00:04:52.640]   can be sustained.
[00:04:52.640 --> 00:04:55.960]   And mark it: they are sustained by God.
[00:04:55.960 --> 00:04:59.940]   It is God who sustains the life of everything that lives.
[00:04:59.940 --> 00:05:06.160]   From the smallest insect to the most significant human being, they are all sustained by God
[00:05:06.160 --> 00:05:13.440]   in a general sense by His global providence and common grace.
[00:05:13.440 --> 00:05:21.600]   But they can lay no claim to deserving any provision from God by virtue of Him being
[00:05:21.600 --> 00:05:27.060]   their Father.
[00:05:27.060 --> 00:05:28.940]   In fact, those who reject the truth are the ones who are not.
[00:05:28.940 --> 00:05:29.940]   They are the ones who are not.
[00:05:29.940 --> 00:05:33.900]   God have created gods of their own, false gods, and thus they have violated the first
[00:05:33.900 --> 00:05:36.660]   commandment and are under judgment.
[00:05:36.660 --> 00:05:39.180]   They have no guarantee of their next breath.
[00:05:39.180 --> 00:05:45.180]   They have no promise of a protector, no one to care for them.
[00:05:45.180 --> 00:05:48.320]   They are outside God's kingdom.
[00:05:48.320 --> 00:05:49.860]   They're in the kingdom of darkness.
[00:05:49.860 --> 00:05:52.700]   They're in the kingdom of death.
[00:05:52.700 --> 00:05:58.340]   They should be afraid.
[00:05:58.340 --> 00:06:03.420]   The phrase of our Lord here is emphatic, and I mentioned it, but let me mention it again.
[00:06:03.420 --> 00:06:12.080]   Verse 32: "The Gentiles seek," you could say, "with all their energy, totally consumed in
[00:06:12.080 --> 00:06:14.880]   material gratification for survival."
[00:06:14.880 --> 00:06:20.140]   But how different are we?
[00:06:20.140 --> 00:06:28.340]   We are in God's family, and God assures us of a full supply of everything we need.
[00:06:28.340 --> 00:06:33.420]   It is shamefully wicked for a child of God to come down to the level of the heathen who
[00:06:33.420 --> 00:06:34.920]   don't know God.
[00:06:34.920 --> 00:06:37.580]   You're in God's family.
[00:06:37.580 --> 00:06:43.300]   The people of the world seek these things, and right they should, because they're their
[00:06:43.300 --> 00:06:46.600]   own protectors.
[00:06:46.600 --> 00:06:51.920]   They are their own saviors, temporally speaking, in a sense.
[00:06:51.920 --> 00:06:53.800]   They're on their own.
[00:06:53.800 --> 00:06:55.780]   They need to worry about food.
[00:06:55.780 --> 00:06:57.580]   They need to worry about drink.
[00:06:57.580 --> 00:06:59.020]   They need to worry about clothing.
[00:06:59.020 --> 00:07:06.840]   They need to worry about life.
[00:07:06.840 --> 00:07:11.760]   But they have to understand this: to do that, you end up serving money.
[00:07:11.760 --> 00:07:18.780]   Go back to chapter 6, verse 24: "You can not serve two masters, for either you will hate
[00:07:18.780 --> 00:07:22.080]   the one and love the other, or be devoted to the one and despise the other."
[00:07:22.080 --> 00:07:26.820]   You can't serve God and wealth.
[00:07:26.820 --> 00:07:28.520]   But the world has made its choice.
[00:07:28.520 --> 00:07:29.580]   They will not serve God.
[00:07:29.580 --> 00:07:32.360]   They will serve money.
[00:07:32.360 --> 00:07:34.500]   Money is the ultimate God.
[00:07:34.500 --> 00:07:40.640]   Whatever it takes for them to protect themselves, to provide for themselves, they pursue with
[00:07:40.640 --> 00:07:48.260]   all their powers.
[00:07:48.260 --> 00:07:56.060]   That's the real reason people chase money, because they have no supernatural protector.
[00:07:56.060 --> 00:08:03.680]   But one way to say it would be they have no invisible means of support.
[00:08:03.680 --> 00:08:06.940]   We can't be like the world.
[00:08:06.940 --> 00:08:13.600]   Sons of the King do not conduct themselves like the devil's beggar.
[00:08:13.600 --> 00:08:21.080]   So ask yourself: "Do I face life like a Christian, like a member of the family of God, the kingdom
[00:08:21.080 --> 00:08:24.680]   of light, or like a pagan?"
[00:08:24.680 --> 00:08:31.320]   When things are difficult and a little bit unsure, how do I react?
[00:08:31.320 --> 00:08:38.040]   By fear or doubt, as if it all depended on me?
[00:08:38.040 --> 00:08:42.460]   Or do I react with joy and confidence because I know it's in God's hands?
[00:08:42.460 --> 00:08:47.320]   It's one thing to say you're a child of God, you belong to His kingdom; hopefully when
[00:08:47.320 --> 00:08:53.680]   life turns out to be deadly or terrifyingly fearful.
