
[00:00:00.000 --> 00:00:19.920]   ZAPIER AGENT ZAPIER: Yeah, a brief introduction to ZAPIER Agents. I believe many of you know
[00:00:19.920 --> 00:00:26.000]   what ZAPIER is, this automation software, a lot of boxes, arrows, essentially about automating
[00:00:26.000 --> 00:00:33.160]   your business processes. Agents is just, well, more agentic alternative to ZAPIER. You describe
[00:00:33.160 --> 00:00:40.440]   what you want, we propose a bunch of tools, a trigger, you enable that, and hopefully we
[00:00:40.440 --> 00:00:46.600]   automate your whole business processes. And a key lesson that we have after those two years
[00:00:46.600 --> 00:00:54.000]   is that building good AI agents is hard, and building good platform to enable non-technical
[00:00:54.000 --> 00:00:59.380]   people to build AI agents is even harder. That's because AI is non-deterministic, but
[00:00:59.380 --> 00:01:05.160]   on top of that, your users are even more non-deterministic. They are going to use your products in a way
[00:01:05.160 --> 00:01:16.320]   that you cannot imagine up front. So, if you think that building agents is not that hard, you probably have this kind of picture in mind.
[00:01:16.320 --> 00:01:27.480]   You probably stumbled upon this library called Blankchain. You pulled some examples, tutorial, you tweaked the prompt, pulled a bunch of tools, you chatted
[00:01:27.480 --> 00:01:33.540]   with the solution, and they thought, well, it's actually kind of working, all right? So, let's deploy it, and let's collect some profit.
[00:01:33.540 --> 00:01:44.700]   It turns out the reality has a surprising amount of detail, and we believe that building probabilistic software is a little bit different than building traditional software.
[00:01:44.700 --> 00:01:54.080]   The initial prototype is only a start, and after you ship something to your users, your responsibility switches to building the data flywheel. So, once you start,
[00:01:54.080 --> 00:02:03.080]   once your user starts using your product, you need to collect the feedback, you're starting to understand the usage patterns, the failures, so they can, then you can build
[00:02:03.080 --> 00:02:12.460]   build more evals, build an understanding of what's failing, what are the use cases. As you're building more evals and burn features, probably your product is getting better,
[00:02:12.460 --> 00:02:22.460]   so you're getting more users, and there are more failures, and you have to build more features, and on and on and on. So, yeah, it forms this data flywheel.
[00:02:22.460 --> 00:02:31.460]   But, starting with the first step, okay, yeah, so starting from the beginning, how do you start collecting actionable feedback?
[00:02:31.460 --> 00:02:36.680]   Backing up for just a second, the first step is to make sure you're instrumenting your code, right, which you probably already are doing.
[00:02:36.680 --> 00:02:41.840]   Whether you're using Braintrust or something else, they all offer, like, an easy way to get started, like, just tracing your completion calls.
[00:02:41.840 --> 00:02:47.120]   And this is a good start, but, actually, you also want to make sure that you're recording much more than that in your traces.
[00:02:47.120 --> 00:02:51.920]   You want to record the two calls, the errors from those two calls, the pre- and post-processing steps.
[00:02:51.920 --> 00:02:55.760]   That way, it will be much easier to debug what went wrong with the run.
[00:02:55.760 --> 00:02:59.840]   And you also want to strive to make the run repeatable for eval purposes.
[00:02:59.840 --> 00:03:06.060]   So, for instance, if you log data in the same shape as it appears in the runtime, it makes it much easier to convert it to an eval run later,
[00:03:06.060 --> 00:03:11.300]   because you can just prepopulate the inputs and expected outputs directly from your trace for free.
[00:03:11.300 --> 00:03:22.760]   And this is especially useful, as well, for two calls, because if your two call produces any side effects, you probably want to mock those in your evals, so you get all that for free if you're recording them in your trace.
[00:03:22.760 --> 00:03:28.520]   Okay, great. So, you've instrumented your code, and you started getting all this raw data from your runs.
[00:03:28.520 --> 00:03:32.740]   Now it's time to figure out what runs to actually pay attention to.
[00:03:32.740 --> 00:03:37.980]   Explicit user feedback is really high signal, so that's a good place to start.
[00:03:37.980 --> 00:03:42.740]   Unfortunately, not many people actually click those classic thumbs up, thumbs up and thumbs down buttons.
[00:03:42.740 --> 00:03:45.740]   So, you've got to work a bit harder for that feedback.
[00:03:45.740 --> 00:03:49.740]   And in our experience, this works best when you ask for the feedback in the right context.
[00:03:49.740 --> 00:03:55.020]   So, you can be a little bit more aggressive about asking for the feedback, but you're in the right context, you're not bothering the user before that.
[00:03:55.020 --> 00:04:02.200]   So, for us, one example of this is once an agent finished running, even if it was just a test run, we show a feedback call to action at the bottom, right?
